EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PtsAssisted3s,ThreePtAssists,Arc3Assists,DefThreePtRebounds,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Arc3PctAssisted,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedShortMidRange,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,LiveBallTurnoverPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Travels,SecondChanceArc3FGA,ShortMidRangeAssists,LostBallSteals,ShortMidRangePctAssisted,SecondChanceArc3Frequency,PenaltyArc3FGM,PenaltyFG3M,FTDefRebounds,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedArc3,PenaltyFg3Pct,DefFTReboundPct,PenaltyArc3Accuracy,SelfOReb,SelfORebPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceArc3FGM,Offensive Fouls,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallTurnovers,PenaltyCorner3FGM,Charge Fouls,Loose Ball Fouls,BlockedLongMidRange,Defensive 3 Seconds Violations,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,SecondChanceFtPoints,DefensiveGoaltends,Fg3aBlocked,Loose Ball Fouls Drawn,Technical Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,StepOutOfBoundsTurnovers,BlockedCorner3,HeaveAttempts,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101141-1626192-1627763-1628425-201588,1610612749,"Ersan Ilyasova, Pat Connaughton, Malcolm Brogdon, Sterling Brown, George Hill","Ilyasova, Connaughton, Brogdon, Brown, Hill",101141-1626192-1627763-1628425-201588,MIL,130.0,1,2.0,-2.0,3.0,4.0,4.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,7.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.5,0.5,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,77.53846153846155,20.333333333333332,17.25,20.333333333333332,17.25,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.5,0.4839833333333334,2.6,27.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
101141-1626192-1627763-1628425-204025,1610612749,"Ersan Ilyasova, Pat Connaughton, Malcolm Brogdon, Sterling Brown, Tim Frazier","Ilyasova, Connaughton, Brogdon, Brown, Frazier",101141-1626192-1627763-1628425-204025,MIL,130.0,1,2.0,1.0,4.0,4.0,4.0,8.0,,1.0,1.0,3.0,,1.0,1.0,3.0,3.0,2.0,,,3.0,1.0,,1.0,,3.0,2.0,3.0,3.0,1.0,1.0,3.0,,,0.3333333333333333,0.3333333333333333,,0.375,0.375,0.75,1.0,0.75,1.0,88.61538461538463,13.0,19.5,13.0,19.25,0.25,,,,0.75,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5544625,1.1,26.766666666666666,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
101141-1626192-1627763-201572-201588,1610612749,"Ersan Ilyasova, Pat Connaughton, Malcolm Brogdon, Brook Lopez, George Hill","Ilyasova, Connaughton, Brogdon, Lopez, Hill",101141-1626192-1627763-201572-201588,MIL,710.0,4,12.0,8.0,24.0,24.0,11.0,48.0,8.0,11.0,4.0,10.0,9.0,13.0,4.0,12.0,34.0,26.0,14.0,,10.0,4.0,7.0,11.0,6.0,26.0,6.0,9.0,12.0,1.0,3.0,30.0,0.7777777777777778,0.875,0.3333333333333333,0.3333333333333333,0.6923076923076923,0.6,0.6538461538461539,0.48,0.75,0.8181818181818182,1.0,97.35211267605634,14.458333333333334,15.125,13.958333333333334,15.041666666666666,0.44,0.7272727272727273,0.8,0.75,0.4,0.4,0.4,0.92,0.4,0.543816,2.923076923076923,26.650000000000002,12.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,8.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,6.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,4.0,2.0,3.0,1.0,6.0,8.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.2857142857142857,0.6666666666666666,0.375,0.15384615384615385,0.09090909090909091,1.0,0.5,0.125,0.25,0.3333333333333333,1.0,0.16666666666666666,0.8,1.0,0.04,0.04,1.0,1.0,1.0,0.08,1.0,0.6666666666666666,0.5,0.2857142857142857,0.5,0.2857142857142857,0.14285714285714285,0.5804,0.4982214285714286,0.11538461538461539,0.21428571428571427,0.11764705882352941,0.17647058823529413,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
101141-1626192-1627763-201588-202703,1610612749,"Ersan Ilyasova, Pat Connaughton, Malcolm Brogdon, George Hill, Nikola Mirotic","Ilyasova, Connaughton, Brogdon, Hill, Mirotic",101141-1626192-1627763-201588-202703,MIL,61.0,3,1.0,-5.0,1.0,2.0,,3.0,,1.0,,,,1.0,,1.0,,5.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,0.5,,,,70.81967213114754,28.0,16.5,28.0,16.5,0.5,,,,,,,1.0,,0.4787,2.5,22.6,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,0.5,,,,0.5,,0.5,,,0.4787,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
101141-1626192-1627763-201588-203507,1610612749,"Ersan Ilyasova, Pat Connaughton, Malcolm Brogdon, George Hill, Giannis Antetokounmpo","Ilyasova, Connaughton, Brogdon, Hill, Antetokounmpo",101141-1626192-1627763-201588-203507,MIL,417.0,4,7.0,1.0,14.0,14.0,1.0,28.0,2.0,3.0,,4.0,4.0,6.0,1.0,6.0,17.0,16.0,6.0,,4.0,,3.0,4.0,2.0,9.0,5.0,7.0,9.0,2.0,3.0,14.0,0.75,0.75,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.4583333333333333,0.5666666666666667,0.5,1.0,0.875,1.0,96.69064748201438,14.785714285714286,15.0,13.714285714285714,14.642857142857142,0.25,0.6666666666666666,1.0,1.0,0.3333333333333333,,,0.75,,0.52105,6.266666666666667,25.433333333333334,3.0,1.0,,2.0,2.0,1.0,2.0,2.0,1.0,0.6666666666666666,,,1.0,,4.0,2.0,,,,1.0,2.0,1.0,1.0,2.0,,1.0,6.0,,,3.0,,1.0,1.0,4.0,4.0,2.0,,1.0,1.0,2.0,,2.0,,,,,1.0,,5.0,,,7.0,1.0,2.0,1.0,4.0,4.0,,,,1.5,,1.5,0.5,0.16666666666666666,0.3333333333333333,,,0.4,0.2857142857142857,,,0.5,1.0,0.6666666666666666,0.16666666666666666,0.08333333333333333,1.0,1.0,1.0,0.16666666666666666,,,,0.5,,,0.5,,0.490625,0.15384615384615385,0.2857142857142857,0.17647058823529413,0.23529411764705882,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
101141-1626192-1628391-201588-202339,1610612749,"Ersan Ilyasova, Pat Connaughton, D.J. Wilson, George Hill, Eric Bledsoe","Ilyasova, Connaughton, Wilson, Hill, Bledsoe",101141-1626192-1628391-201588-202339,MIL,112.0,1,2.0,-3.0,4.0,3.0,,7.0,,1.0,,,,2.0,,1.0,,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,0.3333333333333333,,0.5,,90.0,19.25,11.666666666666666,19.25,10.0,0.3333333333333333,,,,,,,0.6666666666666666,,0.49476666666666663,7.7,23.9,,,,1.0,,,,,,1.0,,,,,4.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,,2.0,1.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,4.0,,,,,,,,0.5,1.0,,,,,,,,,1.0,0.3333333333333333,,,,,0.3333333333333333,,,,0.3333333333333333,,0.3333333333333333,,,0.49476666666666663,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
101141-1626192-1628391-201588-204025,1610612749,"Ersan Ilyasova, Pat Connaughton, D.J. Wilson, George Hill, Tim Frazier","Ilyasova, Connaughton, Wilson, Hill, Frazier",101141-1626192-1628391-201588-204025,MIL,142.0,1,2.0,-3.0,4.0,5.0,5.0,9.0,1.0,1.0,,1.0,1.0,2.0,,1.0,2.0,5.0,,,1.0,,,,,,1.0,3.0,3.0,,,2.0,,,,,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,,91.26760563380282,20.5,12.0,20.5,12.0,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,0.6666666666666666,,0.5132,3.45,27.4,,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
101141-1626192-1628391-202703-204025,1610612749,"Ersan Ilyasova, Pat Connaughton, D.J. Wilson, Nikola Mirotic, Tim Frazier","Ilyasova, Connaughton, Wilson, Mirotic, Frazier",101141-1626192-1628391-202703-204025,MIL,320.0,1,5.0,-2.0,11.0,10.0,9.0,21.0,5.0,5.0,1.0,3.0,5.0,6.0,1.0,3.0,13.0,15.0,6.0,3.0,3.0,1.0,3.0,3.0,3.0,6.0,2.0,2.0,3.0,2.0,3.0,11.0,0.6,0.6,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.7222222222222222,0.7222222222222222,0.3333333333333333,1.0,1.0,,94.5,16.727272727272727,13.6,15.454545454545455,13.5,0.5555555555555556,1.0,1.0,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.3333333333333333,0.4991277777777777,2.0833333333333335,26.566666666666666,,,,,1.0,,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,1.0,2.0,,,,,,4.0,,,,1.0,,1.0,,,,,2.0,,1.0,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,0.5,0.3333333333333333,,,0.5,1.0,,0.1111111111111111,,,,,,1.0,1.0,,,,,,,,,,0.15384615384615385,,,,,,,,,,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
101141-1626192-1628391-203503-204025,1610612749,"Ersan Ilyasova, Pat Connaughton, D.J. Wilson, Tony Snell, Tim Frazier","Ilyasova, Connaughton, Wilson, Snell, Frazier",101141-1626192-1628391-203503-204025,MIL,203.0,1,3.0,,7.0,7.0,3.0,14.0,2.0,3.0,,3.0,3.0,5.0,,3.0,6.0,6.0,4.0,,3.0,,2.0,2.0,1.0,4.0,1.0,1.0,2.0,,1.0,6.0,0.6666666666666666,0.6666666666666666,,,0.6,0.375,0.375,0.375,1.0,1.0,,99.3103448275862,16.142857142857142,12.857142857142858,14.857142857142858,12.857142857142858,0.375,0.6666666666666666,1.0,0.5,0.375,,,0.75,,0.52893125,6.24,26.833333333333332,,,,,,,,,,,1.0,,,,4.0,1.0,,,2.0,3.0,2.0,,,,,2.0,,,,,2.0,3.0,2.0,,4.0,2.0,,1.0,,1.0,,1.0,2.0,1.0,,,,,2.0,,,,,,,4.0,4.0,,,0.6666666666666666,,0.4,,0.4,0.2,0.3333333333333333,,,0.3333333333333333,0.2,,,0.3333333333333333,,,0.25,,,,,,,,,0.6,0.6666666666666666,,0.4,0.50655,0.59988,,,,0.6666666666666666,0.5714285714285714,1.0,,,,,1.0,,,,,,,,,0.5,0.5,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
101141-1626192-1628425-201572-201588,1610612749,"Ersan Ilyasova, Pat Connaughton, Sterling Brown, Brook Lopez, George Hill","Ilyasova, Connaughton, Brown, Lopez, Hill",101141-1626192-1628425-201572-201588,MIL,732.0,4,12.0,18.0,27.0,26.0,19.0,53.0,9.0,13.0,1.0,4.0,12.0,20.0,2.0,5.0,34.0,16.0,10.0,3.0,4.0,1.0,5.0,6.0,3.0,13.0,6.0,16.0,19.0,2.0,3.0,28.0,0.4166666666666667,0.5555555555555556,0.4,0.4,0.6,0.6,0.6071428571428571,0.2,0.8571428571428571,0.8333333333333334,0.5,104.26229508196722,12.11111111111111,15.576923076923077,12.037037037037036,15.0,0.52,0.6923076923076923,0.8181818181818182,0.3333333333333333,0.16,0.25,0.25,0.72,0.25,0.5131519999999999,5.3149999999999995,26.76,3.0,1.0,,9.0,,,2.0,1.0,0.5,0.8181818181818182,1.0,0.75,0.5,,21.0,3.0,3.0,3.0,6.0,10.0,5.0,1.0,2.0,1.0,,3.0,4.0,3.0,3.0,6.0,8.0,15.0,3.0,4.0,23.0,14.0,6.0,2.0,,,3.0,3.0,1.0,,,1.0,2.0,2.0,4.0,,,6.0,,1.0,,23.0,21.0,1.0,1.0,0.5333333333333333,1.0,0.5277777777777778,1.0,0.5476190476190477,0.1,0.15384615384615385,,0.375,,0.2727272727272727,0.25,0.6666666666666666,,1.0,0.8571428571428571,0.2,0.08,0.5,0.5,,0.04,1.0,1.0,,0.5555555555555556,0.6,,0.16666666666666666,0.5916,0.5010305555555555,0.038461538461538464,0.047619047619047616,0.17647058823529413,0.6764705882352942,0.7777777777777778,2.0,1.0,,,,,1.0,1.0,1.0,,2.0,2.0,,0.5,0.4,0.4,1.0,1.0,1.0,,,,,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
