EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,DefThreePtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,FG3M,SecondChanceFG2A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,Blocked2s,BlockedShortMidRange,Blocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,LiveBallTurnoverPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,PenaltyArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsPutbacks,Corner3Assists,AtRimAssists,FTDefRebounds,LostBallSteals,BadPassTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,BlockedAtRim,BlockedLongMidRange,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceCorner3FGA,OffShortMidRangeReboundPct,SecondChanceCorner3Frequency,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Loose Ball Fouls,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,HeaveAttempts,Offensive Fouls Drawn,Technical Free Throw Trips,Blocked3s,BlockedArc3,LongMidRangeFGM,2pt And 1 Free Throw Trips,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShortMidRangePctBlocked,SecondChanceFtPoints,Charge Fouls,OffLongMidRangeReboundPct,SecondChanceArc3PctAssisted,LongMidRangeAssists,3pt And 1 Free Throw Trips,BlockedCorner3,DefensiveGoaltends,OffensiveGoaltends,Corner3PctBlocked,LongMidRangePctAssisted,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,LongMidRangePctBlocked,team_id,year,season,team_vs
101108-101123-1627863-200782-203085,1610612745,"Chris Paul, Gerald Green, Danuel House Jr., PJ Tucker, Austin Rivers","Paul, Green, House Jr., Tucker, Rivers",101108-101123-1627863-200782-203085,HOU,79.0,1,1.0,2.0,3.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,3.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,1.0,91.13924050632912,14.333333333333334,18.0,14.333333333333334,18.0,0.5,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.424875,0.424875,0.3333333333333333,0.5,1.0,3.7,27.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
101108-101123-1627863-201569-202702,1610612745,"Chris Paul, Gerald Green, Danuel House Jr., Eric Gordon, Kenneth Faried","Paul, Green, House Jr., Gordon, Faried",101108-101123-1627863-201569-202702,HOU,395.0,2,7.0,-12.0,11.0,10.0,,,21.0,,3.0,,,2.0,,1.0,8.0,3.0,,5.0,17.0,,,,,,,2.0,1.0,2.0,4.0,,,,5.0,,,0.125,,0.22727272727272727,,0.22727272727272727,,0.2727272727272727,1.0,0.5,,76.55696202531647,19.181818181818183,18.4,18.09090909090909,18.3,0.2727272727272727,,,0.18181818181818182,,,,0.5454545454545454,0.4321090909090909,,,,,9.5125,28.03333333333333,,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.125,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.5,0.2222222222222222,0.3333333333333333,1.0,1.0,1.0,0.125,0.18181818181818182,0.5,0.5,1.0,0.2727272727272727,0.09090909090909091,0.5,0.5,1.0,0.5,0.3347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
101108-101123-1627863-201569-203991,1610612745,"Chris Paul, Gerald Green, Danuel House Jr., Eric Gordon, Clint Capela","Paul, Green, House Jr., Gordon, Capela",101108-101123-1627863-201569-203991,HOU,20.0,1,,-2.0,,1.0,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,20.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
101108-101123-1627863-202697-203991,1610612745,"Chris Paul, Gerald Green, Danuel House Jr., Iman Shumpert, Clint Capela","Paul, Green, House Jr., Shumpert, Capela",101108-101123-1627863-202697-203991,HOU,140.0,1,2.0,-3.0,6.0,5.0,6.0,5.0,11.0,,,,,2.0,2.0,,1.0,2.0,,6.0,9.0,,1.0,2.0,,6.0,,2.0,,1.0,1.0,1.0,2.0,,6.0,6.0,6.0,,,1.0,1.0,0.75,0.75,0.6666666666666666,,1.0,,113.14285714285714,12.333333333333334,13.2,12.333333333333334,13.2,,,,0.6666666666666666,,,0.6666666666666666,0.6666666666666666,0.4377,0.4377,,,1.0,16.7,27.05,1.0,,,,1.0,,2.0,2.0,,,3.0,2.0,,,1.0,1.0,1.0,,3.0,,,1.0,,,1.0,1.0,,2.0,,,1.0,1.0,1.0,,,0.5,1.0,1.0,,,1.0,,,,,,,,,,,,,0.3333333333333333,,1.0,1.0,0.5,1.0,,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
101108-101123-1627863-202702-203085,1610612745,"Chris Paul, Gerald Green, Danuel House Jr., Kenneth Faried, Austin Rivers","Paul, Green, House Jr., Faried, Rivers",101108-101123-1627863-202702-203085,HOU,1229.0,5,20.0,4.0,44.0,44.0,37.0,37.0,88.0,4.0,9.0,3.0,8.0,15.0,13.0,6.0,15.0,17.0,15.0,39.0,35.0,4.0,12.0,15.0,14.0,34.0,4.0,15.0,10.0,19.0,24.0,14.0,19.0,3.0,32.0,34.0,37.0,0.4,0.3333333333333333,0.375,0.37037037037037035,0.47560975609756095,0.4857142857142857,0.53125,0.7142857142857143,0.7727272727272727,0.2,103.10821806346623,13.590909090909092,14.340909090909092,12.818181818181818,13.5,0.28125,0.4444444444444444,0.6666666666666666,0.46875,0.2962962962962963,0.375,0.48148148148148145,0.8125,0.5046467741935484,0.5046173076923077,0.1111111111111111,0.16666666666666666,0.8717948717948718,3.2066666666666666,26.86470588235294,0.8409090909090909,6.0,2.0,6.0,,2.0,2.0,4.0,2.0,8.0,3.0,2.0,3.0,4.0,1.0,5.0,,1.0,11.0,3.0,2.0,7.0,5.0,,1.0,6.0,1.0,8.0,9.0,13.0,3.0,1.0,3.0,0.6666666666666666,0.8,0.25,0.23529411764705882,0.23529411764705882,0.2,0.3333333333333333,0.875,0.2222222222222222,0.2727272727272727,0.25,0.4,,1.0,1.0,,0.1875,0.3333333333333333,0.3333333333333333,0.5,,0.0625,0.13333333333333333,0.13333333333333333,,0.13333333333333333,0.5814666666666667,2.0,4.0,9.0,6.0,3.0,2.0,1.0,5.0,5.0,3.0,5.0,0.26666666666666666,0.25,1.0,1.0,0.15384615384615385,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,7.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.3333333333333333,1.0,0.7,0.7,0.6666666666666666,0.2727272727272727,0.75,0.75,1.0,1.0,0.5,0.4,1.0,0.5,0.6,0.3333333333333333,0.07407407407407407,1.0,0.05555555555555555,0.1794871794871795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
101108-101123-1627863-203085-203991,1610612745,"Chris Paul, Gerald Green, Danuel House Jr., Austin Rivers, Clint Capela","Paul, Green, House Jr., Rivers, Capela",101108-101123-1627863-203085-203991,HOU,100.0,1,2.0,-7.0,2.0,3.0,,,5.0,,,,,1.0,,,1.0,2.0,,,7.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,0.6666666666666666,,,,72.0,27.5,15.0,22.0,15.0,,,,0.3333333333333333,,,,0.6666666666666666,0.49910000000000004,,,,,6.4,24.1,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,0.3333333333333333,,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,,0.5958,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
101108-101123-1627863-203085-2403,1610612745,"Chris Paul, Gerald Green, Danuel House Jr., Austin Rivers, Nene","Paul, Green, House Jr., Rivers, Nene",101108-101123-1627863-203085-2403,HOU,81.0,1,1.0,-2.0,3.0,3.0,,3.0,6.0,1.0,2.0,,,1.0,,1.0,2.0,1.0,,2.0,4.0,,,,,,2.0,1.0,,1.0,2.0,,,,,,,0.5,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,1.0,,106.66666666666666,14.333333333333334,12.666666666666666,14.333333333333334,12.666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,,,,1.0,0.4892,,,,,1.1,26.8,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,0.5,1.0,,,,,,,,,,,,,,,0.4144,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,,2.0,2.0,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
101108-101123-200782-201569-201935,1610612745,"Chris Paul, Gerald Green, PJ Tucker, Eric Gordon, James Harden","Paul, Green, Tucker, Gordon, Harden",101108-101123-200782-201569-201935,HOU,234.0,2,4.0,1.0,11.0,11.0,6.0,7.0,22.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,8.0,13.0,12.0,1.0,1.0,1.0,6.0,8.0,2.0,4.0,2.0,3.0,3.0,4.0,8.0,2.0,13.0,8.0,6.0,1.0,1.0,0.5,0.5,0.7222222222222222,0.8,0.8,0.6666666666666666,0.6,0.5,135.3846153846154,6.909090909090909,14.363636363636363,6.909090909090909,13.0,0.2,1.0,1.0,0.8,0.5,1.0,0.5,1.0,0.48879,0.54405,0.2857142857142857,0.6666666666666666,0.6153846153846154,2.4,26.45,0.5454545454545454,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,1.0,,2.0,,2.0,,,,,,,0.25,0.25,,,0.5,,,,,,,1.0,,,,,,,,0.25,0.3333333333333333,,0.25,,,,3.0,,,1.0,,1.0,2.0,,2.0,,0.5,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
101108-101123-200782-201569-202702,1610612745,"Chris Paul, Gerald Green, PJ Tucker, Eric Gordon, Kenneth Faried","Paul, Green, Tucker, Gordon, Faried",101108-101123-200782-201569-202702,HOU,72.0,1,1.0,-1.0,2.0,2.0,,,4.0,,,,,,,,,1.0,2.0,2.0,3.0,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,0.5,,1.0,1.0,1.0,,80.0,14.0,22.0,14.0,22.0,,,,,,,,1.0,0.615,,0.5,1.0,,,22.7,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
101108-101123-200782-201569-203991,1610612745,"Chris Paul, Gerald Green, PJ Tucker, Eric Gordon, Clint Capela","Paul, Green, Tucker, Gordon, Capela",101108-101123-200782-201569-203991,HOU,182.0,1,3.0,3.0,5.0,4.0,2.0,1.0,9.0,2.0,2.0,2.0,2.0,1.0,,3.0,4.0,1.0,,6.0,3.0,2.0,2.0,,,4.0,2.0,1.0,1.0,2.0,3.0,,,,6.0,4.0,2.0,0.75,1.0,0.6,1.0,0.6,1.0,0.2,0.5,0.6666666666666666,1.0,71.20879120879121,17.0,24.25,16.2,19.25,0.4,1.0,1.0,0.2,1.0,1.0,,0.6,0.52064,0.626,,,0.6666666666666666,5.575,27.5,0.4,1.0,1.0,2.0,,,,,,4.0,,,,2.0,,2.0,,,4.0,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,0.6666666666666666,0.6666666666666666,,,,,,1.0,,1.0,0.5,,,1.0,,,0.4,0.5,0.5,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
