EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,PenaltyCorner3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Corner3Assists,FTOffRebounds,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Accuracy,HeaveAttempts,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,BlockedShortMidRange,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,OffCorner3ReboundPct,Technical Free Throw Trips,PtsPutbacks,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,OffAtRimReboundPct,BadPassOutOfBoundsTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Arc3FGM,PenaltyArc3FGM,SecondChanceFtPoints,PtsUnassisted3s,HeaveMakes,Offensive Fouls,Loose Ball Fouls Drawn,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,Travels,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,NonHeaveArc3FGM,Fg3aBlocked,Arc3Assists,FTDefRebounds,SelfOReb,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Charge Fouls Drawn,FG3APctBlocked,AtRimPctBlocked,Corner3PctBlocked,DefFTReboundPct,SelfORebPct,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,BlockedLongMidRange,DefensiveGoaltends,Arc3PctBlocked,team_id,year,season,team_vs
1626170-1626185-1628411-1628982-203920,1610612753,"Jerian Grant, Jarell Martin, Wes Iwundu, Melvin Frazier Jr., Khem Birch","Grant, Martin, Iwundu, Frazier Jr., Birch",1626170-1626185-1628411-1628982-203920,ORL,485.0,2,8.0,18.0,20.0,19,20.0,19.0,2.0,39,5.0,5.0,5.0,5.0,1.0,1.0,2.0,4.0,1.0,1.0,7.0,2.0,7.0,8.0,10.0,8.0,5.0,21.0,3.0,1.0,1.0,2.0,2.0,8.0,10.0,8.0,5.0,21.0,12.0,4.0,7.0,6.0,6.0,3.0,1.0,2.0,12.0,2.0,1.0,6.0,6.0,12.0,3.0,15.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,8.0,2.0,5.0,1.0,1.0,1.0,1.0,19.0,21.0,20.0,0.75,0.75,0.8,1.0,0.8,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.5,0.3333333333333333,0.5,0.4444444444444444,1.0,1.0,0.5,1.0,0.25,1.0,0.3,0.5,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,115.79381443298968,1.0,11.2,13.736842105263158,10.05,13.736842105263158,0.2777777777777778,1.0,1.0,0.6,0.05555555555555555,1.0,1.0,1.0,0.2222222222222222,0.5,0.5,1.0,0.05555555555555555,0.3888888888888889,0.6666666666666666,0.2777777777777778,1.0,0.05555555555555555,0.3888888888888889,0.7222222222222222,0.4722333333333333,0.471225,0.4722333333333333,0.23809523809523808,0.38461538461538464,0.09523809523809523,1.0,10.290000000000001,26.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,False
1626170-1626185-1628982-203487-203920,1610612753,"Jerian Grant, Jarell Martin, Melvin Frazier Jr., Michael Carter-Williams, Khem Birch","Grant, Martin, Frazier Jr., Carter-Williams, Birch",1626170-1626185-1628982-203487-203920,ORL,352.0,1,6.0,2.0,12.0,12,12.0,12.0,1.0,24,3.0,3.0,3.0,3.0,,2.0,,2.0,1.0,1.0,5.0,,5.0,3.0,7.0,6.0,,9.0,7.0,1.0,2.0,,2.0,3.0,7.0,6.0,,9.0,2.0,4.0,5.0,1.0,2.0,1.0,,,5.0,,1.0,6.0,2.0,8.0,2.0,10.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,7.0,9.0,12.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.5,0.42857142857142855,0.34615384615384615,0.5,0.34615384615384615,0.34615384615384615,0.5,0.34615384615384615,0.46153846153846156,1.0,1.0,0.25,0.8571428571428571,,0.8888888888888888,0.1111111111111111,,,1.0,1.0,,0.8333333333333334,1.0,98.18181818181819,,15.666666666666666,13.666666666666666,14.333333333333334,13.166666666666666,0.23076923076923078,1.0,1.0,0.3333333333333333,0.15384615384615385,,,,0.15384615384615385,,,,0.07692307692307693,0.38461538461538464,,0.23076923076923078,1.0,0.07692307692307693,0.38461538461538464,0.6923076923076923,0.4832269230769231,0.4775,0.4832269230769231,0.07692307692307693,0.14285714285714285,0.2222222222222222,1.0,7.957142857142857,25.71666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,False
1626170-1628411-1628982-203920-203932,1610612753,"Jerian Grant, Wes Iwundu, Melvin Frazier Jr., Khem Birch, Aaron Gordon","Grant, Iwundu, Frazier Jr., Birch, Gordon",1626170-1628411-1628982-203920-203932,ORL,4.0,1,,-2.0,1.0,1,1.0,1.0,,2,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,720.0,,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,False
1626185-1628371-1628411-201571-203082,1610612753,"Jarell Martin, Jonathan Isaac, Wes Iwundu, D.J. Augustin, Terrence Ross","Martin, Isaac, Iwundu, Augustin, Ross",1626185-1628371-1628411-201571-203082,ORL,33.0,1,1.0,,1.0,2,1.0,2.0,,3,,,,,,,,,1.0,1.0,,,,,,1.0,,3.0,3.0,,,,,,,1.0,,3.0,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,,,,,,1.5,,1.5,1.5,,1.5,1.0,,,,,,,,,,,,,,,130.9090909090909,,20.0,6.5,20.0,6.5,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,0.5751,,0.5751,,,,1.0,,23.1,1.0,,,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,False
1626185-201571-202696-203082-203095,1610612753,"Jarell Martin, D.J. Augustin, Nikola Vucevic, Terrence Ross, Evan Fournier","Martin, Augustin, Vucevic, Ross, Fournier",1626185-201571-202696-203082-203095,ORL,103.0,1,2.0,-5.0,3.0,3,3.0,3.0,,6,,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,6.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,2.0,,2.0,,1.0,,,,,1.0,1.0,3.0,,,,,,,,,0.16666666666666666,,0.16666666666666666,0.5,,,,1.0,,1.0,,,,,,,,1.0,83.88349514563107,,18.0,16.333333333333332,18.0,16.333333333333332,,,,,0.5,,,,,,,,,0.5,,,,,0.5,0.5,0.3731,,0.3731,0.3333333333333333,0.5,,1.0,9.6,41.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,False
1626185-203082-203095-203487-203920,1610612753,"Jarell Martin, Terrence Ross, Evan Fournier, Michael Carter-Williams, Khem Birch","Martin, Ross, Fournier, Carter-Williams, Birch",1626185-203082-203095-203487-203920,ORL,116.0,1,2.0,1.0,3.0,3,,,1.0,6,,,,,,,,,1.0,,3.0,,,,,4.0,,3.0,2.0,,,1.0,3.0,,,,,,,,3.0,,1.0,,,,3.0,1.0,,1.0,1.0,2.0,1.0,3.0,,,,,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,0.375,1.5,,0.375,1.5,,1.0,,1.0,,1.0,0.3333333333333333,1.0,0.3333333333333333,,0.3333333333333333,,1.0,,,1.0,74.48275862068965,1.0,15.333333333333334,23.333333333333332,13.0,23.333333333333332,,,,,,,,,,,,,0.25,0.75,,,,,,1.0,0.546375,,,,,1.0,,,26.45,,,,1.0,,1.0,,3.0,,1.0,1.0,,,1.0,0.25,,0.25,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,False
1628371-1628411-201571-202696-203095,1610612753,"Jonathan Isaac, Wes Iwundu, D.J. Augustin, Nikola Vucevic, Evan Fournier","Isaac, Iwundu, Augustin, Vucevic, Fournier",1628371-1628411-201571-202696-203095,ORL,90.0,1,2.0,-1.0,2.0,2,,,1.0,4,,,,,,1.0,1.0,2.0,1.0,,,,,1.0,3.0,1.0,,2.0,3.0,1.0,1.0,,2.0,,,,,,,2.0,,,,,,,,1.0,1.0,,,,2.0,2.0,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,0.3333333333333333,1.0,,0.25,1.0,,0.25,1.0,,0.25,,,0.5,,1.0,,0.6666666666666666,1.0,,,,,,,64.0,,28.5,16.5,26.0,12.0,,,,,0.25,,,,0.5,0.5,1.0,,0.25,,,,,,,0.25,0.4443,0.3571,,,,1.0,,17.099999999999998,22.2,,,,,,,,,1.0,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,False
1628371-1628411-201571-203082-203920,1610612753,"Jonathan Isaac, Wes Iwundu, D.J. Augustin, Terrence Ross, Khem Birch","Isaac, Iwundu, Augustin, Ross, Birch",1628371-1628411-201571-203082-203920,ORL,159.0,1,3.0,-3.0,5.0,5,5.0,5.0,3.0,10,,,,,,4.0,,1.0,1.0,1.0,1.0,,1.0,,5.0,2.0,2.0,2.0,5.0,,2.0,1.0,,,5.0,2.0,2.0,2.0,,,1.0,,,,,,,,3.0,2.0,1.0,3.0,3.0,6.0,,,,,,,,1.0,1.0,1.0,,3.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,,,,,,,,,0.125,,0.125,0.2857142857142857,,1.0,0.6,0.6666666666666666,,0.75,0.42857142857142855,1.0,,1.0,,,0.5,1.0,90.56603773584906,1.0,20.6,11.2,15.6,10.6,,,,,0.5714285714285714,,,,0.14285714285714285,,,,0.14285714285714285,0.14285714285714285,,,,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.4592714285714286,0.5034,0.4592714285714286,0.125,0.16666666666666666,,1.0,11.16,23.75,1.0,,,,,,,,1.0,,,,,,,,,0.2,0.25,,0.5,,,,,,,,,1.0,,,,0.3333333333333333,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,False
1628371-1628411-202696-203082-203487,1610612753,"Jonathan Isaac, Wes Iwundu, Nikola Vucevic, Terrence Ross, Michael Carter-Williams","Isaac, Iwundu, Vucevic, Ross, Carter-Williams",1628371-1628411-202696-203082-203487,ORL,244.0,1,4.0,4.0,9.0,8,4.0,5.0,2.0,17,3.0,5.0,1.0,1.0,,,,,2.0,1.0,1.0,,1.0,3.0,5.0,3.0,,12.0,8.0,1.0,2.0,,2.0,1.0,1.0,2.0,,5.0,4.0,2.0,1.0,2.0,4.0,2.0,,,10.0,,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,,1.0,,2.0,1.0,,1.0,2.0,,,,,,,,,10.0,5.0,4.0,0.6666666666666666,1.0,0.6,0.5,1.0,0.75,0.5,0.8333333333333334,0.75,0.5,0.8333333333333334,0.375,0.5,1.0,0.5,1.0,,1.0,0.5,,,,,1.0,1.0,,100.32786885245902,,11.666666666666666,17.375,10.88888888888889,17.375,0.625,0.6,0.6,0.6666666666666666,,,,,,,,,0.25,0.125,,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.520175,0.4984,0.5240166666666667,,,0.16666666666666666,0.4166666666666667,2.0,24.2,0.4444444444444444,1.0,2.0,2.0,1.0,2.0,1.0,6.0,,2.0,2.0,,,1.0,0.6666666666666666,0.5,0.6666666666666666,,,,,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,2.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,False
1628371-1628411-203082-203487-203920,1610612753,"Jonathan Isaac, Wes Iwundu, Terrence Ross, Michael Carter-Williams, Khem Birch","Isaac, Iwundu, Ross, Carter-Williams, Birch",1628371-1628411-203082-203487-203920,ORL,291.0,2,5.0,-2.0,11.0,12,7.0,7.0,,23,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,4.0,2.0,6.0,12.0,14.0,,,,,2.0,2.0,2.0,4.0,8.0,6.0,,1.0,3.0,3.0,2.0,,1.0,6.0,,,1.0,4.0,5.0,,5.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,6.0,,1.0,1.0,1.0,1.0,1.0,12.0,8.0,7.0,1.0,1.0,0.75,,1.0,0.5,,0.5,0.6666666666666666,,0.6666666666666666,0.3333333333333333,0.5,1.0,,0.5,,0.8333333333333334,,,,1.0,,,,1.0,113.81443298969073,1.0,12.363636363636363,12.916666666666666,12.363636363636363,12.583333333333334,0.3333333333333333,1.0,1.0,1.0,0.16666666666666666,,,,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,,0.25,1.0,0.25,0.25,0.6666666666666666,0.5529166666666666,,0.589375,0.14285714285714285,0.2,,0.6666666666666666,5.825,24.1,0.6363636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2019,2018-19,False
