EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,SecondChanceFG2A,PtsUnassisted2s,Fg2aBlocked,OffThreePtRebounds,DefTwoPtRebounds,OffRebounds,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,LongMidRangeFrequency,Corner3Frequency,SecondChanceAtRimFrequency,PenaltyCorner3Frequency,PenaltyDefPoss,SecondChanceAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,Corner3Assists,LongMidRangeAssists,OffTwoPtRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Steals,BadPassSteals,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,DefShortMidRangeReboundPct,BlocksRecoveredPct,SecondChanceArc3FGA,SecondChanceFG3A,LostBallOutOfBoundsTurnovers,SecondChanceArc3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,ShortMidRangeAssists,FTOffRebounds,BadPassOutOfBoundsTurnovers,SecondChanceFg3Pct,OffFTReboundPct,ShortMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallTurnovers,Fg3aBlocked,FTDefRebounds,Travels,3SecondViolations,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,HeaveAttempts,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LostBallSteals,SecondChanceCorner3FGA,SecondChanceFtPoints,SecondChanceTurnovers,Charge Fouls Drawn,Loose Ball Fouls Drawn,Technical Free Throw Trips,DefensiveGoaltends,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PtsUnassisted3s,Loose Ball Fouls,Blocked3s,BlockedArc3,BlockedLongMidRange,PenaltyCorner3FGM,3pt And 1 Free Throw Trips,PenaltyCorner3Accuracy,BlockedCorner3,Defensive 3 Seconds Violations,StepOutOfBoundsTurnovers,Corner3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
101141-1626192-1627763-1628425-201588,1610612749,"Ersan Ilyasova, Pat Connaughton, Malcolm Brogdon, Sterling Brown, George Hill","Ilyasova, Connaughton, Brogdon, Brown, Hill",101141-1626192-1627763-1628425-201588,MIL,130.0,1,2.0,2.0,4.0,3.0,4.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,7.0,5.0,1.0,2.0,1.0,1.0,2.0,7.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.8333333333333334,0.8333333333333334,0.875,0.875,0.3333333333333333,1.0,1.0,1.0,77.53846153846155,17.25,20.333333333333332,17.25,20.333333333333332,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.5,0.3333333333333333,1.0,1.0,1.0,0.5436166666666666,0.5436166666666666,0.25,0.3333333333333333,1.0,1.75,27.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,True
101141-1626192-1627763-1628425-204025,1610612749,"Ersan Ilyasova, Pat Connaughton, Malcolm Brogdon, Sterling Brown, Tim Frazier","Ilyasova, Connaughton, Brogdon, Brown, Frazier",101141-1626192-1627763-1628425-204025,MIL,130.0,1,2.0,-1.0,4.0,4.0,4.0,8.0,1.0,2.0,1.0,2.0,,1.0,,1.0,1.0,3.0,,2.0,,2.0,3.0,1.0,3.0,,2.0,,2.0,,,1.0,,,,,,,,2.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,4.0,,,,,,,0.3333333333333333,0.3333333333333333,0.2,0.2,0.16666666666666666,0.16666666666666666,0.4,1.0,1.0,1.0,88.61538461538463,19.5,13.0,19.25,13.0,0.4,0.5,1.0,,0.2,,,,0.4,0.5,0.2,,0.8,,0.53318,0.53318,0.16666666666666666,0.25,1.0,5.5,25.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.5,0.25,1.0,1.0,0.2,0.2,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,True
101141-1626192-1627763-201572-201588,1610612749,"Ersan Ilyasova, Pat Connaughton, Malcolm Brogdon, Brook Lopez, George Hill","Ilyasova, Connaughton, Brogdon, Lopez, Hill",101141-1626192-1627763-201572-201588,MIL,710.0,4,12.0,-8.0,24.0,24.0,11.0,48.0,5.0,6.0,1.0,2.0,,2.0,,,10.0,18.0,1.0,4.0,3.0,26.0,34.0,4.0,9.0,,1.0,3.0,11.0,4.0,3.0,2.0,,2.0,1.0,3.0,,1.0,7.0,7.0,9.0,11.0,3.0,3.0,1.0,22.0,11.0,11.0,0.2,0.25,1.0,0.25,,0.25,0.5555555555555556,0.4444444444444444,0.5227272727272727,0.4,0.5652173913043478,0.5,0.18181818181818182,0.875,0.75,0.8333333333333334,97.35211267605634,15.125,14.458333333333334,15.041666666666666,13.958333333333334,0.2727272727272727,0.8333333333333334,1.0,0.2,0.09090909090909091,,,,0.2,0.5,,,0.45454545454545453,,0.49920454545454546,0.478865,0.045454545454545456,0.05555555555555555,0.4230769230769231,8.672222222222222,25.75,0.4583333333333333,2.0,1.0,3.0,2.0,1.0,2.0,16.0,2.0,,2.0,2.0,0.1111111111111111,0.16666666666666666,0.5,,0.18181818181818182,,0.6666666666666666,0.13636363636363635,0.09090909090909091,0.5,0.1,8.0,1.0,4.0,9.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.3333333333333333,0.25,0.2,0.5,1.0,0.2222222222222222,0.4090909090909091,0.4444444444444444,0.5,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,1.0,1.0,0.51975,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,True
101141-1626192-1627763-201588-202703,1610612749,"Ersan Ilyasova, Pat Connaughton, Malcolm Brogdon, George Hill, Nikola Mirotic","Ilyasova, Connaughton, Brogdon, Hill, Mirotic",101141-1626192-1627763-201588-202703,MIL,61.0,3,1.0,5.0,2.0,1.0,,3.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,5.0,,,,,,,,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,,,,1.0,,,5.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.25,,1.25,,0.5,,,,70.81967213114754,16.5,28.0,16.5,28.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,1.0,1.0,0.52335,,,,,1.5,27.8,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,True
101141-1626192-1627763-201588-203507,1610612749,"Ersan Ilyasova, Pat Connaughton, Malcolm Brogdon, George Hill, Giannis Antetokounmpo","Ilyasova, Connaughton, Brogdon, Hill, Antetokounmpo",101141-1626192-1627763-201588-203507,MIL,417.0,4,7.0,-1.0,14.0,14.0,1.0,28.0,1.0,2.0,,,2.0,5.0,1.0,1.0,2.0,7.0,3.0,6.0,3.0,16.0,17.0,,,1.0,1.0,,3.0,,9.0,5.0,2.0,,3.0,3.0,2.0,,9.0,3.0,5.0,6.0,3.0,4.0,2.0,16.0,3.0,1.0,,,1.0,0.5,1.0,0.5,0.2857142857142857,,0.5,1.5,0.5333333333333333,1.5,0.46153846153846156,0.6,0.7142857142857143,0.5,96.69064748201438,15.0,14.785714285714286,14.642857142857142,13.714285714285714,0.15384615384615385,0.5,1.0,,0.38461538461538464,0.4,0.4,1.0,,,1.0,1.0,0.6153846153846154,0.4,0.4896692307692308,0.5106,0.13333333333333333,0.2222222222222222,0.1875,6.085714285714286,26.78333333333333,0.07142857142857142,1.0,,,1.0,,1.0,4.0,2.0,1.0,2.0,1.0,0.2857142857142857,0.5,1.0,0.3333333333333333,0.125,0.3333333333333333,1.0,,0.07692307692307693,,,4.0,,1.0,5.0,,1.0,,,,1.0,,,,,,,,,2.0,5.0,,,,,1.0,1.0,,1.0,,,,,0.2,,,,,1.0,,0.38461538461538464,0.2,0.25,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,True
101141-1626192-1628391-201588-202339,1610612749,"Ersan Ilyasova, Pat Connaughton, D.J. Wilson, George Hill, Eric Bledsoe","Ilyasova, Connaughton, Wilson, Hill, Bledsoe",101141-1626192-1628391-201588-202339,MIL,112.0,1,2.0,3.0,3.0,4.0,,7.0,,,,,,1.0,,,,1.0,1.0,2.0,,3.0,,,,,,,,,3.0,1.0,,,1.0,1.0,,,3.0,1.0,3.0,4.0,,,,3.0,,,,,1.0,0.5,,0.5,,,0.5,,0.5,,0.6666666666666666,1.0,1.0,,90.0,11.666666666666666,19.25,10.0,19.25,,,,,0.3333333333333333,,,,,,,,0.6666666666666666,,0.5341,,,,,13.2,26.5,,1.0,,,1.0,,,,,,2.0,1.0,,,1.0,,0.5,,1.0,,0.3333333333333333,,,4.0,,,1.0,,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,0.3333333333333333,,,,,,1.0,1.0,1.0,,0.51585,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,True
101141-1626192-1628391-201588-204025,1610612749,"Ersan Ilyasova, Pat Connaughton, D.J. Wilson, George Hill, Tim Frazier","Ilyasova, Connaughton, Wilson, Hill, Frazier",101141-1626192-1628391-201588-204025,MIL,142.0,1,2.0,3.0,5.0,4.0,5.0,9.0,,,,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,,5.0,2.0,1.0,2.0,1.0,3.0,,5.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,5.0,1.0,2.0,2.0,,,,5.0,5.0,5.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.6,1.0,1.0,1.0,91.26760563380282,12.0,20.5,12.0,20.5,,,,,0.4,0.5,0.5,1.0,,,0.4,0.5,0.6,0.5,0.45901,0.45901,,,1.0,17.05,25.599999999999998,1.0,,,2.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,0.4,0.2,,0.2,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,True
101141-1626192-1628391-202703-204025,1610612749,"Ersan Ilyasova, Pat Connaughton, D.J. Wilson, Nikola Mirotic, Tim Frazier","Ilyasova, Connaughton, Wilson, Mirotic, Frazier",101141-1626192-1628391-202703-204025,MIL,320.0,1,5.0,2.0,10.0,11.0,9.0,21.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,7.0,1.0,1.0,2.0,15.0,13.0,5.0,7.0,1.0,1.0,2.0,15.0,8.0,3.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,11.0,1.0,2.0,3.0,3.0,3.0,2.0,12.0,15.0,9.0,0.8,0.8,1.0,1.0,1.0,1.0,0.7142857142857143,0.7142857142857143,0.8125,0.8125,0.8333333333333334,0.8333333333333334,0.125,0.5,0.6666666666666666,0.5,94.5,13.6,16.727272727272727,13.5,15.454545454545455,0.25,1.0,1.0,0.5,0.125,1.0,1.0,1.0,0.25,1.0,0.125,1.0,0.375,1.0,0.49850625,0.49850625,0.2222222222222222,0.25,1.0,10.085714285714285,27.7,0.9,1.0,,2.0,,,,2.0,1.0,,1.0,1.0,0.14285714285714285,,1.0,,,,,0.25,,,,,,1.0,3.0,2.0,,,3.0,,,2.0,,,,,2.0,2.0,1.0,,1.0,,,1.0,,,,,,,,1.5,1.5,0.3333333333333333,,,,,,,0.375,0.3333333333333333,0.5,1.0,1.0,1.0,,,,,0.65205,0.2,2.0,2.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,True
101141-1626192-1628391-203503-204025,1610612749,"Ersan Ilyasova, Pat Connaughton, D.J. Wilson, Tony Snell, Tim Frazier","Ilyasova, Connaughton, Wilson, Snell, Frazier",101141-1626192-1628391-203503-204025,MIL,203.0,1,3.0,,7.0,7.0,3.0,14.0,1.0,1.0,1.0,1.0,,,,,3.0,4.0,,,,6.0,6.0,1.0,1.0,,,,2.0,2.0,,,,1.0,,1.0,,,2.0,2.0,4.0,4.0,1.0,,,6.0,2.0,3.0,0.3333333333333333,0.3333333333333333,,,,,0.75,1.0,0.75,1.0,0.75,1.0,,0.6666666666666666,0.8,0.6666666666666666,99.3103448275862,12.857142857142858,16.142857142857142,12.857142857142858,14.857142857142858,0.25,1.0,1.0,,,,,,1.0,1.0,,,0.25,,0.474025,0.6368,,,0.3333333333333333,13.1,,0.42857142857142855,,,3.0,,,,4.0,,,2.0,,,,1.0,,,,1.0,0.75,,,,4.0,,,,2.0,,,,,,1.0,,,2.0,1.0,1.0,3.0,2.0,,2.0,,,,,1.0,1.0,,1.0,,,,,,0.6666666666666666,,,,,,,,,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,True
101141-1626192-1628425-201572-201588,1610612749,"Ersan Ilyasova, Pat Connaughton, Sterling Brown, Brook Lopez, George Hill","Ilyasova, Connaughton, Brown, Lopez, Hill",101141-1626192-1628425-201572-201588,MIL,732.0,4,12.0,-18.0,26.0,27.0,19.0,53.0,2.0,4.0,2.0,4.0,1.0,8.0,1.0,7.0,4.0,11.0,1.0,12.0,5.0,16.0,34.0,3.0,7.0,1.0,11.0,3.0,12.0,,3.0,8.0,1.0,,1.0,1.0,1.0,,3.0,3.0,9.0,12.0,3.0,6.0,2.0,14.0,12.0,19.0,,,1.0,0.08333333333333333,0.09090909090909091,0.08333333333333333,0.36363636363636365,0.42857142857142855,0.2391304347826087,0.25,0.3076923076923077,0.3,0.5217391304347826,1.0,0.7272727272727273,1.0,104.26229508196722,15.576923076923077,12.11111111111111,15.0,12.037037037037036,0.17391304347826086,0.5,0.5,,0.34782608695652173,0.125,0.16666666666666666,1.0,0.2222222222222222,0.5,0.3888888888888889,0.14285714285714285,0.6956521739130435,0.125,0.5184760869565218,0.5476472222222222,0.08,0.15384615384615385,0.75,8.463636363636363,24.900000000000002,0.7307692307692307,3.0,1.0,3.0,4.0,4.0,1.0,8.0,,2.0,5.0,3.0,,,0.625,0.18181818181818182,0.16666666666666666,0.14285714285714285,0.75,0.13043478260869565,0.17391304347826086,0.3333333333333333,0.2222222222222222,21.0,1.0,1.0,4.0,1.0,,1.0,2.0,2.0,,,1.0,,1.0,,2.0,3.0,2.0,1.0,4.0,,,,1.0,2.0,2.0,,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.14285714285714285,,,,,0.17391304347826086,0.25,0.25,0.3333333333333333,0.3333333333333333,,,,,1.0,0.51435,0.125,1.0,1.0,2.0,2.0,0.3333333333333333,1.0,2.0,2.0,,0.6666666666666666,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,0.16666666666666666,0.25,1.0,0.5,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,True
