EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,OffFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,FTDefRebounds,Travels,Offensive Fouls,DefFTReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,LongMidRangeAssists,SelfOReb,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,OffAtRimReboundPct,SelfORebPct,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceFG3M,Fg2aBlocked,BlockedShortMidRange,DefensiveGoaltends,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,ShortMidRangeAssists,Offensive Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,ShortMidRangePctAssisted,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,3SecondViolations,Charge Fouls,Loose Ball Fouls,SecondChanceTurnovers,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,BlockedLongMidRange,OffLongMidRangeReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedCorner3,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,LongMidRangePctBlocked,OffensiveGoaltends,Corner3PctBlocked,HeaveAttempts,BlockedArc3,HeaveMakes,team_id,year,season,team_vs
1626161-1627741-1627746-1627786-1627812,1610612758,"Willie Cauley-Stein, Buddy Hield, Skal Labissiere, Troy Williams, Yogi Ferrell","Cauley-Stein, Hield, Labissiere, Williams, Ferrell",1626161-1627741-1627746-1627786-1627812,SAC,59.0,1,1.0,5.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,122.03389830508475,1.0,8.666666666666666,16.5,8.666666666666666,16.5,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.5083833333333333,3.1,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
1626161-1627741-1627746-1628368-1628382,1610612758,"Willie Cauley-Stein, Buddy Hield, Skal Labissiere, De'Aaron Fox, Justin Jackson","Cauley-Stein, Hield, Labissiere, Fox, Jackson",1626161-1627741-1627746-1628368-1628382,SAC,337.0,1,6.0,12.0,13.0,13.0,26.0,2.0,2.0,4.0,2.0,4.0,5.0,7.0,3.0,5.0,21.0,8.0,3.0,4.0,2.0,4.0,2.0,6.0,9.0,,,,,19.0,0.6,0.6,0.7142857142857143,0.7916666666666666,0.8076923076923077,0.4166666666666667,0.6666666666666666,1.0,0.8571428571428571,,1.0,111.0979228486647,,12.076923076923077,13.846153846153847,10.846153846153847,13.0,0.16666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5833333333333334,0.5,0.5010541666666667,7.528571428571429,25.619999999999997,12.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,9.0,1.0,1.0,2.0,2.0,5.0,7.0,3.0,5.0,2.0,21.0,2.0,6.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,21.0,12.0,1.0,0.2,0.2,0.6666666666666666,0.6,0.7142857142857143,0.7916666666666666,0.3333333333333333,0.8076923076923077,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.08333333333333333,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,0.5,0.5,0.16666666666666666,1.0,0.08333333333333333,1.0,0.3333333333333333,0.5,0.502625,0.5010541666666667,0.08333333333333333,0.14285714285714285,0.09523809523809523,1.0,0.9230769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
1626161-1627741-1627786-1627812-1628382,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, Yogi Ferrell, Justin Jackson","Cauley-Stein, Hield, Williams, Ferrell, Jackson",1626161-1627741-1627786-1627812-1628382,SAC,62.0,1,1.0,-2.0,2.0,3.0,5.0,1.0,1.0,1.0,,,1.0,2.0,,,2.0,,,,,1.0,,1.0,1.0,,,,,2.0,,,0.5,0.5,0.5,,,1.0,1.0,,1.0,116.1290322580645,,12.5,12.333333333333334,12.5,12.333333333333334,0.5,1.0,1.0,0.5,,,,0.5,,0.54825,6.6,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,2.0,,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
1626161-1627741-1627786-1627812-1628963,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, Yogi Ferrell, Marvin Bagley III","Cauley-Stein, Hield, Williams, Ferrell, Bagley III",1626161-1627741-1627786-1627812-1628963,SAC,69.0,1,1.0,1.0,3.0,3.0,6.0,1.0,1.0,,,1.0,1.0,1.0,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,,,,2.0,,,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,,0.5,0.5,,0.5,125.21739130434784,,6.666666666666667,16.333333333333332,6.666666666666667,14.666666666666666,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,1.0,,0.6894,1.5,23.95,3.0,3.0,,1.0,1.0,,,,,1.0,,1.0,,,1.0,,1.0,,,,,1.0,1.0,,2.0,,2.0,2.0,,1.0,,1.0,,,1.0,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,2.0,3.0,,1.0,1.0,,,1.0,0.3333333333333333,,0.3333333333333333,,,,,,,,,,,1.0,,,,,,0.3333333333333333,,,,,,0.3333333333333333,1.0,0.3333333333333333,,0.3333333333333333,,,0.6894,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
1626161-1627741-1627786-1627812-202357,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, Yogi Ferrell, Nemanja Bjelica","Cauley-Stein, Hield, Williams, Ferrell, Bjelica",1626161-1627741-1627786-1627812-202357,SAC,270.0,2,4.0,-1.0,11.0,11.0,22.0,,1.0,,,1.0,1.0,2.0,2.0,4.0,12.0,2.0,3.0,1.0,,1.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,12.0,0.5,0.5,0.5,0.6666666666666666,0.75,0.6666666666666666,0.75,1.0,0.8,0.75,1.0,117.33333333333333,1.0,10.181818181818182,14.363636363636363,10.181818181818182,14.272727272727273,0.16666666666666666,,,,0.16666666666666666,,,0.8333333333333334,,0.525475,11.2,23.65,,5.0,,,,,1.0,1.0,2.0,3.0,,,,,,4.0,13.0,,,,,,,,,,,,3.0,,1.0,1.0,,1.0,,3.0,,,,,1.0,1.0,,1.0,,,2.0,1.0,3.0,,2.0,4.0,2.0,,4.0,,,2.0,,,,,,,0.5,,,,,,0.3333333333333333,,,,,,,,,,,,,0.16666666666666666,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,0.25,0.5,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
1626161-1627741-1627786-1628368-1628382,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, De'Aaron Fox, Justin Jackson","Cauley-Stein, Hield, Williams, Fox, Jackson",1626161-1627741-1627786-1628368-1628382,SAC,690.0,3,12.0,2.0,26.0,29.0,55.0,10.0,14.0,2.0,4.0,8.0,12.0,18.0,4.0,9.0,38.0,8.0,3.0,8.0,4.0,3.0,5.0,8.0,12.0,1.0,1.0,1.0,,34.0,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.6785714285714286,0.3333333333333333,0.625,0.75,0.6666666666666666,,0.6666666666666666,114.78260869565217,,12.846153846153847,12.275862068965518,12.423076923076923,12.10344827586207,0.5185185185185185,0.7142857142857143,0.7142857142857143,0.07407407407407407,0.2962962962962963,0.5,0.5,0.8518518518518519,0.5,0.558138888888889,4.261111111111111,25.200000000000003,,16.0,4.0,,,1.0,1.0,2.0,,1.0,,,1.0,,,2.0,36.0,3.0,1.0,,4.0,,,,,,,16.0,9.0,8.0,3.0,11.0,3.0,,7.0,25.0,,4.0,,4.0,2.0,2.0,,1.0,,1.0,1.0,,2.0,,4.0,8.0,1.0,,3.0,,,,,,,,0.6666666666666666,0.8,0.75,,,,0.5,,0.5,,0.6666666666666666,,0.36363636363636365,1.0,,1.0,0.5,1.0,0.7,0.5,0.5,0.07407407407407407,0.5,0.5,0.037037037037037035,,,,0.75,0.25,,,,,,,0.568575,,0.03571428571428571,,0.10526315789473684,,,,1.0,,,2.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,0.6666666666666666,0.5,0.75,0.09090909090909091,1.0,0.75,0.6666666666666666,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
1626161-1627741-1627786-1628368-1628963,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, De'Aaron Fox, Marvin Bagley III","Cauley-Stein, Hield, Williams, Fox, Bagley III",1626161-1627741-1627786-1628368-1628963,SAC,382.0,1,6.0,5.0,12.0,12.0,24.0,3.0,5.0,2.0,2.0,5.0,4.0,8.0,2.0,5.0,15.0,4.0,,5.0,2.0,1.0,2.0,4.0,8.0,3.0,1.0,3.0,2.0,10.0,0.4,0.4,0.5,0.5384615384615384,0.5357142857142857,0.38461538461538464,0.3333333333333333,1.0,0.42857142857142855,,1.0,90.47120418848168,0.6666666666666666,18.083333333333332,13.75,16.25,13.166666666666666,0.38461538461538464,0.6,0.75,0.15384615384615385,0.38461538461538464,0.4,0.4,0.7692307692307693,0.4,0.4820846153846154,4.975,26.919999999999998,2.0,2.0,3.0,1.0,2.0,,1.0,1.0,,,,,2.0,1.0,1.0,1.0,10.0,2.0,2.0,,5.0,1.0,3.0,1.0,1.0,,5.0,4.0,6.0,2.0,2.0,4.0,2.0,,1.0,10.0,1.0,2.0,1.0,4.0,2.0,,2.0,,,,3.0,,3.0,,,3.0,5.0,,3.0,1.0,,2.0,,5.0,2.0,,0.5,0.5,1.0,1.0,0.3333333333333333,0.625,0.625,0.625,,0.5,0.6666666666666666,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,,,0.3333333333333333,,,0.07692307692307693,1.0,1.0,,,,,1.0,0.5,0.5,0.5,,,0.25,1.0,0.5095500000000001,0.4611875,0.14285714285714285,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.16666666666666666,1.0,2.0,,1.0,1.0,2.0,1.0,,1.0,,,2.0,0.5,0.625,0.5,,1.0,0.5,0.5,,1.0,1.0,2.0,2.0,1.0,0.5,0.25,0.2,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
1626161-1627741-1627786-1628368-202357,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, De'Aaron Fox, Nemanja Bjelica","Cauley-Stein, Hield, Williams, Fox, Bjelica",1626161-1627741-1627786-1628368-202357,SAC,844.0,5,14.0,-3.0,31.0,34.0,65.0,8.0,9.0,2.0,1.0,8.0,9.0,15.0,4.0,11.0,33.0,4.0,3.0,8.0,1.0,4.0,7.0,14.0,16.0,,,,,31.0,0.36363636363636365,0.36363636363636365,0.6,0.5769230769230769,0.5892857142857143,0.4230769230769231,1.0,0.8,0.9166666666666666,1.0,0.8,110.9004739336493,,15.258064516129032,10.911764705882353,14.774193548387096,10.911764705882353,0.34615384615384615,0.8888888888888888,0.8888888888888888,0.07692307692307693,0.3076923076923077,0.125,0.14285714285714285,0.7692307692307693,0.125,0.5480442307692308,6.653333333333333,26.036363636363635,17.0,16.0,2.0,1.0,1.0,1.0,,4.0,3.0,3.0,1.0,1.0,1.0,1.0,6.0,3.0,36.0,1.0,1.0,,2.0,2.0,6.0,2.0,7.0,3.0,13.0,14.0,9.0,7.0,3.0,10.0,1.0,2.0,6.0,23.0,1.0,1.0,,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,5.0,3.0,4.0,9.0,5.0,,4.0,,,,2.0,13.0,17.0,2.0,0.7777777777777778,0.7777777777777778,0.75,0.2857142857142857,0.3333333333333333,0.38461538461538464,0.5,0.43333333333333335,0.6,,0.16666666666666666,0.14285714285714285,0.15384615384615385,1.0,0.14285714285714285,1.0,1.0,,0.75,0.5,0.5,0.15384615384615385,,,0.11538461538461539,1.0,1.0,0.6666666666666666,1.0,0.5,0.07692307692307693,1.0,0.07692307692307693,1.0,0.46153846153846156,0.16666666666666666,0.3977,0.4502307692307692,,,0.06060606060606061,0.3939393939393939,0.5483870967741935,3.0,,,1.0,,,1.0,,,,,1.0,1.0,0.5,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,0.09090909090909091,0.125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
1626161-1627741-1627786-1628368-202697,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, De'Aaron Fox, Iman Shumpert","Cauley-Stein, Hield, Williams, Fox, Shumpert",1626161-1627741-1627786-1628368-202697,SAC,237.0,1,4.0,-4.0,8.0,9.0,17.0,2.0,3.0,3.0,,1.0,4.0,6.0,,1.0,8.0,4.0,,1.0,,1.0,1.0,2.0,4.0,,,,,6.0,,,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.5,1.0,0.6666666666666666,1.0,1.0,103.29113924050633,,17.375,10.88888888888889,14.5,10.88888888888889,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.14285714285714285,,,0.5714285714285714,,0.4570357142857143,4.816666666666666,26.1,,4.0,1.0,,,2.0,,,,,,,,,,,12.0,2.0,,,2.0,,,,,,,4.0,,2.0,,2.0,,,1.0,4.0,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,,2.0,1.0,3.0,,1.0,2.0,1.0,1.0,,,,,,,,,0.5,0.6666666666666666,,,,,0.5,,0.3333333333333333,,0.5,1.0,0.6666666666666666,,1.0,,,,0.5,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,0.5666,,,,0.25,,,,,,,1.0,2.0,1.0,2.0,,,,,0.5,0.5,1.0,,,1.0,0.5,,,,,,,,,,,,,,1.0,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
1626161-1627741-1627786-1628368-203992,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, De'Aaron Fox, Bogdan Bogdanovic","Cauley-Stein, Hield, Williams, Fox, Bogdanovic",1626161-1627741-1627786-1628368-203992,SAC,83.0,1,1.0,3.0,3.0,3.0,6.0,1.0,1.0,,,1.0,2.0,2.0,,1.0,5.0,4.0,,1.0,,,1.0,1.0,1.0,,,,,5.0,,,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,,1.0,,,104.09638554216868,,18.333333333333332,9.333333333333334,18.333333333333332,9.333333333333334,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,0.6666666666666666,,0.5403833333333333,11.35,25.4,,3.0,,,,,1.0,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
