Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Date,GameId,Opponent,SecondChanceCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PtsPutbacks,Fg3aBlocked,ShortMidRangeAssists,LostBallSteals,LostBallOutOfBoundsTurnovers,Travels,BlockingFouls,Charge Fouls,Technical Free Throw Trips,DefensiveGoaltends,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,Blocked3s,BlockedArc3,3SecondViolations,SecondChanceAtRimPctAssisted,FTOffRebounds,BlockedLongMidRange,OffFTReboundPct,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedCorner3,3pt And 1 Free Throw Trips,OffensiveGoaltends,HeaveMakes,Corner3PctBlocked,Clear Path Fouls,Season,year,SeasonType
48:00,98.0,97.0,26.0,20.0,16.0,195.0,20.0,41.0,6.0,9.0,3.0,6.0,1.0,7.0,1.0,4.0,3.0,10.0,,1.0,5.0,25.0,3.0,9.0,22.0,52.0,8.0,35.0,17.0,85.0,6.0,12.0,5.0,12.0,3.0,6.0,2.0,10.0,9.0,21.0,20.0,24.0,21.0,3.0,,25.0,5.0,10.0,10.0,7.0,17.0,4.0,3.0,8.0,1.0,41.0,5.0,13.0,10.0,18.0,2.0,30.0,19.0,49.0,,13.0,9.0,9.0,3.0,9.0,8.0,,1.0,17.0,2.0,3.0,7.0,19.0,2.0,1.0,26.0,2.0,2.0,1.0,1.0,26.0,2.0,11.0,3.0,8.0,6.0,2.0,8.0,6.0,,73.0,21.0,26.0,2.0,3.0,0.45454545454545453,0.5882352941176471,0.875,0.22857142857142856,0.2,0.22857142857142856,0.4230769230769231,0.5,0.5,0.39080459770114945,0.35294117647058826,0.375,0.4292929292929293,0.35294117647058826,0.45652173913043476,0.40229885057471265,0.19230769230769232,0.21951219512195122,,0.5294117647058824,0.6666666666666666,0.72,0.43333333333333335,0.7142857142857143,0.18518518518518517,0.717948717948718,0.3157894736842105,0.42857142857142855,0.6666666666666666,,0.15,0.2857142857142857,0.8181818181818182,1.0,0.4444444444444444,0.6363636363636364,1.0,,97.5,0.75,14.275510204081632,15.268041237113403,12.785714285714286,14.288659793814434,0.47126436781609193,0.4878048780487805,0.625,0.4,0.08045977011494253,0.14285714285714285,0.14285714285714285,0.04597701149425287,0.25,0.3333333333333333,1.0,0.11494252873563218,0.3,0.3,1.0,0.28735632183908044,0.2,0.2,0.8,0.5294117647058824,0.6666666666666666,0.17647058823529413,0.375,0.5,0.0625,,0.5625,0.8735632183908046,0.2,0.5407120689655173,0.5948461538461538,0.502578125,0.11458333333333333,0.18032786885245902,0.1411764705882353,0.24705882352941178,4.076923076923077,24.95142857142857,0.2653061224489796,2015-10-28,0021500010,HOU,2.0,,2.0,,,10.0,,1.0,4.0,,1.0,3.0,1.0,,,,,,1.0,0.11764705882352941,,,0.2222222222222222,,,,,1.0,,0.2,0.25,,,,,,,,,,,,2015-16,2016,Regular Season
48:00,97.0,96.0,47.0,34.0,7.0,193.0,12.0,21.0,1.0,1.0,5.0,10.0,8.0,15.0,8.0,24.0,2.0,6.0,,2.0,,5.0,,2.0,28.0,60.0,2.0,11.0,33.0,95.0,1.0,5.0,1.0,4.0,15.0,31.0,,4.0,17.0,47.0,32.0,24.0,6.0,,,5.0,,4.0,16.0,2.0,18.0,,2.0,6.0,5.0,38.0,1.0,7.0,17.0,25.0,1.0,43.0,8.0,51.0,1.0,7.0,4.0,7.0,2.0,3.0,11.0,4.0,,18.0,1.0,9.0,7.0,24.0,3.0,1.0,27.0,1.0,,,3.0,41.0,5.0,16.0,3.0,6.0,3.0,2.0,6.0,5.0,,91.0,47.0,47.0,4.0,3.0,0.5714285714285714,0.5925925925925926,1.0,0.18181818181818182,,0.18181818181818182,0.4666666666666667,0.2,0.4838709677419355,0.43661971830985913,0.16666666666666666,0.42857142857142855,0.5402298850574713,0.2857142857142857,0.5476190476190477,0.15492957746478872,0.06666666666666667,0.14285714285714285,0.06666666666666667,0.3888888888888889,1.0,0.5555555555555556,0.21875,0.8947368421052632,0.1111111111111111,0.65625,0.1951219512195122,0.4444444444444444,0.14285714285714285,0.125,,0.25,0.47368421052631576,0.6153846153846154,0.6153846153846154,0.875,1.0,0.02702702702702703,96.5,0.8333333333333334,15.092783505154639,14.75,14.670103092783505,13.854166666666666,0.29577464788732394,0.5714285714285714,0.6666666666666666,0.5,0.2112676056338028,0.5333333333333333,0.5714285714285714,0.3380281690140845,0.3333333333333333,0.3333333333333333,0.625,0.08450704225352113,0.3333333333333333,0.3333333333333333,1.0,0.07042253521126761,,,,0.16666666666666666,1.0,,0.2857142857142857,0.5,0.05714285714285714,,0.05714285714285714,0.4507042253521127,,0.46565774647887326,0.47446,0.4602085714285714,0.21428571428571427,0.22535211267605634,0.042105263157894736,0.49473684210526314,10.145000000000001,24.572727272727274,0.4845360824742268,2015-10-30,0021500029,MIN,1.0,,,,2.0,2.0,,5.0,3.0,,2.0,,3.0,2.0,,,,,0.625,0.16666666666666666,,,,,,1.0,,,1.0,,,,,,2.0,0.15384615384615385,,,,,,,2015-16,2016,Regular Season
48:00,94.0,94.0,22.0,29.0,14.0,188.0,19.0,31.0,3.0,9.0,2.0,2.0,7.0,12.0,6.0,18.0,2.0,7.0,,,11.0,18.0,,6.0,32.0,61.0,13.0,25.0,14.0,117.0,6.0,14.0,,14.0,4.0,8.0,4.0,6.0,3.0,23.0,44.0,20.0,30.0,9.0,,18.0,11.0,3.0,22.0,10.0,32.0,8.0,2.0,14.0,4.0,74.0,4.0,14.0,11.0,26.0,2.0,39.0,18.0,57.0,1.0,9.0,3.0,8.0,3.0,6.0,11.0,2.0,,19.0,2.0,7.0,12.0,23.0,1.0,5.0,17.0,,4.0,2.0,,18.0,2.0,7.0,3.0,10.0,6.0,3.0,10.0,5.0,,103.0,23.0,22.0,,3.0,0.6875,0.7333333333333333,0.7692307692307693,0.52,0.6666666666666666,0.52,0.5245901639344263,0.42857142857142855,0.5,0.5988372093023255,0.42857142857142855,0.7142857142857143,0.6170212765957447,0.4375,0.6764705882352942,0.29069767441860467,0.04918032786885246,0.06451612903225806,0.08333333333333333,0.42105263157894735,1.0,0.65,0.4827586206896552,0.6875,0.3333333333333333,0.6607142857142857,0.43902439024390244,0.5833333333333334,0.2,0.5,0.14285714285714285,0.6,0.4166666666666667,0.5833333333333334,0.875,0.7142857142857143,0.5,0.02631578947368421,94.0,0.5,14.180851063829786,16.45744680851064,13.23404255319149,15.319148936170214,0.36046511627906974,0.6129032258064516,0.6551724137931034,0.7368421052631579,0.13953488372093023,0.5833333333333334,0.6363636363636364,0.20930232558139536,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.08139534883720931,0.2857142857142857,0.2857142857142857,1.0,0.20930232558139536,0.6111111111111112,0.6111111111111112,0.7272727272727273,0.6428571428571429,0.3333333333333333,,0.14285714285714285,1.0,,,0.42857142857142855,0.6511627906976745,0.6111111111111112,0.534864534883721,0.5457818181818181,0.4667607142857143,0.07692307692307693,0.10606060606060606,0.11965811965811966,0.19658119658119658,7.768852459016393,24.264,0.23404255319148937,2015-11-01,0021500044,OKC,,,4.0,,2.0,4.0,,4.0,6.0,1.0,,,,1.0,1.0,,,,0.5714285714285714,,,,0.6666666666666666,,,1.0,,,1.0,,,,,,,,,,1.0,,,,2015-16,2016,Regular Season
48:00,98.0,100.0,29.0,37.0,11.0,198.0,21.0,35.0,3.0,6.0,4.0,8.0,2.0,8.0,7.0,17.0,2.0,6.0,,2.0,4.0,20.0,,6.0,30.0,60.0,6.0,26.0,31.0,109.0,3.0,10.0,,9.0,8.0,14.0,,8.0,12.0,28.0,24.0,36.0,18.0,,1.0,19.0,4.0,6.0,12.0,6.0,18.0,4.0,2.0,10.0,2.0,42.0,5.0,8.0,10.0,19.0,1.0,30.0,13.0,43.0,1.0,9.0,7.0,5.0,1.0,3.0,6.0,2.0,1.0,11.0,2.0,3.0,16.0,28.0,,3.0,23.0,,3.0,,,38.0,3.0,11.0,2.0,3.0,3.0,,4.0,2.0,,100.0,28.0,29.0,2.0,2.0,0.4,0.41379310344827586,1.0,0.23076923076923078,,0.24,0.5,0.3,0.5714285714285714,0.45348837209302323,0.3,0.36363636363636365,0.5396039603960396,0.4090909090909091,0.5,0.3023255813953488,0.1,0.14285714285714285,0.125,0.45454545454545453,0.5,0.6551724137931034,0.26666666666666666,0.7692307692307693,0.2631578947368421,0.6904761904761905,0.2653061224489796,0.2857142857142857,0.3333333333333333,0.2,0.26666666666666666,0.25,0.46153846153846156,0.875,0.75,0.7,1.0,0.023255813953488372,99.0,0.5,13.846938775510203,15.23,13.285714285714286,14.55,0.4069767441860465,0.6,0.7,0.47619047619047616,0.09302325581395349,0.25,0.2857142857142857,0.19767441860465115,0.4117647058823529,0.4117647058823529,0.2857142857142857,0.06976744186046512,0.3333333333333333,0.3333333333333333,1.0,0.23255813953488372,0.2,0.21052631578947367,1.0,0.6,0.5,,0.36363636363636365,0.5,0.09090909090909091,,0.2727272727272727,0.7093023255813954,0.21052631578947367,0.5507735294117647,0.5824444444444444,0.54775,0.16161616161616163,0.16176470588235295,0.08256880733944955,0.25688073394495414,7.1483333333333325,25.857692307692307,0.29591836734693877,2015-11-03,0021500059,LAL,,,,,3.0,2.0,1.0,,2.0,,,,,,1.0,,0.038461538461538464,0.05,,,,,,1.0,1.0,,,,,,,,,,5.0,0.16129032258064516,,,,,,,2015-16,2016,Regular Season
48:00,89.0,91.0,15.0,37.0,12.0,180.0,19.0,31.0,7.0,10.0,3.0,8.0,1.0,12.0,6.0,18.0,3.0,9.0,1.0,3.0,8.0,15.0,1.0,2.0,26.0,61.0,11.0,24.0,11.0,96.0,7.0,10.0,2.0,18.0,4.0,12.0,2.0,5.0,,14.0,28.0,24.0,27.0,6.0,,15.0,8.0,6.0,14.0,9.0,23.0,6.0,3.0,10.0,4.0,55.0,4.0,10.0,11.0,21.0,4.0,36.0,14.0,50.0,2.0,6.0,5.0,4.0,1.0,3.0,7.0,1.0,,11.0,1.0,1.0,13.0,26.0,2.0,,14.0,,4.0,,,17.0,,6.0,2.0,6.0,4.0,2.0,6.0,6.0,,78.0,14.0,15.0,4.0,1.0,0.5384615384615384,0.6363636363636364,0.8181818181818182,0.4583333333333333,0.4,0.4583333333333333,0.4262295081967213,0.7,0.3333333333333333,0.5,0.7083333333333334,0.4117647058823529,0.510752688172043,0.6923076923076923,0.3888888888888889,0.2823529411764706,0.09836065573770492,0.16129032258064516,0.08333333333333333,0.36363636363636365,0.6666666666666666,0.7241379310344828,0.2857142857142857,0.7857142857142857,0.3076923076923077,0.7441860465116279,0.2916666666666667,0.5833333333333334,0.09090909090909091,0.16666666666666666,0.14285714285714285,0.5,0.8333333333333334,0.8333333333333334,0.5454545454545454,0.7272727272727273,1.0,0.047619047619047616,90.0,1.0,17.146067415730336,14.87912087912088,16.269662921348313,14.285714285714286,0.36470588235294116,0.6129032258064516,0.7307692307692307,0.5263157894736842,0.1411764705882353,0.08333333333333333,0.09090909090909091,0.21176470588235294,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.10588235294117647,0.3333333333333333,0.3333333333333333,1.0,0.17647058823529413,0.5333333333333333,0.5333333333333333,0.75,0.8333333333333334,0.7,0.08333333333333333,0.47058823529411764,0.375,0.17647058823529413,0.3333333333333333,0.11764705882352941,0.6470588235294118,0.5333333333333333,0.5128935294117647,0.5327666666666667,0.5059970588235294,0.06593406593406594,0.08955223880597014,0.1875,0.14583333333333334,8.227868852459016,24.695833333333336,0.16853932584269662,2015-11-05,0021500073,UTA,1.0,1.0,1.0,1.0,1.0,8.0,,,1.0,1.0,2.0,2.0,2.0,1.0,,0.5,,,,0.08333333333333333,1.0,1.0,0.5,,,,0.42857142857142855,,,,,,,,,,,,,,,,2015-16,2016,Regular Season
48:00,106.0,106.0,16.0,25.0,12.0,212.0,20.0,28.0,4.0,6.0,2.0,2.0,4.0,15.0,5.0,13.0,7.0,15.0,1.0,2.0,10.0,22.0,1.0,3.0,29.0,56.0,17.0,37.0,10.0,119.0,6.0,9.0,4.0,23.0,2.0,4.0,2.0,5.0,4.0,14.0,46.0,12.0,51.0,,1.0,21.0,10.0,5.0,23.0,17.0,40.0,10.0,7.0,16.0,4.0,97.0,5.0,10.0,11.0,27.0,3.0,41.0,15.0,56.0,4.0,10.0,5.0,13.0,3.0,9.0,7.0,4.0,,20.0,1.0,6.0,9.0,22.0,1.0,4.0,20.0,,1.0,4.0,,18.0,2.0,8.0,2.0,5.0,3.0,2.0,6.0,6.0,,96.0,14.0,16.0,2.0,2.0,0.7931034482758621,0.8518518518518519,1.0,0.4594594594594595,0.4,0.4722222222222222,0.5178571428571429,0.6666666666666666,0.5,0.5860215053763441,0.8076923076923077,0.5555555555555556,0.5891089108910891,0.8214285714285714,0.6363636363636364,0.3978494623655914,0.08928571428571429,0.10714285714285714,0.06666666666666667,0.65,1.0,0.7297297297297297,0.37037037037037035,0.7333333333333333,0.2631578947368421,0.7307692307692307,0.32608695652173914,0.5,0.36363636363636365,0.25,0.36363636363636365,0.125,0.6923076923076923,0.75,0.75,0.6923076923076923,1.0,0.0975609756097561,106.0,1.0,13.40566037735849,13.764150943396226,12.81132075471698,13.29245283018868,0.3010752688172043,0.7142857142857143,0.8,0.8,0.16129032258064516,0.26666666666666666,0.2857142857142857,0.13978494623655913,0.38461538461538464,0.4166666666666667,0.8,0.16129032258064516,0.4666666666666667,0.4666666666666667,1.0,0.23655913978494625,0.45454545454545453,0.45454545454545453,1.0,0.46153846153846156,0.6666666666666666,0.07692307692307693,0.2222222222222222,1.0,0.2222222222222222,0.5,0.3333333333333333,0.6989247311827957,0.47619047619047616,0.559220652173913,0.5631333333333334,0.49298125,0.08080808080808081,0.12903225806451613,0.19327731092436976,0.11764705882352941,7.010714285714286,25.467567567567567,0.1509433962264151,2015-11-06,0021500083,GSW,3.0,1.0,1.0,3.0,2.0,4.0,,3.0,5.0,,,1.0,,,1.0,0.75,,,0.75,0.23076923076923078,1.0,1.0,0.3333333333333333,1.0,1.0,,0.5,,,,0.07692307692307693,2.0,0.6666666666666666,1.0,,,,,,,,,2015-16,2016,Regular Season
48:00,97.0,96.0,21.0,37.0,11.0,193.0,14.0,27.0,1.0,2.0,2.0,5.0,7.0,17.0,5.0,18.0,2.0,10.0,1.0,1.0,8.0,19.0,3.0,7.0,26.0,62.0,10.0,29.0,22.0,104.0,2.0,8.0,5.0,15.0,5.0,17.0,4.0,8.0,4.0,26.0,24.0,28.0,24.0,6.0,,19.0,8.0,7.0,12.0,8.0,20.0,6.0,2.0,7.0,2.0,48.0,4.0,10.0,8.0,18.0,6.0,32.0,14.0,46.0,2.0,6.0,2.0,5.0,2.0,2.0,5.0,3.0,,10.0,,2.0,16.0,22.0,2.0,1.0,20.0,,2.0,1.0,1.0,27.0,3.0,12.0,1.0,3.0,2.0,1.0,3.0,2.0,,89.0,26.0,21.0,,1.0,0.46153846153846156,0.46153846153846156,0.8,0.3448275862068966,0.5,0.3448275862068966,0.41935483870967744,0.25,0.29411764705882354,0.45054945054945056,0.5,0.44,0.5098039215686274,0.5357142857142857,0.48148148148148145,0.31868131868131866,0.11290322580645161,0.25925925925925924,,0.5,1.0,0.72,0.2857142857142857,0.7272727272727273,0.2222222222222222,0.7222222222222222,0.2641509433962264,0.3333333333333333,0.2,0.3076923076923077,0.3,0.125,0.6,0.8,0.8,0.7,1.0,0.043478260869565216,96.5,0.6666666666666666,15.206185567010309,14.635416666666666,14.216494845360824,14.15625,0.2967032967032967,0.5185185185185185,0.7,0.5,0.18681318681318682,0.4117647058823529,0.4117647058823529,0.1978021978021978,0.2777777777777778,0.2777777777777778,0.4,0.10989010989010989,0.2,0.2,1.0,0.2087912087912088,0.42105263157894735,0.42105263157894735,0.75,0.15384615384615385,0.5,0.23076923076923078,0.2,0.4,0.04,1.0,0.28,0.6153846153846154,0.42105263157894735,0.48364395604395605,0.5002363636363637,0.459476,0.13861386138613863,0.16901408450704225,0.14423076923076922,0.25,8.448387096774193,25.16896551724138,0.21649484536082475,2015-11-09,0021500102,POR,2.0,2.0,3.0,3.0,2.0,,,3.0,4.0,,1.0,2.0,,,,0.6,,,0.42857142857142855,0.15384615384615385,0.6666666666666666,1.0,0.42857142857142855,,,,,,,,,1.0,0.5,1.0,2.0,0.06666666666666667,,1.0,,,,,2015-16,2016,Regular Season
48:00,88.0,86.0,16.0,25.0,9.0,174.0,20.0,28.0,2.0,4.0,3.0,5.0,6.0,14.0,6.0,15.0,1.0,3.0,,1.0,9.0,19.0,2.0,5.0,32.0,57.0,10.0,22.0,8.0,102.0,3.0,8.0,3.0,12.0,5.0,10.0,2.0,6.0,2.0,18.0,38.0,26.0,21.0,9.0,,19.0,9.0,6.0,19.0,7.0,26.0,6.0,1.0,13.0,3.0,59.0,3.0,9.0,12.0,10.0,4.0,26.0,12.0,38.0,1.0,8.0,5.0,10.0,2.0,5.0,7.0,5.0,1.0,17.0,,3.0,9.0,23.0,3.0,1.0,12.0,,,1.0,2.0,9.0,2.0,3.0,1.0,3.0,2.0,1.0,4.0,2.0,,90.0,18.0,16.0,4.0,1.0,0.59375,0.6333333333333333,0.7,0.45454545454545453,0.3333333333333333,0.45454545454545453,0.5614035087719298,0.375,0.5,0.5949367088607594,0.5454545454545454,0.5,0.6219512195121951,0.5454545454545454,0.5294117647058824,0.27848101265822783,0.10526315789473684,0.17857142857142858,0.07142857142857142,0.5882352941176471,1.0,0.4166666666666667,0.375,0.8,0.25,0.5641025641025641,0.3333333333333333,0.75,0.25,0.125,0.2,0.5,0.25,1.0,0.6666666666666666,0.9090909090909091,0.5,0.03333333333333333,87.0,0.5,17.102272727272727,15.988372093023257,16.056818181818183,15.13953488372093,0.35443037974683544,0.7142857142857143,0.8695652173913043,0.65,0.17721518987341772,0.42857142857142855,0.46153846153846156,0.189873417721519,0.4,0.4,0.5,0.0379746835443038,0.3333333333333333,0.3333333333333333,1.0,0.24050632911392406,0.47368421052631576,0.47368421052631576,0.6666666666666666,0.36363636363636365,0.5,0.18181818181818182,0.3125,0.6,0.0625,,0.3125,0.6329113924050633,0.47368421052631576,0.48718417721518986,0.47735,0.492659375,0.04938271604938271,0.05172413793103448,0.11764705882352941,0.17647058823529413,7.699999999999999,25.04090909090909,0.18181818181818182,2015-11-11,0021500121,MIL,1.0,1.0,2.0,2.0,,4.0,,3.0,3.0,,2.0,1.0,,,,0.6666666666666666,,,0.5,0.09090909090909091,0.5,1.0,0.4,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,0.043478260869565216,,,,,,,2015-16,2016,Regular Season
48:00,100.0,100.0,36.0,24.0,9.0,200.0,16.0,28.0,4.0,5.0,2.0,6.0,5.0,12.0,3.0,8.0,6.0,10.0,2.0,2.0,3.0,19.0,1.0,7.0,24.0,48.0,9.0,29.0,23.0,98.0,4.0,5.0,2.0,11.0,7.0,18.0,2.0,9.0,7.0,27.0,22.0,26.0,24.0,3.0,,19.0,3.0,3.0,11.0,8.0,19.0,3.0,5.0,7.0,2.0,46.0,4.0,5.0,8.0,22.0,3.0,33.0,9.0,42.0,,10.0,9.0,10.0,1.0,8.0,10.0,2.0,,20.0,2.0,6.0,13.0,25.0,1.0,4.0,23.0,,3.0,1.0,,31.0,4.0,15.0,1.0,8.0,6.0,,8.0,5.0,,87.0,27.0,36.0,2.0,1.0,0.4583333333333333,0.5238095238095238,0.8888888888888888,0.3103448275862069,0.2222222222222222,0.3103448275862069,0.5,0.8,0.3888888888888889,0.487012987012987,0.7857142857142857,0.37037037037037035,0.5444444444444444,0.7857142857142857,0.421875,0.37662337662337664,0.0625,0.07142857142857142,0.08333333333333333,0.5,0.6,0.6666666666666666,0.20833333333333334,0.8,0.2222222222222222,0.6976744186046512,0.21428571428571427,0.16666666666666666,0.42857142857142855,,0.07142857142857142,0.75,0.5,0.7777777777777778,1.0,0.8571428571428571,0.6666666666666666,,100.0,0.625,13.94,14.86,13.54,14.07,0.36363636363636365,0.5714285714285714,0.6153846153846154,0.4375,0.15584415584415584,0.4166666666666667,0.45454545454545453,0.1038961038961039,0.375,0.375,0.6666666666666666,0.12987012987012986,0.6,0.6,0.8333333333333334,0.24675324675324675,0.15789473684210525,0.16666666666666666,1.0,0.7142857142857143,0.8,0.14285714285714285,0.2222222222222222,0.3333333333333333,0.07407407407407407,1.0,0.25925925925925924,0.7402597402597403,0.15789473684210525,0.5256344155844156,0.64594,0.47657222222222223,0.1797752808988764,0.2542372881355932,0.11224489795918367,0.2755102040816326,6.177083333333333,24.941379310344825,0.36,2015-11-13,0021500136,HOU,1.0,,,1.0,,6.0,1.0,2.0,1.0,1.0,1.0,,2.0,,1.0,0.5,0.034482758620689655,0.05263157894736842,0.4,0.14285714285714285,,,,,,1.0,,,2.0,,,1.0,1.0,,1.0,0.03333333333333333,,,,,,,2015-16,2016,Regular Season
48:00,100.0,99.0,38.0,14.0,14.0,199.0,16.0,38.0,6.0,10.0,5.0,14.0,6.0,11.0,4.0,11.0,1.0,4.0,1.0,3.0,10.0,20.0,,12.0,26.0,60.0,11.0,24.0,20.0,105.0,7.0,12.0,,18.0,11.0,23.0,7.0,15.0,5.0,48.0,18.0,34.0,30.0,3.0,,20.0,10.0,6.0,9.0,10.0,19.0,9.0,1.0,8.0,,48.0,4.0,11.0,23.0,25.0,,48.0,15.0,63.0,5.0,4.0,3.0,8.0,3.0,6.0,12.0,2.0,2.0,20.0,1.0,4.0,4.0,13.0,1.0,,20.0,,1.0,,3.0,26.0,4.0,14.0,1.0,1.0,1.0,,1.0,,1.0,87.0,48.0,38.0,,1.0,0.34615384615384615,0.4090909090909091,0.9090909090909091,0.4583333333333333,0.4666666666666667,0.4583333333333333,0.43333333333333335,0.5833333333333334,0.4782608695652174,0.5059523809523809,0.5833333333333334,0.5657894736842105,0.5526315789473685,0.6428571428571429,0.5853658536585366,0.2857142857142857,0.1,0.15789473684210525,,0.4,,0.7352941176470589,0.3235294117647059,0.8518518518518519,0.3333333333333333,0.7868852459016393,0.32608695652173914,0.36363636363636365,0.4,0.14285714285714285,0.4444444444444444,,0.6666666666666666,1.0,0.6875,0.8421052631578947,0.875,0.125,99.5,,13.16,15.797979797979798,12.51,14.808080808080808,0.4523809523809524,0.42105263157894735,0.5,0.5,0.13095238095238096,0.5454545454545454,0.5454545454545454,0.13095238095238096,0.36363636363636365,0.36363636363636365,,0.047619047619047616,0.25,0.25,1.0,0.23809523809523808,0.5,0.5,0.9,0.8333333333333334,0.6,,0.3684210526315789,0.35714285714285715,0.07894736842105263,0.3333333333333333,0.3157894736842105,0.7380952380952381,0.5,0.5409897590361445,0.6451666666666667,0.5335094594594595,0.14893617021276595,0.2,0.17142857142857143,0.45714285714285713,5.895,25.016666666666666,0.38,2015-11-14,0021500143,PHX,,,6.0,,4.0,8.0,,1.0,1.0,1.0,3.0,2.0,,,,,,,0.16666666666666666,,,,0.5,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,2015-16,2016,Regular Season
