EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,Corner3FGA,FG3A,FtPoints,Points,SecondChanceFtPoints,SecondChancePoints,OffThreePtRebounds,OffRebounds,Rebounds,SelfOReb,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,TsPct,SecondChanceTsPct,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,SelfORebPct,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,FG2M,FG2A,FG3M,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,FTDefRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,NonShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,LiveBallTurnoverPct,DefFTReboundPct,PenaltyOffPossPct,PenaltyAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2A,Fg2aBlocked,Steals,LostBallSteals,Loose Ball Fouls Drawn,SecondChanceFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyShotQualityAvg,PenaltyAtRimFGM,Arc3FGM,Arc3FGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG3A,PenaltyPoints,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Arc3Assists,2pt And 1 Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffArc3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyPointsPct,PenaltyCorner3FGA,PenaltyFtPoints,BadPassTurnovers,DeadBallTurnovers,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3Frequency,BadPassSteals,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,AtRimPctBlocked,SecondChanceArc3FGA,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Offensive Fouls Drawn,Blocked3s,BlockedArc3,BlockedAtRim,DefCorner3ReboundPct,SecondChanceArc3Frequency,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,HeaveAttempts,Technical Free Throw Trips,Defensive 3 Seconds Violations,PenaltyCorner3FGM,SecondChanceArc3FGM,BlockedLongMidRange,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,FTOffRebounds,OffFTReboundPct,team_id,year,season,team_vs
1717-1890-1891-200826-2059,1610612742,"Dirk Nowitzki, Shawn Marion, Jason Terry, J.J. Barea, Eduardo Najera","Nowitzki, Marion, Terry, Barea, Najera",1717-1890-1891-200826-2059,DAL,35.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5694,0.5,1.0,1.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2010,2009-10,False
1717-1890-1891-200826-2217,1610612742,"Dirk Nowitzki, Shawn Marion, Jason Terry, J.J. Barea, Brendan Haywood","Nowitzki, Marion, Terry, Barea, Haywood",1717-1890-1891-200826-2217,DAL,457.0,2,8.0,,2.0,2.0,4.0,21.0,2.0,4.0,,2.0,5.0,1.0,2.0,4.0,2.0,0.7,1.0,0.15384615384615385,,0.4,,0.2,0.15384615384615385,0.46153846153846156,0.49340384615384614,0.13333333333333333,0.15384615384615385,0.19047619047619047,23.0,13.0,12.0,2.0,25.0,3.0,4.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,7.0,11.0,1.0,21.0,1.0,1.0,12.0,2.0,3.0,6.0,1.0,7.0,1.0,2.0,3.0,1.0,15.0,2.0,1.0,2.0,3.0,1.0,1.0,17.0,0.8571428571428571,0.8571428571428571,1.0,0.5,0.5,0.6363636363636364,1.0,0.6538461538461539,1.0,0.5,0.5,1.0,0.6,1.0,0.5,1.0,0.5,1.0,78.7746170678337,18.76923076923077,17.75,18.53846153846154,15.916666666666666,0.3076923076923077,0.75,0.75,0.6666666666666666,0.3076923076923077,0.75,0.75,1.0,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6937,7.081818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2010,2009-10,False
1717-1890-1891-200826-2406,1610612742,"Dirk Nowitzki, Shawn Marion, Jason Terry, J.J. Barea, Caron Butler","Nowitzki, Marion, Terry, Barea, Butler",1717-1890-1891-200826-2406,DAL,43.0,1,1.0,-1.0,,,2.0,2.0,,,,,1.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,2.0,2.0,,4.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,133.95348837209303,20.0,1.5,20.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2010,2009-10,False
1717-1890-1891-200826-467,1610612742,"Dirk Nowitzki, Shawn Marion, Jason Terry, J.J. Barea, Jason Kidd","Nowitzki, Marion, Terry, Barea, Kidd",1717-1890-1891-200826-467,DAL,132.0,1,2.0,,1.0,1.0,2.0,5.0,,3.0,,1.0,3.0,,2.0,2.0,,0.5,1.5,0.25,,0.3333333333333333,,,0.25,0.5,0.47675,,,0.6,22.6,3.0,5.0,1.0,8.0,,1.0,,,,1.0,,1.0,1.0,,3.0,1.0,5.0,,,,,3.0,,1.0,1.0,1.0,,,,3.0,1.0,,1.0,2.0,,1.0,2.0,,,1.0,1.0,1.0,,,0.375,1.5,0.5,0.3333333333333333,,0.3333333333333333,,,,0.5,,87.27272727272727,27.0,10.2,23.666666666666668,7.6,0.25,,,,0.25,,,,0.25,,,,1.0,1.0,1.0,,,,0.558,8.833333333333334,2.0,3.0,1.0,,,,,1.0,2.0,1.0,,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,0.48305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2010,2009-10,False
1717-1890-1891-2217-467,1610612742,"Dirk Nowitzki, Shawn Marion, Jason Terry, Brendan Haywood, Jason Kidd","Nowitzki, Marion, Terry, Haywood, Kidd",1717-1890-1891-2217-467,DAL,727.0,3,12.0,17.0,1.0,4.0,6.0,33.0,,4.0,1.0,3.0,12.0,,5.0,7.0,4.0,0.717391304347826,0.6666666666666666,0.2,0.3333333333333333,0.42857142857142855,,,0.05,0.5,0.493415,0.17391304347826086,0.21052631578947367,0.12121212121212122,24.625,20.0,19.0,2.0,39.0,5.0,6.0,2.0,2.0,3.0,4.0,4.0,6.0,,12.0,16.0,1.0,16.0,2.0,3.0,12.0,12.0,3.0,6.0,1.0,7.0,,3.0,2.0,1.0,15.0,2.0,2.0,6.0,9.0,2.0,3.0,29.0,0.5,0.6,1.0,0.25,0.25,0.75,0.6666666666666666,0.675,0.6666666666666666,0.75,0.5,1.0,0.8,1.0,,0.8,1.0,1.0,77.24896836313617,16.75,20.63157894736842,16.05,19.526315789473685,0.3,0.8333333333333334,0.8333333333333334,0.6,0.2,0.75,0.75,0.6666666666666666,0.3,0.6666666666666666,0.6666666666666666,0.25,,,,0.6666666666666666,1.0,,0.4611,8.2625,6.0,,1.0,,,,,,6.0,,,1.0,0.3,3.0,,,,,5.0,,1.0,1.0,,,,,1.0,,,,0.42857142857142855,0.5721928571428572,3.0,1.0,3.0,2.0,5.0,2.0,10.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,0.7142857142857143,0.7142857142857143,0.5,0.5,1.0,0.15,0.3333333333333333,0.3333333333333333,1.0,1.0,0.2857142857142857,0.3333333333333333,0.30303030303030304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2010,2009-10,False
1717-1890-1891-2406-467,1610612742,"Dirk Nowitzki, Shawn Marion, Jason Terry, Caron Butler, Jason Kidd","Nowitzki, Marion, Terry, Butler, Kidd",1717-1890-1891-2406-467,DAL,141.0,2,2.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,,,1.1666666666666667,,0.3333333333333333,,,,,0.3333333333333333,0.6666666666666666,0.47945,,,,22.4,4.0,4.0,,8.0,1.0,1.0,,,,,1.0,1.0,1.0,2.0,2.0,1.0,6.0,,,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,,,5.0,,,,,1.0,3.0,7.0,0.5,0.5,1.0,1.0,1.0,1.0,,1.1666666666666667,,,,,,,,,,,81.70212765957446,19.0,16.25,19.0,14.0,0.3333333333333333,1.0,1.0,1.0,,,,,0.3333333333333333,1.0,1.0,,1.0,1.0,1.0,,,,,9.45,,2.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2010,2009-10,False
1717-1890-1891-467-956,1610612742,"Dirk Nowitzki, Shawn Marion, Jason Terry, Jason Kidd, Erick Dampier","Nowitzki, Marion, Terry, Kidd, Dampier",1717-1890-1891-467-956,DAL,606.0,4,10.0,,1.0,2.0,9.0,21.0,,2.0,,1.0,10.0,,7.0,11.0,3.0,0.525,1.0,0.13333333333333333,,0.1111111111111111,,,0.06666666666666667,0.3333333333333333,0.47683,0.17647058823529413,0.2,0.09523809523809523,24.2,21.0,21.0,1.0,42.0,1.0,3.0,1.0,1.0,3.0,6.0,2.0,4.0,,6.0,13.0,,21.0,1.0,1.0,6.0,6.0,,3.0,,3.0,,,2.0,1.0,6.0,1.0,,6.0,9.0,3.0,7.0,19.0,0.5,0.6,,,,0.46153846153846156,1.0,0.4,1.0,0.8571428571428571,0.14285714285714285,,0.8571428571428571,0.5,,1.0,0.5,,99.8019801980198,13.666666666666666,15.19047619047619,13.666666666666666,15.0,0.2,0.3333333333333333,0.3333333333333333,,0.4,0.5,0.5,0.6666666666666666,0.26666666666666666,0.5,0.5,0.5,,,,1.0,1.0,,0.5657,10.884615384615385,8.0,2.0,3.0,2.0,,3.0,1.0,3.0,8.0,1.0,0.6666666666666666,1.0,0.38095238095238093,2.0,,,,,5.0,,2.0,2.0,1.0,,,,,,,,0.3333333333333333,0.5127916666666666,1.0,,1.0,,2.0,1.0,7.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,7.0,0.4,0.3333333333333333,0.4375,,1.0,1.0,0.06666666666666667,,,,0.5,,,0.3333333333333333,1.0,3.0,2.0,1.0,1.0,2.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2010,2009-10,False
1717-1890-200826-467-956,1610612742,"Dirk Nowitzki, Shawn Marion, J.J. Barea, Jason Kidd, Erick Dampier","Nowitzki, Marion, Barea, Kidd, Dampier",1717-1890-200826-467-956,DAL,248.0,2,4.0,-7.0,1.0,1.0,5.0,7.0,,,,,1.0,,4.0,5.0,2.0,0.5833333333333334,,0.25,,,,,0.25,0.25,0.449125,0.4,0.5,,23.3,6.0,8.0,,14.0,,,,,1.0,3.0,,,,1.0,3.0,,14.0,,,,2.0,,,,,,,,,,,,1.0,1.0,2.0,2.0,7.0,,,,,,0.3333333333333333,,0.25,,1.0,,,0.5,,,1.0,,,81.29032258064515,18.833333333333332,16.875,18.833333333333332,15.0,,,,,0.75,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,8.200000000000001,1.0,,,,,,,1.0,1.0,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,2.0,,,1.0,,,,,,,,,,,0.2857142857142857,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2010,2009-10,False
1717-1890-2059-2406-467,1610612742,"Dirk Nowitzki, Shawn Marion, Eduardo Najera, Caron Butler, Jason Kidd","Nowitzki, Marion, Najera, Butler, Kidd",1717-1890-2059-2406-467,DAL,48.0,1,1.0,-1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,0.6011,,,,,1.0,2.0,,3.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,1.0,,90.0,8.0,20.0,8.0,20.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,0.6011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2010,2009-10,False
1717-1890-2217-2406-467,1610612742,"Dirk Nowitzki, Shawn Marion, Brendan Haywood, Caron Butler, Jason Kidd","Nowitzki, Marion, Haywood, Butler, Kidd",1717-1890-2217-2406-467,DAL,1444.0,3,24.0,17.0,3.0,8.0,10.0,53.0,5.0,11.0,3.0,7.0,23.0,,9.0,14.0,5.0,0.53,0.7857142857142857,0.18604651162790697,0.42857142857142855,0.3181818181818182,0.6666666666666666,,0.06976744186046512,0.4883720930232558,0.5210790697674419,0.10638297872340426,0.1282051282051282,0.20754716981132076,24.0375,45.0,44.0,7.0,89.0,8.0,13.0,2.0,2.0,3.0,8.0,9.0,14.0,,20.0,35.0,1.0,36.0,3.0,3.0,22.0,18.0,3.0,11.0,1.0,12.0,,3.0,3.0,5.0,25.0,4.0,3.0,13.0,16.0,6.0,9.0,42.0,0.55,0.55,1.0,0.125,0.125,0.5714285714285714,1.0,0.5,1.0,0.7647058823529411,0.26666666666666666,1.0,0.8,0.4,0.2,0.5,0.875,1.0,88.75346260387812,14.622222222222222,17.863636363636363,13.822222222222223,17.227272727272727,0.3023255813953488,0.6153846153846154,0.7272727272727273,0.375,0.18604651162790697,0.375,0.375,1.0,0.32558139534883723,0.6428571428571429,0.6428571428571429,0.5555555555555556,,,,0.6666666666666666,1.0,0.5,0.50515,8.945714285714287,6.0,4.0,,,,3.0,1.0,3.0,6.0,,,,0.13333333333333333,1.0,,,,,3.0,2.0,8.0,1.0,2.0,,0.05714285714285714,,0.2,,,,0.25,0.52095,1.0,1.0,5.0,,3.0,1.0,8.0,,5.0,1.0,1.0,1.0,2.0,2.0,2.0,,8.0,1.0,0.75,0.6666666666666666,0.25,1.0,,0.11627906976744186,0.2,0.2,1.0,1.0,,0.2,0.1509433962264151,1.0,2.0,,3.0,,2.0,0.25,7.0,2.0,1.0,1.0,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2010,2009-10,False
