EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,FTDefRebounds,LostBallTurnovers,StepOutOfBoundsTurnovers,ShootingFouls,Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,DefFTReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceOffPoss,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG2A,Fg2aBlocked,Corner3Assists,OffTwoPtRebounds,OffRebounds,Steals,LostBallSteals,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,OffThreePtRebounds,Loose Ball Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChancePointsPct,PtsPutbacks,ShortMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,ShortMidRangeAssists,SelfOReb,BadPassSteals,Offensive Fouls,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceArc3Frequency,LongMidRangePctBlocked,PtsUnassisted3s,SecondChanceCorner3FGA,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,BlockedLongMidRange,BlockedShortMidRange,3SecondViolations,NonShootingPenaltyNonTakeFouls,SecondChanceCorner3Frequency,Loose Ball Fouls,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,DefensiveGoaltends,Blocked3s,BlockedArc3,Clear Path Fouls,OffensiveGoaltends,BlockedCorner3,HeaveMakes,Corner3PctBlocked,team_id,year,season,team_vs
101120-101127-101161-101181-1725,1610612761,"Antoine Wright, Jarrett Jack, Amir Johnson, Jose Calderon, Rasho Nesterovic","Wright, Jack, Johnson, Calderon, Nesterovic",101120-101127-101161-101181-1725,TOR,155.0,2,3.0,1.0,7.0,6.0,4.0,13.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,0.5,1.0,0.5,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,120.77419354838709,1.0,12.714285714285714,11.0,12.714285714285714,11.0,1.0,0.5,0.5,1.0,0.40855,0.4025,0.3333333333333333,0.3333333333333333,1.0,17.95,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2010,2009-10,False
101120-101127-101161-101181-200745,1610612761,"Antoine Wright, Jarrett Jack, Amir Johnson, Jose Calderon, Andrea Bargnani","Wright, Jack, Johnson, Calderon, Bargnani",101120-101127-101161-101181-200745,TOR,684.0,4,11.0,8.0,24.0,23.0,23.0,47.0,3.0,8.0,7.0,13.0,5.0,25.0,17.0,7.0,13.0,5.0,25.0,4.0,2.0,4.0,,10.0,3.0,6.0,11.0,11.0,2.0,,1.0,2.0,,4.0,3.0,6.0,6.0,2.0,,,,,25.0,25.0,23.0,0.2857142857142857,0.2857142857142857,0.5384615384615384,0.5384615384615384,0.5555555555555556,0.5555555555555556,0.6,0.6,0.5,0.8571428571428571,0.75,0.8181818181818182,,1.0,98.94736842105263,,15.208333333333334,13.869565217391305,15.208333333333334,13.347826086956522,0.4444444444444444,0.375,0.375,,0.5024147058823529,0.5024147058823529,0.10526315789473684,0.14285714285714285,1.0,11.507692307692308,0.9583333333333334,11.0,4.0,4.0,4.0,4.0,1.0,2.0,5.0,2.0,5.0,2.0,5.0,2.0,5.0,10.0,6.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,0.2777777777777778,1.0,0.75,1.0,0.2222222222222222,1.0,1.0,0.5,0.05555555555555555,0.2777777777777778,0.4,0.4,1.0,0.2222222222222222,1.0,0.2777777777777778,0.4,0.5,0.4,27.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2010,2009-10,False
101120-101127-101161-101181-201158,1610612761,"Antoine Wright, Jarrett Jack, Amir Johnson, Jose Calderon, Marco Belinelli","Wright, Jack, Johnson, Calderon, Belinelli",101120-101127-101161-101181-201158,TOR,199.0,1,3.0,3.0,7.0,7.0,7.0,14.0,,1.0,,3.0,2.0,5.0,2.0,,3.0,2.0,5.0,,,1.0,,3.0,1.0,1.0,2.0,3.0,,,,,,,,2.0,2.0,,,,,,5.0,5.0,7.0,,,,,0.25,0.25,0.35714285714285715,0.35714285714285715,,1.0,1.0,1.0,,,101.30653266331657,,11.857142857142858,16.571428571428573,11.571428571428571,16.571428571428573,0.16666666666666666,,,,0.5309916666666666,0.5309916666666666,,,1.0,5.633333333333333,1.0,7.0,,2.0,,2.0,,,2.0,,2.0,1.0,3.0,1.0,3.0,,3.0,2.0,,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,,,1.0,0.3333333333333333,,,,,0.3333333333333333,,,,0.3333333333333333,,0.3333333333333333,,0.8333333333333334,,23.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.2,0.5,1.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,0.4261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2010,2009-10,False
101120-101127-101161-101181-201603,1610612761,"Antoine Wright, Jarrett Jack, Amir Johnson, Jose Calderon, Sonny Weems","Wright, Jack, Johnson, Calderon, Weems",101120-101127-101161-101181-201603,TOR,227.0,2,4.0,-1.0,5.0,6.0,3.0,11.0,,2.0,2.0,6.0,,4.0,5.0,1.0,3.0,,2.0,4.0,2.0,2.0,,4.0,1.0,2.0,3.0,5.0,,,,,,,,2.0,,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.25,0.2857142857142857,0.25,,0.6666666666666666,1.0,0.75,1.0,1.0,69.77973568281938,1.0,16.0,24.5,15.2,20.833333333333332,0.2857142857142857,,,,0.56875,0.6459625,,,0.5,7.8500000000000005,0.6,4.0,2.0,4.0,1.0,3.0,,,1.0,,1.0,,1.0,,1.0,,,1.0,,,,2.0,,,,1.0,1.0,,,,,,,,,,0.14285714285714285,,,0.5,0.5714285714285714,0.5,0.6666666666666666,1.0,,0.14285714285714285,,,,0.75,0.3333333333333333,0.25,,0.7142857142857143,,25.5,1.0,,,,,1.0,1.0,,1.0,2.0,,,0.16666666666666666,0.25,0.25,0.4,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2010,2009-10,False
101120-101127-101161-101181-201942,1610612761,"Antoine Wright, Jarrett Jack, Amir Johnson, Jose Calderon, DeMar DeRozan","Wright, Jack, Johnson, Calderon, DeRozan",101120-101127-101161-101181-201942,TOR,50.0,1,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,,,,,,,,,1.0,,,,,,,,1.0,2.0,1.0,,,,,1.0,3.0,1.0,,,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,57.599999999999994,,31.0,19.0,31.0,19.0,,,,,0.58345,0.58345,0.3333333333333333,0.3333333333333333,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,0.5,0.5,,,,,,,1.0,0.5,,,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,0.6016,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,,,1.0,1.0,,0.6666666666666666,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2010,2009-10,False
101120-101127-101161-101181-2547,1610612761,"Antoine Wright, Jarrett Jack, Amir Johnson, Jose Calderon, Chris Bosh","Wright, Jack, Johnson, Calderon, Bosh",101120-101127-101161-101181-2547,TOR,1195.0,9,20.0,19.0,36.0,38.0,18.0,74.0,4.0,9.0,15.0,29.0,10.0,46.0,27.0,5.0,13.0,4.0,17.0,10.0,5.0,7.0,1.0,16.0,8.0,8.0,19.0,27.0,1.0,,1.0,3.0,1.0,4.0,2.0,14.0,13.0,6.0,,,,,36.0,17.0,18.0,0.3333333333333333,0.4166666666666667,0.5172413793103449,0.38461538461538464,0.5142857142857142,0.43333333333333335,0.5609756097560976,0.5,0.25,0.6666666666666666,1.0,0.8,1.0,1.0,89.17154811715481,,18.61111111111111,13.81578947368421,17.47222222222222,13.631578947368421,0.2571428571428571,0.4444444444444444,0.4444444444444444,0.25,0.48755000000000004,0.46435,0.15,0.17647058823529413,0.3695652173913043,8.055172413793104,0.5,18.0,8.0,13.0,2.0,4.0,7.0,1.0,3.0,,1.0,2.0,6.0,1.0,2.0,20.0,6.0,3.0,1.0,2.0,1.0,2.0,3.0,,,4.0,9.0,,1.0,,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.17142857142857143,1.0,0.8333333333333334,0.4,0.37142857142857144,0.6153846153846154,0.7272727272727273,0.25,0.2,0.08571428571428572,0.3333333333333333,0.3333333333333333,1.0,0.26666666666666666,0.5,0.06666666666666667,,0.5428571428571428,0.3333333333333333,23.933333333333334,6.0,1.0,3.0,1.0,1.0,5.0,3.0,1.0,6.0,8.0,3.0,2.0,0.10344827586206896,0.15384615384615385,0.42857142857142855,0.4444444444444444,0.6,1.0,0.08571428571428572,0.3333333333333333,0.3333333333333333,1.0,0.06666666666666667,1.0,0.53694,3.0,4.0,3.0,10.0,2.0,3.0,0.6,0.5,0.625,0.5,0.4,,0.6666666666666666,0.75,,0.21739130434782608,6.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,0.14285714285714285,0.25,1.0,0.06666666666666667,0.42857142857142855,0.5,0.6666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2010,2009-10,False
101120-101127-101161-1725-201158,1610612761,"Antoine Wright, Jarrett Jack, Amir Johnson, Rasho Nesterovic, Marco Belinelli","Wright, Jack, Johnson, Nesterovic, Belinelli",101120-101127-101161-1725-201158,TOR,388.0,3,6.0,4.0,12.0,13.0,1.0,25.0,2.0,3.0,4.0,8.0,1.0,15.0,11.0,,2.0,,,6.0,3.0,5.0,1.0,12.0,2.0,4.0,6.0,8.0,1.0,1.0,1.0,2.0,,3.0,,3.0,2.0,1.0,,,,,13.0,,1.0,0.75,0.75,0.5,,0.7,,0.6818181818181818,,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,92.78350515463917,,13.416666666666666,17.46153846153846,13.166666666666666,17.46153846153846,0.3,0.6666666666666666,1.0,0.5,0.46332000000000007,0.3063,0.09090909090909091,0.1111111111111111,,8.5875,0.08333333333333333,2.0,1.0,3.0,,1.0,2.0,1.0,1.0,,,2.0,2.0,,,2.0,6.0,1.0,1.0,2.0,1.0,1.0,,,,2.0,3.0,1.0,,,,,1.0,1.0,,1.0,0.2,,1.0,1.0,0.3,0.3333333333333333,0.3333333333333333,1.0,0.2,0.1,1.0,1.0,1.0,0.5,,,,0.5,1.0,24.25,2.0,1.0,1.0,,,2.0,1.0,1.0,2.0,2.0,,,0.125,,0.6666666666666666,0.6666666666666666,,,0.1,1.0,1.0,1.0,,,0.38205,,1.0,1.0,2.0,,,0.5,0.5,0.5,,1.0,,0.5,,,0.13333333333333333,,1.0,,,,1.0,,,1.0,,,1.0,,,0.5,0.5,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2010,2009-10,False
101120-101127-101161-1725-201603,1610612761,"Antoine Wright, Jarrett Jack, Amir Johnson, Rasho Nesterovic, Sonny Weems","Wright, Jack, Johnson, Nesterovic, Weems",101120-101127-101161-1725-201603,TOR,46.0,1,1.0,,1.0,2.0,,3.0,1.0,1.0,1.0,1.0,,2.0,2.0,,,,,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,2.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,93.91304347826086,,21.0,12.5,21.0,12.5,1.0,1.0,1.0,1.0,0.4,,,,,18.8,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2010,2009-10,False
101120-101127-101161-1725-201942,1610612761,"Antoine Wright, Jarrett Jack, Amir Johnson, Rasho Nesterovic, DeMar DeRozan","Wright, Jack, Johnson, Nesterovic, DeRozan",101120-101127-101161-1725-201942,TOR,248.0,1,4.0,3.0,7.0,6.0,2.0,13.0,1.0,3.0,1.0,6.0,2.0,10.0,7.0,,,,3.0,2.0,1.0,2.0,1.0,5.0,1.0,,1.0,4.0,,,,,,,,1.0,2.0,1.0,,,,,8.0,3.0,2.0,1.0,1.0,0.16666666666666666,,0.4444444444444444,0.75,0.5,0.75,,,1.0,0.5,,1.0,75.48387096774192,,16.428571428571427,22.166666666666668,13.0,19.333333333333332,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4693333333333334,0.509925,0.1,0.14285714285714285,0.3,11.700000000000001,0.2857142857142857,1.0,,1.0,,,2.0,1.0,2.0,,1.0,2.0,3.0,1.0,2.0,,3.0,2.0,1.0,1.0,,,,,,1.0,1.0,,,,,,0.5,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,,,,0.1111111111111111,,,,0.2222222222222222,0.2222222222222222,0.5,0.5,,,,0.5,,0.4444444444444444,0.5,23.8,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,3.0,3.0,1.0,,,,0.6,0.6,1.0,,0.1111111111111111,1.0,1.0,1.0,0.5,1.0,0.4317,,,1.0,2.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.5,,,,,0.2,,,,,,,2.0,1.0,,,,0.5,,0.4,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2010,2009-10,False
101120-101127-101161-1725-2045,1610612761,"Antoine Wright, Jarrett Jack, Amir Johnson, Rasho Nesterovic, Hedo Turkoglu","Wright, Jack, Johnson, Nesterovic, Turkoglu",101120-101127-101161-1725-2045,TOR,76.0,1,1.0,1.0,3.0,2.0,1.0,5.0,,,1.0,1.0,,2.0,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,,1.0,,,1.0,,0.5,,0.5,,,,1.0,1.0,,1.0,94.73684210526316,,11.333333333333334,21.0,11.333333333333334,21.0,,,,,0.351625,0.32685,,,,9.8,0.3333333333333333,2.0,,,,,1.0,,1.0,,1.0,,1.0,,1.0,2.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,0.5,,,,,,,,0.5,0.5,,,,,,1.0,,0.5,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2010,2009-10,False
