EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FtPoints,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,2pt And 1 Free Throw Trips,Corner3FGA,PenaltyCorner3FGA,PenaltyFtPoints,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,ShootingFouls,ThreePtShootingFoulsDrawn,LiveBallTurnoverPct,Corner3Frequency,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,BadPassOutOfBoundsTurnovers,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,AtRimAssists,OffLongMidRangeReboundPct,AtRimPctAssisted,SecondChanceAtRimPctAssisted,PtsAssisted3s,ThreePtAssists,Arc3Assists,FTOffRebounds,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,OffFTReboundPct,BlocksRecoveredPct,Arc3PctAssisted,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,Steals,BadPassSteals,Travels,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,LostBallTurnovers,SecondChanceTurnovers,AtRimPctBlocked,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,FTDefRebounds,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,BlockedShortMidRange,DefFTReboundPct,DefCorner3ReboundPct,LostBallSteals,BlockedLongMidRange,OffCorner3ReboundPct,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,Fg3aBlocked,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,OffShortMidRangeReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,3SecondViolations,HeaveAttempts,team_id,year,season,team_vs
101124-1802-201149-201565-2436,1610612741,"Hakim Warrick, Brad Miller, Joakim Noah, Derrick Rose, Flip Murray","Warrick, Miller, Noah, Rose, Murray",101124-1802-201149-201565-2436,CHI,42.0,1,1.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,0.5,1.0,0.5,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,102.85714285714286,11.0,20.0,11.0,20.0,0.6666666666666666,0.5,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.3333333333333333,1.0,1.0,1.0,0.45215,0.5943,0.45215,0.4,1.0,34.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
101124-1802-201149-2436-2550,1610612741,"Hakim Warrick, Brad Miller, Joakim Noah, Flip Murray, Kirk Hinrich","Warrick, Miller, Noah, Murray, Hinrich",101124-1802-201149-2436-2550,CHI,199.0,1,3.0,2.0,7.0,7.0,,,1.0,14.0,,,,,,,,2.0,,,2.0,4.0,,2.0,6.0,4.0,,1.0,,,,,,,,,,2.0,,,1.0,5.0,1.0,6.0,,6.0,,,,,,0.5,,,0.3333333333333333,,,0.42857142857142855,,,0.3333333333333333,,1.0,1.0,0.25,,1.0,,101.30653266331657,12.857142857142858,15.571428571428571,12.0,15.571428571428571,,,,0.3333333333333333,,,,,,,,,0.3333333333333333,,0.4698333333333333,,,,,24.75,,1.0,1.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,0.2,15.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
101124-1802-201565-2436-2550,1610612741,"Hakim Warrick, Brad Miller, Derrick Rose, Flip Murray, Kirk Hinrich","Warrick, Miller, Rose, Murray, Hinrich",101124-1802-201565-2436-2550,CHI,17.0,1,,2.0,,,,,,,1.0,2.0,1.0,1.0,,,,,,,1.0,2.0,,,2.0,,1.0,1.0,2.0,,,,,,2.0,,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,,0.5,1.0,,0.5,1.0,,0.5,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,1.0,0.5,0.5,,,,1.0,1.0,,,,,1.0,,0.56925,0.5437,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,0.5,0.5,1.55,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
101124-1802-201565-2550-2736,1610612741,"Hakim Warrick, Brad Miller, Derrick Rose, Kirk Hinrich, Luol Deng","Warrick, Miller, Rose, Hinrich, Deng",101124-1802-201565-2550-2736,CHI,182.0,1,3.0,1.0,6.0,7.0,6.0,1.0,,13.0,,,,,,,,,,,2.0,2.0,,1.0,8.0,7.0,,,,2.0,2.0,,1.0,8.0,,,,,,,,3.0,,3.0,,8.0,8.0,6.0,,,,1.0,,1.0,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.3333333333333333,,,1.0,,,,,102.85714285714286,14.666666666666666,13.428571428571429,14.666666666666666,13.428571428571429,,,,,,,,,,,,,0.3333333333333333,,0.4699166666666667,,0.4699166666666667,,1.0,22.6,1.0,2.0,2.0,,,4.0,4.0,2.0,2.0,2.0,,4.0,,3.0,,1.0,1.0,,3.0,,7.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,,,,,0.5,0.5,8.7,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
101124-1802-201959-2436-2550,1610612741,"Hakim Warrick, Brad Miller, Taj Gibson, Flip Murray, Kirk Hinrich","Warrick, Miller, Gibson, Murray, Hinrich",101124-1802-201959-2436-2550,CHI,63.0,1,1.0,-2.0,1.0,2.0,,,,3.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,68.57142857142857,30.0,16.5,30.0,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
101124-1802-2436-2550-2736,1610612741,"Hakim Warrick, Brad Miller, Flip Murray, Kirk Hinrich, Luol Deng","Warrick, Miller, Murray, Hinrich, Deng",101124-1802-2436-2550-2736,CHI,159.0,1,3.0,-2.0,4.0,4.0,,,,8.0,1.0,1.0,,,,,,,,,2.0,4.0,,,4.0,6.0,,,,,,,,,4.0,,,,,,,1.0,,1.0,,4.0,,,,,,0.5,,,0.5,,,0.5,,,,,,1.0,,,,,72.45283018867924,22.25,17.5,22.25,17.5,0.25,1.0,1.0,,,,,,,,,,0.25,,0.374,,,,,,,,2.0,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,0.5,,,,0.25,1.0,1.0,,,,9.625,,,,,,,,1.0,,,,,,,1.0,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
101124-201149-201565-201959-2550,1610612741,"Hakim Warrick, Joakim Noah, Derrick Rose, Taj Gibson, Kirk Hinrich","Warrick, Noah, Rose, Gibson, Hinrich",101124-201149-201565-201959-2550,CHI,40.0,1,1.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,2.0,,,2.0,,1.0,1.0,2.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,0.5,1.0,,0.5,1.0,,0.5,1.0,,,1.0,,,1.0,,,,36.0,24.0,,20.0,,0.5,1.0,1.0,,,,1.0,1.0,,,,,0.5,,0.475,0.5701,,1.0,,,,,,,1.0,,2.0,1.0,1.0,,,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,0.5,,,,,,8.45,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
101124-201149-201565-2436-2550,1610612741,"Hakim Warrick, Joakim Noah, Derrick Rose, Flip Murray, Kirk Hinrich","Warrick, Noah, Rose, Murray, Hinrich",101124-201149-201565-2436-2550,CHI,111.0,1,2.0,1.0,4.0,4.0,,,1.0,8.0,1.0,3.0,,2.0,,,1.0,1.0,,,1.0,4.0,1.0,1.0,5.0,4.0,,2.0,,,,,,,2.0,,,1.0,1.0,1.0,,1.0,2.0,3.0,1.0,5.0,,,1.0,,1.0,0.25,,,0.5,,,0.5,,,0.2,0.3333333333333333,,1.0,0.3333333333333333,0.5,,0.3333333333333333,103.78378378378378,15.5,12.25,11.0,12.25,0.6,0.3333333333333333,0.3333333333333333,0.2,1.0,1.0,1.0,,,,,,0.8,1.0,0.57848,0.64645,,,,24.4,,,1.0,,,,,,1.0,,,3.0,,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,0.2,,,,,,,,,,3.55,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
101124-201149-201565-2436-2736,1610612741,"Hakim Warrick, Joakim Noah, Derrick Rose, Flip Murray, Luol Deng","Warrick, Noah, Rose, Murray, Deng",101124-201149-201565-2436-2736,CHI,467.0,2,8.0,-5.0,14.0,16.0,13.0,8.0,,30.0,1.0,2.0,,,1.0,2.0,,1.0,,1.0,5.0,9.0,1.0,2.0,17.0,22.0,,,,5.0,9.0,1.0,2.0,17.0,6.0,,,1.0,,,,2.0,,2.0,,17.0,17.0,13.0,0.5,0.5,0.5,0.5555555555555556,,0.5555555555555556,0.5909090909090909,,0.5909090909090909,0.6666666666666666,,0.6666666666666666,0.18181818181818182,,,0.25,,,,,92.50535331905782,14.857142857142858,16.1875,14.857142857142858,14.625,0.18181818181818182,0.5,0.5,0.09090909090909091,,,,,0.18181818181818182,0.5,0.09090909090909091,,0.36363636363636365,,0.46144999999999997,,0.46144999999999997,,1.0,24.2,0.9285714285714286,1.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,,1.0,7.0,,2.0,1.0,1.0,4.0,,2.0,,4.0,1.0,0.4,0.4,0.2857142857142857,,,,,0.6666666666666666,0.2727272727272727,0.3333333333333333,0.3333333333333333,,0.36363636363636365,0.75,0.75,0.3333333333333333,0.09090909090909091,0.1111111111111111,11.022222222222222,1.0,1.0,1.0,4.0,,,1.0,3.0,,,0.09090909090909091,0.09090909090909091,,,,,,1.0,,1.0,,3.0,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
101124-201149-201565-2550-2736,1610612741,"Hakim Warrick, Joakim Noah, Derrick Rose, Kirk Hinrich, Luol Deng","Warrick, Noah, Rose, Hinrich, Deng",101124-201149-201565-2550-2736,CHI,123.0,2,2.0,6.0,5.0,3.0,2.0,,1.0,8.0,2.0,2.0,,,,,,,,,2.0,2.0,,,6.0,,,,,,,,,2.0,,,,,,,,2.0,,2.0,,6.0,2.0,2.0,,,,1.0,,,1.0,,,1.0,,1.0,,,,1.0,,,,,93.65853658536587,13.4,18.666666666666668,9.4,18.666666666666668,1.0,1.0,1.0,,,,,,,,,,1.0,,0.7096,,,,0.3333333333333333,,0.4,,,,,2.0,4.0,2.0,2.0,,,4.0,,2.0,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.85,,,,2.0,1.0,,1.0,,,0.5,,,,,,,,2.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
