EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefThreePtRebounds,Steals,BadPassSteals,SecondChanceTurnovers,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,3SecondViolations,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeFGM,PtsPutbacks,Fg2aBlocked,LiveBallTurnovers,LostBallTurnovers,Travels,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAssists,OffThreePtRebounds,FTDefRebounds,LostBallSteals,Loose Ball Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,LongMidRangePctAssisted,BadPassTurnovers,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,ThreePtAssists,Corner3Assists,Assisted3sPct,SecondChanceFg3Pct,OffAtRimReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangeAssists,ShortMidRangePctAssisted,Fg3aBlocked,FG3APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,Arc3Assists,Technical Free Throw Trips,Arc3PctAssisted,BlockedShortMidRange,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFtPoints,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,HeaveAttempts,FTOffRebounds,OffFTReboundPct,Clear Path Fouls,Arc3PctBlocked,StepOutOfBoundsTurnovers,DefensiveGoaltends,OffensiveGoaltends,LongMidRangePctBlocked,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,team_id,year,season,team_vs
101138-101162-1533-200755-2554,1610612753,"Brandon Bass, Marcin Gortat, Anthony Johnson, JJ Redick, Mickael Pietrus","Bass, Gortat, Johnson, Redick, Pietrus",101138-101162-1533-200755-2554,ORL,285.0,1,5.0,-5.0,8.0,9.0,8.0,6.0,1.0,17.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,3.0,12.0,17.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,3.0,12.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,10.0,12.0,8.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6,1.0,0.6,0.75,1.0,0.75,0.75,1.0,0.75,0.16666666666666666,0.5,0.5,0.25,0.5,0.5,1.0,0.5,85.89473684210526,15.0,18.333333333333332,14.625,16.555555555555557,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.5,1.0,0.42499166666666666,0.5613,0.42499166666666666,0.14285714285714285,0.16666666666666666,0.16666666666666666,1.0,6.7,25.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,True
101138-101162-1713-1715-200755,1610612753,"Brandon Bass, Marcin Gortat, Vince Carter, Jason Williams, JJ Redick","Bass, Gortat, Carter, Williams, Redick",101138-101162-1713-1715-200755,ORL,73.0,1,1.0,-4.0,2.0,2.0,2.0,2.0,,4.0,,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,4.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,0.5,,,,,,,,78.9041095890411,18.5,18.0,18.5,18.0,,,,,,0.5,,,0.5,,,,,,,,0.5,,0.5,,0.346825,,0.346825,,,,,19.7,24.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,True
101138-101162-1713-1715-2554,1610612753,"Brandon Bass, Marcin Gortat, Vince Carter, Jason Williams, Mickael Pietrus","Bass, Gortat, Carter, Williams, Pietrus",101138-101162-1713-1715-2554,ORL,,1,,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,True
101138-101162-1713-2440-2749,1610612753,"Brandon Bass, Marcin Gortat, Vince Carter, Matt Barnes, Jameer Nelson","Bass, Gortat, Carter, Barnes, Nelson",101138-101162-1713-2440-2749,ORL,129.0,2,2.0,,4.0,5.0,,1.0,1.0,9.0,1.0,2.0,,,,,,,,,,,,1.0,2.0,,,,2.0,2.0,,,,,,,,,,,2.0,,,,,,,,,1.0,2.0,,2.0,,,2.0,2.0,,1.0,2.0,1.0,,,,2.0,,,,,,,,,0.5,,,0.5,,,0.5,,,,0.3333333333333333,,0.4,,,1.0,,100.46511627906978,8.0,19.4,6.5,14.6,1.0,0.5,0.5,,,,,,,,,,,,,,,,1.0,,0.78915,,,,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,True
101138-101162-1713-2554-2749,1610612753,"Brandon Bass, Marcin Gortat, Vince Carter, Mickael Pietrus, Jameer Nelson","Bass, Gortat, Carter, Pietrus, Nelson",101138-101162-1713-2554-2749,ORL,70.0,1,1.0,2.0,2.0,2.0,1.0,,,4.0,,,,,,,,,1.0,,,,,,1.0,,,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,2.0,2.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,0.5,,,,,,1.0,,,,,82.28571428571428,13.5,21.5,13.5,21.5,,,,,,1.0,,,,,,,,,,,,,,,0.3757,,0.3757,0.5,0.5,,,14.6,,0.5,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,True
101138-101162-1715-200755-2554,1610612753,"Brandon Bass, Marcin Gortat, Jason Williams, JJ Redick, Mickael Pietrus","Bass, Gortat, Williams, Redick, Pietrus",101138-101162-1715-200755-2554,ORL,505.0,4,8.0,-9.0,19.0,15.0,12.0,10.0,1.0,34.0,1.0,2.0,,,1.0,2.0,3.0,,4.0,,1.0,,1.0,2.0,9.0,,1.0,9.0,13.0,22.0,1.0,1.0,2.0,2.0,5.0,,1.0,7.0,11.0,,4.0,,1.0,,,,,,1.0,1.0,3.0,1.0,4.0,1.0,,2.0,3.0,2.0,2.0,4.0,5.0,10.0,5.0,,11.0,11.0,12.0,,,,,,,0.2222222222222222,1.0,0.4,0.2,1.0,0.3333333333333333,0.43333333333333335,1.0,0.55,0.1,0.5,0.14285714285714285,0.75,0.125,,,0.14285714285714285,96.95049504950495,16.263157894736842,13.066666666666666,16.157894736842106,11.466666666666667,0.2,0.5,1.0,,0.3,0.4,,,0.1,,,,,,0.3333333333333333,0.5,0.16666666666666666,,0.3,,0.42455,0.4048,0.4617,0.3333333333333333,0.35714285714285715,0.15384615384615385,0.8461538461538461,11.144444444444444,25.9,0.631578947368421,2.0,,,,,,,,,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.5,0.3333333333333333,0.25,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,True
101138-101162-200755-2440-2749,1610612753,"Brandon Bass, Marcin Gortat, JJ Redick, Matt Barnes, Jameer Nelson","Bass, Gortat, Redick, Barnes, Nelson",101138-101162-200755-2440-2749,ORL,441.0,2,7.0,-2.0,11.0,14.0,11.0,8.0,2.0,25.0,3.0,5.0,,,3.0,5.0,1.0,3.0,4.0,,2.0,,2.0,6.0,10.0,,2.0,3.0,15.0,17.0,2.0,2.0,4.0,6.0,10.0,,2.0,3.0,15.0,6.0,6.0,,2.0,,3.0,3.0,1.0,6.0,1.0,,2.0,2.0,4.0,,,,,,1.0,5.0,3.0,3.0,2.0,,11.0,15.0,11.0,,0.5,0.5,,,,0.6,1.0,0.6,0.5,1.0,0.5,0.5769230769230769,1.0,0.5769230769230769,0.16666666666666666,,0.25,0.3333333333333333,0.3333333333333333,,,,81.63265306122449,17.727272727272727,17.571428571428573,15.636363636363637,16.285714285714285,0.4166666666666667,0.6,0.6,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.75,0.75,0.16666666666666666,,,,,,0.4166666666666667,0.6,0.16666666666666666,,0.5833333333333334,,0.4947875,0.4552,0.4947875,0.15384615384615385,0.18181818181818182,0.26666666666666666,1.0,9.18,24.85,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,3.0,,,,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,True
101138-101162-200755-2554-2749,1610612753,"Brandon Bass, Marcin Gortat, JJ Redick, Mickael Pietrus, Jameer Nelson","Bass, Gortat, Redick, Pietrus, Nelson",101138-101162-200755-2554-2749,ORL,49.0,1,1.0,-2.0,1.0,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.16326530612245,15.0,17.0,15.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,True
101138-1713-1715-2554-2730,1610612753,"Brandon Bass, Vince Carter, Jason Williams, Mickael Pietrus, Dwight Howard","Bass, Carter, Williams, Pietrus, Howard",101138-1713-1715-2554-2730,ORL,142.0,3,2.0,-3.0,4.0,5.0,3.0,4.0,,9.0,,,,,,,2.0,,,,,,,1.0,2.0,,,2.0,4.0,7.0,,,,1.0,1.0,,,2.0,4.0,,2.0,,,,,,,,,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,2.0,2.0,1.0,,4.0,4.0,3.0,,,,,,,0.5,,1.0,0.5,,1.0,0.6666666666666666,,1.0,,1.0,,0.5,,,1.0,,91.26760563380282,16.75,15.0,16.75,12.8,,,,,1.0,,,,,,,,,,,,,,,,0.3589,,0.3693,0.3333333333333333,0.3333333333333333,,1.0,9.75,,0.75,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,0.5,0.5,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,True
101138-1713-1740-2554-2749,1610612753,"Brandon Bass, Vince Carter, Rashard Lewis, Mickael Pietrus, Jameer Nelson","Bass, Carter, Lewis, Pietrus, Nelson",101138-1713-1740-2554-2749,ORL,62.0,1,1.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,,4.0,,3.0,,4.0,1.0,,,,,,,,5.0,1.0,1.0,,3.0,,,3.0,3.0,,5.0,1.0,1.0,,3.0,,,,,,,1.0,,3.0,4.0,1.0,1.0,4.0,5.0,2.0,,,,,,,,,,,,3.0,2.0,,,,1.0,1.0,1.0,,,,0.25,0.375,0.25,0.25,0.375,0.25,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,,0.5,69.6774193548387,19.0,24.0,14.5,24.0,0.6666666666666666,,,,0.16666666666666666,,,,,,,0.75,,,0.6666666666666666,,,,0.8333333333333334,,0.4961,0.519525,0.4961,,,1.0,1.0,1.5,24.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.25,1.0,1.0,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,True
