EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,DefensiveGoaltends,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,Clear Path Fouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,PtsUnassisted2s,HeaveAttempts,FTOffRebounds,Travels,Offensive Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,LongMidRangePctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,LostBallSteals,Loose Ball Fouls Drawn,Loose Ball Fouls,TwoPtShootingFoulsDrawn,Blocked3s,BlockedArc3,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,OffLongMidRangeReboundPct,SecondChanceAtRimFGM,PtsPutbacks,BlockedAtRim,SecondChanceAtRimAccuracy,Arc3Assists,FTDefRebounds,2pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,DefFTReboundPct,Arc3PctAssisted,Technical Free Throw Trips,BadPassOutOfBoundsTurnovers,ShortMidRangePctBlocked,SelfOReb,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffensiveGoaltends,StepOutOfBoundsTurnovers,3SecondViolations,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,BlockedCorner3,Corner3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101155-200762-200797-201147-201196,1610612750,"Ryan Gomes, Oleksiy Pecherov, Ryan Hollins, Corey Brewer, Ramon Sessions","Gomes, Pecherov, Hollins, Brewer, Sessions",101155-200762-200797-201147-201196,MIN,192.0,2,3.0,1.0,6.0,7.0,6.0,4.0,13.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,4.0,1.0,7.0,6.0,2.0,4.0,1.0,7.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,5.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,7.0,6.0,1.0,0.5,0.5,0.5,0.5,0.75,0.75,0.7,0.7,1.0,0.6666666666666666,1.0,0.7142857142857143,1.0,1.0,1.0,97.5,13.166666666666666,16.142857142857142,13.166666666666666,13.857142857142858,0.25,1.0,1.0,1.0,0.75,0.3333333333333333,0.3333333333333333,0.25,1.0,0.75,0.3333333333333333,1.0,0.3333333333333333,0.59505,0.59505,1.0,24.625,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2010,2009-10,True
101155-200762-200797-201147-201938,1610612750,"Ryan Gomes, Oleksiy Pecherov, Ryan Hollins, Corey Brewer, Jonny Flynn","Gomes, Pecherov, Hollins, Brewer, Flynn",101155-200762-200797-201147-201938,MIN,278.0,2,5.0,-8.0,9.0,8.0,3.0,2.0,17.0,,1.0,,,,,,,,1.0,,6.0,14.0,,,,2.0,,,,,,3.0,,6.0,,1.0,1.0,5.0,1.0,,3.0,1.0,1.0,3.0,,,,,,4.0,2.0,3.0,,,,,,0.3,0.5,0.3,0.5,0.1,1.0,,1.0,,1.0,,88.05755395683452,20.11111111111111,12.125,16.444444444444443,12.125,0.1,,,,,,,,,,,0.5,,0.49773500000000004,0.4649,0.3333333333333333,23.2,0.3333333333333333,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,9.0,1.0,3.0,2.0,1.0,2.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.6666666666666666,0.5,1.0,0.5714285714285714,1.0,1.0,0.4,0.25,1.0,1.0,0.2,0.5,0.5,1.0,0.3,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,0.4602,0.3333333333333333,7.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2010,2009-10,True
101155-200762-200797-201196-201961,1610612750,"Ryan Gomes, Oleksiy Pecherov, Ryan Hollins, Ramon Sessions, Wayne Ellington","Gomes, Pecherov, Hollins, Sessions, Ellington",101155-200762-200797-201196-201961,MIN,499.0,2,8.0,-6.0,16.0,15.0,3.0,7.0,31.0,,1.0,,,,3.0,,1.0,,4.0,2.0,6.0,12.0,,1.0,1.0,1.0,,,2.0,,,1.0,,2.0,2.0,4.0,6.0,11.0,1.0,,1.0,,,2.0,,7.0,4.0,2.0,,5.0,1.0,3.0,1.0,,,,,0.1111111111111111,,0.15,0.125,0.2222222222222222,1.0,1.0,1.0,,1.0,1.0,89.45891783567134,17.0,15.133333333333333,15.625,15.133333333333333,0.05555555555555555,,,,0.16666666666666666,,,,,0.3333333333333333,,0.3888888888888889,,0.453614705882353,0.4671,0.16666666666666666,35.875,0.1875,3.0,,3.0,1.0,,1.0,,3.0,2.0,8.0,2.0,14.0,,3.0,1.0,,2.0,2.0,3.0,1.0,,,1.0,2.0,2.0,5.0,,,,,,,,,0.5,0.5,0.14285714285714285,,,,0.1,0.21428571428571427,0.6666666666666666,,0.16666666666666666,0.6666666666666666,0.26666666666666666,0.3333333333333333,1.0,0.16666666666666666,,,,0.16666666666666666,,,,0.4444444444444444,0.25,0.2857142857142857,0.5,0.25,0.3333333333333333,,0.4638375,0.16666666666666666,12.578571428571427,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.125,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2010,2009-10,True
101155-200762-201147-201196-201567,1610612750,"Ryan Gomes, Oleksiy Pecherov, Corey Brewer, Ramon Sessions, Kevin Love","Gomes, Pecherov, Brewer, Sessions, Love",101155-200762-201147-201196-201567,MIN,108.0,1,2.0,,6.0,6.0,6.0,6.0,12.0,,,,,,1.0,,1.0,,1.0,2.0,6.0,6.0,,1.0,2.0,6.0,,,1.0,,,2.0,,4.0,2.0,,2.0,2.0,,,1.0,1.0,,,,1.0,2.0,1.0,,6.0,6.0,6.0,1.0,,,,,0.6666666666666666,0.6666666666666666,0.75,0.75,0.3333333333333333,,1.0,1.0,,,1.0,160.0,12.333333333333334,5.666666666666667,12.333333333333334,5.666666666666667,,,,,0.3333333333333333,,,,,0.3333333333333333,,0.3333333333333333,,0.43333333333333335,0.43333333333333335,1.0,25.2,1.0,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,,,,2.0,2.0,4.0,,2.0,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,15.3,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2010,2009-10,True
101155-200762-201147-201196-201938,1610612750,"Ryan Gomes, Oleksiy Pecherov, Corey Brewer, Ramon Sessions, Jonny Flynn","Gomes, Pecherov, Brewer, Sessions, Flynn",101155-200762-201147-201196-201938,MIN,108.0,2,2.0,1.0,4.0,6.0,3.0,6.0,10.0,,,,,,1.0,,1.0,,1.0,1.0,5.0,4.0,,1.0,,4.0,,,1.0,,,1.0,,2.0,1.0,2.0,3.0,3.0,,,,,,2.0,,1.0,2.0,,,5.0,4.0,3.0,,,,,,0.6666666666666666,0.6666666666666666,0.625,0.6666666666666666,0.3333333333333333,1.0,0.5,0.75,1.0,,0.5,133.33333333333334,11.5,10.333333333333334,11.5,10.0,,,,,0.3333333333333333,,,,,0.3333333333333333,,0.3333333333333333,,0.46458333333333335,0.46458333333333335,0.8,25.0,0.75,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,,,,2.0,2.0,2.0,,1.0,,,1.0,,,,,,,,,,,2.0,0.5,0.5,1.0,,1.0,,,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,,0.3333333333333333,1.0,1.0,1.0,,,,,,11.0,,,,2.0,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2010,2009-10,True
101155-200762-201147-201196-2073,1610612750,"Ryan Gomes, Oleksiy Pecherov, Corey Brewer, Ramon Sessions, Brian Cardinal","Gomes, Pecherov, Brewer, Sessions, Cardinal",101155-200762-201147-201196-2073,MIN,252.0,2,4.0,,9.0,8.0,7.0,8.0,17.0,,,,,,1.0,,1.0,,1.0,4.0,8.0,8.0,,1.0,2.0,4.0,,,1.0,,,,,,2.0,1.0,3.0,4.0,,,1.0,1.0,,2.0,,2.0,4.0,1.0,,8.0,4.0,7.0,1.0,,,,,0.3333333333333333,0.2,0.5,0.3333333333333333,0.16666666666666666,0.5,1.0,0.75,,1.0,1.0,97.14285714285714,14.777777777777779,14.875,14.0,14.25,,,,,0.16666666666666666,,,,,0.2,,0.5,,0.46531666666666666,0.48694,0.5,25.3,0.7777777777777778,1.0,1.0,2.0,,1.0,2.0,,,1.0,3.0,2.0,5.0,,,,1.0,4.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,0.4,,0.25,,,,,1.0,0.3333333333333333,,0.25,,,0.3333333333333333,0.5,0.5,,,,,,0.5,0.3333333333333333,0.3333333333333333,,,0.4,0.5,,,12.28,,,,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,0.14285714285714285,0.16666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2010,2009-10,True
101155-200762-201147-201196-2562,1610612750,"Ryan Gomes, Oleksiy Pecherov, Corey Brewer, Ramon Sessions, Sasha Pavlovic","Gomes, Pecherov, Brewer, Sessions, Pavlovic",101155-200762-201147-201196-2562,MIN,208.0,2,3.0,,5.0,7.0,3.0,1.0,12.0,,,,,,2.0,,2.0,,2.0,,4.0,4.0,,2.0,,,,,2.0,,,,,,2.0,2.0,4.0,6.0,,,1.0,1.0,,1.0,,,,,,2.0,,3.0,,,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,0.6666666666666666,1.0,0.8,1.0,,1.0,83.07692307692308,17.4,17.285714285714285,17.4,13.142857142857142,,,,,0.3333333333333333,,,,,1.0,,0.8333333333333334,,0.5522,0.4992,,25.4,0.6,1.0,2.0,3.0,1.0,,,,,,1.0,2.0,4.0,1.0,1.0,2.0,,,,1.0,,,,,,2.0,2.0,,,1.0,1.0,,,,,,,0.5,1.0,,1.0,1.0,0.25,0.3333333333333333,1.0,1.0,,0.5,1.0,,0.5,0.6666666666666666,1.0,,,,,,0.16666666666666666,,,,1.0,,,0.6624,0.5,4.975,,,,4.0,,,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2010,2009-10,True
101155-200762-201147-201196-2744,1610612750,"Ryan Gomes, Oleksiy Pecherov, Corey Brewer, Ramon Sessions, Al Jefferson","Gomes, Pecherov, Brewer, Sessions, Jefferson",101155-200762-201147-201196-2744,MIN,1210.0,6,20.0,-16.0,38.0,38.0,10.0,7.0,76.0,,3.0,,1.0,2.0,3.0,,,2.0,6.0,6.0,30.0,46.0,,1.0,4.0,6.0,3.0,3.0,3.0,2.0,1.0,6.0,,13.0,1.0,7.0,9.0,15.0,4.0,2.0,7.0,1.0,5.0,7.0,,9.0,7.0,1.0,,28.0,6.0,10.0,1.0,0.5,0.3333333333333333,,0.3333333333333333,0.35294117647058826,0.1,0.40540540540540543,0.25,0.17647058823529413,0.3684210526315789,0.5,0.38095238095238093,0.14285714285714285,0.4,,90.44628099173553,16.763157894736842,15.078947368421053,16.18421052631579,13.447368421052632,0.08823529411764706,,,,0.08823529411764706,0.6666666666666666,0.6666666666666666,0.1,,,,0.5,0.6666666666666666,0.4853014705882353,0.40791000000000005,0.2,24.516666666666666,0.2631578947368421,5.0,6.0,11.0,3.0,1.0,2.0,1.0,7.0,2.0,10.0,9.0,28.0,1.0,5.0,2.0,1.0,9.0,10.0,2.0,5.0,4.0,,1.0,2.0,4.0,6.0,5.0,4.0,3.0,1.0,2.0,1.0,,,0.5555555555555556,0.625,0.32142857142857145,0.2,0.1111111111111111,0.2,0.2,0.07142857142857142,0.18181818181818182,0.42857142857142855,0.21052631578947367,0.5,0.2608695652173913,0.2,0.6666666666666666,0.3235294117647059,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.20588235294117646,0.14285714285714285,0.14285714285714285,,0.29411764705882354,0.2,0.2,0.5,0.6,0.2,0.5,0.5768,0.06666666666666667,9.407142857142857,,,,8.0,,,1.0,,4.0,2.0,4.0,1.0,,,0.3333333333333333,,0.5714285714285714,0.5,0.25,,1.0,1.0,,3.0,,,0.08333333333333333,0.1,0.125,1.0,2.0,2.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2010,2009-10,True
101155-200762-201147-201196-2863,1610612750,"Ryan Gomes, Oleksiy Pecherov, Corey Brewer, Ramon Sessions, Damien Wilkins","Gomes, Pecherov, Brewer, Sessions, Wilkins",101155-200762-201147-201196-2863,MIN,165.0,1,3.0,-9.0,5.0,5.0,5.0,3.0,10.0,,1.0,,1.0,,,,,,1.0,,2.0,11.0,,1.0,,2.0,,,,,,1.0,,2.0,,,,,1.0,,3.0,3.0,1.0,3.0,,,,,,2.0,2.0,5.0,,,,,,0.5,0.5,0.5,0.5,0.5,,,,,,,87.27272727272727,19.0,14.0,19.0,14.0,0.5,,,,,,,0.5,,,,1.0,,0.576025,0.576025,1.0,23.1,1.0,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,2.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,0.6666666666666666,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2010,2009-10,True
101155-200762-201147-201567-201938,1610612750,"Ryan Gomes, Oleksiy Pecherov, Corey Brewer, Kevin Love, Jonny Flynn","Gomes, Pecherov, Brewer, Love, Flynn",101155-200762-201147-201567-201938,MIN,182.0,2,3.0,,6.0,7.0,2.0,7.0,13.0,,,,,,,,,,,1.0,9.0,9.0,,,1.0,1.0,,,,,,1.0,,2.0,3.0,,3.0,4.0,,,1.0,1.0,1.0,3.0,,1.0,2.0,1.0,,7.0,1.0,2.0,1.0,,,,,0.8,,0.75,0.5,,,1.0,1.0,,,1.0,102.85714285714286,17.333333333333332,11.142857142857142,14.833333333333334,11.142857142857142,,,,,,,,,,,,0.2,,0.44364,,0.1111111111111111,,0.3333333333333333,1.0,1.0,1.0,,,,,,3.0,4.0,4.0,5.0,1.0,1.0,2.0,,,2.0,,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,,2.0,0.25,0.25,0.8,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,,0.2,1.0,1.0,1.0,,,,,0.8,0.75,0.75,,,,,0.4178,0.2222222222222222,13.88,,,,6.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2010,2009-10,True
