EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGA,Arc3FGA,FG2A,FG3A,OpponentPoints,NonHeaveArc3FGA,Fg2aBlocked,LiveBallTurnovers,LostBallTurnovers,Turnovers,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyDefPoss,AtRimFGM,SecondChanceAtRimFGM,FTDefRebounds,BadPassTurnovers,Blocked2s,BlockedAtRim,Blocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimAccuracy,PenaltyOffPoss,LongMidRangeFGM,Corner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,LongMidRangeAssists,SelfOReb,BadPassSteals,PenaltyTurnovers,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,Corner3Assists,OffThreePtRebounds,FTOffRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,BlockedShortMidRange,3SecondViolations,SecondChanceFg3Pct,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,Offensive Fouls,SecondChanceTurnovers,PenaltyCorner3FGM,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,Travels,Loose Ball Fouls Drawn,RecoveredBlocks,BlocksRecoveredPct,PenaltyCorner3Accuracy,DefensiveGoaltends,BlockedLongMidRange,SecondChanceCorner3FGA,Technical Free Throw Trips,LongMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Clear Path Fouls,OffensiveGoaltends,Blocked3s,BlockedArc3,BlockedCorner3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
101111-101131-101198-1088-201969,1610612765,"Charlie Villanueva, Jason Maxiell, Will Bynum, Chucky Atkins, DaJuan Summers","Villanueva, Maxiell, Bynum, Atkins, Summers",101111-101131-101198-1088-201969,DET,91.0,1,2.0,-7.0,3.0,4.0,7.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,110.76923076923077,17.666666666666668,9.5,17.666666666666668,7.25,0.5,0.5,1.0,0.574575,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2010,2009-10,False
101111-101131-101198-1112-201973,1610612765,"Charlie Villanueva, Jason Maxiell, Will Bynum, Ben Wallace, Jonas Jerebko","Villanueva, Maxiell, Bynum, Wallace, Jerebko",101111-101131-101198-1112-201973,DET,21.0,1,,-2.0,1.0,1.0,2.0,,,,,2.0,,,,,,,,,,137.14285714285714,9.0,12.0,8.0,12.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2010,2009-10,False
101111-101131-101198-1888-201155,1610612765,"Charlie Villanueva, Jason Maxiell, Will Bynum, Richard Hamilton, Rodney Stuckey","Villanueva, Maxiell, Bynum, Hamilton, Stuckey",101111-101131-101198-1888-201155,DET,260.0,1,4.0,-2.0,7.0,7.0,14.0,3.0,,10.0,,6.0,,4.0,,,,,0.4,1.0,,77.53846153846155,19.857142857142858,17.285714285714285,18.142857142857142,17.285714285714285,0.3,,0.3,0.43038,,2.0,1.0,2.0,6.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.2,0.3333333333333333,0.2,0.3333333333333333,0.2,0.3333333333333333,0.16666666666666666,1.0,0.375,1.0,1.0,0.375,0.6666666666666666,0.25,1.0,1.0,0.6,0.3333333333333333,0.4,0.5,0.1,0.3333333333333333,0.4484333333333333,0.5,7.959999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2010,2009-10,False
101111-101131-101198-1888-201948,1610612765,"Charlie Villanueva, Jason Maxiell, Will Bynum, Richard Hamilton, Austin Daye","Villanueva, Maxiell, Bynum, Hamilton, Daye",101111-101131-101198-1888-201948,DET,154.0,1,3.0,-3.0,6.0,6.0,12.0,3.0,1.0,6.0,1.0,7.0,1.0,1.0,1.0,,1.0,0.14285714285714285,0.16666666666666666,0.3333333333333333,1.0,112.2077922077922,15.666666666666666,10.0,14.333333333333334,9.833333333333334,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.50545,25.7,2.0,1.0,,1.0,2.0,2.0,4.0,1.0,2.0,2.0,,4.0,,,,,,2.0,1.0,1.0,3.0,2.0,5.0,,,1.0,2.0,1.0,2.0,,,0.3333333333333333,0.5,0.2857142857142857,0.5,0.2857142857142857,0.5,,0.5,0.5,1.0,0.6666666666666666,0.4,1.0,,,1.0,0.14285714285714285,,,,0.2857142857142857,0.5,0.45805,0.5,8.1,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2010,2009-10,False
101111-101131-101198-1888-2419,1610612765,"Charlie Villanueva, Jason Maxiell, Will Bynum, Richard Hamilton, Tayshaun Prince","Villanueva, Maxiell, Bynum, Hamilton, Prince",101111-101131-101198-1888-2419,DET,1581.0,10,26.0,1.0,54.0,53.0,107.0,15.0,9.0,36.0,11.0,66.0,9.0,1.0,5.0,3.0,5.0,0.23404255319148937,0.027777777777777776,,1.0,97.4573055028463,15.574074074074074,13.962264150943396,15.481481481481481,13.830188679245284,0.3191489361702128,0.19148936170212766,0.5531914893617021,0.49605425531914893,25.681818181818183,4.0,3.0,2.0,6.0,15.0,20.0,67.0,2.0,4.0,6.0,24.0,16.0,4.0,12.0,17.0,,39.0,4.0,3.0,11.0,15.0,4.0,19.0,3.0,,4.0,8.0,9.0,61.0,0.6,0.6666666666666666,0.5555555555555556,0.5,0.5851063829787234,0.5,0.6203703703703703,0.6,0.16666666666666666,0.7857142857142857,0.25,0.75,0.7777777777777778,0.19047619047619047,1.0,0.25,1.0,0.5,0.1276595744680851,0.3333333333333333,0.4,,0.3191489361702128,0.75,0.545,0.08955223880597014,8.88888888888889,30.0,13.0,2.0,1.0,2.0,,,,,3.0,1.0,0.1,0.6,0.8666666666666667,0.8666666666666667,0.6666666666666666,11.0,5.0,2.0,5.0,1.0,2.0,5.0,12.0,2.0,3.0,5.0,1.0,2.0,4.0,13.0,15.0,5.0,5.0,5.0,10.0,2.0,1.0,3.0,2.0,1.0,15.0,5.0,1.0,1.0,13.0,11.0,1.0,1.0,0.45454545454545453,0.5,0.45454545454545453,0.6,0.6428571428571429,0.65,0.75,1.0,0.05,0.7692307692307693,0.3333333333333333,0.3333333333333333,0.4,0.0425531914893617,0.5555555555555556,0.5555555555555556,1.0,0.2857142857142857,0.5,0.5555555555555556,0.4032071428571428,0.11320754716981132,0.12195121951219512,0.08333333333333333,0.19402985074626866,0.2037037037037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2010,2009-10,False
101111-101131-101198-1888-2732,1610612765,"Charlie Villanueva, Jason Maxiell, Will Bynum, Richard Hamilton, Ben Gordon","Villanueva, Maxiell, Bynum, Hamilton, Gordon",101111-101131-101198-1888-2732,DET,1267.0,9,21.0,-10.0,40.0,41.0,81.0,9.0,9.0,26.0,12.0,50.0,7.0,1.0,2.0,1.0,5.0,0.3157894736842105,0.038461538461538464,0.1111111111111111,0.4,92.05998421468034,15.075,16.195121951219512,14.075,14.926829268292684,0.23684210526315788,0.23684210526315788,0.5526315789473685,0.4640588235294118,30.724999999999998,4.0,2.0,5.0,9.0,8.0,13.0,40.0,2.0,4.0,7.0,16.0,10.0,2.0,8.0,10.0,3.0,22.0,2.0,,9.0,11.0,5.0,16.0,2.0,1.0,3.0,7.0,10.0,33.0,0.6153846153846154,0.6666666666666666,0.5,0.5,0.42105263157894735,0.7,0.46511627906976744,0.7,,0.6,0.18181818181818182,,0.5,0.25,,0.3333333333333333,0.75,,0.23684210526315788,0.5555555555555556,0.5555555555555556,0.6,0.21052631578947367,0.4,0.5048625,0.175,9.55,24.0,6.0,1.0,2.0,1.0,2.0,1.0,2.0,,2.0,1.0,0.16666666666666666,0.5,0.6666666666666666,0.75,0.5,25.0,2.0,3.0,1.0,1.0,7.0,2.0,8.0,,9.0,17.0,1.0,8.0,4.0,25.0,6.0,1.0,2.0,1.0,4.0,1.0,,1.0,4.0,1.0,11.0,3.0,,3.0,25.0,25.0,3.0,1.0,0.16666666666666666,0.125,0.2,0.5294117647058824,0.42,0.44642857142857145,0.5714285714285714,,,0.6666666666666666,0.25,0.25,0.5,0.07894736842105263,0.1111111111111111,0.1111111111111111,1.0,0.28,0.14285714285714285,0.14285714285714285,0.4668863636363636,0.075,0.10714285714285714,,0.625,0.625,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.5,0.4,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0,0.2,1.0,1.0,0.32,0.625,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2010,2009-10,False
101111-101131-101198-201155-201948,1610612765,"Charlie Villanueva, Jason Maxiell, Will Bynum, Rodney Stuckey, Austin Daye","Villanueva, Maxiell, Bynum, Stuckey, Daye",101111-101131-101198-201155-201948,DET,248.0,2,4.0,,8.0,7.0,15.0,4.0,,6.0,1.0,12.0,,,,,1.0,0.14285714285714285,,,,87.09677419354838,16.625,16.428571428571427,16.5,16.428571428571427,0.5714285714285714,,0.7142857142857143,0.5085714285714286,23.8,1.0,,1.0,2.0,,4.0,12.0,,,1.0,4.0,4.0,,2.0,3.0,,7.0,1.0,1.0,,1.0,1.0,2.0,,,1.0,3.0,1.0,11.0,0.5,0.5,0.6666666666666666,,0.7857142857142857,,0.75,0.5,,,0.5,1.0,1.0,0.5,1.0,,,,0.2857142857142857,0.5,0.5,,,,,0.08333333333333333,3.3666666666666667,1.0,3.0,,,,,,,,1.0,,,,0.75,0.75,,,,1.0,,,,1.0,1.0,1.0,,,,,,,3.0,,1.0,,2.0,,,,,,2.0,1.0,,,,,,1.0,1.0,,1.0,,,,,1.0,,0.6666666666666666,,,,0.14285714285714285,,,,,,,,0.125,0.14285714285714285,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2010,2009-10,False
101111-101131-101198-201155-201969,1610612765,"Charlie Villanueva, Jason Maxiell, Will Bynum, Rodney Stuckey, DaJuan Summers","Villanueva, Maxiell, Bynum, Stuckey, Summers",101111-101131-101198-201155-201969,DET,36.0,1,1.0,1.0,1.0,1.0,2.0,,,,1.0,2.0,,,,,,1.0,,,,80.0,17.0,19.0,17.0,19.0,,,1.0,0.62055,22.6,,,,,,,3.0,,,,,,,,1.0,,3.0,,,,,,,,,1.0,2.0,,3.0,,,,,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2010,2009-10,False
101111-101131-101198-201155-201973,1610612765,"Charlie Villanueva, Jason Maxiell, Will Bynum, Rodney Stuckey, Jonas Jerebko","Villanueva, Maxiell, Bynum, Stuckey, Jerebko",101111-101131-101198-201155-201973,DET,435.0,4,7.0,-7.0,11.0,12.0,23.0,5.0,1.0,9.0,2.0,18.0,1.0,1.0,1.0,,4.0,0.18181818181818182,0.1111111111111111,,0.25,76.13793103448276,23.272727272727273,14.916666666666666,20.727272727272727,14.583333333333334,0.45454545454545453,0.09090909090909091,0.6363636363636364,0.4854818181818182,25.35,2.0,2.0,,2.0,2.0,4.0,11.0,1.0,2.0,2.0,4.0,4.0,,2.0,3.0,,7.0,3.0,,2.0,3.0,3.0,6.0,,,4.0,9.0,4.0,9.0,0.5,0.5,0.4444444444444444,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,,0.5,0.5,1.0,1.0,,,0.18181818181818182,,,,0.18181818181818182,1.0,0.55085,0.18181818181818182,5.722222222222222,2.0,4.0,1.0,1.0,1.0,,,,,1.0,0.5,,0.5,0.8,0.8,0.5,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,,3.0,,1.0,,2.0,,1.0,,,,1.0,1.0,,,,1.0,,1.0,0.5,,0.5,,,,,,0.2,0.5,,,,0.09090909090909091,,,,1.0,,,0.45465,0.09090909090909091,0.1111111111111111,,,0.09090909090909091,,,1.0,,,,,,,1.0,,,,3.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2010,2009-10,False
101111-101131-101198-201155-2419,1610612765,"Charlie Villanueva, Jason Maxiell, Will Bynum, Rodney Stuckey, Tayshaun Prince","Villanueva, Maxiell, Bynum, Stuckey, Prince",101111-101131-101198-201155-2419,DET,59.0,1,1.0,-4.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,1.0,0.5,1.0,1.0,,122.03389830508475,15.5,9.333333333333334,14.5,9.333333333333334,0.5,0.5,1.0,0.509175,26.5,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,0.5,1.0,,,,,,,,,,0.44655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2010,2009-10,False
