EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyFtPoints,PenaltyPoints,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,PenaltyPointsPct,PenaltyOffPossPct,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,DefShortMidRangeReboundPct,Corner3FGM,Corner3FGA,Corner3Assists,BlockedShortMidRange,DefCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFGA,PenaltyFG2A,SecondChanceTurnovers,PenaltyTurnovers,PenaltyAtRimFrequency,PenaltyShotQualityAvg,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,ShortMidRangePctBlocked,OffCorner3ReboundPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SelfOReb,DefensiveGoaltends,LongMidRangePctBlocked,SelfORebPct,PenaltyAtRimFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Blocked3s,BlockedCorner3,NonShootingPenaltyNonTakeFouls,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Travels,SecondChanceCorner3FGM,SecondChanceCorner3FGA,LostBallOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedArc3,BlockedLongMidRange,Defensive 3 Seconds Violations,Corner3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,HeaveAttempts,3SecondViolations,team_id,year,season,team_vs
101115-1885-1897-200769-200770,1610612747,"Andrew Bynum, Lamar Odom, Metta World Peace, Shannon Brown, Jordan Farmar","Bynum, Odom, World Peace, Brown, Farmar",101115-1885-1897-200769-200770,LAL,1169.0,6,19.0,13.0,34.0,33.0,5.0,67,10.0,11.0,2.0,3.0,2.0,4.0,3.0,10.0,4.0,10.0,1.0,2.0,15.0,25.0,4.0,10.0,6.0,48.0,35.0,2.0,3.0,1.0,2.0,1.0,8.0,16.0,14.0,9.0,3.0,2.0,10.0,4.0,8.0,3.0,11.0,3.0,6.0,1.0,1.0,25.0,1.0,3.0,1.0,4.0,4.0,1.0,9.0,5.0,14.0,5.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,7.0,1.0,1.0,14.0,1.0,9.0,4.0,1.0,6.0,1.0,1.0,1.0,1.0,40.0,0.5333333333333333,0.5714285714285714,0.75,0.4,0.5,0.4,0.6,0.6666666666666666,0.6,0.7,0.6351351351351351,0.8,0.2857142857142857,0.6666666666666666,0.5,1.0,0.5714285714285714,0.3,1.0,0.16666666666666666,0.7272727272727273,0.25,1.0,0.14285714285714285,0.16666666666666666,1.0,0.5,1.0,82.53207869974337,1.0,16.558823529411764,18.363636363636363,15.735294117647058,18.09090909090909,0.3142857142857143,0.9090909090909091,0.9090909090909091,0.6,0.11428571428571428,0.5,0.5,0.5,0.2857142857142857,0.3,0.3,0.3333333333333333,0.2857142857142857,0.4,0.4,0.75,0.6,0.6666666666666666,0.5,0.4,0.5,1.0,0.6,0.4,0.5041585714285715,0.57735,0.16216216216216217,0.2222222222222222,0.16666666666666666,8.648,25.509999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2010,2009-10,True
101115-1885-1897-200769-965,1610612747,"Andrew Bynum, Lamar Odom, Metta World Peace, Shannon Brown, Derek Fisher","Bynum, Odom, World Peace, Brown, Fisher",101115-1885-1897-200769-965,LAL,70.0,1,1.0,-4.0,1.0,2.0,,3,,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.71428571428571,,37.0,16.5,37.0,16.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.4158,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2010,2009-10,True
101115-1885-1897-200769-977,1610612747,"Andrew Bynum, Lamar Odom, Metta World Peace, Shannon Brown, Kobe Bryant","Bynum, Odom, World Peace, Brown, Bryant",101115-1885-1897-200769-977,LAL,9.0,1,,2.0,1.0,1.0,,2,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,2.0,,,,,,,,2.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,320.0,,8.0,1.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2010,2009-10,True
101115-1885-1897-200770-2575,1610612747,"Andrew Bynum, Lamar Odom, Metta World Peace, Jordan Farmar, Luke Walton","Bynum, Odom, World Peace, Farmar, Walton",101115-1885-1897-200770-2575,LAL,105.0,1,2.0,-1.0,3.0,3.0,,6,1.0,2.0,,,,,,1.0,,,,,1.0,3.0,,,2.0,4.0,5.0,,,,,,,2.0,,,,,,,1.0,,1.0,,1.0,,,2.0,,1.0,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,1.0,,2.0,,,1.0,,,,,4.0,1.0,1.0,,,,,0.3333333333333333,,0.3333333333333333,,0.5,,,,,,1.0,0.5,,,1.0,0.5,,,,,,,82.28571428571429,,17.666666666666668,17.333333333333332,17.666666666666668,17.333333333333332,0.6666666666666666,0.5,1.0,1.0,,,,,0.3333333333333333,,,,,,,,,,,,,,0.6666666666666666,,0.5092,,0.25,0.25,,5.7,,,,,,,,,,,,,1.0,0.3333333333333333,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2010,2009-10,True
101115-1885-1897-200770-2756,1610612747,"Andrew Bynum, Lamar Odom, Metta World Peace, Jordan Farmar, Sasha Vujacic","Bynum, Odom, World Peace, Farmar, Vujacic",101115-1885-1897-200770-2756,LAL,557.0,4,9.0,-1.0,14.0,14.0,1.0,28,1.0,2.0,,,,1.0,3.0,7.0,,2.0,,,4.0,10.0,1.0,3.0,2.0,13.0,14.0,,1.0,,,,,6.0,2.0,3.0,,,2.0,,3.0,1.0,4.0,,,,3.0,9.0,,1.0,,3.0,4.0,,7.0,1.0,8.0,,,,1.0,1.0,,,1.0,,1.0,,,7.0,,2.0,,,1.0,2.0,,2.0,1.0,13.0,0.75,0.75,1.0,0.3333333333333333,,0.3333333333333333,0.4,,0.4230769230769231,,0.4642857142857143,,0.23076923076923078,1.0,,,0.6666666666666666,0.16666666666666666,0.42857142857142855,,0.5384615384615384,0.125,,0.25,,1.0,,0.3333333333333333,72.38779174147217,0.5,19.642857142857142,20.142857142857142,18.714285714285715,17.571428571428573,0.15384615384615385,0.5,0.5,,0.07692307692307693,,,,0.5384615384615384,0.42857142857142855,0.42857142857142855,1.0,0.15384615384615385,,,,,,,,,,0.38461538461538464,,0.4470807692307692,0.3986,0.07142857142857142,0.09090909090909091,,12.78,24.566666666666666,,,,,,,,,,,,,,,,0.6666666666666666,1.0,1.0,1.0,2.0,0.5,0.07692307692307693,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2010,2009-10,True
101115-1885-1897-200770-977,1610612747,"Andrew Bynum, Lamar Odom, Metta World Peace, Jordan Farmar, Kobe Bryant","Bynum, Odom, World Peace, Farmar, Bryant",101115-1885-1897-200770-977,LAL,282.0,3,5.0,3.0,10.0,8.0,1.0,18,2.0,3.0,1.0,1.0,2.0,2.0,,2.0,,,,,4.0,7.0,,,3.0,11.0,8.0,1.0,1.0,,,,2.0,4.0,4.0,,,2.0,,,2.0,,2.0,,1.0,1.0,,4.0,,1.0,,,3.0,,3.0,1.0,4.0,1.0,1.0,,2.0,1.0,,1.0,2.0,2.0,4.0,,,2.0,,4.0,,,2.0,,,,,9.0,0.5,0.6666666666666666,,,,,0.5714285714285714,1.0,0.5714285714285714,1.0,0.6111111111111112,1.0,,1.0,,,1.0,0.3333333333333333,,,1.0,0.3333333333333333,,,,,1.0,,91.91489361702128,,12.5,19.625,12.5,19.625,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,0.2857142857142857,1.0,1.0,0.5,0.2857142857142857,,,,,,,,1.0,1.0,,,,,0.42857142857142855,,0.4949571428571429,0.5384,0.2222222222222222,0.2222222222222222,0.18181818181818182,7.528571428571429,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2010,2009-10,True
101115-1885-1897-2200-977,1610612747,"Andrew Bynum, Lamar Odom, Metta World Peace, Pau Gasol, Kobe Bryant","Bynum, Odom, World Peace, Gasol, Bryant",101115-1885-1897-2200-977,LAL,180.0,1,3.0,3.0,6.0,6.0,,12,1.0,1.0,,,1.0,1.0,1.0,2.0,,,,,3.0,4.0,,2.0,2.0,8.0,5.0,,,,,,,2.0,4.0,,,,,,1.0,,1.0,,,1.0,,2.0,,,,,4.0,,4.0,,4.0,,,,,,,,,,2.0,,,1.0,,2.0,,,1.0,,,,,8.0,0.3333333333333333,0.3333333333333333,,,,,0.75,,0.5,,0.5714285714285714,,0.3333333333333333,,,,1.0,,,,1.0,,,,,1.0,1.0,,96.0,,9.0,21.0,9.0,21.0,0.16666666666666666,1.0,1.0,,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,,,,,,,,,,,,0.5,,0.46326666666666666,,0.14285714285714285,0.2,,10.65,22.7,,5.0,,,,,,,,,,,,,,1.0,,2.0,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2010,2009-10,True
101115-1885-1897-2575-965,1610612747,"Andrew Bynum, Lamar Odom, Metta World Peace, Luke Walton, Derek Fisher","Bynum, Odom, World Peace, Walton, Fisher",101115-1885-1897-2575-965,LAL,79.0,1,1.0,1.0,3.0,2.0,1.0,5,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,3.0,2.0,,1.0,,,,,,,3.0,,,1.0,1.0,,1.0,1.0,1.0,,,,3.0,,,,1.0,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,3.0,,,1.0,1.0,,1.0,,,0.75,,0.75,,0.5,1.0,,,,,1.0,,1.0,,,,,,,1.0,91.13924050632912,,13.0,20.0,9.0,19.0,,,,,0.5,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,0.5,1.0,0.462875,0.3781,,,,12.5,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2010,2009-10,True
101115-1885-1897-965-977,1610612747,"Andrew Bynum, Lamar Odom, Metta World Peace, Derek Fisher, Kobe Bryant","Bynum, Odom, World Peace, Fisher, Bryant",101115-1885-1897-965-977,LAL,1204.0,9,20.0,-10.0,37.0,35.0,5.0,72,3.0,5.0,,,3.0,9.0,7.0,13.0,,3.0,,1.0,13.0,27.0,,3.0,7.0,33.0,43.0,,1.0,,1.0,4.0,4.0,16.0,10.0,,,,3.0,,8.0,,8.0,,3.0,1.0,4.0,16.0,,5.0,,2.0,7.0,1.0,10.0,5.0,15.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,7.0,3.0,10.0,,3.0,10.0,1.0,8.0,,,4.0,2.0,2.0,2.0,2.0,29.0,0.6153846153846154,0.6153846153846154,,,,,0.48148148148148145,,0.43333333333333335,,0.4852941176470588,0.5,0.1,0.5714285714285714,1.0,,0.7777777777777778,0.35714285714285715,0.5,,0.6923076923076923,0.29411764705882354,,0.6666666666666666,,1.0,1.0,1.0,86.11295681063123,1.0,16.324324324324323,17.142857142857142,15.72972972972973,16.97142857142857,0.16666666666666666,0.6,0.75,1.0,0.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.43333333333333335,0.5384615384615384,0.5384615384615384,0.5714285714285714,0.1,,,,,,,0.5,,,0.26666666666666666,,0.45923448275862067,0.563475,0.11764705882352941,0.12903225806451613,0.12121212121212122,11.14074074074074,26.400000000000002,3.0,2.0,,,,,3.0,,,,0.08108108108108109,1.0,0.037037037037037035,0.2,0.5,0.3333333333333333,,,,,,,,,,1.0,2.0,1.0,1.0,0.5,0.5249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2010,2009-10,True
101115-1885-200747-200769-200770,1610612747,"Andrew Bynum, Lamar Odom, Adam Morrison, Shannon Brown, Jordan Farmar","Bynum, Odom, Morrison, Brown, Farmar",101115-1885-200747-200769-200770,LAL,88.0,1,1.0,,2.0,2.0,,4,,1.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,0.6666666666666666,,,,,1.0,,,65.45454545454545,,12.0,32.0,12.0,23.0,0.5,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,0.5062,,,,,8.5,,,,,,,,,,,,,1.0,0.5,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2010,2009-10,True
