EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,SecondChanceFG2A,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,FoulsDrawn,Loose Ball Fouls Drawn,BlockedAtRim,Assisted2sPct,NonPutbacksAssisted2sPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChanceFG2M,SecondChancePoints,Fg2aBlocked,LongMidRangeAssists,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,LongMidRangePctAssisted,SecondChancePointsPct,Steals,LostBallSteals,DeadBallTurnovers,Travels,SecondChanceTurnovers,ShootingFouls,Fouls,Corner3FGM,Corner3FGA,FG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,BadPassOutOfBoundsTurnovers,Offensive Fouls,Offensive Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFGM,Arc3FGM,SecondChanceArc3FGA,FtPoints,SecondChanceFG3A,PtsPutbacks,NonHeaveArc3FGM,Arc3Assists,OffThreePtRebounds,DefThreePtRebounds,BadPassSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Loose Ball Fouls,FTA,Technical Free Throw Trips,DefensiveGoaltends,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,DefArc3ReboundPct,SecondChanceFtPoints,NonShootingFoulsDrawn,FTDefRebounds,SelfOReb,DefFTReboundPct,SelfORebPct,PenaltyFtPoints,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,ShortMidRangeAssists,PenaltyFg3Pct,ShortMidRangePctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3Frequency,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,Fg3aBlocked,BlockedShortMidRange,3SecondViolations,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,Defensive 3 Seconds Violations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,HeaveAttempts,Clear Path Fouls,Blocked3s,BlockedArc3,BlockedCorner3,OffensiveGoaltends,team_id,year,season,team_vs
200752-200758-200766-201188-201589,1610612763,"Rudy Gay, Ronnie Brewer, Marcus Williams, Marc Gasol, Darrell Arthur","Gay, Brewer, Williams, Gasol, Arthur",200752-200758-200766-201188-201589,MEM,165.0,1,3.0,-1.0,6.0,5.0,6.0,5.0,11.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,96.0,1.0,17.5,12.0,17.5,12.0,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.3901625,0.3901625,1.0,13.366666666666667,26.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2010,2009-10,True
200752-200758-200766-201188-2216,1610612763,"Rudy Gay, Ronnie Brewer, Marcus Williams, Marc Gasol, Zach Randolph","Gay, Brewer, Williams, Gasol, Randolph",200752-200758-200766-201188-2216,MEM,119.0,1,2.0,,4.0,4.0,3.0,4.0,8.0,,1.0,1.0,,,2.0,4.0,,4.0,4.0,2.0,4.0,,4.0,2.0,,1.0,1.0,2.0,,,,,1.0,,1.0,,4.0,4.0,3.0,0.5,0.5,0.5,0.5,0.5,0.5,,,0.5,0.5,,1.0,96.80672268907563,,15.75,14.0,14.25,12.5,0.25,,,0.25,,,0.5,0.516975,0.516975,1.0,6.475,,0.75,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2010,2009-10,True
200752-200758-200766-201564-201934,1610612763,"Rudy Gay, Ronnie Brewer, Marcus Williams, O.J. Mayo, Hasheem Thabeet","Gay, Brewer, Williams, Mayo, Thabeet",200752-200758-200766-201564-201934,MEM,81.0,2,1.0,-1.0,2.0,3.0,,1.0,5.0,,,2.0,1.0,,1.0,3.0,1.0,2.0,3.0,,,,,,1.0,2.0,2.0,4.0,,,,,,,,,,,,0.3333333333333333,,0.25,,0.25,,0.25,,1.0,1.0,,1.0,88.88888888888889,,29.5,7.333333333333333,23.5,7.333333333333333,,,,0.5,0.25,,0.5,0.517575,,,12.1,25.4,,1.0,,1.0,,,,1.0,1.0,2.0,1.0,1.0,,2.0,2.0,2.0,,,,1.0,1.0,1.0,0.6666666666666666,,0.25,,,,0.5,0.5,,,,0.4076,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2010,2009-10,True
200752-200758-200766-201564-201970,1610612763,"Rudy Gay, Ronnie Brewer, Marcus Williams, O.J. Mayo, Sam Young","Gay, Brewer, Williams, Mayo, Young",200752-200758-200766-201564-201970,MEM,17.0,1,,2.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,,2.0,,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,84.70588235294117,,17.0,,17.0,,,,,,,,1.0,0.4141,0.4141,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2010,2009-10,True
200752-200758-200766-201564-2216,1610612763,"Rudy Gay, Ronnie Brewer, Marcus Williams, O.J. Mayo, Zach Randolph","Gay, Brewer, Williams, Mayo, Randolph",200752-200758-200766-201564-2216,MEM,43.0,1,1.0,,3.0,3.0,3.0,3.0,6.0,,,,,,2.0,2.0,,4.0,4.0,2.0,2.0,,4.0,4.0,,,,,,,1.0,1.0,,,,,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,200.93023255813952,,8.333333333333334,6.0,5.666666666666667,6.0,,,,,,,1.0,0.7067,0.7067,1.0,,,1.0,1.0,2.0,2.0,,2.0,2.0,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2010,2009-10,True
200752-200758-200766-201589-201632,1610612763,"Rudy Gay, Ronnie Brewer, Marcus Williams, Darrell Arthur, Hamed Haddadi","Gay, Brewer, Williams, Arthur, Haddadi",200752-200758-200766-201589-201632,MEM,148.0,1,2.0,2.0,5.0,5.0,,,10.0,,,2.0,,,1.0,2.0,1.0,5.0,3.0,,,,,,,3.0,3.0,3.0,,,2.0,,,,,,5.0,,,0.5,,0.8333333333333334,,0.8333333333333334,,0.3333333333333333,,0.75,0.75,1.0,1.0,97.29729729729729,,12.0,17.6,12.0,17.6,,,,0.6666666666666666,,,0.3333333333333333,0.47345,,,19.35,23.0,,,,,,,,1.0,,2.0,1.0,2.0,,5.0,,,1.0,,,1.0,1.0,,,,,,,,0.5,0.5,,,,,,,,1.0,,,,,,,,,1.0,,,,2.0,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2010,2009-10,True
200752-200758-200766-201589-201970,1610612763,"Rudy Gay, Ronnie Brewer, Marcus Williams, Darrell Arthur, Sam Young","Gay, Brewer, Williams, Arthur, Young",200752-200758-200766-201589-201970,MEM,779.0,2,13.0,-9.0,28.0,26.0,,,54.0,2.0,7.0,3.0,6.0,,9.0,17.0,7.0,22.0,31.0,,,,,10.0,6.0,5.0,6.0,10.0,4.0,3.0,8.0,,3.0,,3.0,1.0,18.0,,,0.5294117647058824,,0.4375,,0.4375,,0.2916666666666667,0.5,0.45454545454545453,0.5,,1.0,99.82028241335045,0.3333333333333333,13.607142857142858,15.307692307692308,13.321428571428571,14.76923076923077,0.2916666666666667,0.2857142857142857,0.2857142857142857,0.125,0.25,,0.5833333333333334,0.5247583333333333,,,7.1000000000000005,24.914285714285715,,4.0,7.0,7.0,2.0,,,,2.0,8.0,4.0,5.0,4.0,11.0,3.0,4.0,,,3.0,0.4444444444444444,0.5714285714285714,0.375,0.2857142857142857,0.4,0.2916666666666667,1.0,1.0,0.5714285714285714,,,0.6666666666666666,,,0.58405,2.0,4.0,,,1.0,0.6666666666666666,0.6666666666666666,,,,0.3333333333333333,0.3333333333333333,,0.18181818181818182,4.0,1.0,4.0,,1.0,,2.0,,1.0,1.0,3.0,1.0,,1.0,1.0,,1.0,0.14285714285714285,0.14285714285714285,0.041666666666666664,,,,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.2,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,0.3333333333333333,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2010,2009-10,True
200752-200758-200766-201589-2216,1610612763,"Rudy Gay, Ronnie Brewer, Marcus Williams, Darrell Arthur, Zach Randolph","Gay, Brewer, Williams, Arthur, Randolph",200752-200758-200766-201589-2216,MEM,78.0,1,1.0,2.0,2.0,2.0,,,4.0,,,,,,2.0,3.0,,4.0,2.0,,,,,4.0,,,,1.0,,,,,,,,,2.0,,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,,,,,73.84615384615384,,10.5,28.5,10.5,26.5,,,,,,,1.0,0.5980666666666666,,,,,,1.0,2.0,3.0,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,0.6666666666666666,0.6666666666666666,,,,1.0,,,0.5896,1.0,2.0,,,1.0,1.0,1.0,,,1.0,,,,0.5,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2010,2009-10,True
200752-200758-200766-201632-2216,1610612763,"Rudy Gay, Ronnie Brewer, Marcus Williams, Hamed Haddadi, Zach Randolph","Gay, Brewer, Williams, Haddadi, Randolph",200752-200758-200766-201632-2216,MEM,81.0,1,1.0,-2.0,2.0,2.0,,,4.0,,,1.0,,,1.0,1.0,,2.0,4.0,,,,,,,,,,,,1.0,,,,,,2.0,,,1.0,,1.0,,1.0,,,,,,,,71.1111111111111,,15.5,25.0,15.5,17.5,,,,1.0,,,,0.4237,,,17.1,,,,,,,,,1.0,,2.0,1.0,1.0,,2.0,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2010,2009-10,True
200752-200758-200766-201934-2216,1610612763,"Rudy Gay, Ronnie Brewer, Marcus Williams, Hasheem Thabeet, Zach Randolph","Gay, Brewer, Williams, Thabeet, Randolph",200752-200758-200766-201934-2216,MEM,143.0,1,2.0,1.0,5.0,5.0,,,10.0,,,3.0,1.0,,1.0,3.0,1.0,5.0,4.0,,,,,2.0,1.0,3.0,3.0,3.0,1.0,,1.0,,1.0,,1.0,1.0,5.0,,,0.3333333333333333,,0.625,,0.625,,0.25,1.0,0.375,0.375,0.5,,100.69930069930071,1.0,11.4,17.2,11.4,12.2,,,,0.75,0.25,,0.25,0.465825,,,17.133333333333333,26.3,,,,,,,,1.0,,,,1.0,,3.0,,,,,1.0,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,0.5,,,,,,,,1.0,2.0,,,1.0,3.0,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2010,2009-10,True
