EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,OffThreePtReboundPct,OffArc3ReboundPct,Blocked2s,BlockedAtRim,Blocks,ShortMidRangeFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,ShortMidRangeAssists,Defensive 3 Seconds Violations,SecondChanceFg3Pct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallSteals,BadPassTurnovers,Offensive Fouls Drawn,DefCorner3ReboundPct,Offensive Fouls,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,ThreePtShootingFoulsDrawn,OffCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Travels,HeaveAttempts,BlockedShortMidRange,ShortMidRangePctBlocked,DefensiveGoaltends,PtsUnassisted3s,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,RecoveredBlocks,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,Loose Ball Fouls Drawn,FTOffRebounds,OffFTReboundPct,BlockedLongMidRange,3SecondViolations,Technical Free Throw Trips,team_id,year,season,team_vs
101110-101143-201965-201967-201988,1610612757,"Martell Webster, Travis Diener, Jeff Ayres, Dante Cunningham, Patty Mills","Webster, Diener, Ayres, Cunningham, Mills",101110-101143-201965-201967-201988,POR,440.0,2,7.0,-3.0,14.0,15.0,14.0,14.0,3.0,29,2.0,5.0,1.0,2.0,2.0,5.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,10.0,1.0,2.0,5.0,14.0,17.0,1.0,2.0,2.0,3.0,10.0,1.0,2.0,5.0,14.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,3.0,2.0,2.0,1.0,5.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,4.0,7.0,1.0,2.0,2.0,12.0,14.0,14.0,2.0,2.0,0.6666666666666666,1.0,1.0,0.5,0.5,0.5,0.3,0.5,0.3,0.375,0.5,0.375,0.4666666666666667,0.5,0.4666666666666667,0.16666666666666666,0.1,0.2,0.5,1.0,0.5,0.42857142857142855,0.6666666666666666,0.5714285714285714,0.375,0.3333333333333333,0.5,0.5,1.0,0.5,0.6666666666666666,0.14285714285714285,94.9090909090909,13.0,17.2,12.857142857142858,17.066666666666666,0.4166666666666667,0.4,0.5,0.5,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.5,0.5,1.0,1.0,0.5,0.4166666666666667,0.4,0.16666666666666666,0.5,0.5833333333333334,0.5,0.5052541666666667,0.6062,0.5052541666666667,0.15384615384615385,0.18181818181818182,0.14285714285714285,1.0,6.9799999999999995,25.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
101110-1889-200746-200750-201164,1610612757,"Martell Webster, Andre Miller, LaMarcus Aldridge, Brandon Roy, Rudy Fernandez","Webster, Miller, Aldridge, Roy, Fernandez",101110-1889-200746-200750-201164,POR,69.0,1,1.0,-1.0,3.0,2.0,3.0,2.0,1.0,5,,,,,,,,,,,2.0,,2.0,,,,2.0,1.0,1.0,2.0,,,1.0,,,,2.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,,1.0,2.0,,1.0,,,1.0,3.0,,,,,,,,,,,,,,,0.16666666666666666,0.5,0.16666666666666666,1.0,,,,,,,,,1.0,,,,,,,,104.34782608695653,13.333333333333334,14.5,13.333333333333334,14.5,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,0.434025,,0.434025,0.3333333333333333,1.0,1.0,1.0,,25.45,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
101110-1889-200746-200750-201587,1610612757,"Martell Webster, Andre Miller, LaMarcus Aldridge, Brandon Roy, Nicolas Batum","Webster, Miller, Aldridge, Roy, Batum",101110-1889-200746-200750-201587,POR,24.0,1,,,1.0,1.0,1.0,1.0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,120.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
101110-1889-200746-200750-436,1610612757,"Martell Webster, Andre Miller, LaMarcus Aldridge, Brandon Roy, Juwan Howard","Webster, Miller, Aldridge, Roy, Howard",101110-1889-200746-200750-436,POR,40.0,1,1.0,2.0,1.0,,1.0,,,1,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,36.0,21.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
101110-1889-200746-200750-948,1610612757,"Martell Webster, Andre Miller, LaMarcus Aldridge, Brandon Roy, Marcus Camby","Webster, Miller, Aldridge, Roy, Camby",101110-1889-200746-200750-948,POR,203.0,2,3.0,1.0,6.0,6.0,,,1.0,12,2.0,5.0,,1.0,,,1.0,,1.0,1.0,1.0,,,3.0,7.0,1.0,1.0,,9.0,8.0,,1.0,3.0,,,,,,,6.0,,3.0,,1.0,1.0,3.0,3.0,1.0,4.0,1.0,2.0,,9.0,2.0,,2.0,1.0,3.0,2.0,5.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,6.0,,,,,1.0,1.0,1.0,1.0,,1.0,0.42857142857142855,,,0.5625,0.75,,0.5625,0.75,,0.125,0.42857142857142855,0.6,,1.0,1.0,0.5,,1.0,0.5,0.6666666666666666,,,,,,,85.1231527093596,19.166666666666668,14.666666666666666,18.0,14.666666666666666,0.625,0.4,1.0,1.0,0.125,0.125,,,,0.125,1.0,1.0,1.0,0.5,,,,,,0.75,1.0,0.52615,0.5244,,,,0.3333333333333333,,3.957142857142857,24.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
101110-1889-200746-201164-436,1610612757,"Martell Webster, Andre Miller, LaMarcus Aldridge, Rudy Fernandez, Juwan Howard","Webster, Miller, Aldridge, Fernandez, Howard",101110-1889-200746-201164-436,POR,516.0,3,9.0,3.0,15.0,17.0,,8.0,1.0,32,1.0,2.0,1.0,1.0,,,,3.0,4.0,4.0,6.0,,,4.0,6.0,4.0,6.0,3.0,23.0,20.0,1.0,1.0,2.0,,,,,,,,8.0,12.0,2.0,6.0,4.0,,,4.0,4.0,4.0,,,12.0,1.0,3.0,1.0,1.0,5.0,2.0,7.0,,2.0,1.0,2.0,1.0,,1.0,3.0,,,2.0,4.0,,4.0,6.0,,3.0,,21.0,,,2.0,,,,1.0,0.6666666666666666,,0.6666666666666666,0.6666666666666666,1.0,,0.8333333333333334,0.5,,0.7666666666666667,0.5,,0.5,,,0.6666666666666666,1.0,1.0,0.5,1.0,1.0,0.5,,,1.0,1.0,,1.0,,89.30232558139535,16.066666666666666,16.176470588235293,15.2,16.176470588235293,0.16666666666666666,0.5,0.5,,,0.3333333333333333,0.75,0.75,,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,,,,,0.6666666666666666,0.6666666666666666,0.5160125,0.60615,,0.2,0.3333333333333333,0.08695652173913043,,12.616666666666667,25.03333333333333,,,1.0,1.0,0.5,0.5,,,,,,1.0,,1.0,,,,,,,,0.5,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
101110-1889-200746-201164-948,1610612757,"Martell Webster, Andre Miller, LaMarcus Aldridge, Rudy Fernandez, Marcus Camby","Webster, Miller, Aldridge, Fernandez, Camby",101110-1889-200746-201164-948,POR,921.0,3,15.0,-6.0,27.0,26.0,11.0,2.0,4.0,53,7.0,11.0,2.0,3.0,2.0,3.0,5.0,1.0,9.0,,2.0,,2.0,10.0,25.0,,2.0,6.0,26.0,32.0,2.0,4.0,6.0,3.0,8.0,,2.0,4.0,10.0,12.0,8.0,,4.0,2.0,,,6.0,,6.0,,4.0,1.0,12.0,4.0,2.0,4.0,,6.0,5.0,11.0,1.0,2.0,1.0,1.0,,,,1.0,,,2.0,5.0,1.0,8.0,9.0,1.0,3.0,2.0,20.0,10.0,11.0,1.0,2.0,0.6,0.75,,,,,0.4,0.5,0.375,0.37037037037037035,0.5,0.3,0.41935483870967744,0.6,0.4166666666666667,0.07407407407407407,,,1.0,,0.5714285714285714,0.26666666666666666,0.5,0.5454545454545454,0.29411764705882354,0.25,0.6666666666666666,0.125,,0.6666666666666666,0.6666666666666666,0.058823529411764705,82.86644951140066,19.703703703703702,14.961538461538462,19.11111111111111,13.692307692307692,0.4074074074074074,0.6363636363636364,0.6363636363636364,0.5714285714285714,0.18518518518518517,0.3333333333333333,0.1111111111111111,0.1111111111111111,1.0,0.07407407407407407,,,,0.75,0.6666666666666666,0.3,0.6666666666666666,0.2,,0.48148148148148145,,0.4676444444444445,0.512,0.46596000000000004,0.10344827586206896,0.1111111111111111,0.23076923076923078,0.38461538461538464,8.283999999999999,24.3,0.4074074074074074,2.0,1.0,,0.5,0.5,1.0,1.0,1.0,2.0,,,,,1.0,1.0,,1.0,0.4,0.4,0.5,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
101110-1889-200746-201573-201587,1610612757,"Martell Webster, Andre Miller, LaMarcus Aldridge, Jerryd Bayless, Nicolas Batum","Webster, Miller, Aldridge, Bayless, Batum",101110-1889-200746-201573-201587,POR,75.0,2,1.0,1.0,5.0,5.0,4.0,4.0,,10,,,,,,,1.0,,,,,,,,1.0,,,3.0,3.0,2.0,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,1.0,2.0,,3.0,,3.0,,,,,,,,,,,1.0,2.0,1.0,2.0,4.0,,,2.0,3.0,3.0,4.0,,2.0,,,,,,,,,,,,,0.5,,0.75,,,,,,1.0,,0.3333333333333333,0.6,,,,,1.0,1.0,0.3333333333333333,,192.0,3.8,11.2,3.8,11.0,,,,,1.0,,,,,,,,,,,,,,,,,0.401,,,,,,1.0,7.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
101110-1889-200746-201573-201967,1610612757,"Martell Webster, Andre Miller, LaMarcus Aldridge, Jerryd Bayless, Dante Cunningham","Webster, Miller, Aldridge, Bayless, Cunningham",101110-1889-200746-201573-201967,POR,294.0,1,5.0,-5.0,9.0,9.0,1.0,,1.0,18,2.0,3.0,,1.0,,1.0,,,1.0,1.0,2.0,,,2.0,4.0,1.0,2.0,1.0,8.0,13.0,,1.0,,,2.0,,,,,,4.0,3.0,,2.0,1.0,,,1.0,1.0,1.0,,,3.0,1.0,2.0,2.0,,4.0,1.0,5.0,,,,2.0,,,1.0,2.0,,,,1.0,,4.0,4.0,,2.0,,8.0,,1.0,,,,,1.0,0.5,,0.5,0.5,,,0.5833333333333334,,,0.5,,,0.3333333333333333,,,1.0,,0.6666666666666666,0.5,1.0,0.8,0.3333333333333333,,,1.0,1.0,,1.0,,88.16326530612244,15.444444444444445,17.22222222222222,15.333333333333334,14.222222222222221,0.5,0.6666666666666666,0.6666666666666666,,,0.16666666666666666,,,,0.3333333333333333,0.5,0.5,1.0,1.0,,0.5,,,,0.8333333333333334,0.5,0.5465,0.5789,0.4834,0.25,0.3333333333333333,,,4.025,24.35,0.1111111111111111,,,,,,,,,,,,,,,,,0.5,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
101110-1889-200746-201573-436,1610612757,"Martell Webster, Andre Miller, LaMarcus Aldridge, Jerryd Bayless, Juwan Howard","Webster, Miller, Aldridge, Bayless, Howard",101110-1889-200746-201573-436,POR,333.0,2,6.0,-6.0,10.0,11.0,,,,21,1.0,2.0,,,,,1.0,,3.0,1.0,1.0,,,1.0,6.0,1.0,1.0,,5.0,11.0,,,,,,,,,,2.0,,3.0,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,5.0,,,3.0,,3.0,,3.0,,1.0,1.0,,3.0,,,3.0,,,,3.0,,,,,,,5.0,,,,,1.0,1.0,1.0,1.0,,1.0,0.16666666666666666,,,0.35714285714285715,,,0.35714285714285715,,,0.14285714285714285,,,,,1.0,,,0.6,,,,,,1.0,,,90.8108108108108,18.2,13.727272727272727,18.2,12.363636363636363,0.2857142857142857,0.5,0.5,1.0,0.14285714285714285,0.42857142857142855,,,,0.14285714285714285,1.0,1.0,1.0,,,,,,,0.42857142857142855,1.0,0.49812142857142855,,,,,,,9.950000000000001,26.4,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
