EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,Fg2aBlocked,OffThreePtRebounds,LostBallSteals,Loose Ball Fouls,Defensive 3 Seconds Violations,SecondChanceFg2Pct,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,AtRimFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,PenaltyAtRimFGA,PenaltyAtRimFrequency,SecondChanceCorner3FGA,FtPoints,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,OffArc3ReboundPct,DefShortMidRangeReboundPct,SecondChanceCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimFGM,PenaltyFtPoints,AtRimAssists,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,BadPassTurnovers,Technical Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,NonShootingPenaltyNonTakeFouls,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangePctAssisted,PtsUnassisted3s,Offensive Fouls,Loose Ball Fouls Drawn,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,PenaltyCorner3FGA,SelfOReb,NonShootingFoulsDrawn,DefensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,PenaltyCorner3Frequency,FTDefRebounds,3SecondViolations,DefFTReboundPct,SecondChanceAtRimFGM,SecondChanceFtPoints,PtsPutbacks,Travels,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFGM,SecondChanceTurnovers,PenaltyAtRimAccuracy,Corner3FGM,Corner3Assists,FTOffRebounds,Offensive Fouls Drawn,BlockedLongMidRange,ShortMidRangePctBlocked,OffFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,LongMidRangePctBlocked,HeaveAttempts,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends,Clear Path Fouls,Corner3PctBlocked,HeaveMakes,BlockedCorner3,team_id,year,season,team_vs
101124-1802-201151-201949-2436,1610612741,"Hakim Warrick, Brad Miller, Acie Law, James Johnson, Flip Murray","Warrick, Miller, Law, Johnson, Murray",101124-1802-201151-201949-2436,CHI,262.0,2,4.0,7.0,9.0,9.0,4.0,4.0,1.0,18.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,4.0,13.0,6.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,9.0,3.0,3.0,1.0,3.0,4.0,3.0,1.0,11.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,10.0,5.0,4.0,0.5,0.5,1.0,0.75,1.0,1.0,0.75,0.5,0.5,0.8125,1.5,0.8333333333333334,0.8125,1.5,0.8333333333333334,0.5,0.5,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,98.93129770992367,15.11111111111111,14.0,14.666666666666666,14.0,0.375,0.6666666666666666,0.6666666666666666,0.5,0.125,0.125,0.375,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.496675,0.5841,0.44523333333333337,0.23076923076923078,0.38461538461538464,12.125,24.525,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
101124-1802-201151-201949-2550,1610612741,"Hakim Warrick, Brad Miller, Acie Law, James Johnson, Kirk Hinrich","Warrick, Miller, Law, Johnson, Hinrich",101124-1802-201151-201949-2550,CHI,109.0,1,2.0,-1.0,4.0,3.0,,2.0,2.0,7.0,1.0,1.0,2.0,1.0,,,,,,,2.0,5.0,,1.0,4.0,5.0,,,2.0,,,,,,,4.0,,,,,,,,,,1.0,,,,2.0,2.0,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,0.4,,0.3333333333333333,0.5,,0.3333333333333333,0.5,,0.16666666666666666,,,0.3333333333333333,,,0.5,,,,,92.4770642201835,15.75,15.333333333333334,14.5,15.333333333333334,0.16666666666666666,1.0,1.0,,0.3333333333333333,0.16666666666666666,,,,,,,,,,0.5,,0.5349583333333333,0.3428,,0.5,,9.78,23.7,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,0.5,1.0,0.5,1.0,0.3333333333333333,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
101124-1802-201151-201959-2436,1610612741,"Hakim Warrick, Brad Miller, Acie Law, Taj Gibson, Flip Murray","Warrick, Miller, Law, Gibson, Murray",101124-1802-201151-201959-2436,CHI,57.0,1,1.0,,3.0,2.0,3.0,2.0,,5.0,,,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,3.0,3.0,,,,,1.0,1.0,1.0,3.0,,,3.0,1.0,1.0,,1.0,1.0,1.0,,3.0,,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,,,1.0,1.0,,1.0,1.0,,,0.75,,0.75,0.75,,0.75,0.5,1.0,1.0,,,1.0,,,,1.0,,126.31578947368422,10.0,13.5,10.0,13.5,,,,,,,0.5,1.0,1.0,1.0,,,,0.5,1.0,1.0,1.0,0.595375,,0.595375,,1.0,,24.4,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,,,,0.5,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
101124-1802-201151-201959-2457,1610612741,"Hakim Warrick, Brad Miller, Acie Law, Taj Gibson, Jannero Pargo","Warrick, Miller, Law, Gibson, Pargo",101124-1802-201151-201959-2457,CHI,182.0,1,3.0,6.0,5.0,5.0,,5.0,2.0,10.0,2.0,2.0,1.0,2.0,,1.0,,,,,2.0,3.0,,3.0,6.0,,,1.0,2.0,,,,,,,4.0,,1.0,,,,,,,,,1.0,3.0,4.0,2.0,6.0,1.0,,,,,,,,,,4.0,,,,,,,,,,0.6666666666666666,,0.3333333333333333,0.5,,0.42857142857142855,0.5,,0.5,,1.0,,1.0,1.0,0.5,,,1.0,1.0,79.12087912087912,21.8,14.6,15.8,14.6,0.3333333333333333,1.0,1.0,,0.16666666666666666,0.3333333333333333,0.16666666666666666,,,,,,,,,0.5,,0.4946083333333333,,,0.3333333333333333,,10.766666666666666,24.066666666666666,,,,,1.0,1.0,,2.0,1.0,,,1.0,,,0.6666666666666666,,0.5,,,,,,,1.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,0.5,0.2857142857142857,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
101124-1802-201151-2436-2457,1610612741,"Hakim Warrick, Brad Miller, Acie Law, Flip Murray, Jannero Pargo","Warrick, Miller, Law, Murray, Pargo",101124-1802-201151-2436-2457,CHI,457.0,3,8.0,,15.0,16.0,2.0,9.0,,31.0,1.0,2.0,3.0,,1.0,2.0,,,,,7.0,9.0,1.0,2.0,19.0,19.0,,,,,,,,1.0,6.0,8.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,,9.0,,,6.0,6.0,,6.0,1.0,1.0,1.0,2.0,,,3.0,1.0,1.0,3.0,19.0,1.0,2.0,0.42857142857142855,0.42857142857142855,1.0,0.5,,,0.5,0.7777777777777778,,0.7727272727272727,,,0.75,,0.5,0.18181818181818182,0.3333333333333333,0.8571428571428571,,,0.75,,,1.0,1.0,,97.68052516411379,13.4,16.0,13.4,14.375,0.18181818181818182,0.5,0.5,,0.2727272727272727,,0.18181818181818182,0.5,0.5,1.0,,,,,,0.5454545454545454,0.5,0.5198,,,,0.05263157894736842,7.633333333333334,24.95,0.13333333333333333,4.0,,3.0,,,,,,,1.0,,,,,,,0.36363636363636365,1.0,1.0,,,,,2.0,3.0,4.0,1.0,2.0,,0.5,,0.16666666666666666,0.2,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
101124-1802-201151-2436-2550,1610612741,"Hakim Warrick, Brad Miller, Acie Law, Flip Murray, Kirk Hinrich","Warrick, Miller, Law, Murray, Hinrich",101124-1802-201151-2436-2550,CHI,212.0,2,4.0,,6.0,5.0,,,,11.0,1.0,1.0,2.0,,1.0,1.0,,,,,2.0,3.0,1.0,1.0,7.0,7.0,,,,,,,,,2.0,2.0,,1.0,1.0,1.0,,1.0,,,2.0,,,2.0,2.0,,2.0,,,1.0,1.0,,,2.0,,1.0,2.0,7.0,,,0.5,0.5,,1.0,,,1.0,0.6666666666666666,,0.875,,,0.875,,,0.25,0.5,0.5,,,0.5,,,,0.5,,74.71698113207547,16.0,23.2,16.0,18.8,0.25,1.0,1.0,,0.5,,0.25,1.0,1.0,,,,,,,0.25,1.0,0.440825,,,,,14.833333333333334,25.3,,,,1.0,,,,,,,,,,,,,,,0.5,0.5,,,,,,1.0,,,,,1.0,,,,,,,1.0,,1.0,,2.0,1.0,2.0,,,,,1.0,3.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
101124-1802-201565-201949-2436,1610612741,"Hakim Warrick, Brad Miller, Derrick Rose, James Johnson, Flip Murray","Warrick, Miller, Rose, Johnson, Murray",101124-1802-201565-201949-2436,CHI,145.0,2,2.0,-4.0,5.0,5.0,,,,10.0,,1.0,1.0,,1.0,1.0,,,,,1.0,3.0,1.0,1.0,5.0,9.0,,,,,,,,,,2.0,3.0,1.0,1.0,,1.0,1.0,1.0,,3.0,,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,5.0,,,,,1.0,1.0,,,1.0,0.3333333333333333,,0.625,,,0.625,,,0.25,1.0,1.0,,,1.0,,,,1.0,,99.3103448275862,15.6,13.4,15.6,13.4,0.25,,,,0.25,,0.25,1.0,1.0,1.0,,,,,,0.5,1.0,0.5067,,,,,8.866666666666667,26.4,,1.0,,1.0,,,,,,,1.0,,,,,,,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
101124-1802-201565-201949-2550,1610612741,"Hakim Warrick, Brad Miller, Derrick Rose, James Johnson, Kirk Hinrich","Warrick, Miller, Rose, Johnson, Hinrich",101124-1802-201565-201949-2550,CHI,272.0,1,5.0,5.0,10.0,9.0,4.0,,3.0,19.0,,1.0,,1.0,,1.0,,1.0,,,1.0,6.0,,2.0,9.0,4.0,,1.0,,,1.0,,1.0,4.0,2.0,,,1.0,,1.0,,1.0,,,2.0,2.0,2.0,3.0,5.0,2.0,7.0,1.0,1.0,,,,,,,,2.0,9.0,4.0,4.0,1.0,1.0,,,,,,0.16666666666666666,,0.125,,,0.4090909090909091,,0.5,0.25,,0.6,0.4,1.0,0.7142857142857143,0.2857142857142857,,0.5,0.5,1.0,100.58823529411765,11.0,18.0,10.2,16.22222222222222,0.125,,,,,0.125,0.125,,,,0.5,,,,,0.875,,0.5868125,0.579775,0.656425,,0.4444444444444444,1.9666666666666668,24.55,0.4,5.0,1.0,,,1.0,1.0,,,2.0,,,0.16666666666666666,0.2,,0.25,,0.625,,,0.5,1.0,0.5,,7.0,4.0,7.0,1.0,3.0,,1.0,,0.3,0.375,1.0,4.0,1.0,,,,,,,,,0.2,0.25,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
101124-1802-201565-201959-2436,1610612741,"Hakim Warrick, Brad Miller, Derrick Rose, Taj Gibson, Flip Murray","Warrick, Miller, Rose, Gibson, Murray",101124-1802-201565-201959-2436,CHI,200.0,2,3.0,-4.0,5.0,7.0,,1.0,,12.0,1.0,1.0,1.0,,,1.0,,,,,1.0,3.0,,1.0,2.0,6.0,,,,,,,,,,2.0,,1.0,,,,,,,,,1.0,1.0,3.0,,3.0,,,,2.0,,,2.0,,,1.0,2.0,,,,,,,,,,0.3333333333333333,,0.25,,,0.25,,,0.25,,0.5,,0.5,0.5,,,,0.5,,86.39999999999999,19.4,14.714285714285714,19.4,13.0,0.25,1.0,1.0,,0.25,,0.25,,,,,,,,,0.5,,0.4581,,,,,9.466666666666667,39.8,,1.0,,,,,1.0,,,,,,0.3333333333333333,1.0,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
101124-1802-201565-201959-2550,1610612741,"Hakim Warrick, Brad Miller, Derrick Rose, Taj Gibson, Kirk Hinrich","Warrick, Miller, Rose, Gibson, Hinrich",101124-1802-201565-201959-2550,CHI,104.0,1,2.0,1.0,3.0,2.0,,,,5.0,1.0,1.0,1.0,,,,,,,,2.0,3.0,,,5.0,4.0,,,,,,,,,2.0,2.0,,,,1.0,,1.0,,,2.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,5.0,,,0.5,0.5,,,,,,0.6666666666666666,,0.6666666666666666,,,0.8333333333333334,,,,,0.5,,,0.5,,,,,,69.23076923076923,10.666666666666666,36.0,10.666666666666666,29.5,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,,,,,,0.3333333333333333,,0.4666333333333333,,,,,11.466666666666667,,,1.0,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,0.3333333333333333,0.3333333333333333,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2010,2009-10,True
