EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,OpponentPoints,PenaltyFG2A,PenaltyFG3A,NonHeaveArc3FGA,DefThreePtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,3SecondViolations,PenaltyOffPossExcludingTakeFouls,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,PenaltyPointsPct,ShortMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,FG2M,PenaltyFG2M,PtsUnassisted2s,Loose Ball Fouls Drawn,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,PenaltyCorner3Frequency,SecondChanceOffPoss,Arc3FGM,FG3M,SecondChanceFG2A,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,OffRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,TwoPtShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFtPoints,SecondChancePoints,Fg2aBlocked,OffTwoPtRebounds,Travels,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGM,LongMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted2s,PtsPutbacks,TwoPtAssists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,DefTwoPtRebounds,FTDefRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Offensive Fouls Drawn,PtsUnassisted3s,HeaveAttempts,OffensiveGoaltends,PenaltyCorner3FGM,3pt And 1 Free Throw Trips,PenaltyCorner3Accuracy,DefensiveGoaltends,team_id,year,season,team_vs
1563-200757-201953-201957-2041,1610612760,"Kevin Ollie, Thabo Sefolosha, Eric Maynor, Byron Mullens, Etan Thomas","Ollie, Sefolosha, Maynor, Mullens, Thomas",1563-200757-201953-201957-2041,OKC,135.0,1,2.0,-4.0,5.0,4.0,5.0,4.0,9,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.3333333333333333,1.0,1.0,1.0,96.0,17.0,12.5,17.0,12.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3779333333333333,0.3779333333333333,16.35,23.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2010,2009-10,False
1563-201586-201935-201953-2041,1610612760,"Kevin Ollie, Serge Ibaka, James Harden, Eric Maynor, Etan Thomas","Ollie, Ibaka, Harden, Maynor, Thomas",1563-201586-201935-201953-2041,OKC,73.0,1,1.0,-3.0,2.0,2.0,2.0,1.0,4,,,,,,,6.0,,,,,,,,,,,2.0,,,,,78.9041095890411,17.0,19.5,17.0,18.5,,,,,,,,,,1.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,0.75,0.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2010,2009-10,False
1563-201935-201953-201957-2041,1610612760,"Kevin Ollie, James Harden, Eric Maynor, Byron Mullens, Etan Thomas","Ollie, Harden, Maynor, Mullens, Thomas",1563-201935-201953-201957-2041,OKC,119.0,1,2.0,,4.0,4.0,4.0,4.0,8,1.0,1.0,,,2.0,1.0,3.0,2.0,1.0,,2.0,2.0,2.0,,,,,4.0,0.3333333333333333,1.0,0.5,1.0,96.80672268907563,12.25,17.5,12.25,14.25,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,0.46735,0.46735,9.85,23.5,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,0.375,0.375,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2010,2009-10,False
200757-201142-201145-201566-201586,1610612760,"Thabo Sefolosha, Kevin Durant, Jeff Green, Russell Westbrook, Serge Ibaka","Sefolosha, Durant, Green, Westbrook, Ibaka",200757-201142-201145-201566-201586,OKC,241.0,2,4.0,4.0,7.0,7.0,3.0,7.0,14,2.0,,4.0,1.0,2.0,5.0,6.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,,,3.0,0.7142857142857143,1.0,0.4,1.0,83.65145228215768,13.428571428571429,21.0,12.285714285714286,17.571428571428573,0.2857142857142857,,0.5714285714285714,0.5,0.7142857142857143,0.5196142857142857,0.369175,7.8,24.54,0.42857142857142855,2.0,10.0,2.0,4.0,,3.0,2.0,2.0,,10.0,4.0,,0.625,0.6666666666666666,0.4,1.0,1.0,,1.0,1.0,2.0,1.0,0.5,1.0,0.5714285714285714,0.5,0.5,0.5,0.14285714285714285,,1.0,2.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.4,0.4,0.6666666666666666,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.125,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2010,2009-10,False
200757-201142-201145-201566-201935,1610612760,"Thabo Sefolosha, Kevin Durant, Jeff Green, Russell Westbrook, James Harden","Sefolosha, Durant, Green, Westbrook, Harden",200757-201142-201145-201566-201935,OKC,130.0,1,2.0,-1.0,3.0,3.0,3.0,,6,,1.0,,,3.0,,5.0,3.0,,,,,2.0,1.0,1.0,1.0,,3.0,,,,,66.46153846153847,18.0,25.333333333333332,14.333333333333334,21.666666666666668,,0.3333333333333333,,,0.6666666666666666,0.6409666666666667,0.6409666666666667,5.166666666666667,,1.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,2.0,,2.0,4.0,,0.5,0.5,1.0,,,,1.0,1.0,2.0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,1.0,,,1.0,,,,,,,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,0.25,0.25,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.5,0.3333333333333333,0.5,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,0.5,0.666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2010,2009-10,False
200757-201142-201145-201566-2420,1610612760,"Thabo Sefolosha, Kevin Durant, Jeff Green, Russell Westbrook, Nenad Krstic","Sefolosha, Durant, Green, Westbrook, Krstic",200757-201142-201145-201566-2420,OKC,5361.0,6,89.0,-36.0,168.0,168.0,14.0,26.0,336,22.0,39.0,33.0,5.0,120.0,40.0,188.0,8.0,6.0,33.0,13.0,59.0,92.0,9.0,22.0,,,14.0,0.25,0.7647058823529411,0.6506024096385542,0.75,90.25181869054282,15.142857142857142,16.767857142857142,14.226190476190476,16.11904761904762,0.1375,0.24375,0.20625,0.35714285714285715,0.61875,0.5276434375,0.5730142857142857,7.661666666666666,24.8325,0.08333333333333333,39.0,152.0,8.0,21.0,12.0,33.0,33.0,45.0,2.0,118.0,21.0,1.0,0.41944444444444445,0.5526315789473685,0.13815789473684212,4.0,7.0,1.0,40.0,5.0,32.0,1.0,0.3333333333333333,0.625,0.353125,0.4642857142857143,0.18181818181818182,0.2,0.04375,0.07142857142857142,30.0,9.0,11.0,19.0,33.0,9.0,11.0,35.0,9.0,81.0,10.0,33.0,12.0,6.0,1.0,3.0,21.0,12.0,1.0,,9.0,13.0,6.0,3.0,1.0,0.275,0.275,0.3448275862068966,0.30275229357798167,0.375,0.2,0.46153846153846156,0.2727272727272727,0.2727272727272727,1.0,0.2727272727272727,0.12359550561797752,0.15328467153284672,26.0,59.0,13.0,5.0,6.0,12.0,34.0,15.0,23.0,,0.5666666666666667,0.125,0.1864406779661017,0.2875,0.3333333333333333,0.2413793103448276,0.36875,0.4406779661016949,0.5416666666666666,0.5652173913043478,0.42857142857142855,0.8333333333333334,0.5299441176470588,0.2236842105263158,7.0,10.0,2.0,1.0,1.0,1.0,3.0,1.0,8.0,2.0,4.0,1.0,48.0,6.0,24.0,2.0,16.0,1.0,7.0,41.0,5.0,3.0,6.0,13.0,6.0,1.0,7.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,0.6,0.6486486486486487,0.5,0.16666666666666666,0.42105263157894735,0.4782608695652174,0.09090909090909091,0.05128205128205128,0.5909090909090909,0.8333333333333334,0.6212121212121212,0.2777777777777778,0.34782608695652173,0.7391304347826086,0.8,0.8,0.031914893617021274,0.6153846153846154,0.25,0.2564102564102564,0.2702702702702703,0.7,0.2857142857142857,0.2857142857142857,1.0,0.5384615384615384,0.42857142857142855,0.043478260869565216,1.0,1.0,0.13043478260869565,0.3333333333333333,1.0,0.2,0.024390243902439025,,,,,,,,,1610612760,2010,2009-10,False
200757-201142-201145-201566-2555,1610612760,"Thabo Sefolosha, Kevin Durant, Jeff Green, Russell Westbrook, Nick Collison","Sefolosha, Durant, Green, Westbrook, Collison",200757-201142-201145-201566-2555,OKC,741.0,6,12.0,11.0,25.0,24.0,14.0,9.0,49,4.0,4.0,1.0,,16.0,4.0,18.0,10.0,,1.0,6.0,10.0,12.0,2.0,4.0,3.0,,14.0,0.2,0.75,0.7692307692307693,0.8,95.22267206477733,12.72,17.625,12.68,17.041666666666668,0.2,0.2,0.05,,0.6,0.4915825,0.47088,7.64375,24.15,0.56,8.0,29.0,4.0,14.0,2.0,8.0,9.0,12.0,2.0,27.0,14.0,2.0,0.58,0.5384615384615384,0.4827586206896552,3.0,3.0,,9.0,5.0,16.0,1.0,0.5625,0.5,0.525,0.5,0.75,0.75,0.15,,1.0,,1.0,1.0,3.0,,1.0,2.0,,5.0,,2.0,2.0,1.0,,2.0,5.0,,,,,,,,1.0,0.25,0.25,,0.25,,,,,,,,0.21739130434782608,0.2631578947368421,5.0,8.0,1.0,3.0,5.0,,2.0,,2.0,,1.0,,,0.3333333333333333,0.6666666666666666,,0.4,0.625,0.625,1.0,0.5,0.6,0.5775,0.06896551724137931,1.0,1.0,1.0,,,,,,1.0,,,,2.0,2.0,1.0,1.0,1.0,,,4.0,,,1.0,2.0,,,2.0,,,1.0,2.0,,,,,,0.1111111111111111,0.125,,,1.0,1.0,,,0.5,,0.8,,,1.0,0.6666666666666666,0.6666666666666666,,0.2,,0.25,0.25,,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,,,,,1.0,,,,,,,,1610612760,2010,2009-10,False
200757-201142-201145-201586-201953,1610612760,"Thabo Sefolosha, Kevin Durant, Jeff Green, Serge Ibaka, Eric Maynor","Sefolosha, Durant, Green, Ibaka, Maynor",200757-201142-201145-201586-201953,OKC,187.0,1,3.0,7.0,6.0,7.0,1.0,4.0,13,1.0,2.0,,,6.0,,4.0,1.0,,,1.0,3.0,4.0,,,,,1.0,,0.5,0.75,0.5,100.10695187165776,13.5,15.142857142857142,12.833333333333334,10.714285714285714,0.16666666666666666,0.3333333333333333,,,0.5,0.5231,0.3063,6.916666666666667,,0.16666666666666666,3.0,11.0,,2.0,1.0,1.0,2.0,3.0,,11.0,2.0,,0.7857142857142857,1.0,0.18181818181818182,,,,4.0,1.0,4.0,,0.6666666666666666,1.0,0.6666666666666666,1.0,,,,,1.0,,,1.0,,,,2.0,,4.0,,1.0,1.0,1.0,,,2.0,1.0,,,1.0,1.0,1.0,,,,,,0.5,,,1.0,,,,,0.2857142857142857,0.2857142857142857,2.0,3.0,1.0,,,,,2.0,1.0,,,0.3333333333333333,0.3333333333333333,0.5,,,0.5,0.6666666666666666,1.0,1.0,,,0.4485,,,2.0,,,,,,,,,,,4.0,,2.0,,1.0,,1.0,2.0,,,,,,,,,,,1.0,,,,,,0.5,0.5,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,0.5,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,1610612760,2010,2009-10,False
200757-201142-201145-201953-2420,1610612760,"Thabo Sefolosha, Kevin Durant, Jeff Green, Eric Maynor, Nenad Krstic","Sefolosha, Durant, Green, Maynor, Krstic",200757-201142-201145-201953-2420,OKC,292.0,1,5.0,,10.0,10.0,,6.0,20,1.0,2.0,3.0,,5.0,4.0,10.0,,,3.0,,1.0,1.0,,1.0,,,,0.4444444444444444,,0.3333333333333333,,98.63013698630138,15.5,13.7,15.5,13.2,0.1111111111111111,0.2222222222222222,0.3333333333333333,,0.6666666666666666,0.52785,,9.64,24.85,,,10.0,,,1.0,3.0,,,,10.0,,,0.5555555555555556,,,,1.0,,2.0,,2.0,,0.4,,0.5555555555555556,,,,0.1111111111111111,,,1.0,2.0,,3.0,1.0,1.0,2.0,,5.0,,,2.0,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,0.5,0.5,0.5,,,,,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,1.0,2.0,,,,,,,,,,,,,,,0.2222222222222222,0.5,0.5,,,,,,,1.0,1.0,,,,,,,,,,2.0,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,0.5,0.5,,,,,,,1.0,,0.3333333333333333,,,,1.0,,,1.0,,0.5,0.5,,1.0,1.0,1.0,,,,,,,,,,,,3.0,,,,,,,1610612760,2010,2009-10,False
200757-201142-201145-201953-2555,1610612760,"Thabo Sefolosha, Kevin Durant, Jeff Green, Eric Maynor, Nick Collison","Sefolosha, Durant, Green, Maynor, Collison",200757-201142-201145-201953-2555,OKC,27.0,1,,-3.0,,1.0,,1.0,1,,,,,,,3.0,,,,,,,,,,,,,,,,53.33333333333333,,20.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2010,2009-10,False
