EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,NonHeaveArc3FGA,NonHeaveArc3FGM,Arc3Assists,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,DefCorner3ReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PtsPutbacks,Fg2aBlocked,LongMidRangeAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,SecondChanceFG3A,Loose Ball Fouls,SecondChanceCorner3Frequency,FTOffRebounds,Loose Ball Fouls Drawn,OffFTReboundPct,ShortMidRangeAssists,Travels,BlockedAtRim,ShortMidRangePctAssisted,LostBallTurnovers,Blocked3s,BlockedCorner3,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceArc3FGA,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,SecondChanceArc3Frequency,HeaveAttempts,BlockedArc3,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,3SecondViolations,StepOutOfBoundsTurnovers,DefensiveGoaltends,Clear Path Fouls,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends,HeaveMakes,team_id,year,season,team_vs
101110-101143-201573-201587-201965,1610612757,"Martell Webster, Travis Diener, Jerryd Bayless, Nicolas Batum, Jeff Ayres","Webster, Diener, Bayless, Batum, Ayres",101110-101143-201573-201587-201965,POR,290.0,1,5.0,1.0,8.0,9.0,1.0,1.0,17.0,4.0,5.0,1.0,1.0,1.0,1.0,4.0,7.0,1.0,1.0,1.0,12.0,11.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,2.0,2.0,4.0,1.0,5.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,0.5,0.5,1.0,1.0,1.0,0.5714285714285714,0.6875,0.6666666666666666,0.125,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,84.41379310344828,1.0,15.25,18.666666666666668,14.875,18.666666666666668,0.625,0.8,0.8,0.5,0.125,0.125,0.125,1.0,1.0,1.0,0.75,0.52585625,0.2222222222222222,0.25,4.7,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,True
101110-101143-201573-201587-201967,1610612757,"Martell Webster, Travis Diener, Jerryd Bayless, Nicolas Batum, Dante Cunningham","Webster, Diener, Bayless, Batum, Cunningham",101110-101143-201573-201587-201967,POR,121.0,1,2.0,-2.0,5.0,4.0,3.0,,9.0,,1.0,1.0,1.0,,,,3.0,1.0,2.0,,3.0,5.0,,,3.0,,1.0,1.0,,,3.0,,1.0,1.0,2.0,,2.0,1.0,1.0,,,,,,,,,3.0,,,1.0,0.5,0.5,,0.3,0.3,0.4,1.0,,1.0,1.0,,,1.0,,,107.10743801652893,,13.2,13.75,13.2,13.75,0.2,,,,0.2,0.2,,,,,0.6,0.50717,,,11.5,24.75,5.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,5.0,0.5,0.3,0.3,1.0,0.4,0.5,0.5,1.0,0.2,0.4,0.5,0.5,0.50717,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,True
101110-101143-201573-201965-201967,1610612757,"Martell Webster, Travis Diener, Jerryd Bayless, Jeff Ayres, Dante Cunningham","Webster, Diener, Bayless, Ayres, Cunningham",101110-101143-201573-201965-201967,POR,1048.0,4,17.0,22.0,37.0,38.0,16.0,7.0,75.0,9.0,13.0,5.0,9.0,,1.0,17.0,27.0,3.0,9.0,7.0,50.0,28.0,6.0,28.0,9.0,3.0,3.0,6.0,,2.0,15.0,3.0,5.0,11.0,17.0,6.0,23.0,,5.0,9.0,11.0,1.0,5.0,,,,,45.0,0.17647058823529413,0.1875,1.0,0.3333333333333333,0.3333333333333333,0.6296296296296297,0.5972222222222222,0.6097560975609756,0.25,0.7857142857142857,0.3,0.8333333333333334,0.8,0.375,,0.8,0.8,0.8,103.05343511450383,,12.81081081081081,15.105263157894736,12.243243243243244,14.078947368421053,0.3611111111111111,0.6923076923076923,0.75,0.2222222222222222,0.1388888888888889,0.25,0.027777777777777776,,,,0.6111111111111112,0.5512763888888889,0.125,0.16129032258064516,6.859259259259259,25.055555555555557,17.0,7.0,3.0,8.0,,1.0,15.0,,1.0,26.0,8.0,3.0,3.0,26.0,17.0,,0.75,0.7222222222222222,1.0,0.2222222222222222,0.375,0.375,1.0,0.4375,0.0625,,0.375,0.565,0.52,0.4594594594594595,1.0,1.0,6.0,2.0,6.0,1.0,3.0,3.0,5.0,12.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.8,0.3333333333333333,0.5,0.037037037037037035,0.07692307692307693,0.5,1.0,0.5,0.5,0.3333333333333333,0.4,1.0,0.75,0.06666666666666667,0.4,0.4,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.3333333333333333,1.0,0.8571428571428571,0.6502,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,True
101110-101183-1889-200750-436,1610612757,"Martell Webster, Shavlik Randolph, Andre Miller, Brandon Roy, Juwan Howard","Webster, Randolph, Miller, Roy, Howard",101110-101183-1889-200750-436,POR,48.0,1,1.0,,2.0,1.0,1.0,1.0,3.0,,1.0,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,,90.0,,13.0,22.0,11.0,22.0,0.3333333333333333,,,,0.3333333333333333,,,,,,0.6666666666666666,0.49219999999999997,,,4.3,24.7,,,,1.0,,,,,,,1.0,,,,,,,,,0.3333333333333333,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,True
101110-101183-1889-201967-2581,1610612757,"Martell Webster, Shavlik Randolph, Andre Miller, Dante Cunningham, Steve Blake","Webster, Randolph, Miller, Cunningham, Blake",101110-101183-1889-201967-2581,POR,38.0,1,1.0,2.0,2.0,2.0,2.0,,4.0,,,,1.0,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,1.0,2.0,,2.0,,,1.0,2.0,,,,,,,2.0,,,,,,,,0.5,,1.0,,,1.0,,,1.0,,,151.57894736842107,,7.0,12.0,7.0,12.0,,,,,,1.0,,,,,,0.3998,,,19.5,,2.0,,,,,,1.0,,,2.0,,,,2.0,2.0,,,0.5,,,,,,,,,,0.3998,1.0,1.0,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,True
101110-101183-201573-201965-201967,1610612757,"Martell Webster, Shavlik Randolph, Jerryd Bayless, Jeff Ayres, Dante Cunningham","Webster, Randolph, Bayless, Ayres, Cunningham",101110-101183-201573-201965-201967,POR,58.0,1,1.0,1.0,2.0,2.0,,,4.0,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,2.0,,,,,,,1.0,,,,,,,,0.25,,1.0,,,1.0,,,,,,99.3103448275862,,12.0,17.0,12.0,17.0,,,,,,1.0,,,,,,0.3452,,,22.6,,2.0,,,,,,1.0,,,1.0,,,,1.0,2.0,,,0.25,,,,,,,,,,0.3452,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,True
101110-101183-201573-201965-201988,1610612757,"Martell Webster, Shavlik Randolph, Jerryd Bayless, Jeff Ayres, Patty Mills","Webster, Randolph, Bayless, Ayres, Mills",101110-101183-201573-201965-201988,POR,164.0,1,3.0,-6.0,6.0,6.0,,,12.0,1.0,1.0,1.0,2.0,,,1.0,4.0,,,,2.0,8.0,2.0,,,1.0,,1.0,,1.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,2.0,1.0,1.0,,,,0.25,0.25,0.25,,0.3333333333333333,,,0.3333333333333333,,,,0.3333333333333333,,105.36585365853658,,11.0,16.333333333333332,11.0,15.0,0.25,1.0,1.0,1.0,0.25,0.5,,,,,0.25,0.53735,,,13.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,True
101110-101183-201573-201967-2581,1610612757,"Martell Webster, Shavlik Randolph, Jerryd Bayless, Dante Cunningham, Steve Blake","Webster, Randolph, Bayless, Cunningham, Blake",101110-101183-201573-201967-2581,POR,63.0,1,1.0,2.0,2.0,3.0,3.0,,5.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,3.0,,2.0,3.0,,1.0,1.0,1.0,,3.0,,,1.0,1.0,,1.0,,,,,,,,,,,5.0,,,1.0,1.0,1.0,1.0,1.25,1.25,0.5,0.5,,,0.5,,,,,,114.28571428571428,,6.0,17.0,6.0,16.666666666666668,0.5,1.0,1.0,,,,0.5,1.0,1.0,1.0,1.0,0.58665,,,,22.6,2.0,1.0,,,,,1.0,1.0,1.0,5.0,,,,5.0,2.0,1.0,1.25,1.25,,,,,,0.5,,,,0.58665,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.5,,,,,,,,,1.0,,,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,True
101110-1889-200746-200750-201141,1610612757,"Martell Webster, Andre Miller, LaMarcus Aldridge, Brandon Roy, Greg Oden","Webster, Miller, Aldridge, Roy, Oden",101110-1889-200746-200750-201141,POR,579.0,4,10.0,6.0,21.0,17.0,13.0,2.0,38.0,5.0,8.0,5.0,6.0,,1.0,12.0,19.0,,2.0,3.0,27.0,21.0,6.0,18.0,,3.0,,3.0,,3.0,6.0,2.0,2.0,3.0,6.0,4.0,10.0,1.0,2.0,3.0,5.0,1.0,2.0,,,,,23.0,0.25,0.3,,,,0.631578947368421,0.5714285714285714,0.5869565217391305,0.09523809523809523,1.0,0.2857142857142857,0.5,0.7142857142857143,0.4444444444444444,,1.0,,0.3333333333333333,94.50777202072538,,15.523809523809524,14.882352941176471,14.428571428571429,14.882352941176471,0.38095238095238093,0.625,1.0,0.6,0.23809523809523808,0.2857142857142857,0.047619047619047616,,,,0.47619047619047616,0.5062476190476191,0.09090909090909091,0.1,8.715789473684211,24.25,3.0,1.0,,1.0,,,4.0,,1.0,4.0,1.0,,,4.0,3.0,,0.2,0.3333333333333333,1.0,0.047619047619047616,,,,0.2,,,,0.47937,0.14814814814814814,0.14285714285714285,1.0,2.0,,4.0,3.0,2.0,3.0,,4.0,1.0,2.0,4.0,3.0,,2.0,1.0,,2.0,1.0,1.0,2.0,2.0,,2.0,,,,,1.0,1.0,1.0,0.6666666666666666,0.25,0.5,0.5,0.15789473684210525,0.375,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,0.8,0.8,0.5,0.5,,0.5,0.5,,0.533775,0.14814814814814814,,1.0,0.2,,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,True
101110-1889-200746-200750-201164,1610612757,"Martell Webster, Andre Miller, LaMarcus Aldridge, Brandon Roy, Rudy Fernandez","Webster, Miller, Aldridge, Roy, Fernandez",101110-1889-200746-200750-201164,POR,178.0,5,3.0,-4.0,7.0,7.0,7.0,1.0,14.0,,2.0,,2.0,,,1.0,4.0,,,4.0,6.0,10.0,,2.0,,,,,,,,1.0,2.0,,2.0,2.0,4.0,,1.0,3.0,4.0,,,,,,,4.0,,,,,,0.25,0.25,0.5,,,0.5,1.0,0.6666666666666666,0.5,,,,1.0,113.25842696629213,,14.857142857142858,10.571428571428571,13.0,10.571428571428571,0.5,,,,,0.5,,,,,0.5,0.376675,,,7.65,,6.0,1.0,,,,,2.0,,,6.0,,,,6.0,6.0,,0.5,0.75,,,,,,0.5,,,,0.3662,1.0,0.8571428571428571,,,,,1.0,1.0,1.0,,2.0,1.0,4.0,,1.0,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,0.5,1.0,1.0,0.25,0.5,,,,1.0,,,,,,,,0.5,0.5,,,,,0.3742,0.3333333333333333,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,True
