EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefThreePtRebounds,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SecondChanceArc3FGA,SecondChanceFtPoints,Fg2aBlocked,LiveBallTurnovers,BadPassTurnovers,Turnovers,Offensive Fouls Drawn,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,SecondChanceArc3Frequency,DeadBallTurnovers,PenaltyArc3FGM,PenaltyArc3FGA,Arc3Assists,LongMidRangeAssists,FTDefRebounds,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,DefFTReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,ShortMidRangeFGM,SecondChanceArc3FGM,LostBallTurnovers,Travels,SecondChanceTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BadPassSteals,ShortMidRangeAssists,Blocked3s,BlockedCorner3,BlockedShortMidRange,DefCorner3ReboundPct,ShortMidRangePctAssisted,Technical Free Throw Trips,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,PtsPutbacks,Loose Ball Fouls,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,FTOffRebounds,OffFTReboundPct,HeaveAttempts,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,DefensiveGoaltends,ThreePtShootingFoulsDrawnPct,LostBallOutOfBoundsTurnovers,BlockedArc3,3SecondViolations,BlockedLongMidRange,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
101138-101162-1533-200755-2554,1610612753,"Brandon Bass, Marcin Gortat, Anthony Johnson, JJ Redick, Mickael Pietrus","Bass, Gortat, Johnson, Redick, Pietrus",101138-101162-1533-200755-2554,ORL,285.0,1,5.0,5.0,9.0,8.0,6.0,8.0,2.0,17.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,6.0,2.0,4.0,3.0,17.0,12.0,1.0,1.0,1.0,2.0,5.0,4.0,5.0,1.0,3.0,1.0,12.0,4.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,12.0,12.0,6.0,1.0,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.5,0.6666666666666666,1.0,0.8,0.7,0.8333333333333334,0.6875,0.7727272727272727,0.8333333333333334,0.75,0.4,0.5,0.5,1.0,0.5,0.75,1.0,1.0,0.5,0.25,85.89473684210526,18.333333333333332,15.0,16.555555555555557,14.625,0.3,1.0,1.0,0.6666666666666666,0.1,0.2,0.5,0.5,0.3,0.3333333333333333,0.3333333333333333,1.0,0.1,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.5,1.0,0.375,1.0,0.375,0.3333333333333333,0.7,1.0,0.46992500000000004,0.544875,0.4913,0.18181818181818182,0.2857142857142857,0.29411764705882354,0.7058823529411765,7.7,24.075,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,False
101138-101162-1713-1715-200755,1610612753,"Brandon Bass, Marcin Gortat, Vince Carter, Jason Williams, JJ Redick","Bass, Gortat, Carter, Williams, Redick",101138-101162-1713-1715-200755,ORL,73.0,1,1.0,4.0,2.0,2.0,2.0,2.0,,4.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,2.0,4.0,,,,,,,1.0,1.0,,,2.0,4.0,,2.0,,,,,,,,,,,,,1.0,2.0,,2.0,,,,1.0,2.0,,1.0,4.0,4.0,2.0,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,78.9041095890411,18.0,18.5,18.0,18.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,0.5912,,0.5912,0.5,0.5,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,False
101138-101162-1713-1715-2554,1610612753,"Brandon Bass, Marcin Gortat, Vince Carter, Jason Williams, Mickael Pietrus","Bass, Gortat, Carter, Williams, Pietrus",101138-101162-1713-1715-2554,ORL,,1,,-2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,False
101138-101162-1713-2440-2749,1610612753,"Brandon Bass, Marcin Gortat, Vince Carter, Matt Barnes, Jameer Nelson","Bass, Gortat, Carter, Barnes, Nelson",101138-101162-1713-2440-2749,ORL,129.0,2,2.0,,5.0,4.0,1.0,,2.0,9.0,,1.0,,,,,1.0,,1.0,,,,,,,,2.0,,3.0,,2.0,2.0,2.0,2.0,,,,2.0,2.0,,1.0,,,,,,,,,2.0,,,,,,,,1.0,2.0,1.0,1.0,3.0,4.0,,,1.0,2.0,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,0.16666666666666666,0.3333333333333333,,0.4,1.0,0.6666666666666666,0.5,1.0,0.6,1.0,,,,100.46511627906978,19.4,8.0,14.6,6.5,0.2,,,,0.2,0.2,,,,,,,0.4,,,,,,,,,,,,0.6,,0.49184,0.5514,0.4378,0.16666666666666666,0.25,1.0,,8.533333333333333,25.5,0.2,,,,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,False
101138-101162-1713-2554-2749,1610612753,"Brandon Bass, Marcin Gortat, Vince Carter, Mickael Pietrus, Jameer Nelson","Bass, Gortat, Carter, Pietrus, Nelson",101138-101162-1713-2554-2749,ORL,70.0,1,1.0,-2.0,2.0,2.0,,1.0,,4.0,,,,,,,,,,,1.0,,,,,,1.0,,,,2.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,82.28571428571428,21.5,13.5,21.5,13.5,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,1.0,,0.55785,,,,,,,,24.1,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,False
101138-101162-1715-200755-2554,1610612753,"Brandon Bass, Marcin Gortat, Jason Williams, JJ Redick, Mickael Pietrus","Bass, Gortat, Williams, Redick, Pietrus",101138-101162-1715-200755-2554,ORL,505.0,4,8.0,9.0,15.0,19.0,10.0,12.0,1.0,34.0,3.0,3.0,,,1.0,1.0,1.0,2.0,3.0,,,,,,,2.0,4.0,5.0,7.0,2.0,4.0,6.0,22.0,13.0,1.0,1.0,,,2.0,2.0,3.0,2.0,3.0,4.0,14.0,4.0,6.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,,1.0,7.0,,1.0,6.0,8.0,1.0,9.0,,5.0,5.0,4.0,6.0,,2.0,20.0,14.0,10.0,,0.4,0.4,0.5,0.5,,0.6666666666666666,0.5,0.7142857142857143,1.0,0.6666666666666666,0.7272727272727273,1.0,0.8333333333333334,0.7857142857142857,1.0,0.875,0.36363636363636365,0.8571428571428571,0.5,,0.875,0.25,,,1.0,,96.95049504950495,13.066666666666666,16.263157894736842,11.466666666666667,16.157894736842106,0.2727272727272727,1.0,1.0,0.3333333333333333,0.09090909090909091,0.2727272727272727,0.6666666666666666,0.6666666666666666,,,,,0.36363636363636365,0.5,0.5,,,,,,0.16666666666666666,1.0,,,0.6363636363636364,0.5,0.4928227272727273,0.297,0.48056666666666664,0.15384615384615385,0.2222222222222222,0.09090909090909091,0.6363636363636364,8.442857142857143,25.275,0.6666666666666666,1.0,1.0,0.75,1.0,,,,,,2.0,,,,,,,1.0,,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,False
101138-101162-200755-2440-2749,1610612753,"Brandon Bass, Marcin Gortat, JJ Redick, Matt Barnes, Jameer Nelson","Bass, Gortat, Redick, Barnes, Nelson",101138-101162-200755-2440-2749,ORL,441.0,2,7.0,2.0,14.0,11.0,8.0,11.0,2.0,25.0,,,,,,,2.0,1.0,3.0,,,,,,,2.0,3.0,2.0,5.0,2.0,3.0,7.0,17.0,15.0,,,1.0,1.0,3.0,1.0,3.0,1.0,1.0,7.0,12.0,2.0,2.0,6.0,,3.0,2.0,1.0,2.0,3.0,,,8.0,,2.0,3.0,4.0,2.0,6.0,,2.0,3.0,5.0,8.0,,1.0,14.0,12.0,8.0,,0.5,0.5,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.4,,0.3333333333333333,0.625,1.5,0.625,0.7083333333333334,1.5,0.75,0.375,0.75,1.0,,0.6666666666666666,0.6666666666666666,1.0,,1.0,,81.63265306122449,17.571428571428573,17.727272727272727,16.285714285714285,15.636363636363637,,,,,0.25,0.375,0.3333333333333333,0.3333333333333333,,,,,0.375,0.6666666666666666,0.6666666666666666,,,,,,,,,,0.375,0.6666666666666666,0.42585,0.54435,0.3932375,0.1111111111111111,0.16666666666666666,0.17647058823529413,0.7058823529411765,15.14,24.96666666666667,0.5714285714285714,1.0,0.5,,0.5,1.0,,,1.0,,4.0,,,,0.25,,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,,,,,,1.0,3.0,,,,,3.0,,1.0,,1.0,1.0,0.25,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,False
101138-101162-200755-2554-2749,1610612753,"Brandon Bass, Marcin Gortat, JJ Redick, Mickael Pietrus, Jameer Nelson","Bass, Gortat, Redick, Pietrus, Nelson",101138-101162-200755-2554-2749,ORL,49.0,1,1.0,2.0,2.0,1.0,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,88.16326530612245,17.0,15.0,17.0,15.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,0.6176,,,,,,,1.5,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,False
101138-1713-1715-2554-2730,1610612753,"Brandon Bass, Vince Carter, Jason Williams, Mickael Pietrus, Dwight Howard","Bass, Carter, Williams, Pietrus, Howard",101138-1713-1715-2554-2730,ORL,142.0,3,2.0,3.0,5.0,4.0,4.0,3.0,1.0,9.0,,,,,,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,1.0,2.0,2.0,7.0,4.0,,,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,7.0,,2.0,3.0,,1.0,,,1.0,1.0,1.0,,3.0,1.0,,1.0,1.0,1.0,2.0,,1.0,2.0,1.0,2.0,,,4.0,7.0,4.0,,,,1.0,0.5,1.0,0.5,0.5,0.3333333333333333,,0.5,0.5,1.5,0.625,0.5833333333333334,1.5,0.7,0.4,1.0,,1.0,1.0,0.5,,,1.0,,91.26760563380282,15.0,16.75,12.8,16.75,,,,,0.2,0.4,,,0.2,1.0,1.0,1.0,0.2,,,,,1.0,1.0,1.0,,,0.25,1.0,0.4,,0.4526,,0.479425,,,0.42857142857142855,1.0,14.966666666666667,24.1,0.8,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,,,,,0.25,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,False
101138-1713-1740-2554-2749,1610612753,"Brandon Bass, Vince Carter, Rashard Lewis, Mickael Pietrus, Jameer Nelson","Bass, Carter, Lewis, Pietrus, Nelson",101138-1713-1740-2554-2749,ORL,62.0,1,1.0,-3.0,1.0,2.0,1.0,2.0,,3.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.6774193548387,24.0,19.0,24.0,14.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.3256,,0.3256,,,,,11.3,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,False
101138-1713-2440-2730-2749,1610612753,"Brandon Bass, Vince Carter, Matt Barnes, Dwight Howard, Jameer Nelson","Bass, Carter, Barnes, Howard, Nelson",101138-1713-2440-2730-2749,ORL,187.0,1,3.0,,5.0,6.0,3.0,,1.0,11.0,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,1.0,2.0,4.0,,1.0,1.0,5.0,5.0,,1.0,,,,1.0,3.0,,1.0,,2.0,,4.0,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,2.0,,1.0,5.0,2.0,3.0,,,,,,,,,0.5,,0.3333333333333333,0.4,,0.25,0.4166666666666667,,0.25,0.2,0.5,,1.0,0.5,0.3333333333333333,,,1.0,,84.70588235294117,14.8,18.833333333333332,12.0,18.833333333333332,0.4,0.5,1.0,,0.2,0.2,1.0,1.0,,,,,0.2,,,,,,,,0.5,0.5,,,0.6,,0.54121,,0.5907875,0.16666666666666666,0.2,,0.4,6.925,25.7,0.6,,,,,,,1.0,,,,,0.25,0.5,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2010,2009-10,False
