EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,DefThreePtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,PenaltyOffPossExcludingTakeFouls,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,SecondChanceOffPoss,LongMidRangeFGA,FG2A,SecondChanceFG2A,PenaltyFG2A,LongMidRangeFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PlusMinus,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,FTOffRebounds,DefTwoPtRebounds,OffRebounds,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,OffFTReboundPct,DefTwoPtReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,ShootingFouls,FtPoints,PenaltyFtPoints,LongMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,SecondChanceFG2M,PenaltyFG2M,LongMidRangeAssists,OffTwoPtRebounds,LiveBallTurnovers,LostBallTurnovers,SecondChanceFg2Pct,PenaltyFg2Pct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,PenaltyCorner3Frequency,FTDefRebounds,DefFTReboundPct,ShortMidRangeFGM,SecondChanceFtPoints,PtsUnassisted2s,Fg2aBlocked,BadPassTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,LongMidRangePctBlocked,DefShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Steals,BadPassSteals,LostBallSteals,SecondChanceTurnovers,Offensive Fouls Drawn,AtRimPctBlocked,OffAtRimReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,ShortMidRangeAssists,OffThreePtRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Technical Free Throw Trips,Blocked3s,BlockedCorner3,BlockedShortMidRange,ShortMidRangePctBlocked,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Corner3Assists,Travels,BlockedLongMidRange,3SecondViolations,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,Defensive 3 Seconds Violations,PenaltyCorner3Accuracy,BlockedArc3,HeaveAttempts,PtsUnassisted3s,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,DefensiveGoaltends,OffensiveGoaltends,team_id,year,season,team_vs
101214-1515-200081-200789-201581,1610612739,"Jawad Williams, Anthony Parker, Jamario Moon, Daniel Gibson, JJ Hickson","Williams, Parker, Moon, Gibson, Hickson",101214-1515-200081-200789-201581,CLE,74.0,1,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,77.83783783783784,15.5,21.5,15.5,21.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2010,2009-10,True
101214-200081-200789-201581-2753,1610612739,"Jawad Williams, Jamario Moon, Daniel Gibson, JJ Hickson, Delonte West","Williams, Moon, Gibson, Hickson, West",101214-200081-200789-201581-2753,CLE,39.0,1,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,1.0,,,,,73.84615384615384,6.0,33.0,,23.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4475,0.4475,0.4475,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2010,2009-10,True
101214-200081-200789-201581-980,1610612739,"Jawad Williams, Jamario Moon, Daniel Gibson, JJ Hickson, Zydrunas Ilgauskas","Williams, Moon, Gibson, Hickson, Ilgauskas",101214-200081-200789-201581-980,CLE,135.0,1,2.0,5.0,6.0,1.0,,11.0,1.0,3.0,4.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,117.33333333333333,10.4,13.833333333333334,9.0,13.833333333333334,0.2,1.0,1.0,3.0,,,0.2,0.49454000000000004,0.41295,0.41295,9.133333333333333,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.3333333333333333,0.5,1.5,1.5,0.5,1.5,1.5,0.4,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.2,0.4,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.5,0.2,0.3333333333333333,0.6,0.6,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2010,2009-10,True
1515-1712-200081-200789-201581,1610612739,"Anthony Parker, Antawn Jamison, Jamario Moon, Daniel Gibson, JJ Hickson","Parker, Jamison, Moon, Gibson, Hickson",1515-1712-200081-200789-201581,CLE,57.0,1,1.0,1.0,2.0,1.0,2.0,3.0,,,,,,,1.0,,1.0,,,,,75.78947368421053,27.0,15.0,27.0,15.0,1.0,,,,,,,0.3576,,0.3576,,-2.0,,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,3.0,5.0,,,,1.0,1.0,3.0,,3.0,1.0,1.0,,1.0,1.0,1.0,,3.0,,,,,,,,3.0,3.0,,,1.0,1.0,,1.0,1.0,,1.5,,1.5,1.5,,1.5,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,1.0,26.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2010,2009-10,True
1515-1712-200081-201581-2590,1610612739,"Anthony Parker, Antawn Jamison, Jamario Moon, JJ Hickson, Mo Williams","Parker, Jamison, Moon, Hickson, Williams",1515-1712-200081-201581-2590,CLE,11.0,1,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,130.9090909090909,11.0,,11.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,1.0,2.0,,1.0,2.0,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2010,2009-10,True
1515-1712-200789-2544-2760,1610612739,"Anthony Parker, Antawn Jamison, Daniel Gibson, LeBron James, Anderson Varejao","Parker, Jamison, Gibson, James, Varejao",1515-1712-200789-2544-2760,CLE,140.0,1,2.0,4.0,4.0,4.0,,8.0,1.0,2.0,3.0,,1.0,1.0,1.0,,4.0,1.0,0.5,1.0,,82.28571428571428,17.75,17.25,16.0,17.25,1.0,1.0,2.0,2.0,1.0,2.0,0.5,0.5174,0.3941,0.5174,16.95,2.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,5.0,3.0,,,2.0,1.0,2.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,5.0,,1.0,1.0,,,,,3.0,5.0,1.0,1.0,1.0,0.5,,0.5,0.5,0.5,0.625,1.0,0.625,0.625,1.0,0.625,0.5,,0.3333333333333333,,0.5,,,,,,0.25,1.0,1.0,1.0,,,,0.25,1.0,0.5,1.0,,,0.4,1.0,24.3,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2010,2009-10,True
1515-1712-200789-2544-406,1610612739,"Anthony Parker, Antawn Jamison, Daniel Gibson, LeBron James, Shaquille O'Neal","Parker, Jamison, Gibson, James, O'Neal",1515-1712-200789-2544-406,CLE,24.0,1,,1.0,1.0,,,2.0,,1.0,1.0,,,,1.0,,,,,,,120.0,15.0,9.0,15.0,9.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2010,2009-10,True
1515-1712-201581-2544-2590,1610612739,"Anthony Parker, Antawn Jamison, JJ Hickson, LeBron James, Mo Williams","Parker, Jamison, Hickson, James, Williams",1515-1712-201581-2544-2590,CLE,95.0,2,2.0,5.0,4.0,5.0,4.0,9.0,,1.0,1.0,1.0,2.0,2.0,2.0,,5.0,,1.0,,,136.42105263157896,11.4,9.5,11.0,9.5,1.0,1.0,1.0,2.0,,2.0,0.5,0.34165,,0.34165,13.15,-1.0,,,1.0,,,,,,,1.0,,,5.0,6.0,,,1.0,,,5.0,,,,,,,,,,,,1.0,,2.0,4.0,,,4.0,5.0,,,,,,,,0.5,0.5,,0.5,0.625,0.5,0.625,,,1.0,,,,,,,0.5,,,,,,,,,,,,,,0.2,1.0,,1.0,3.0,3.0,,,,,1.0,,,1.0,,,0.5,0.5,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2010,2009-10,True
1515-1712-201581-2544-2753,1610612739,"Anthony Parker, Antawn Jamison, JJ Hickson, LeBron James, Delonte West","Parker, Jamison, Hickson, James, West",1515-1712-201581-2544-2753,CLE,52.0,1,1.0,2.0,2.0,,,4.0,,2.0,2.0,,,,,,,,1.0,,,110.76923076923076,9.0,17.0,9.0,17.0,,,,2.0,,,,0.50995,,,2.1,4.0,2.0,2.0,,,,,,,,2.0,,,4.0,,,,,,,,2.0,,,,1.0,,1.0,,1.0,2.0,,2.0,,,,,,4.0,,0.5,0.5,,,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,0.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2010,2009-10,True
1515-1712-2544-2590-2753,1610612739,"Anthony Parker, Antawn Jamison, LeBron James, Mo Williams, Delonte West","Parker, Jamison, James, Williams, West",1515-1712-2544-2590-2753,CLE,517.0,2,9.0,18.0,17.0,18.0,11.0,35.0,,,1.0,,2.0,2.0,4.0,,18.0,,,,,97.48549323017407,16.11111111111111,13.352941176470589,15.055555555555555,12.176470588235293,1.0,1.0,4.0,13.0,,13.0,0.2857142857142857,0.45831785714285717,,0.45831785714285717,9.684615384615386,-5.0,2.0,4.0,5.0,,,,,,,8.0,,1.0,21.0,26.0,,,,,1.0,21.0,6.0,,,,3.0,,3.0,,2.0,6.0,,,1.0,4.0,5.0,1.0,1.0,21.0,21.0,0.375,0.375,,,,,,0.6153846153846154,0.5714285714285714,,0.5714285714285714,0.65625,,0.65625,0.07142857142857142,,,,,0.2857142857142857,0.5,0.6666666666666666,1.0,0.35714285714285715,,,,,,,,,,0.35714285714285715,,0.07142857142857142,0.07692307692307693,,1.0,23.3,4.0,5.0,5.0,1.0,1.0,1.0,,8.0,1.0,1.0,2.0,2.0,,0.6153846153846154,1.0,0.2,0.16666666666666666,,0.25,0.25,1.0,0.07142857142857142,0.07142857142857142,,,5.0,,10.0,1.0,,,2.0,,2.0,0.07692307692307693,,,1.0,1.0,,,,,,2.0,4.0,3.0,1.0,2.0,1.0,1.0,0.25,0.5,0.2857142857142857,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2010,2009-10,True
