EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,FtPoints,ShortMidRangeAssists,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceOffPoss,SecondChanceAtRimFGA,Corner3FGA,PenaltyCorner3FGA,SecondChanceFG2A,Fg3aBlocked,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,BadPassTurnovers,SecondChanceTurnovers,FG3APctBlocked,Corner3PctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,Corner3Frequency,SecondChanceAtRimFrequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsPutbacks,SelfOReb,LostBallSteals,PenaltyTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,Corner3FGM,Fg2aBlocked,Corner3Assists,FTDefRebounds,LostBallOutOfBoundsTurnovers,Offensive Fouls,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,HeaveAttempts,Loose Ball Fouls,BlockedShortMidRange,RecoveredBlocks,DefensiveGoaltends,SecondChanceFg3Pct,AtRimPctBlocked,BlocksRecoveredPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Technical Free Throw Trips,OffensiveGoaltends,Travels,Defensive 3 Seconds Violations,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,BlockedLongMidRange,3SecondViolations,team_id,year,season,team_vs
201202-201563-201596-2047-2548,1610612748,"Joel Anthony, Michael Beasley, Mario Chalmers, Quentin Richardson, Dwyane Wade","Anthony, Beasley, Chalmers, Richardson, Wade",201202-201563-201596-2047-2548,MIA,217.0,2,4.0,-3.0,7.0,8,2.0,15,2.0,3.0,2.0,2.0,1.0,4.0,5.0,1.0,8.0,11.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,1.0,0.5,0.5,0.8,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,1.0,99.53917050691244,14.714285714285714,14.25,14.714285714285714,13.875,0.5,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,1.0,1.0,0.5,0.16666666666666666,0.6666666666666666,0.5423333333333333,0.16666666666666666,0.2,7.0200000000000005,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2010,2009-10,False
201202-201563-201596-2047-2748,1610612748,"Joel Anthony, Michael Beasley, Mario Chalmers, Quentin Richardson, Dorell Wright","Anthony, Beasley, Chalmers, Richardson, Wright",201202-201563-201596-2047-2748,MIA,148.0,1,2.0,3.0,4.0,3,,7,,,1.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,,2.0,2.0,,1.0,,,3.0,1.0,2.0,2.0,,,,,,,,,1.0,1.0,,,,5.0,,,,0.5,0.625,0.625,0.5,,1.0,1.0,,,68.1081081081081,20.0,22.666666666666668,20.0,22.666666666666668,,,,,0.5,0.5,0.5,,0.5,0.5,0.4542625,,,18.7,25.2,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,0.5,0.5,0.5,0.5,0.625,0.625,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.4542625,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2010,2009-10,False
201202-201563-201596-2306-2748,1610612748,"Joel Anthony, Michael Beasley, Mario Chalmers, Carlos Arroyo, Dorell Wright","Anthony, Beasley, Chalmers, Arroyo, Wright",201202-201563-201596-2306-2748,MIA,205.0,1,3.0,8.0,6.0,6,,12,3.0,3.0,1.0,1.0,,5.0,5.0,,11.0,3.0,4.0,6.0,,2.0,2.0,1.0,,4.0,2.0,2.0,2.0,,,,,,,,2.0,3.0,1.0,2.0,,1.0,11.0,,0.4,0.4,1.0,1.0,0.9166666666666666,,,0.6666666666666666,0.6666666666666666,,1.0,84.29268292682927,14.833333333333334,19.333333333333332,14.833333333333334,19.333333333333332,0.6,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,,,0.6,0.5304599999999999,0.16666666666666666,0.16666666666666666,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2010,2009-10,False
201202-201563-201596-2548-2748,1610612748,"Joel Anthony, Michael Beasley, Mario Chalmers, Dwyane Wade, Dorell Wright","Anthony, Beasley, Chalmers, Wade, Wright",201202-201563-201596-2548-2748,MIA,213.0,3,4.0,-9.0,7.0,8,5.0,15,1.0,2.0,,,1.0,1.0,3.0,4.0,3.0,12.0,2.0,,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,4.0,,,1.0,,,,1.0,1.0,2.0,2.0,2.0,,1.0,3.0,1.0,1.0,1.0,0.3333333333333333,0.14285714285714285,0.1875,0.5714285714285714,1.0,1.0,1.0,1.0,,101.40845070422536,18.285714285714285,10.625,15.142857142857142,10.625,0.2857142857142857,0.5,0.5,1.0,,,,,0.14285714285714285,0.8571428571428571,0.5772428571428572,0.125,0.25,3.5666666666666664,23.975,1.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,0.5997,,0.14285714285714285,,1.0,1.0,,0.14285714285714285,,,,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.25,0.3333333333333333,0.5,0.25,0.3333333333333333,1.0,0.3333333333333333,0.42857142857142855,1.0,1.0,0.5725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2010,2009-10,False
201202-201563-2047-2306-2548,1610612748,"Joel Anthony, Michael Beasley, Quentin Richardson, Carlos Arroyo, Dwyane Wade","Anthony, Beasley, Richardson, Arroyo, Wade",201202-201563-2047-2306-2548,MIA,341.0,3,6.0,-2.0,12.0,13,8.0,25,4.0,5.0,,5.0,,5.0,11.0,,13.0,15.0,4.0,6.0,,2.0,2.0,2.0,,4.0,4.0,4.0,6.0,2.0,,2.0,,,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,9.0,2.0,0.4,0.5,0.45454545454545453,0.45454545454545453,0.5416666666666666,,1.0,0.8,0.8,0.6666666666666666,1.0,105.57184750733137,15.166666666666666,12.23076923076923,15.166666666666666,11.923076923076923,0.45454545454545453,0.8,0.8,0.5,0.45454545454545453,,,,,0.45454545454545453,0.5188818181818182,0.09090909090909091,0.09090909090909091,9.772727272727273,,8.0,,,,,3.0,7.0,,,8.0,,,,,,8.0,8.0,,,,,0.42857142857142855,0.42857142857142855,0.5,,,,,,,,,,0.5311571428571429,0.6153846153846154,0.6666666666666666,1.0,1.0,3.0,,0.09090909090909091,1.0,1.0,,2.0,1.0,,,1.0,,,2.0,2.0,,,,,0.3333333333333333,,0.3333333333333333,,,,1.0,,0.679,1.0,3.0,4.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.16666666666666666,1.0,0.5714285714285714,0.75,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2010,2009-10,False
201202-201563-2306-2592-2748,1610612748,"Joel Anthony, Michael Beasley, Carlos Arroyo, James Jones, Dorell Wright","Anthony, Beasley, Arroyo, Jones, Wright",201202-201563-2306-2592-2748,MIA,219.0,1,4.0,1.0,7.0,7,,14,1.0,3.0,1.0,2.0,,2.0,5.0,,6.0,5.0,2.0,2.0,,1.0,1.0,,1.0,2.0,3.0,5.0,7.0,,,2.0,,,2.0,2.0,,,1.0,2.0,,,4.0,,0.5,1.0,0.4,0.4,0.5,,1.0,0.75,0.7142857142857143,,0.5,92.05479452054794,13.428571428571429,17.857142857142858,13.142857142857142,14.857142857142858,0.6,0.3333333333333333,0.3333333333333333,,0.4,0.5,0.5,1.0,,0.6,0.5509000000000001,,,8.940000000000001,,7.0,,,,,2.0,5.0,,,6.0,,,,,2.0,6.0,7.0,,,,,0.4,0.4,0.5,0.6666666666666666,1.0,1.0,,,,,,,0.5509000000000001,1.0,1.0,,,2.0,,,,,,2.0,2.0,,,2.0,,,2.0,2.0,,,,,0.6666666666666666,,0.6666666666666666,,,,1.0,,0.68415,1.0,1.0,3.0,1.0,,2.0,2.0,2.0,1.0,,2.0,,1.0,,,,1.0,0.5,0.5,0.5,0.5,1.0,0.3333333333333333,0.5,0.6,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2010,2009-10,False
201202-201596-2047-2548-2617,1610612748,"Joel Anthony, Mario Chalmers, Quentin Richardson, Dwyane Wade, Udonis Haslem","Anthony, Chalmers, Richardson, Wade, Haslem",201202-201596-2047-2548-2617,MIA,827.0,5,14.0,6.0,28.0,26,8.0,54,9.0,10.0,,1.0,5.0,10.0,15.0,6.0,32.0,26.0,10.0,10.0,5.0,5.0,7.0,5.0,,16.0,7.0,9.0,12.0,1.0,1.0,4.0,1.0,5.0,,9.0,3.0,8.0,7.0,6.0,3.0,3.0,30.0,,0.5,0.5555555555555556,0.6666666666666666,0.6190476190476191,0.7272727272727273,0.2857142857142857,0.4444444444444444,0.875,0.8,1.0,0.8,94.02660217654172,14.25,16.46153846153846,13.75,16.115384615384617,0.47619047619047616,0.9,0.9,0.5555555555555556,0.047619047619047616,,,,0.23809523809523808,0.7619047619047619,0.5310952380952381,0.18181818181818182,0.2,4.28,25.46666666666667,17.0,1.0,1.0,3.0,2.0,6.0,10.0,1.0,3.0,20.0,6.0,1.0,2.0,1.0,1.0,20.0,17.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,0.5769230769230769,0.7142857142857143,0.5,1.0,,0.2,0.2,1.0,0.23076923076923078,0.3333333333333333,0.2,0.5488692307692308,0.625,0.6071428571428571,1.0,4.0,6.0,,0.19047619047619047,0.25,0.3333333333333333,,3.0,1.0,1.0,,1.0,,1.0,2.0,3.0,4.0,2.0,,,0.4,0.3333333333333333,0.375,0.3333333333333333,,0.047619047619047616,1.0,,0.3443,1.0,6.0,7.0,1.0,,2.0,5.0,2.0,,,6.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,0.5384615384615384,0.8571428571428571,0.0625,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.06666666666666667,0.25,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2010,2009-10,False
201202-201596-2047-2617-2748,1610612748,"Joel Anthony, Mario Chalmers, Quentin Richardson, Udonis Haslem, Dorell Wright","Anthony, Chalmers, Richardson, Haslem, Wright",201202-201596-2047-2617-2748,MIA,40.0,1,1.0,,1.0,1,1.0,2,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,72.0,17.0,23.0,17.0,23.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2010,2009-10,False
201202-201596-2306-2617-2748,1610612748,"Joel Anthony, Mario Chalmers, Carlos Arroyo, Udonis Haslem, Dorell Wright","Anthony, Chalmers, Arroyo, Haslem, Wright",201202-201596-2306-2617-2748,MIA,168.0,2,3.0,-6.0,4.0,5,,9,,,,2.0,,,3.0,,,6.0,,,,,,,,,2.0,2.0,2.0,,,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,,1.0,77.14285714285715,24.5,14.0,24.5,13.2,,,,,0.6666666666666666,,,,,,0.3797,,,12.966666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,0.3333333333333333,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2010,2009-10,False
201202-201596-2548-2617-2748,1610612748,"Joel Anthony, Mario Chalmers, Dwyane Wade, Udonis Haslem, Dorell Wright","Anthony, Chalmers, Wade, Haslem, Wright",201202-201596-2548-2617-2748,MIA,1685.0,4,28.0,6.0,50.0,51,26.0,101,6.0,11.0,8.0,15.0,10.0,17.0,30.0,13.0,66.0,60.0,18.0,16.0,9.0,9.0,12.0,4.0,5.0,27.0,14.0,18.0,24.0,2.0,1.0,4.0,1.0,2.0,3.0,6.0,5.0,13.0,14.0,16.0,1.0,6.0,56.0,4.0,0.5294117647058824,0.5294117647058824,0.5666666666666667,0.6046511627906976,0.66,0.3023255813953488,0.6666666666666666,0.9333333333333333,0.7391304347826086,0.8571428571428571,1.0,86.31454005934718,17.02,16.352941176470587,16.06,14.745098039215685,0.2558139534883721,0.5454545454545454,0.75,0.6666666666666666,0.3488372093023256,0.5333333333333333,0.5333333333333333,0.625,0.23255813953488372,0.5581395348837209,0.4875357142857143,0.14285714285714285,0.17142857142857143,10.373333333333333,26.06153846153846,19.0,5.0,,3.0,6.0,7.0,10.0,1.0,5.0,18.0,9.0,5.0,3.0,2.0,3.0,18.0,19.0,0.5,0.46153846153846156,0.2,0.5,0.7,0.5666666666666667,0.5625,0.375,1.0,0.5,0.5,0.5,0.4,0.2,,0.5555555555555556,0.504125,0.2727272727272727,0.38,3.0,4.0,14.0,,0.09302325581395349,0.75,0.75,,6.0,,3.0,2.0,1.0,,1.0,5.0,6.0,1.0,1.0,,,0.38461538461538464,0.2,0.3333333333333333,1.0,0.5,0.06976744186046512,,0.13333333333333333,0.5239666666666667,,2.0,4.0,1.0,5.0,10.0,1.0,,1.0,1.0,3.0,1.0,1.0,5.0,3.0,5.0,1.0,1.0,0.8333333333333334,1.0,0.4,0.2857142857142857,0.06666666666666667,,0.26666666666666666,0.5,0.15151515151515152,1.0,3.0,1.0,1.0,,,3.0,1.0,,,0.1,,1.0,,,0.3333333333333333,0.3333333333333333,1.0,0.07142857142857142,1.0,1.0,2.0,1.0,2.0,9.0,1.0,2.0,2.0,5.0,1.0,0.5,0.2727272727272727,1.0,0.6666666666666666,0.5,1.0,0.5,,,,,,,,,1610612748,2010,2009-10,False
