EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,DefensiveGoaltends,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,AtRimFGM,AtRimFGA,Corner3FGA,PenaltyCorner3FGA,PenaltyFG2M,PenaltyFG3A,PenaltyPoints,AtRimAssists,DefThreePtRebounds,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,PenaltyCorner3Frequency,PenaltyPointsPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFtPoints,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Offensive Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceTurnovers,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,Corner3FGM,PenaltyCorner3FGM,SecondChanceFtPoints,Corner3Assists,Loose Ball Fouls Drawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,PtsUnassisted3s,Loose Ball Fouls,AtRimPctBlocked,SecondChanceCorner3FGA,HeaveAttempts,Fg3aBlocked,FTOffRebounds,SelfOReb,LostBallSteals,Technical Free Throw Trips,BlockedShortMidRange,FG3APctBlocked,Corner3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceCorner3Frequency,BadPassOutOfBoundsTurnovers,Defensive 3 Seconds Violations,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,Arc3PctBlocked,SecondChanceCorner3FGM,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,3SecondViolations,OffensiveGoaltends,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,Clear Path Fouls,team_id,year,season,team_vs
101110-101143-201573-201587-201965,1610612757,"Martell Webster, Travis Diener, Jerryd Bayless, Nicolas Batum, Jeff Ayres","Webster, Diener, Bayless, Batum, Ayres",101110-101143-201573-201587-201965,POR,290.0,1,5.0,-1.0,9.0,8.0,1.0,17.0,1.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,5.0,11.0,12.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,5.0,1.0,3.0,2.0,11.0,1.0,0.6666666666666666,0.6666666666666666,0.6,0.42857142857142855,0.6111111111111112,0.2857142857142857,0.2,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,84.41379310344828,18.666666666666668,15.25,18.666666666666668,14.875,0.2857142857142857,0.5,1.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,0.2857142857142857,0.2857142857142857,0.4410785714285714,0.3934,0.3333333333333333,0.42857142857142855,12.919999999999998,25.5,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
101110-101143-201573-201587-201967,1610612757,"Martell Webster, Travis Diener, Jerryd Bayless, Nicolas Batum, Dante Cunningham","Webster, Diener, Bayless, Batum, Cunningham",101110-101143-201573-201587-201967,POR,121.0,1,2.0,2.0,4.0,5.0,3.0,9.0,,1.0,1.0,1.0,,2.0,3.0,1.0,1.0,5.0,3.0,2.0,4.0,,,,2.0,2.0,,1.0,4.0,3.0,,4.0,4.0,,,1.0,1.0,1.0,1.0,,5.0,3.0,1.0,1.0,0.6666666666666666,0.5,0.625,0.25,,,,1.0,1.0,1.0,1.0,107.10743801652893,13.75,13.2,13.75,13.2,0.25,,,,0.25,1.0,1.0,1.0,,0.5,0.4966,0.46869999999999995,0.25,0.3333333333333333,10.5,23.1,0.75,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,0.3333333333333333,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
101110-101143-201573-201965-201967,1610612757,"Martell Webster, Travis Diener, Jerryd Bayless, Jeff Ayres, Dante Cunningham","Webster, Diener, Bayless, Ayres, Cunningham",101110-101143-201573-201965-201967,POR,1048.0,4,17.0,-22.0,38.0,37.0,16.0,75.0,4.0,9.0,3.0,8.0,6.0,10.0,24.0,7.0,5.0,28.0,50.0,8.0,14.0,6.0,6.0,,7.0,8.0,3.0,2.0,17.0,7.0,2.0,12.0,16.0,5.0,9.0,5.0,6.0,,,1.0,19.0,16.0,0.7,0.7777777777777778,0.4166666666666667,0.3709677419354839,0.4117647058823529,0.22580645161290322,,,1.0,0.7,0.625,0.5,0.6666666666666666,103.05343511450383,15.105263157894736,12.81081081081081,14.078947368421053,12.243243243243244,0.2903225806451613,0.4444444444444444,0.4444444444444444,0.75,0.25806451612903225,0.375,0.375,0.6666666666666666,0.1935483870967742,0.45161290322580644,0.4807177419354839,0.44787499999999997,,,10.591666666666667,25.32857142857143,0.42105263157894735,17.0,3.0,7.0,1.0,,4.0,2.0,11.0,2.0,3.0,11.0,0.5,0.4,0.4583333333333333,0.5,1.0,0.6,0.22580645161290322,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.03225806451612903,,0.39285714285714285,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,9.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,6.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.14285714285714285,1.0,0.14285714285714285,0.75,0.9,0.9,0.5,0.21428571428571427,0.16666666666666666,0.2,0.25,0.2,0.2,0.2,1.0,0.16666666666666666,0.16666666666666666,1.0,0.4,0.5,0.2,1.0,1.0,0.2,0.5,0.2,0.16666666666666666,0.44815,0.32142857142857145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
101110-101183-1889-200750-436,1610612757,"Martell Webster, Shavlik Randolph, Andre Miller, Brandon Roy, Juwan Howard","Webster, Randolph, Miller, Roy, Howard",101110-101183-1889-200750-436,POR,48.0,1,1.0,,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,0.6666666666666666,1.0,,90.0,22.0,13.0,22.0,11.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
101110-101183-1889-201967-2581,1610612757,"Martell Webster, Shavlik Randolph, Andre Miller, Dante Cunningham, Steve Blake","Webster, Randolph, Miller, Cunningham, Blake",101110-101183-1889-201967-2581,POR,38.0,1,1.0,-2.0,2.0,2.0,2.0,4.0,,1.0,,,,,1.0,,,,2.0,1.0,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,2.0,,,,,,,,,,1.0,1.0,,1.0,151.57894736842107,12.0,7.0,12.0,7.0,1.0,,,,,,,,,,0.325,0.325,,,9.7,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
101110-101183-201573-201965-201967,1610612757,"Martell Webster, Shavlik Randolph, Jerryd Bayless, Jeff Ayres, Dante Cunningham","Webster, Randolph, Bayless, Ayres, Cunningham",101110-101183-201573-201965-201967,POR,58.0,1,1.0,-1.0,2.0,2.0,,4.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,99.3103448275862,17.0,12.0,17.0,12.0,,,,,,,,,,1.0,0.5397,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
101110-101183-201573-201965-201988,1610612757,"Martell Webster, Shavlik Randolph, Jerryd Bayless, Jeff Ayres, Patty Mills","Webster, Randolph, Bayless, Ayres, Mills",101110-101183-201573-201965-201988,POR,164.0,1,3.0,6.0,6.0,6.0,,12.0,,,,3.0,,3.0,6.0,,2.0,8.0,2.0,,4.0,2.0,,,2.0,2.0,,,4.0,3.0,,3.0,5.0,,,1.0,2.0,,1.0,,6.0,,0.6666666666666666,1.0,0.5,0.5,0.5714285714285714,,,,,1.0,1.0,,1.0,105.36585365853658,16.333333333333332,11.0,15.0,11.0,,,,,0.5,,,,,0.5,0.4775833333333333,,0.14285714285714285,0.14285714285714285,10.35,,,,3.0,3.0,,,,,,2.0,,,,,,,1.0,,0.5,1.0,1.0,0.6666666666666666,,,,2.0,1.0,1.0,,,,,,,,1.0,1.0,,,2.0,,,2.0,,,,,2.0,2.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.6666666666666666,,0.6666666666666666,,,0.6666666666666666,,,,,,1.0,1.0,,,,,,,,0.6566,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
101110-101183-201573-201967-2581,1610612757,"Martell Webster, Shavlik Randolph, Jerryd Bayless, Dante Cunningham, Steve Blake","Webster, Randolph, Bayless, Cunningham, Blake",101110-101183-201573-201967-2581,POR,63.0,1,1.0,-2.0,3.0,2.0,3.0,5.0,,,,,1.0,,2.0,1.0,,3.0,5.0,2.0,,,1.0,,,1.0,,,3.0,,,,1.0,,,,,,,,3.0,3.0,,,,0.5,0.5,0.3333333333333333,,,,,,,,114.28571428571428,17.0,6.0,16.666666666666668,6.0,,,,,,,,,0.3333333333333333,1.0,0.5396,0.5396,,,,24.2,1.0,2.0,,2.0,,,,1.0,3.0,,,3.0,,0.5,0.5,,,,0.6666666666666666,,,,,,1.0,1.0,,1.0,,2.0,1.0,,,1.0,1.0,,1.0,,,,,3.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,0.5,,0.5,0.5,,,,,1.0,1.0,1.0,1.0,,,,,0.6666666666666666,,0.3333333333333333,1.0,0.5793,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
101110-1889-200746-200750-201141,1610612757,"Martell Webster, Andre Miller, LaMarcus Aldridge, Brandon Roy, Greg Oden","Webster, Miller, Aldridge, Roy, Oden",101110-1889-200746-200750-201141,POR,579.0,4,10.0,-6.0,17.0,21.0,13.0,38.0,,1.0,1.0,1.0,5.0,4.0,7.0,7.0,4.0,21.0,27.0,5.0,6.0,2.0,5.0,,3.0,6.0,,1.0,15.0,5.0,2.0,7.0,9.0,2.0,3.0,2.0,4.0,,1.0,1.0,17.0,13.0,0.75,1.0,0.5714285714285714,0.6071428571428571,0.65625,0.5,,,1.0,0.7142857142857143,0.5555555555555556,0.6666666666666666,0.6666666666666666,94.50777202072538,14.882352941176471,15.523809523809524,14.882352941176471,14.428571428571429,0.07142857142857142,,,,0.07142857142857142,1.0,1.0,1.0,0.35714285714285715,0.8571428571428571,0.588425,0.586925,0.06666666666666667,0.125,4.085714285714286,24.314285714285713,0.7647058823529411,3.0,3.0,5.0,2.0,2.0,3.0,5.0,16.0,2.0,,16.0,0.6,0.6,0.6666666666666666,,1.0,,0.35714285714285715,0.6,0.6,0.6666666666666666,0.14285714285714285,0.2,0.7619047619047619,2.0,1.0,1.0,2.0,3.0,2.0,,,3.0,3.0,1.0,1.0,,,4.0,4.0,9.0,2.0,2.0,3.0,2.0,2.0,,2.0,2.0,2.0,2.0,1.0,,,1.0,,2.0,1.0,,,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,0.42857142857142855,,0.42857142857142855,1.0,1.0,1.0,1.0,,0.5,0.2857142857142857,,,,0.6666666666666666,0.6666666666666666,0.4,0.4,1.0,1.0,1.0,,,,0.3,0.6666666666666666,0.3,0.4,,0.19047619047619047,,1.0,2.0,0.4,0.3333333333333333,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
101110-1889-200746-200750-201164,1610612757,"Martell Webster, Andre Miller, LaMarcus Aldridge, Brandon Roy, Rudy Fernandez","Webster, Miller, Aldridge, Roy, Fernandez",101110-1889-200746-200750-201164,POR,178.0,5,3.0,4.0,7.0,7.0,7.0,14.0,1.0,1.0,,1.0,4.0,3.0,4.0,4.0,1.0,10.0,6.0,4.0,,6.0,4.0,,,,,,,1.0,,1.0,2.0,,3.0,1.0,2.0,,,,8.0,7.0,,,0.75,0.5625,0.5555555555555556,0.5,,,,0.5,0.5,,1.0,113.25842696629213,10.571428571428571,14.857142857142858,10.571428571428571,13.0,0.125,1.0,1.0,,0.125,,,,0.5,0.75,0.412025,0.412025,,,6.025,25.65,1.0,6.0,2.0,2.0,,,3.0,4.0,10.0,,,10.0,0.75,0.5625,0.5555555555555556,,,,0.25,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,4.0,1.0,1.0,1.0,,,2.0,1.0,,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,2.0,1.0,,0.25,,0.25,1.0,1.0,1.0,,1.0,,0.3333333333333333,,,1.0,,,0.25,0.25,,1.0,1.0,,,,0.25,1.0,0.5,0.25,0.5749,0.2,,1.0,1.0,0.25,0.25,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2010,2009-10,False
