EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,AtRimAssists,FTDefRebounds,SelfOReb,BadPassTurnovers,Offensive Fouls,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,ShortMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,SelfORebPct,AtRimPctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,Corner3FGM,Corner3FGA,FG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,DefensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGM,Arc3Assists,LongMidRangeAssists,LostBallSteals,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,BlockedShortMidRange,RecoveredBlocks,PenaltyFg3Pct,OffAtRimReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,AtRimPctBlocked,PenaltyCorner3FGA,Travels,NonShootingPenaltyNonTakeFouls,PenaltyCorner3Frequency,BadPassOutOfBoundsTurnovers,3SecondViolations,SecondChanceFtPoints,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,FTOffRebounds,BlockedLongMidRange,Defensive 3 Seconds Violations,OffFTReboundPct,SecondChanceArc3FGM,Loose Ball Fouls Drawn,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Arc3PctBlocked,BlockedCorner3,OffensiveGoaltends,team_id,year,season,team_vs
101126-1718-200749-2754-714,1610612738,"Nate Robinson, Paul Pierce, Shelden Williams, Tony Allen, Michael Finley","Robinson, Pierce, Williams, Allen, Finley",101126-1718-200749-2754-714,BOS,274.0,1,5.0,2.0,7.0,7.0,7.0,4.0,3.0,14.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,6.0,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,4.0,6.0,7.0,0.5,0.5,0.4,0.5,0.4,0.2857142857142857,0.5,0.2857142857142857,0.375,0.5,0.375,0.2857142857142857,0.2,0.5,0.5,0.75,0.6666666666666666,1.0,0.5,0.8,0.6,1.0,0.5,0.75,1.0,73.57664233576642,24.857142857142858,14.285714285714286,19.857142857142858,13.428571428571429,0.2857142857142857,0.5,0.5,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.5,0.2857142857142857,0.5,0.2857142857142857,0.5714285714285714,0.43582857142857145,0.5886,0.43582857142857145,0.125,0.16666666666666666,0.3333333333333333,1.0,8.72,25.65,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2010,2009-10,True
101126-1718-200765-201175-739,1610612738,"Nate Robinson, Paul Pierce, Rajon Rondo, Glen Davis, Rasheed Wallace","Robinson, Pierce, Rondo, Davis, Wallace",101126-1718-200765-201175-739,BOS,197.0,1,3.0,-1.0,5.0,5.0,,,2.0,10.0,1.0,1.0,1.0,,,1.0,3.0,1.0,,,2.0,5.0,,,4.0,5.0,2.0,2.0,4.0,,,,,,2.0,2.0,,1.0,1.0,1.0,,2.0,,2.0,,1.0,2.0,2.0,4.0,,,1.0,1.0,,,2.0,,,1.0,2.0,,1.0,,,,,,0.5,0.5,0.4,1.0,,0.4,1.0,,0.4,1.0,,,0.2,,0.5,0.5,0.6666666666666666,,,0.3333333333333333,0.6666666666666666,,,,,73.09644670050761,24.0,15.4,22.2,15.4,0.2,1.0,1.0,0.6,0.3333333333333333,0.5,,0.2,,0.5,,,,0.2,0.4377,0.4782,,,,1.0,,9.02,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2010,2009-10,True
101126-1718-200765-708-739,1610612738,"Nate Robinson, Paul Pierce, Rajon Rondo, Kevin Garnett, Rasheed Wallace","Robinson, Pierce, Rondo, Garnett, Wallace",101126-1718-200765-708-739,BOS,7.0,1,,-2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.71428571428572,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2010,2009-10,True
101126-1718-200765-708-951,1610612738,"Nate Robinson, Paul Pierce, Rajon Rondo, Kevin Garnett, Ray Allen","Robinson, Pierce, Rondo, Garnett, Allen",101126-1718-200765-708-951,BOS,225.0,5,4.0,-3.0,8.0,10.0,3.0,4.0,,18.0,,,,,,,,1.0,,,,1.0,1.0,6.0,9.0,12.0,,,,,,,2.0,2.0,,,,,,1.0,,3.0,,,2.0,1.0,3.0,,3.0,1.0,1.0,1.0,,,,1.0,,,2.0,4.0,,3.0,7.0,2.0,9.0,2.0,3.0,,,,,,0.75,,,0.8,,1.0,0.5,,,1.0,0.25,,0.4,,0.3333333333333333,,,,,0.25,115.2,11.375,13.4,11.375,10.6,,,,,,,,0.5,,,,,,0.5,0.47355,,,0.5,0.6666666666666666,,0.2222222222222222,21.5,23.1,0.375,,,,,1.0,,,2.0,2.0,3.0,,,,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2010,2009-10,True
101126-1718-200765-714-951,1610612738,"Nate Robinson, Paul Pierce, Rajon Rondo, Michael Finley, Ray Allen","Robinson, Pierce, Rondo, Finley, Allen",101126-1718-200765-714-951,BOS,16.0,2,,-2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,16.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2010,2009-10,True
101126-1718-200765-739-951,1610612738,"Nate Robinson, Paul Pierce, Rajon Rondo, Rasheed Wallace, Ray Allen","Robinson, Pierce, Rondo, Wallace, Allen",101126-1718-200765-739-951,BOS,87.0,3,1.0,4.0,2.0,4.0,2.0,2.0,,6.0,,,,,,1.0,1.0,1.0,,,2.0,2.0,,,4.0,,,,,2.0,2.0,,,4.0,,4.0,,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,1.0,,,4.0,4.0,2.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,1.0,,1.0,,,,,1.0,99.3103448275862,22.0,10.75,22.0,10.75,,,,0.5,1.0,1.0,,0.5,,,,,,,0.39665,,0.39665,,,,1.0,11.3,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2010,2009-10,True
101126-1718-201175-2754-708,1610612738,"Nate Robinson, Paul Pierce, Glen Davis, Tony Allen, Kevin Garnett","Robinson, Pierce, Davis, Allen, Garnett",101126-1718-201175-2754-708,BOS,116.0,1,2.0,3.0,3.0,3.0,,,1.0,6.0,1.0,1.0,,,,,,,2.0,,1.0,1.0,3.0,,5.0,2.0,,,3.0,,,,,,2.0,,2.0,,1.0,2.0,,5.0,1.0,,,2.0,2.0,1.0,3.0,,,,,,,,,,1.0,2.0,,,,,2.0,,,1.0,1.0,1.0,,,0.625,0.75,,0.625,0.75,,0.75,,,,1.0,,,0.5,1.0,0.5,,0.5,1.0,,74.48275862068965,17.666666666666668,21.0,12.333333333333334,21.0,0.25,1.0,1.0,,,,,,0.5,,,,,1.0,0.5493875,0.5541,,,,0.6,,,24.333333333333332,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,1.0,0.3333333333333333,0.3333333333333333,,,0.25,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2010,2009-10,True
101126-1718-201175-2754-739,1610612738,"Nate Robinson, Paul Pierce, Glen Davis, Tony Allen, Rasheed Wallace","Robinson, Pierce, Davis, Allen, Wallace",101126-1718-201175-2754-739,BOS,1133.0,6,19.0,8.0,32.0,31.0,7.0,8.0,3.0,63.0,5.0,9.0,2.0,,2.0,4.0,6.0,6.0,6.0,2.0,12.0,21.0,9.0,5.0,35.0,27.0,3.0,3.0,6.0,1.0,4.0,2.0,2.0,7.0,10.0,14.0,5.0,,5.0,7.0,1.0,16.0,1.0,3.0,5.0,8.0,13.0,4.0,17.0,5.0,3.0,3.0,1.0,1.0,,4.0,,1.0,1.0,6.0,,11.0,7.0,4.0,29.0,7.0,7.0,0.4166666666666667,0.5,0.5714285714285714,1.0,0.25,0.5,0.75,0.4166666666666667,0.5303030303030303,0.75,0.5,0.3,,,0.75,0.6666666666666666,0.3333333333333333,0.7142857142857143,0.16666666666666666,0.6842105263157895,0.26666666666666666,0.3333333333333333,,0.75,0.8333333333333334,80.07060900264784,18.03125,17.93548387096774,17.46875,16.870967741935484,0.3,0.5555555555555556,0.5555555555555556,0.2,0.6666666666666666,0.6666666666666666,0.25,0.2,0.2,0.5,0.3333333333333333,,0.3333333333333333,0.6,0.49944655172413793,0.5526166666666666,0.46460999999999997,0.12121212121212122,0.16666666666666666,0.17142857142857143,0.2,7.719047619047619,26.833333333333332,0.21875,2.0,2.0,,1.0,2.0,,1.0,2.0,1.0,2.0,,,0.5,0.8,0.06666666666666667,0.4,1.0,,1.0,3.0,2.0,6.0,2.0,1.0,,,,,,,1.0,0.2222222222222222,0.25,0.3333333333333333,,0.1,0.3333333333333333,0.3333333333333333,1.0,3.0,0.5,0.5,,1.0,,,1.0,,0.25,,,,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.25,0.5,0.5,0.6666666666666666,0.16666666666666666,0.16666666666666666,1.0,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2010,2009-10,True
101126-1718-201175-708-951,1610612738,"Nate Robinson, Paul Pierce, Glen Davis, Kevin Garnett, Ray Allen","Robinson, Pierce, Davis, Garnett, Allen",101126-1718-201175-708-951,BOS,277.0,2,5.0,3.0,8.0,8.0,,,,16.0,2.0,2.0,,,,2.0,2.0,2.0,1.0,,4.0,6.0,1.0,4.0,12.0,9.0,,,,,,,,,8.0,,1.0,,4.0,4.0,2.0,8.0,,,,3.0,3.0,,3.0,,,,,,,,,,3.0,4.0,1.0,2.0,4.0,1.0,12.0,,,1.0,1.0,0.6666666666666666,,,0.5714285714285714,,,0.75,,,0.14285714285714285,,,,0.75,,,,0.6,,,,,,83.17689530685921,16.375,18.25,16.375,15.5,0.2857142857142857,1.0,1.0,0.2857142857142857,1.0,1.0,1.0,0.2857142857142857,0.14285714285714285,,,,,0.42857142857142855,0.47886428571428574,,,0.25,0.16666666666666666,,,8.25,28.4,,,2.0,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2010,2009-10,True
101126-1718-201175-739-951,1610612738,"Nate Robinson, Paul Pierce, Glen Davis, Rasheed Wallace, Ray Allen","Robinson, Pierce, Davis, Wallace, Allen",101126-1718-201175-739-951,BOS,320.0,3,5.0,-4.0,10.0,10.0,1.0,,,20.0,2.0,4.0,,,,1.0,3.0,1.0,,,3.0,8.0,,1.0,7.0,11.0,,,,,1.0,,,,4.0,2.0,,,2.0,2.0,1.0,4.0,,,,1.0,1.0,,1.0,,,,,,,,,,3.0,3.0,,1.0,2.0,1.0,7.0,,1.0,0.6666666666666666,0.6666666666666666,0.375,,,0.375,,,0.3888888888888889,,,,,,,0.5,,,,0.5,,,,1.0,,90.0,17.2,14.8,17.2,14.8,0.5,0.5,0.5,0.375,0.3333333333333333,0.3333333333333333,1.0,0.125,,,,,,0.5,0.4583875,,0.3277,0.1111111111111111,0.1111111111111111,,,6.2,,0.1,,1.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2010,2009-10,True
