EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,PlusMinus,OffPoss,PenaltyOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsPutbacks,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShootingFouls,Offensive Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,Corner3FGM,PenaltyCorner3FGM,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,Corner3Assists,LongMidRangeAssists,Travels,SecondChanceTurnovers,BlockedShortMidRange,PenaltyFg3Pct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,LostBallSteals,OffShortMidRangeReboundPct,Fg3aBlocked,LostBallOutOfBoundsTurnovers,Clear Path Fouls,3SecondViolations,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,Blocked3s,BlockedArc3,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,Technical Free Throw Trips,SecondChanceFg3Pct,Corner3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,HeaveAttempts,BlockedCorner3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
101133-1938-201588-201971-202066,1610612759,"Ian Mahinmi, Manu Ginobili, George Hill, DeJuan Blair, Garrett Temple","Mahinmi, Ginobili, Hill, Blair, Temple",101133-1938-201588-201971-202066,SAS,16.0,1,1.0,1.0,1.0,90.0,16.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,False
101133-201588-2225-2427-2588,1610612759,"Ian Mahinmi, George Hill, Tony Parker, Roger Mason Jr., Matt Bonner","Mahinmi, Hill, Parker, Mason Jr., Bonner",101133-201588-2225-2427-2588,SAS,321.0,1,12.0,12.0,24.0,107.66355140186917,11.666666666666666,11.416666666666666,5.0,2.0,12.0,12.0,3.0,4.0,3.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,5.0,10.0,1.0,1.0,11.0,9.0,5.0,10.0,1.0,1.0,11.0,6.0,4.0,1.0,3.0,3.0,2.0,1.0,6.0,1.0,3.0,2.0,6.0,6.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,11.0,12.0,3.0,0.6,0.6,0.5,0.5,0.45454545454545453,0.45454545454545453,0.4583333333333333,0.4583333333333333,0.09090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.083333333333334,15.083333333333334,0.36363636363636365,0.75,0.75,0.6666666666666666,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.09090909090909091,0.36363636363636365,0.75,0.09090909090909091,0.45454545454545453,0.4589727272727273,0.4589727272727273,0.08333333333333333,0.09090909090909091,1.0,7.959999999999999,25.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,False
101133-201588-2427-2586-2588,1610612759,"Ian Mahinmi, George Hill, Roger Mason Jr., Keith Bogans, Matt Bonner","Mahinmi, Hill, Mason Jr., Bogans, Bonner",101133-201588-2427-2586-2588,SAS,33.0,1,1.0,,1.0,43.63636363636363,15.0,15.0,1.0,-2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,False
101133-201971-202066-2427-2586,1610612759,"Ian Mahinmi, DeJuan Blair, Garrett Temple, Roger Mason Jr., Keith Bogans","Mahinmi, Blair, Temple, Mason Jr., Bogans",101133-201971-202066-2427-2586,SAS,521.0,1,17.0,,34.0,93.97312859884836,18.58823529411765,17.88235294117647,9.0,,17.0,15.0,2.0,6.0,1.0,5.0,1.0,2.0,,2.0,2.0,1.0,3.0,10.0,3.0,6.0,12.0,12.0,2.0,8.0,2.0,5.0,9.0,,6.0,2.0,,,,,,7.0,3.0,,10.0,14.0,,,3.0,6.0,8.0,2.0,,,,,10.0,9.0,15.0,,,,0.3,0.25,0.23076923076923078,0.2,0.35294117647058826,0.32142857142857145,0.23076923076923078,,1.0,0.875,0.9090909090909091,1.0,,1.0,,12.058823529411764,10.647058823529411,0.46153846153846156,0.3333333333333333,0.4,,0.15384615384615385,0.5,0.5,,0.15384615384615385,,,0.15384615384615385,0.5,0.2,0.1,0.6923076923076923,0.5309961538461538,0.532315,0.14285714285714285,0.18181818181818182,0.75,4.88,24.3,0.8823529411764706,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0,5.0,1.0,2.0,2.0,1.0,3.0,3.0,0.3333333333333333,0.25,0.25,0.1,0.16666666666666666,0.4,0.2857142857142857,0.6666666666666666,0.4,0.5,0.5,1.0,1.0,0.6666666666666666,0.1111111111111111,0.07692307692307693,0.5,0.25,0.1,0.50845,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,False
101133-202066-2427-2586-2588,1610612759,"Ian Mahinmi, Garrett Temple, Roger Mason Jr., Keith Bogans, Matt Bonner","Mahinmi, Temple, Mason Jr., Bogans, Bonner",101133-202066-2427-2586-2588,SAS,166.0,1,7.0,,14.0,121.44578313253012,14.285714285714286,12.285714285714286,3.0,-2.0,7.0,,,1.0,,,,,,1.0,1.0,,,2.0,2.0,2.0,5.0,7.0,,,,,,,,1.0,,1.0,,,3.0,,1.0,,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,,,,,5.0,,,,,,,,0.375,,0.5,,0.5,,0.5,,0.5,,,,,9.428571428571429,9.428571428571429,0.25,,,,,,,,0.25,,,0.25,,,,0.75,0.532225,,0.2,0.3333333333333333,,7.65,23.85,,,,1.0,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,2.0,,,1.0,,,,,,,,0.5,1.0,0.5,,,,,,,1.0,,,0.25,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,False
101133-2210-2225-2427-2588,1610612759,"Ian Mahinmi, Richard Jefferson, Tony Parker, Roger Mason Jr., Matt Bonner","Mahinmi, Jefferson, Parker, Mason Jr., Bonner",101133-2210-2225-2427-2588,SAS,58.0,1,1.0,,3.0,74.48275862068965,19.0,19.0,1.0,-3.0,2.0,2.0,,,,,,1.0,,1.0,,,,2.0,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,19.5,19.5,,,,,0.5,,,,0.5,,,,,,,,0.3911,0.3911,,,,12.6,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,False
1495-1938-201588-2210-2225,1610612759,"Tim Duncan, Manu Ginobili, George Hill, Richard Jefferson, Tony Parker","Duncan, Ginobili, Hill, Jefferson, Parker",1495-1938-201588-2210-2225,SAS,1292.0,6,42.0,34.0,84.0,93.62229102167181,15.714285714285714,14.476190476190476,22.0,-10.0,42.0,31.0,7.0,12.0,5.0,9.0,2.0,3.0,3.0,7.0,5.0,3.0,12.0,22.0,9.0,18.0,51.0,61.0,8.0,17.0,5.0,14.0,39.0,12.0,12.0,5.0,6.0,9.0,4.0,,21.0,3.0,5.0,,8.0,12.0,4.0,4.0,11.0,17.0,26.0,8.0,2.0,1.0,2.0,1.0,44.0,39.0,31.0,4.0,0.5,0.5454545454545454,0.5454545454545454,0.47058823529411764,0.532258064516129,0.5681818181818182,0.5930232558139535,0.6290322580645161,0.2903225806451613,,0.4166666666666667,0.6,0.47058823529411764,0.5,0.2,0.6666666666666666,0.5,15.047619047619047,14.476190476190476,0.3870967741935484,0.5833333333333334,0.5833333333333334,0.5714285714285714,0.0967741935483871,0.6666666666666666,0.6666666666666666,,0.22580645161290322,0.42857142857142855,0.42857142857142855,0.16129032258064516,0.4090909090909091,0.5555555555555556,0.13636363636363635,0.6774193548387096,0.5272564516129032,0.5139454545454546,0.21621621621621623,0.2857142857142857,0.7647058823529411,7.663636363636363,24.0,0.7380952380952381,3.0,3.0,4.0,,2.0,2.0,3.0,,7.0,2.0,,1.0,3.0,4.0,2.0,3.0,,2.0,2.0,1.0,5.0,3.0,1.0,1.0,1.0,2.0,6.0,5.0,0.6666666666666666,0.6666666666666666,0.7,,,0.6,0.3,0.16666666666666666,0.25,0.6,0.3333333333333333,,0.6666666666666666,0.5,0.125,0.12903225806451613,1.0,,0.09090909090909091,0.5987,0.13725490196078433,2.0,3.0,9.0,2.0,3.0,2.0,4.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.4,1.0,0.4,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,0.6,0.6666666666666666,0.25,0.25,1.0,0.6666666666666666,0.5,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,False
1495-1938-201588-2210-2427,1610612759,"Tim Duncan, Manu Ginobili, George Hill, Richard Jefferson, Roger Mason Jr.","Duncan, Ginobili, Hill, Jefferson, Mason Jr.",1495-1938-201588-2210-2427,SAS,160.0,1,5.0,5.0,10.0,90.0,14.2,14.2,3.0,-1.0,5.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,2.0,3.0,,2.0,6.0,7.0,,1.0,,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,,2.0,1.0,,,1.0,1.0,1.0,,,2.0,4.0,2.0,,,,,6.0,1.0,1.0,,0.5,0.5,0.6666666666666666,,0.6666666666666666,,0.6,0.25,,,,1.0,1.0,,,,,17.8,17.8,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,,,,,,1.0,,,0.6666666666666666,0.5412,0.5875,0.4,0.4,0.16666666666666666,3.466666666666667,,0.2,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,False
1495-1938-201588-2210-2586,1610612759,"Tim Duncan, Manu Ginobili, George Hill, Richard Jefferson, Keith Bogans","Duncan, Ginobili, Hill, Jefferson, Bogans",1495-1938-201588-2210-2586,SAS,196.0,1,7.0,,13.0,95.51020408163265,13.428571428571429,13.428571428571429,3.0,-3.0,6.0,,1.0,1.0,,,1.0,1.0,,,1.0,,2.0,2.0,1.0,1.0,5.0,8.0,,,,,,4.0,,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,,,1.0,1.0,2.0,1.0,,,,,5.0,,,,1.0,1.0,1.0,,0.6666666666666666,,0.625,,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,17.0,17.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,0.3333333333333333,,,,0.6666666666666666,0.47646666666666665,,0.25,0.3333333333333333,,3.55,25.0,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,0.5,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,False
1495-1938-201588-2210-2588,1610612759,"Tim Duncan, Manu Ginobili, George Hill, Richard Jefferson, Matt Bonner","Duncan, Ginobili, Hill, Jefferson, Bonner",1495-1938-201588-2210-2588,SAS,970.0,6,32.0,6.0,61.0,90.55670103092783,15.78125,15.53125,16.0,,29.0,13.0,6.0,9.0,1.0,3.0,2.0,8.0,1.0,4.0,4.0,3.0,9.0,21.0,6.0,1.0,25.0,25.0,2.0,7.0,3.0,1.0,11.0,8.0,10.0,4.0,4.0,6.0,3.0,1.0,14.0,4.0,11.0,,15.0,18.0,2.0,1.0,10.0,8.0,5.0,2.0,,,,,23.0,11.0,13.0,1.0,0.4444444444444444,0.5,0.42857142857142855,0.2857142857142857,0.4444444444444444,0.5,0.43103448275862066,0.4583333333333333,0.2222222222222222,,0.7857142857142857,0.8,0.7894736842105263,,0.875,0.75,,16.03448275862069,15.275862068965518,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.2962962962962963,0.25,0.25,0.5,0.14814814814814814,0.25,0.25,0.14814814814814814,0.3,0.3333333333333333,0.3,0.5555555555555556,0.4866962962962963,0.47817999999999994,0.07142857142857142,0.09090909090909091,0.44,6.985714285714285,24.3,0.4482758620689655,3.0,1.0,2.0,1.0,,1.0,2.0,1.0,2.0,2.0,,1.0,2.0,3.0,1.0,3.0,,2.0,1.0,1.0,4.0,2.0,1.0,,,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,,,0.75,0.16666666666666666,0.25,0.1875,,0.5,,0.8,1.0,0.0625,0.07407407407407407,0.3333333333333333,0.3333333333333333,,0.4951,0.08,2.0,2.0,6.0,2.0,2.0,2.0,6.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.5,1.0,,,2.0,,2.0,,,1.0,,,0.6666666666666666,,,,,1.0,,,0.6666666666666666,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,False
