EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGM,PenaltyFG3M,Travels,SecondChanceTurnovers,PenaltyFg3Pct,PenaltyArc3Accuracy,Fg2aBlocked,Offensive Fouls,RecoveredBlocks,FG2APctBlocked,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,BlocksRecoveredPct,Corner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsUnassisted3s,PtsPutbacks,Fg3aBlocked,Corner3Assists,SelfOReb,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,SecondChanceFg3Pct,FG3APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,BlockedCorner3,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,Clear Path Fouls,team_id,year,season,team_vs
101107-1710-201143-2037-2207,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jamal Crawford, Joe Johnson","Williams, Bibby, Horford, Crawford, Johnson",101107-1710-201143-2037-2207,ATL,1501.0,8,25.0,4.0,47.0,47.0,22.0,22.0,5.0,94.0,8.0,14.0,1.0,3.0,3.0,6.0,1.0,2.0,6.0,12.0,3.0,1.0,2.0,2.0,8.0,3.0,15.0,28.0,2.0,11.0,17.0,53.0,49.0,1.0,3.0,1.0,4.0,6.0,4.0,11.0,5.0,8.0,16.0,12.0,18.0,6.0,8.0,2.0,6.0,2.0,8.0,2.0,4.0,1.0,1.0,18.0,2.0,4.0,5.0,9.0,1.0,15.0,6.0,21.0,5.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,5.0,3.0,1.0,7.0,13.0,19.0,1.0,8.0,2.0,3.0,2.0,1.0,3.0,47.0,16.0,22.0,2.0,2.0,0.4,0.4,1.0,0.18181818181818182,0.18181818181818182,0.5357142857142857,0.3333333333333333,0.36363636363636365,0.46153846153846156,0.25,0.25,0.5520833333333334,0.5,0.4,0.28205128205128205,0.8,1.0,0.5625,0.3076923076923077,0.7142857142857143,0.2222222222222222,0.6086956521739131,0.2727272727272727,0.5,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.4,0.75,0.5714285714285714,0.6666666666666666,1.0,90.1798800799467,16.23404255319149,15.702127659574469,15.53191489361702,14.829787234042554,0.358974358974359,0.5714285714285714,0.5714285714285714,0.5,0.05128205128205128,0.5,0.5,1.0,0.3076923076923077,0.5,0.5,0.16666666666666666,0.07692307692307693,0.20512820512820512,0.25,0.25,1.0,0.75,0.3333333333333333,0.25,0.375,0.5,0.125,0.1875,0.6410256410256411,0.25,0.48557435897435897,0.602275,0.471553125,0.17391304347826086,0.22857142857142856,0.11320754716981132,0.3018867924528302,8.871428571428572,25.072727272727274,0.46808510638297873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2010,2009-10,False
101107-1710-201143-2037-2230,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jamal Crawford, Maurice Evans","Williams, Bibby, Horford, Crawford, Evans",101107-1710-201143-2037-2230,ATL,45.0,2,1.0,1.0,4.0,2.0,4.0,2.0,1.0,6.0,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,2.0,2.0,1.0,2.0,1.0,2.0,,5.0,4.0,,,,,,1.0,2.0,2.0,,5.0,2.0,,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,,5.0,,1.0,,,,,1.0,1.0,,,,,,1.0,,,1.0,1.0,,2.0,,,,,,,,,,5.0,5.0,4.0,2.0,,1.0,1.0,1.0,0.5,0.5,0.5,,0.5,0.625,,0.625,0.625,,0.625,0.5,,,,1.0,,,,0.5,1.0,,,,,,,,,192.0,10.5,1.5,10.5,1.5,0.25,,,,0.25,1.0,1.0,1.0,,,,,,0.5,0.5,0.5,1.0,,,,0.25,,,0.5,0.75,0.5,0.3818375,,0.3818375,,,,1.0,5.95,26.6,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2010,2009-10,False
101107-1710-201143-2037-2585,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jamal Crawford, Zaza Pachulia","Williams, Bibby, Horford, Crawford, Pachulia",101107-1710-201143-2037-2585,ATL,69.0,1,1.0,1.0,2.0,1.0,,,,3.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,2.0,2.0,,,,4.0,3.0,,,,,,,,,,,4.0,,,,,2.0,,2.0,,,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,4.0,,,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,62.60869565217392,17.0,35.0,17.0,35.0,,,,,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,0.4226,,,,,,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2010,2009-10,False
101107-1710-201143-2037-2746,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jamal Crawford, Josh Smith","Williams, Bibby, Horford, Crawford, Smith",101107-1710-201143-2037-2746,ATL,558.0,2,9.0,,18.0,18.0,11.0,10.0,2.0,36.0,4.0,6.0,,,2.0,3.0,,4.0,1.0,5.0,,,,1.0,2.0,,5.0,15.0,1.0,2.0,6.0,19.0,19.0,,3.0,,,,2.0,10.0,,6.0,10.0,2.0,8.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,5.0,1.0,2.0,,7.0,2.0,9.0,3.0,12.0,1.0,1.0,,,,1.0,,,1.0,,2.0,5.0,7.0,7.0,1.0,3.0,1.0,3.0,3.0,,3.0,19.0,10.0,11.0,1.0,1.0,0.2,0.2,1.0,0.5,0.5,0.3333333333333333,,0.2,0.38235294117647056,,0.2,0.475,,0.38461538461538464,0.11764705882352941,,0.6666666666666666,0.6363636363636364,0.2,,1.0,0.6363636363636364,0.2727272727272727,,0.25,1.0,,0.5,0.6666666666666666,1.0,,,92.9032258064516,14.833333333333334,16.166666666666668,13.333333333333334,15.666666666666666,0.35294117647058826,0.6666666666666666,0.6666666666666666,0.25,0.23529411764705882,,,,0.29411764705882354,0.2,0.2,,,0.11764705882352941,0.5,0.5,1.0,,,,0.3,0.6666666666666666,,,0.47058823529411764,0.5,0.4868647058823529,0.418,0.46565,0.15789473684210525,0.17647058823529413,,0.5263157894736842,8.753333333333334,26.05,0.6111111111111112,,,,,,,1.0,1.0,1.0,0.06666666666666667,0.25,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2010,2009-10,False
101107-1710-201143-2207-2585,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Joe Johnson, Zaza Pachulia","Williams, Bibby, Horford, Johnson, Pachulia",101107-1710-201143-2207-2585,ATL,114.0,1,2.0,-7.0,3.0,4.0,,,,7.0,,,,,,,,1.0,,2.0,,,,,,,,3.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,1.0,,,88.42105263157895,20.333333333333332,13.25,20.333333333333332,9.5,,,,,0.3333333333333333,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,0.40609999999999996,,,,,,,15.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2010,2009-10,False
101107-1710-201143-2207-2746,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Joe Johnson, Josh Smith","Williams, Bibby, Horford, Johnson, Smith",101107-1710-201143-2207-2746,ATL,9151.0,11,153.0,-22.0,257.0,259.0,13.0,12.0,29.0,516.0,37.0,69.0,6.0,19.0,,1.0,19.0,46.0,43.0,97.0,11.0,2.0,1.0,8.0,27.0,3.0,99.0,212.0,15.0,38.0,37.0,280.0,302.0,13.0,29.0,4.0,3.0,32.0,1.0,5.0,4.0,6.0,11.0,102.0,96.0,39.0,27.0,8.0,51.0,13.0,64.0,7.0,20.0,3.0,28.0,141.0,10.0,29.0,32.0,53.0,3.0,88.0,39.0,127.0,19.0,15.0,4.0,13.0,8.0,17.0,1.0,5.0,30.0,1.0,21.0,46.0,47.0,41.0,7.0,22.0,1.0,11.0,10.0,,12.0,248.0,11.0,13.0,,1.0,0.5151515151515151,0.5425531914893617,0.8666666666666667,0.39473684210526316,0.39473684210526316,0.4669811320754717,0.4482758620689655,0.2,0.486,0.4393939393939394,0.2777777777777778,0.5225563909774437,0.45714285714285713,0.4583333333333333,0.152,0.43333333333333335,1.0,0.6973684210526315,0.25663716814159293,0.7111111111111111,0.43478260869565216,0.7024793388429752,0.2867647058823529,0.4375,0.16666666666666666,0.42105263157894735,0.5,0.46153846153846156,0.7692307692307693,0.8378378378378378,0.78125,0.5384615384615384,81.19768331329908,18.27237354085603,17.2007722007722,17.69649805447471,16.482625482625483,0.276,0.5362318840579711,0.6065573770491803,0.5405405405405406,0.184,0.41304347826086957,0.4222222222222222,0.15789473684210525,0.388,0.44329896907216493,0.45263157894736844,0.6511627906976745,0.044,0.108,0.2962962962962963,0.3076923076923077,0.875,0.5757575757575758,0.3157894736842105,0.06060606060606061,0.1111111111111111,,0.1111111111111111,0.3333333333333333,0.428,0.2962962962962963,0.4753992,0.52690625,0.44778333333333337,0.0830188679245283,0.09691629955947137,0.11428571428571428,0.039285714285714285,10.532075471698114,25.026315789473685,0.05058365758754864,1.0,1.0,1.0,3.0,0.25,0.3333333333333333,11.0,5.0,5.0,0.05188679245283019,0.021739130434782608,0.2222222222222222,0.4166666666666667,7.0,1.0,2.0,1.0,6.0,10.0,1.0,6.0,6.0,6.0,3.0,4.0,7.0,2.0,1.0,1.0,1.0,2.0,0.25,0.02631578947368421,0.11594202898550725,0.020618556701030927,0.037037037037037035,0.04838709677419355,0.6363636363636364,0.6363636363636364,0.8571428571428571,0.16666666666666666,0.06060606060606061,0.5,1.0,,,,,,,,,,,,1610612737,2010,2009-10,False
101107-1710-201143-2585-2746,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Zaza Pachulia, Josh Smith","Williams, Bibby, Horford, Pachulia, Smith",101107-1710-201143-2585-2746,ATL,114.0,1,2.0,,2.0,2.0,,,,4.0,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,2.0,,,,2.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,2.0,,,,,,,,,,0.5,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,50.526315789473685,24.0,33.0,24.0,23.5,0.5,1.0,1.0,,,,,,0.5,,,,,,,,,,,,,,,,0.5,,0.45255,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2010,2009-10,False
101107-1710-201238-201952-2746,1610612737,"Marvin Williams, Mike Bibby, Mario West, Jeff Teague, Josh Smith","Williams, Bibby, West, Teague, Smith",101107-1710-201238-201952-2746,ATL,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2010,2009-10,False
101107-1710-2037-2207-2585,1610612737,"Marvin Williams, Mike Bibby, Jamal Crawford, Joe Johnson, Zaza Pachulia","Williams, Bibby, Crawford, Johnson, Pachulia",101107-1710-2037-2207-2585,ATL,335.0,2,6.0,-3.0,9.0,8.0,1.0,,2.0,17.0,2.0,4.0,1.0,2.0,,,1.0,2.0,1.0,3.0,,,,,1.0,,4.0,9.0,,1.0,,8.0,11.0,1.0,2.0,,,2.0,,1.0,,,,4.0,4.0,,1.0,,2.0,,2.0,,1.0,1.0,,4.0,1.0,1.0,1.0,2.0,,3.0,2.0,5.0,,,,1.0,1.0,,,,1.0,,3.0,3.0,,,,,,1.0,1.0,,1.0,6.0,,1.0,,,0.5,0.6666666666666666,,,,0.4444444444444444,0.5,,0.4,0.5,,0.4,0.5,,0.1,1.0,,0.3333333333333333,0.25,0.5,1.0,0.375,0.4,0.5,,1.0,,,1.0,0.3333333333333333,,1.0,73.07462686567165,17.333333333333332,22.375,17.22222222222222,18.375,0.4,0.5,0.5,0.5,0.2,0.5,0.5,1.0,0.3,0.3333333333333333,0.3333333333333333,,,0.1,,,,1.0,0.5,,,,,,0.5,,0.44455999999999996,0.5797,0.2905,,,0.25,,8.533333333333333,26.1,0.1111111111111111,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2010,2009-10,False
101107-1710-2037-2207-2746,1610612737,"Marvin Williams, Mike Bibby, Jamal Crawford, Joe Johnson, Josh Smith","Williams, Bibby, Crawford, Johnson, Smith",101107-1710-2037-2207-2746,ATL,17.0,1,,,2.0,2.0,,2.0,1.0,4.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,2.0,2.0,,1.0,,4.0,4.0,1.0,1.0,,,2.0,,,,,,,4.0,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,2.0,,,,,,,1.0,1.0,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,0.3333333333333333,,,,,,1.0,,1.0,,,,1.0,,,,,,338.8235294117647,7.5,1.0,7.5,1.0,0.3333333333333333,1.0,1.0,,,,,,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,1.0,1.0,,,,,,0.6666666666666666,,0.49675,,,,,0.5,,10.15,24.6,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2010,2009-10,False
101107-1710-2037-2585-2746,1610612737,"Marvin Williams, Mike Bibby, Jamal Crawford, Zaza Pachulia, Josh Smith","Williams, Bibby, Crawford, Pachulia, Smith",101107-1710-2037-2585-2746,ATL,88.0,1,1.0,-2.0,3.0,2.0,,,1.0,5.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,2.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,81.81818181818183,19.0,15.5,15.0,15.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.54,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2010,2009-10,False
