EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,FTDefRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefFTReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,OffRebounds,Steals,BadPassSteals,DeadBallTurnovers,Travels,Turnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,Fg2aBlocked,BlockedAtRim,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,FtPoints,SecondChanceFtPoints,PenaltyFtPoints,ShortMidRangePctBlocked,LongMidRangeFGM,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,OffThreePtRebounds,SelfOReb,FG3APct,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,NonShootingFoulsDrawn,LiveBallTurnoverPct,DefCorner3ReboundPct,ShortMidRangeFGM,Offensive Fouls Drawn,3SecondViolations,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3FGA,Arc3FGM,FG3M,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,ShortMidRangeAssists,LongMidRangeAssists,Loose Ball Fouls,Fg3Pct,NonHeaveFg3Pct,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,PtsAssisted3s,ThreePtAssists,Arc3Assists,2pt And 1 Free Throw Trips,Assisted3sPct,Arc3PctAssisted,NonShootingPenaltyNonTakeFouls,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,BlockedLongMidRange,NonShootingPenaltyNonTakeFoulsDrawn,Corner3FGM,Corner3Accuracy,UnblockedCorner3Accuracy,BadPassOutOfBoundsTurnovers,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedCorner3,LostBallSteals,PenaltyCorner3FGA,StepOutOfBoundsTurnovers,PenaltyCorner3Frequency,Loose Ball Fouls Drawn,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,LostBallTurnovers,DefensiveGoaltends,SecondChanceFg3Pct,OffLongMidRangeReboundPct,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,SecondChanceAtRimPctAssisted,Clear Path Fouls,OffCorner3ReboundPct,Technical Free Throw Trips,LongMidRangePctBlocked,Defensive 3 Seconds Violations,OffensiveGoaltends,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
101133-1495-1938-201588-2210,1610612759,"Ian Mahinmi, Tim Duncan, Manu Ginobili, George Hill, Richard Jefferson","Mahinmi, Duncan, Ginobili, Hill, Jefferson",101133-1495-1938-201588-2210,SAS,32.0,1,1.0,-1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,135.0,14.0,9.0,14.0,9.0,1.0,1.0,1.0,1.0,1.0,0.7459,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,True
101133-1495-1938-201588-2225,1610612759,"Ian Mahinmi, Tim Duncan, Manu Ginobili, George Hill, Tony Parker","Mahinmi, Duncan, Ginobili, Hill, Parker",101133-1495-1938-201588-2225,SAS,180.0,1,3.0,-1.0,6.0,7.0,,13.0,3.0,3.0,3.0,5.0,6.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,,,4.0,0.3333333333333333,0.5,0.6,0.6,0.5,1.0,104.0,14.333333333333334,13.428571428571429,14.0,13.428571428571429,0.6,1.0,1.0,0.3333333333333333,0.6,0.56322,5.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.2,0.2,1.0,1.0,0.5354,0.16666666666666666,0.16666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,True
101133-1495-1938-201588-2427,1610612759,"Ian Mahinmi, Tim Duncan, Manu Ginobili, George Hill, Roger Mason Jr.","Mahinmi, Duncan, Ginobili, Hill, Mason Jr.",101133-1495-1938-201588-2427,SAS,92.0,1,2.0,,3.0,3.0,,6.0,1.0,3.0,1.0,4.0,2.0,2.0,,,,,,,2.0,4.0,,1.0,,,,0.25,0.25,0.25,,93.91304347826086,14.0,16.666666666666668,14.0,15.666666666666666,0.75,0.3333333333333333,1.0,,0.75,0.563025,2.15,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,,,1.0,0.25,,1.0,1.0,0.6589,,,1.0,3.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,3.0,0.25,0.25,0.25,0.5,0.6666666666666666,1.0,1.0,0.5,0.75,0.3333333333333333,0.563025,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,True
101133-1495-1938-2225-2427,1610612759,"Ian Mahinmi, Tim Duncan, Manu Ginobili, Tony Parker, Roger Mason Jr.","Mahinmi, Duncan, Ginobili, Parker, Mason Jr.",101133-1495-1938-2225-2427,SAS,44.0,1,1.0,3.0,1.0,1.0,,2.0,,,,2.0,3.0,,,,,,,,1.0,3.0,,,1.0,,,,,0.375,,65.45454545454545,28.0,16.0,20.0,16.0,,,,,,0.3974,7.6,1.0,,,2.0,,,1.0,2.0,,,2.0,,1.0,2.0,,,,,,2.0,4.0,2.0,,,,,,,0.5,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,0.3989,0.5,0.5,0.6666666666666666,,,,,,1.0,1.0,,1.0,,,,0.5,0.5,,,,,,,,0.3333333333333333,,3.0,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,True
101133-1495-1938-2225-2586,1610612759,"Ian Mahinmi, Tim Duncan, Manu Ginobili, Tony Parker, Keith Bogans","Mahinmi, Duncan, Ginobili, Parker, Bogans",101133-1495-1938-2225-2586,SAS,83.0,1,1.0,1.0,3.0,2.0,,5.0,,2.0,1.0,4.0,4.0,3.0,,,,,,,1.0,4.0,,,4.0,,,0.25,0.2,0.3333333333333333,,86.74698795180723,16.333333333333332,17.0,10.0,17.0,0.4,,,,0.6,0.49284999999999995,6.15,1.0,,2.0,1.0,1.0,,3.0,,2.0,,2.0,,1.0,3.0,,,,,,1.0,2.0,1.0,,,,,,,,1.0,0.6666666666666666,,1.0,0.75,1.0,1.0,,,0.2,0.2,0.6666666666666666,,0.5627,0.16666666666666666,0.2,,3.0,,2.0,1.0,4.0,4.0,1.0,,4.0,3.0,0.25,0.2,0.3333333333333333,0.25,0.5,0.5,,,0.4,,0.49284999999999995,1.0,1.0,2.0,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.2,1.0,1.0,0.6666666666666666,1.0,1.0,0.2,0.2,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,True
101133-1938-201588-2210-2427,1610612759,"Ian Mahinmi, Manu Ginobili, George Hill, Richard Jefferson, Roger Mason Jr.","Mahinmi, Ginobili, Hill, Jefferson, Mason Jr.",101133-1938-201588-2210-2427,SAS,294.0,2,5.0,-6.0,11.0,12.0,,23.0,1.0,1.0,1.0,6.0,5.0,11.0,,,,,,,5.0,6.0,3.0,4.0,3.0,,,0.16666666666666666,0.16666666666666666,0.3125,,112.65306122448979,15.090909090909092,10.666666666666666,15.090909090909092,10.166666666666666,0.16666666666666666,1.0,1.0,,0.16666666666666666,0.45891666666666664,8.85,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,,,1.0,,4.0,4.0,4.0,1.0,,,,,1.0,1.0,1.0,0.75,0.2,1.0,0.8333333333333334,0.2,0.25,1.0,1.0,,0.6666666666666666,0.16666666666666666,1.0,1.0,0.6033,0.14285714285714285,0.14285714285714285,0.4,,,,,,,2.0,,,,,,,0.3333333333333333,,,,1.0,,,,,,3.0,,,0.5,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,1.0,0.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,True
101133-1938-201588-2210-2588,1610612759,"Ian Mahinmi, Manu Ginobili, George Hill, Richard Jefferson, Matt Bonner","Mahinmi, Ginobili, Hill, Jefferson, Bonner",101133-1938-201588-2210-2588,SAS,74.0,1,1.0,,3.0,3.0,,6.0,,,1.0,2.0,2.0,2.0,,,,,,,1.0,1.0,1.0,1.0,2.0,,,0.5,0.5,0.5,,116.75675675675676,11.0,13.666666666666666,11.0,13.666666666666666,,,,,,0.44955,6.35,,,,2.0,,,,,2.0,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,0.5,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,True
101133-1938-201588-2225-686,1610612759,"Ian Mahinmi, Manu Ginobili, George Hill, Tony Parker, Antonio McDyess","Mahinmi, Ginobili, Hill, Parker, McDyess",101133-1938-201588-2225-686,SAS,236.0,1,4.0,2.0,6.0,6.0,4.0,12.0,,,3.0,4.0,9.0,7.0,4.0,2.0,2.0,,4.0,,2.0,2.0,1.0,2.0,9.0,0.6666666666666666,0.6666666666666666,0.75,0.6428571428571429,0.6428571428571429,,73.22033898305085,18.166666666666668,21.166666666666668,18.166666666666668,15.666666666666666,,,,,0.42857142857142855,0.432675,13.375,,,,3.0,1.0,,,,2.0,,,,2.0,,,,,,,,,,1.0,,1.0,,,,,0.5,,,0.3333333333333333,,,1.0,,,0.42857142857142855,0.14285714285714285,,,,,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,1.0,2.0,,3.0,,1.0,,,0.42857142857142855,,,,1.0,1.0,0.2857142857142857,,35.86666666666667,,,,,,,2.0,,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.14285714285714285,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,True
101133-1938-201588-2427-2586,1610612759,"Ian Mahinmi, Manu Ginobili, George Hill, Roger Mason Jr., Keith Bogans","Mahinmi, Ginobili, Hill, Mason Jr., Bogans",101133-1938-201588-2427-2586,SAS,71.0,1,1.0,4.0,2.0,1.0,,3.0,1.0,2.0,2.0,3.0,4.0,,,,,,,,1.0,2.0,,1.0,2.0,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,60.84507042253521,17.5,36.0,16.0,36.0,0.6666666666666666,0.5,0.5,,0.6666666666666666,0.5119666666666667,2.1999999999999997,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,4.0,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,0.5,1.0,,0.5,1.0,,,,,0.3333333333333333,,1.0,1.0,0.5798,,,0.5,,,,,,,,,,,,,,,,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,True
101133-1938-201588-2427-2588,1610612759,"Ian Mahinmi, Manu Ginobili, George Hill, Roger Mason Jr., Matt Bonner","Mahinmi, Ginobili, Hill, Mason Jr., Bonner",101133-1938-201588-2427-2588,SAS,163.0,1,3.0,4.0,6.0,5.0,,11.0,1.0,2.0,1.0,3.0,8.0,4.0,,,1.0,,3.0,,2.0,3.0,,,8.0,,,0.3333333333333333,0.625,0.8,,97.17791411042944,14.333333333333334,15.4,14.166666666666666,15.4,0.5,0.5,0.5,,0.75,0.5470375,2.6999999999999997,1.0,,1.0,1.0,,,1.0,,2.0,,1.0,,2.0,1.0,,,1.0,,2.0,2.0,3.0,2.0,1.0,,1.0,1.0,,,,1.0,0.5,,1.0,0.5,1.0,1.0,,1.0,0.25,,1.0,,0.5037,0.4,0.5,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,3.0,,,,,1.0,,1.0,,1.0,,,0.25,,,,,,0.25,,25.2,1.0,1.0,,,0.5,,,,1.0,,,,1.0,1.0,,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2010,2009-10,True
