EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FTA,Technical Free Throw Trips,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,FoulsDrawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,LongMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,HeaveAttempts,Corner3Assists,ShortMidRangeAssists,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,DefFTReboundPct,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,LongMidRangeAssists,OffArc3ReboundPct,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,BlockedShortMidRange,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Charge Fouls Drawn,FTOffRebounds,OffFTReboundPct,Offensive Fouls,ShortMidRangePctBlocked,SecondChanceFtPoints,Transition Take Fouls,Blocked3s,BlockedArc3,Fg3aBlocked,Travels,Charge Fouls,Clear Path Fouls,DefensiveGoaltends,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,OffensiveGoaltends,team_id,year,season,team_vs
1631105-1641842-202699-203471-203501,1610612765,"Jalen Duren, Ronald Holland II, Tobias Harris, Dennis Schröder, Tim Hardaway Jr.","Duren, Holland II, Harris, Schröder, Hardaway Jr.",1631105-1641842-202699-203471-203501,DET,160.0,1,3.0,1.0,6.0,5.0,11.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,8.0,7.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,0.5,0.5,1.0,0.5,0.5,0.6666666666666666,0.7,0.7,0.4,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,99.0,13.5,15.8,13.5,15.6,0.6,0.6666666666666666,1.0,0.5,0.4,0.5,0.5,1.0,1.0,0.5,0.62757,1.9333333333333333,26.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2025,2024-25,True
1630595-1631105-1641709-203471-203501,1610612765,"Cade Cunningham, Jalen Duren, Ausar Thompson, Dennis Schröder, Tim Hardaway Jr.","Cunningham, Duren, Thompson, Schröder, Hardaway Jr.",1630595-1631105-1641709-203471-203501,DET,555.0,4,9.0,-13.0,17.0,17.0,34.0,3.0,6.0,1.0,4.0,4.0,12.0,1.0,7.0,1.0,12.0,25.0,2.0,6.0,3.0,4.0,1.0,,1.0,1.0,2.0,1.0,1.0,5.0,3.0,2.0,5.0,11.0,3.0,,5.0,1.0,4.0,3.0,,8.0,0.25,0.5,1.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.2894736842105263,0.3,0.3684210526315789,,,0.6,0.6666666666666666,0.6,0.625,1.0,1.0,88.21621621621621,18.941176470588236,13.705882352941176,17.41176470588235,11.941176470588236,0.3157894736842105,0.5,0.5,0.3333333333333333,0.21052631578947367,0.25,0.25,1.0,0.6842105263157895,0.25,0.5166583333333333,5.291666666666667,27.485714285714288,4.0,10.0,5.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,6.0,4.0,2.0,4.0,6.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,4.0,1.0,0.5,0.6666666666666666,0.5,0.4,0.625,0.4,0.75,0.5,0.4,0.46153846153846156,0.6666666666666666,0.5,0.6666666666666666,1.0,0.5,0.23076923076923078,1.0,0.2631578947368421,0.2,0.2,0.05263157894736842,0.15789473684210525,0.4,0.5,0.2,0.2,0.25,1.0,0.5,0.5,0.5970833333333333,0.5075333333333333,0.1,0.15384615384615385,0.3333333333333333,0.5,0.23529411764705882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2025,2024-25,True
1627736-1630595-1631105-202699-203471,1610612765,"Malik Beasley, Cade Cunningham, Jalen Duren, Tobias Harris, Dennis Schröder","Beasley, Cunningham, Duren, Harris, Schröder",1627736-1630595-1631105-202699-203471,DET,1406.0,4,23.0,5.0,48.0,51.0,99.0,4.0,7.0,6.0,15.0,14.0,22.0,7.0,19.0,11.0,60.0,55.0,4.0,24.0,15.0,14.0,6.0,1.0,2.0,5.0,7.0,4.0,1.0,19.0,11.0,7.0,19.0,23.0,1.0,,6.0,8.0,14.0,14.0,1.0,51.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.3684210526315789,0.3888888888888889,0.6363636363636364,0.5975609756097561,0.6276595744680851,0.4634146341463415,0.045454545454545456,0.14285714285714285,0.16666666666666666,0.7777777777777778,0.9166666666666666,0.8571428571428571,0.6,1.0,101.39402560455191,13.645833333333334,14.72549019607843,12.979166666666666,14.431372549019608,0.17073170731707318,0.5714285714285714,0.6666666666666666,0.25,0.36585365853658536,0.4,0.4,0.6666666666666666,0.6341463414634146,0.42857142857142855,0.51617,7.277272727272727,26.594736842105263,26.0,24.0,5.0,,,1.0,2.0,9.0,12.0,3.0,4.0,2.0,2.0,1.0,9.0,,,4.0,9.0,7.0,8.0,1.0,10.0,6.0,23.0,,,4.0,4.0,,3.0,5.0,1.0,1.0,5.0,1.0,9.0,,3.0,,,,,23.0,26.0,3.0,0.1,,0.875,1.125,0.4722222222222222,1.125,0.5476190476190477,0.5,,0.2222222222222222,0.6666666666666666,0.6666666666666666,,1.0,0.875,,,0.2926829268292683,0.75,0.75,0.07317073170731707,0.0975609756097561,,,0.5,0.5,0.1111111111111111,0.5,0.5,0.1111111111111111,0.5391375,0.5133764705882352,0.08888888888888889,0.12,0.15,0.38333333333333336,0.5416666666666666,1.0,1.0,1.0,1.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.75,1.0,1.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.25,0.25,1.0,0.5,1.0,1.0,0.5,0.05555555555555555,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2025,2024-25,True
1627736-1630194-1630595-1641709-203471,1610612765,"Malik Beasley, Paul Reed, Cade Cunningham, Ausar Thompson, Dennis Schröder","Beasley, Reed, Cunningham, Thompson, Schröder",1627736-1630194-1630595-1641709-203471,DET,180.0,1,3.0,-3.0,5.0,6.0,11.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,,7.0,10.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,5.0,,,,1.0,,,,2.0,2.0,,,5.0,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5,0.3333333333333333,0.5,,,,,,,88.0,20.4,13.0,20.2,12.166666666666666,0.3333333333333333,0.5,1.0,,0.5,0.3333333333333333,0.3333333333333333,1.0,0.8333333333333334,0.3333333333333333,0.5825250000000001,5.7,27.633333333333336,,,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,,2.0,,,,,,,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,,,0.5,0.3333333333333333,,,,,,,,,,,0.16666666666666666,,1.0,1.0,,,,,,,,,,,0.2857142857142857,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2025,2024-25,True
1627736-1641709-202699-203471-203501,1610612765,"Malik Beasley, Ausar Thompson, Tobias Harris, Dennis Schröder, Tim Hardaway Jr.","Beasley, Thompson, Harris, Schröder, Hardaway Jr.",1627736-1641709-202699-203471-203501,DET,90.0,1,2.0,5.0,3.0,3.0,6.0,1.0,2.0,,,2.0,3.0,,,1.0,5.0,,2.0,2.0,,,,1.0,1.0,,1.0,,1.0,2.0,1.0,1.0,3.0,4.0,,,,1.0,1.0,2.0,,3.0,0.5,0.5,,,,0.6666666666666666,0.6666666666666666,0.625,,0.3333333333333333,0.5,,0.5,0.5,0.5,,,96.0,10.0,20.0,9.666666666666666,18.333333333333332,0.6666666666666666,0.5,1.0,1.0,,,,,0.6666666666666666,,0.6684333333333333,5.8,,3.0,3.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,,,,,1.0,1.0,,2.0,2.0,3.0,,,1.0,5.0,,,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,5.0,3.0,,,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.625,1.0,,1.0,1.0,,,1.0,0.5,,1.0,,,,0.3333333333333333,,1.0,1.0,,,0.6666666666666666,0.5,,,0.7951,0.6684333333333333,,,0.4,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612765,2025,2024-25,True
1627736-1630595-1631105-202699-203501,1610612765,"Malik Beasley, Cade Cunningham, Jalen Duren, Tobias Harris, Tim Hardaway Jr.","Beasley, Cunningham, Duren, Harris, Hardaway Jr.",1627736-1630595-1631105-202699-203501,DET,1048.0,5,17.0,13.0,39.0,40.0,79.0,8.0,12.0,6.0,8.0,12.0,23.0,6.0,10.0,9.0,51.0,38.0,14.0,10.0,18.0,8.0,6.0,3.0,7.0,6.0,13.0,6.0,7.0,32.0,13.0,6.0,20.0,22.0,2.0,1.0,4.0,2.0,5.0,11.0,1.0,47.0,0.5833333333333334,0.5833333333333334,1.0,0.6,0.6,0.5217391304347826,0.6363636363636364,0.6756756756756757,0.30303030303030304,0.13043478260869565,0.25,0.5,0.5,0.8125,0.6785714285714286,0.5,0.8333333333333334,108.54961832061069,13.794871794871796,12.75,13.435897435897436,12.075,0.36363636363636365,0.6666666666666666,0.8888888888888888,0.875,0.24242424242424243,0.75,0.75,1.0,0.6666666666666666,0.75,0.551369696969697,6.626086956521739,25.98,8.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,2.0,,,1.0,2.0,2.0,2.0,,4.0,1.0,2.0,1.0,2.0,5.0,10.0,,,2.0,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,11.0,2.0,3.0,2.0,1.0,2.0,,10.0,8.0,,0.5,1.0,0.5,1.0,0.625,1.0,0.7142857142857143,0.18181818181818182,,0.13333333333333333,0.5,,,0.6666666666666666,0.8,,,0.18181818181818182,0.3333333333333333,0.3333333333333333,0.15151515151515152,0.06060606060606061,0.5,1.0,,,0.25,1.0,0.5,0.5,0.5908,0.5007875,0.08823529411764706,0.125,0.0784313725490196,0.19607843137254902,0.20512820512820512,2.0,,,,,,,,,,1.0,3.0,3.0,,1.0,,1.0,2.0,,3.0,3.0,,1.0,0.3333333333333333,,0.4,0.4,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1610612765,2025,2024-25,True
1627736-1630595-1631105-1641709-203501,1610612765,"Malik Beasley, Cade Cunningham, Jalen Duren, Ausar Thompson, Tim Hardaway Jr.","Beasley, Cunningham, Duren, Thompson, Hardaway Jr.",1627736-1630595-1631105-1641709-203501,DET,247.0,3,4.0,5.0,8.0,9.0,17.0,1.0,2.0,,,3.0,6.0,1.0,2.0,5.0,14.0,9.0,,6.0,3.0,,,,,1.0,1.0,,,3.0,1.0,2.0,4.0,5.0,,,,2.0,3.0,6.0,,12.0,,,1.0,0.5,0.5,0.5,0.5625,0.7,0.25,,,,1.0,1.0,1.0,,1.0,99.1093117408907,16.375,12.88888888888889,16.375,12.88888888888889,0.25,0.5,0.5,,,,,,0.5,,0.501525,8.200000000000001,23.65,5.0,7.0,,1.0,1.0,,,1.0,3.0,1.0,2.0,,,,,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,4.0,9.0,2.0,,1.0,1.0,,,,,,,,4.0,2.0,2.0,1.0,1.0,1.0,1.0,9.0,5.0,1.0,0.5,1.0,1.0,1.0,0.8333333333333334,1.0,0.9,0.3333333333333333,,0.25,1.0,,,1.0,,,1.0,0.375,0.3333333333333333,0.3333333333333333,0.125,0.25,1.0,1.0,,,,,,,0.4449,0.5906,0.25,0.3333333333333333,0.14285714285714285,0.6428571428571429,0.625,1.0,1.0,,2.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,2.0,2.0,,1.0,,,1.0,1.0,0.5,0.5,1.0,,,,,0.6666666666666666,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,1610612765,2025,2024-25,True
1627736-1630194-202699-203471-203501,1610612765,"Malik Beasley, Paul Reed, Tobias Harris, Dennis Schröder, Tim Hardaway Jr.","Beasley, Reed, Harris, Schröder, Hardaway Jr.",1627736-1630194-202699-203471-203501,DET,259.0,3,4.0,-2.0,9.0,9.0,18.0,1.0,1.0,,1.0,2.0,5.0,,2.0,3.0,7.0,9.0,,4.0,,1.0,,,,,,,,,2.0,,2.0,3.0,1.0,1.0,2.0,,,3.0,1.0,5.0,,,,,,0.4,0.2857142857142857,0.375,0.2857142857142857,,,0.5,,1.0,0.6666666666666666,,,100.07722007722008,15.88888888888889,12.88888888888889,15.88888888888889,12.666666666666666,0.14285714285714285,1.0,1.0,,0.14285714285714285,,,,0.42857142857142855,,0.5015928571428572,4.9399999999999995,25.85,,1.0,1.0,1.0,1.0,,,1.0,4.0,,1.0,,,,,1.0,1.0,,2.0,,,,,,,2.0,,1.0,1.0,,,1.0,,,,,3.0,,1.0,,,,,,,,,1.0,,1.0,,1.0,,0.3333333333333333,,0.2,,0.3333333333333333,,,1.0,,,0.5714285714285714,0.25,0.25,,0.14285714285714285,1.0,1.0,,,,,,,0.5964,,0.125,0.16666666666666666,0.2857142857142857,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1610612765,2025,2024-25,True
1627736-1630194-1641842-202699-203471,1610612765,"Malik Beasley, Paul Reed, Ronald Holland II, Tobias Harris, Dennis Schröder","Beasley, Reed, Holland II, Harris, Schröder",1627736-1630194-1641842-202699-203471,DET,208.0,2,3.0,2.0,6.0,6.0,12.0,,1.0,,4.0,1.0,4.0,1.0,5.0,,5.0,3.0,2.0,,3.0,4.0,,,1.0,1.0,2.0,,,5.0,2.0,,3.0,8.0,1.0,1.0,1.0,2.0,4.0,2.0,,2.0,1.0,1.0,1.0,0.2,0.2,0.25,0.2777777777777778,0.25,0.5555555555555556,,,1.0,,0.6666666666666666,0.6666666666666666,,1.0,83.07692307692308,18.833333333333332,15.833333333333334,15.333333333333334,15.5,0.1111111111111111,,,,0.4444444444444444,,,,0.6666666666666666,,0.5029777777777777,9.75,25.14,2.0,3.0,3.0,,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,2.0,,1.0,2.0,3.0,,2.0,1.0,3.0,,3.0,,3.0,2.0,5.0,,,,,1.0,1.0,1.0,2.0,,1.0,,,,,3.0,2.0,,0.3333333333333333,,,0.5,0.3,0.375,0.3,0.6666666666666666,0.75,0.7142857142857143,1.0,0.5,,,0.5,,,0.2222222222222222,,,0.1111111111111111,0.1111111111111111,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.2,,0.4,,0.564975,0.5309999999999999,0.1,0.2,0.6,0.6,0.3333333333333333,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,0.5,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.2,,1.0,0.75,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1610612765,2025,2024-25,True
1627736-1630194-1630595-202699-203471,1610612765,"Malik Beasley, Paul Reed, Cade Cunningham, Tobias Harris, Dennis Schröder","Beasley, Reed, Cunningham, Harris, Schröder",1627736-1630194-1630595-202699-203471,DET,1221.0,5,20.0,-6.0,41.0,45.0,86.0,8.0,9.0,1.0,6.0,13.0,20.0,2.0,10.0,6.0,38.0,44.0,12.0,14.0,6.0,6.0,1.0,,6.0,2.0,8.0,1.0,5.0,18.0,8.0,9.0,17.0,22.0,9.0,7.0,11.0,7.0,8.0,12.0,,36.0,0.46153846153846156,0.5,1.0,0.2,0.2,0.65,0.5333333333333333,0.5277777777777778,0.3333333333333333,,,0.8181818181818182,0.8181818181818182,0.8888888888888888,0.85,0.8333333333333334,0.8333333333333334,101.42506142506141,15.341463414634147,13.155555555555555,14.048780487804878,13.133333333333333,0.3,0.8888888888888888,0.8888888888888888,0.625,0.2,0.16666666666666666,0.16666666666666666,1.0,0.6333333333333333,0.16666666666666666,0.5504516666666667,6.725,24.669999999999998,17.0,14.0,5.0,1.0,2.0,5.0,5.0,4.0,9.0,2.0,4.0,,1.0,1.0,3.0,1.0,3.0,1.0,2.0,5.0,6.0,1.0,4.0,6.0,19.0,2.0,2.0,2.0,5.0,,1.0,2.0,2.0,2.0,5.0,,11.0,,2.0,3.0,,3.0,2.0,19.0,17.0,,0.25,0.3333333333333333,0.8333333333333334,0.25,0.65,0.25,0.59375,0.2857142857142857,0.25,0.26666666666666666,,0.4,0.6666666666666666,0.6666666666666666,1.0,,0.6666666666666666,0.3,0.4444444444444444,0.4444444444444444,0.06666666666666667,0.13333333333333333,0.5,0.5,,0.25,0.5,1.0,0.3,0.3333333333333333,0.5600333333333333,0.57872,0.0625,0.09090909090909091,0.05263157894736842,0.5,0.4146341463414634,1.0,1.0,,1.0,,,,,1.0,1.0,,6.0,4.0,2.0,1.0,,1.0,,,4.0,1.0,,,1.0,0.25,0.5,0.5,0.25,0.25,1.0,,,,,0.1,,,,,,3.0,,,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,1610612765,2025,2024-25,True
