EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FtPoints,PenaltyFtPoints,PtsUnassisted2s,NonHeaveArc3FGA,Steals,BadPassSteals,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Arc3FGM,FG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefTwoPtRebounds,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShortMidRangeFGA,PenaltyArc3FGM,PenaltyFG3M,OffTwoPtRebounds,OffRebounds,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,PenaltyFg3Pct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,PenaltyArc3Accuracy,ShortMidRangeFGM,ShortMidRangeAssists,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3FGM,Corner3Assists,BadPassOutOfBoundsTurnovers,Travels,Offensive Fouls Drawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,LostBallTurnovers,Loose Ball Fouls,DefLongMidRangeReboundPct,PenaltyCorner3Accuracy,SecondChanceOffPoss,SecondChanceAtRimFGA,SecondChanceFG2A,Fg2aBlocked,LostBallSteals,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,SecondChanceCorner3FGA,SecondChanceFG2M,SecondChanceFG3A,SecondChancePoints,LongMidRangeAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,SecondChanceTurnovers,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockedAtRim,DefensiveGoaltends,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,LongMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChancePointsPct,LostBallOutOfBoundsTurnovers,Offensive Fouls,OffCorner3ReboundPct,2pt And 1 Free Throw Trips,HeaveAttempts,Technical Free Throw Trips,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFg3Pct,OffLongMidRangeReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceFtPoints,SecondChanceAtRimFGM,PtsPutbacks,Transition Take Fouls,LongMidRangePctBlocked,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
1627752-1629018-1629645-1631260-203507,1610612749,"Taurean Prince, Gary Trent Jr., Kevin Porter Jr., AJ Green, Giannis Antetokounmpo","Prince, Trent Jr., Porter Jr., Green, Antetokounmpo",1627752-1629018-1629645-1631260-203507,MIL,48.0,1,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,120.0,14.0,10.0,14.0,10.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.579375,0.579375,1.0,1.3,23.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,True
1626171-1628398-1629018-1631260-203507,1610612749,"Bobby Portis, Kyle Kuzma, Gary Trent Jr., AJ Green, Giannis Antetokounmpo","Portis, Kuzma, Trent Jr., Green, Antetokounmpo",1626171-1628398-1629018-1631260-203507,MIL,56.0,1,1.0,1.0,2.0,2.0,2.0,2.0,4.0,,,,,,,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,1.0,3.0,3.0,2.0,,,1.0,1.0,0.5,0.5,0.5,0.5,0.5,,,,102.85714285714286,20.0,8.0,20.0,8.0,,,,,,,,,0.5,0.4874,0.4874,1.0,19.6,26.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,True
1626171-1627752-1629018-203081-203507,1610612749,"Bobby Portis, Taurean Prince, Gary Trent Jr., Damian Lillard, Giannis Antetokounmpo","Portis, Prince, Trent Jr., Lillard, Antetokounmpo",1626171-1627752-1629018-203081-203507,MIL,56.0,1,1.0,6.0,3.0,2.0,,,5.0,,,,,,,,,2.0,8.0,2.0,,,,,,,1.0,,3.0,,1.0,1.0,,,8.0,,,,,,,1.5,,1.3333333333333333,,1.0,,1.0,,128.57142857142856,8.333333333333334,15.5,8.333333333333334,15.5,,,,,,,,,1.0,0.5703,,,,25.4,,,,2.0,,2.0,,,2.0,,,1.0,2.0,1.0,,,,,1.0,,0.3333333333333333,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,True
1629018-1629645-1631260-201572-203507,1610612749,"Gary Trent Jr., Kevin Porter Jr., AJ Green, Brook Lopez, Giannis Antetokounmpo","Trent Jr., Porter Jr., Green, Lopez, Antetokounmpo",1629018-1629645-1631260-201572-203507,MIL,408.0,3,7.0,5.0,12.0,12.0,7.0,,24.0,2.0,3.0,1.0,2.0,,,5.0,8.0,4.0,19.0,14.0,1.0,3.0,3.0,8.0,4.0,2.0,4.0,2.0,10.0,4.0,6.0,7.0,1.0,2.0,19.0,8.0,7.0,0.4,0.4,0.625,0.3333333333333333,0.7916666666666666,0.6666666666666666,0.7916666666666666,0.6666666666666666,0.3333333333333333,0.8,0.8571428571428571,0.75,84.70588235294117,17.333333333333332,16.666666666666668,17.333333333333332,15.166666666666666,0.25,0.6666666666666666,0.6666666666666666,1.0,,0.3333333333333333,0.5,,0.5833333333333334,0.5243708333333333,0.5130416666666667,0.42105263157894735,10.5375,27.1,0.5833333333333334,3.0,4.0,4.0,3.0,,,6.0,4.0,,,3.0,,,,0.3333333333333333,0.75,0.75,0.3333333333333333,0.5,,,3.0,3.0,6.0,3.0,3.0,2.0,2.0,2.0,,,,,0.6666666666666666,0.75,0.75,1.0,1.0,,0.75,0.75,0.6666666666666666,0.75,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.25,1.0,1.0,1.0,0.08333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,True
1629018-1629645-1630579-1631260-203507,1610612749,"Gary Trent Jr., Kevin Porter Jr., Jericho Sims, AJ Green, Giannis Antetokounmpo","Trent Jr., Porter Jr., Sims, Green, Antetokounmpo",1629018-1629645-1630579-1631260-203507,MIL,72.0,1,1.0,2.0,3.0,3.0,,,6.0,1.0,1.0,,,,,2.0,2.0,,4.0,2.0,,,,,2.0,1.0,1.0,,2.0,1.0,2.0,2.0,1.0,1.0,4.0,,,0.5,0.5,1.0,,1.0,,1.0,,,1.0,1.0,,120.0,9.0,15.0,9.0,15.0,0.5,1.0,1.0,,,,,,0.5,0.52005,,,8.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,0.5,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,True
1626192-1627752-1629645-1630579-201572,1610612749,"Pat Connaughton, Taurean Prince, Kevin Porter Jr., Jericho Sims, Brook Lopez","Connaughton, Prince, Porter Jr., Sims, Lopez",1626192-1627752-1629645-1630579-201572,MIL,233.0,1,4.0,-5.0,7.0,8.0,,,15.0,,,,,1.0,,1.0,1.0,3.0,5.0,10.0,,,,,2.0,1.0,2.0,,5.0,,2.0,2.0,,1.0,5.0,,,1.0,1.0,1.0,,0.625,,0.625,,0.75,,1.0,,92.70386266094421,18.428571428571427,13.0,18.428571428571427,13.0,,,,,0.25,,,,0.75,0.5357625,,,6.9,24.766666666666666,,,,2.0,,,,,2.0,,,2.0,,,,,,,0.5,,,,,1.0,3.0,,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,1.0,,,,,2.0,,3.0,,,,,,,,0.25,,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,True
1626171-1628398-1629645-1631260-203507,1610612749,"Bobby Portis, Kyle Kuzma, Kevin Porter Jr., AJ Green, Giannis Antetokounmpo","Portis, Kuzma, Porter Jr., Green, Antetokounmpo",1626171-1628398-1629645-1631260-203507,MIL,154.0,1,3.0,-5.0,5.0,6.0,5.0,3.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,13.0,1.0,1.0,3.0,8.0,2.0,1.0,3.0,1.0,8.0,,1.0,1.0,2.0,3.0,8.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,,1.0,,102.85714285714285,17.0,11.5,17.0,10.333333333333334,0.25,1.0,1.0,1.0,0.25,0.25,1.0,0.25,1.0,0.5744125,0.5744125,1.0,2.1,26.0,1.0,,,2.0,2.0,,,,2.0,,,,,,,,,,0.5,0.5,,,1.0,2.0,6.0,,1.0,2.0,1.0,1.0,,,,,1.0,0.6666666666666666,0.6666666666666666,1.0,,,0.5,0.5,1.0,0.5,,1.0,2.0,,,,,1.0,1.0,0.6666666666666666,,,,,,,0.5,,,1.0,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,True
1626171-1627752-1629018-1631260-203507,1610612749,"Bobby Portis, Taurean Prince, Gary Trent Jr., AJ Green, Giannis Antetokounmpo","Portis, Prince, Trent Jr., Green, Antetokounmpo",1626171-1627752-1629018-1631260-203507,MIL,201.0,1,3.0,2.0,8.0,8.0,,,16.0,2.0,4.0,,,2.0,,2.0,4.0,3.0,7.0,5.0,,,,,2.0,1.0,2.0,1.0,5.0,3.0,4.0,5.0,,,7.0,,,0.5,0.5,0.5,,0.5,,0.5,,0.42857142857142855,1.0,1.0,1.0,114.6268656716418,13.5,11.625,13.25,11.625,0.5714285714285714,0.5,0.6666666666666666,0.5,0.2857142857142857,,,,1.0,0.6509785714285714,,,1.45,24.833333333333332,,,,1.0,,,,2.0,1.0,1.0,,,,,,,,,0.14285714285714285,,,,,1.0,3.0,,,1.0,,1.0,,,,,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,1.0,1.0,,,2.0,,,0.5,0.25,,,1.0,,,,,2.0,2.0,1.0,,,,1.0,1.0,,,,0.5,0.5,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.5,1.0,0.7649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,True
1628398-1629645-1630579-1631260-201572,1610612749,"Kyle Kuzma, Kevin Porter Jr., Jericho Sims, AJ Green, Brook Lopez","Kuzma, Porter Jr., Sims, Green, Lopez",1628398-1629645-1630579-1631260-201572,MIL,146.0,1,2.0,-2.0,6.0,5.0,6.0,3.0,11.0,1.0,1.0,1.0,1.0,,,1.0,2.0,1.0,4.0,6.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,6.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,1.0,1.0,,108.49315068493152,9.5,17.8,9.5,17.8,0.3333333333333333,1.0,1.0,1.0,,0.3333333333333333,1.0,,0.6666666666666666,0.4690833333333333,0.4690833333333333,1.0,4.7,26.7,1.0,,,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,True
1628398-1629018-201572-203081-203507,1610612749,"Kyle Kuzma, Gary Trent Jr., Brook Lopez, Damian Lillard, Giannis Antetokounmpo","Kuzma, Trent Jr., Lopez, Lillard, Antetokounmpo",1628398-1629018-201572-203081-203507,MIL,1043.0,2,17.0,-5.0,37.0,37.0,,2.0,74.0,4.0,5.0,,,2.0,,14.0,21.0,11.0,40.0,45.0,,,,,24.0,12.0,13.0,4.0,27.0,5.0,15.0,19.0,3.0,4.0,38.0,,,0.8571428571428571,0.8571428571428571,0.6666666666666666,,0.53125,,0.5555555555555556,,0.34375,0.8333333333333334,0.8666666666666667,0.8333333333333334,102.16682646212848,14.702702702702704,13.486486486486486,13.972972972972974,13.18918918918919,0.15625,0.8,1.0,1.0,0.0625,,,,0.5,0.52656875,,,10.557142857142857,26.172727272727272,,4.0,7.0,9.0,,6.0,,4.0,9.0,1.0,,9.0,8.0,4.0,,0.21875,0.5714285714285714,0.5714285714285714,0.28125,,0.1111111111111111,0.16,2.0,2.0,3.0,3.0,2.0,1.0,1.0,8.0,2.0,1.0,2.0,2.0,0.5,0.18181818181818182,0.18181818181818182,0.8888888888888888,1.0,1.0,0.2222222222222222,0.2222222222222222,0.5,0.2222222222222222,9.0,,,1.0,4.0,1.0,1.0,5.0,,,0.14285714285714285,0.25,,1.0,,0.28125,,6.0,5.0,4.0,3.0,0.8,0.6666666666666666,0.75,0.8333333333333334,,,,,1.0,,,,,1.0,,0.75,,4.0,,1.0,2.0,1.0,0.09523809523809523,0.2,1.0,,0.5868,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.1111111111111111,1.0,0.3333333333333333,0.42857142857142855,0.07142857142857142,0.75,0.5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2025,2024-25,True
