EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,Corner3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,Corner3Assists,DeadBallTurnovers,Turnovers,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,PtsAssisted2s,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,OffTwoPtRebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Loose Ball Fouls,Blocked2s,BlockedAtRim,BlockedCorner3,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimPctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,FTOffRebounds,BadPassSteals,LostBallTurnovers,PenaltyTurnovers,Charge Fouls,Transition Take Fouls Drawn,BlockedShortMidRange,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,OffShortMidRangeReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,FTDefRebounds,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,PenaltyCorner3FGM,SecondChanceTurnovers,PenaltyCorner3Accuracy,BadPassOutOfBoundsTurnovers,Travels,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,SecondChanceAtRimPctAssisted,Fg3aBlocked,LongMidRangeAssists,Technical Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,LongMidRangePctAssisted,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,OffensiveGoaltends,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
1627827-1629020-1630559-1630692-2544,1610612747,"Dorian Finney-Smith, Jarred Vanderbilt, Austin Reaves, Jordan Goodwin, LeBron James","Finney-Smith, Vanderbilt, Reaves, Goodwin, James",1627827-1629020-1630559-1630692-2544,LAL,221.0,2,4.0,1.0,6.0,7.0,1.0,13.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,4.0,1.0,3.0,9.0,8.0,1.0,1.0,2.0,6.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,7.0,1.0,0.3333333333333333,0.3333333333333333,0.75,1.0,0.6428571428571429,1.0,0.6428571428571429,1.0,0.42857142857142855,0.25,0.3333333333333333,1.0,0.5,0.5,0.6666666666666666,0.3333333333333333,1.0,1.0,0.5,84.70588235294119,16.833333333333332,17.142857142857142,16.833333333333332,15.857142857142858,0.14285714285714285,1.0,1.0,0.42857142857142855,0.6666666666666666,1.0,0.14285714285714285,0.2857142857142857,0.5,0.5,1.0,1.0,1.0,0.5714285714285714,0.5,0.5106428571428572,0.2222222222222222,5.45,25.366666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2025,2024-25,True
1627827-1629029-1629060-1629216-2544,1610612747,"Dorian Finney-Smith, Luka Dončić, Rui Hachimura, Gabe Vincent, LeBron James","Finney-Smith, Dončić, Hachimura, Vincent, James",1627827-1629029-1629060-1629216-2544,LAL,378.0,3,6.0,5.0,11.0,12.0,,23.0,,,,,2.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,5.0,17.0,12.0,,,,4.0,3.0,,3.0,2.0,,1.0,1.0,,3.0,1.0,4.0,1.0,5.0,1.0,6.0,2.0,4.0,17.0,0.3333333333333333,0.6,0.6,0.5,,0.7222222222222222,,0.7727272727272727,,0.5555555555555556,,,1.0,0.8,0.5,0.8333333333333334,0.25,1.0,1.0,0.8,87.61904761904762,14.0,18.666666666666668,13.545454545454545,18.0,,,,0.4444444444444444,0.5,0.5,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.6666666666666666,,,,0.5555555555555556,0.6666666666666666,0.48694444444444446,,5.5,23.759999999999998,7.0,8.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,12.0,6.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,12.0,7.0,1.0,1.0,0.5,0.8333333333333334,0.8571428571428571,1.0,0.5,0.5,1.0,0.3333333333333333,1.0,0.4433666666666667,0.2,0.4,0.7058823529411765,0.6363636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2025,2024-25,True
1627827-1629029-1629060-1629216-1630559,1610612747,"Dorian Finney-Smith, Luka Dončić, Rui Hachimura, Gabe Vincent, Austin Reaves","Finney-Smith, Dončić, Hachimura, Vincent, Reaves",1627827-1629029-1629060-1629216-1630559,LAL,953.0,3,16.0,8.0,33.0,32.0,6.0,65.0,7.0,13.0,1.0,2.0,4.0,6.0,4.0,2.0,10.0,11.0,20.0,3.0,14.0,38.0,30.0,2.0,4.0,5.0,10.0,9.0,2.0,10.0,2.0,2.0,3.0,9.0,2.0,21.0,4.0,10.0,5.0,15.0,6.0,21.0,1.0,4.0,33.0,1.0,0.21428571428571427,0.21428571428571427,0.55,0.5,0.45588235294117646,0.2857142857142857,0.5,0.35714285714285715,0.4117647058823529,0.1,,1.0,0.8333333333333334,0.36363636363636365,0.8823529411764706,0.3,0.375,1.0,0.8888888888888888,98.21615949632739,14.454545454545455,14.875,13.181818181818182,14.84375,0.38235294117647056,0.5384615384615384,0.5833333333333334,0.17647058823529413,0.6666666666666666,0.6666666666666666,0.11764705882352941,0.29411764705882354,0.2,0.2,1.0,0.2857142857142857,0.5,0.7941176470588235,0.2,0.5620382352941177,0.13157894736842105,4.1899999999999995,25.478571428571428,11.0,9.0,1.0,1.0,3.0,7.0,6.0,8.0,1.0,4.0,3.0,18.0,,1.0,,1.0,,7.0,,10.0,2.0,6.0,,1.0,,2.0,1.0,18.0,11.0,,0.25,0.75,0.625,0.6923076923076923,0.5,0.25,0.25,1.0,0.25,0.3333333333333333,0.5504958333333333,0.15789473684210525,0.25,0.47368421052631576,0.3333333333333333,4.0,5.0,1.0,1.0,1.0,2.0,3.0,1.0,12.0,6.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5454545454545454,0.6,0.07692307692307693,1.0,1.0,0.2222222222222222,0.16666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.05555555555555555,0.5714285714285714,0.5,0.029411764705882353,0.14285714285714285,0.2857142857142857,0.4166666666666667,0.8,0.08333333333333333,0.56015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2025,2024-25,True
1629020-1629029-1629060-1629216-1630559,1610612747,"Jarred Vanderbilt, Luka Dončić, Rui Hachimura, Gabe Vincent, Austin Reaves","Vanderbilt, Dončić, Hachimura, Vincent, Reaves",1629020-1629029-1629060-1629216-1630559,LAL,76.0,1,1.0,,2.0,2.0,1.0,4.0,,,,,,,,,1.0,,,,1.0,3.0,3.0,,,1.0,,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,2.0,,,2.0,,,,,,,,0.5,0.5,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,75.78947368421053,18.5,19.5,18.5,19.5,,,,,,,,1.0,,,,,,1.0,,0.5442,0.3333333333333333,,26.3,,,,,,3.0,,,,,,,,,,,,2.0,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,0.6666666666666666,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2025,2024-25,True
1627827-1629029-1629216-1630559-2544,1610612747,"Dorian Finney-Smith, Luka Dončić, Gabe Vincent, Austin Reaves, LeBron James","Finney-Smith, Dončić, Vincent, Reaves, James",1627827-1629029-1629216-1630559-2544,LAL,522.0,5,9.0,-20.0,16.0,21.0,1.0,37.0,1.0,3.0,,,1.0,3.0,1.0,1.0,6.0,2.0,6.0,2.0,7.0,14.0,34.0,,1.0,,,6.0,,6.0,1.0,1.0,2.0,4.0,1.0,10.0,1.0,3.0,1.0,4.0,2.0,6.0,2.0,6.0,14.0,1.0,0.2857142857142857,0.2857142857142857,0.3333333333333333,,0.38461538461538464,,0.4375,,0.5384615384615384,0.16666666666666666,0.3333333333333333,0.5,1.0,0.2,0.8,0.1111111111111111,0.2,0.5,1.0,102.06896551724138,15.8125,12.80952380952381,15.75,12.80952380952381,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.23076923076923078,0.3333333333333333,0.5,0.07692307692307693,0.46153846153846156,0.16666666666666666,0.16666666666666666,1.0,,,0.7692307692307693,0.16666666666666666,0.5425653846153846,,4.333333333333333,26.585714285714285,11.0,9.0,1.0,1.0,5.0,4.0,1.0,3.0,1.0,5.0,2.0,7.0,,1.0,1.0,2.0,,3.0,,5.0,,1.0,2.0,,,1.0,1.0,7.0,11.0,1.0,0.2,0.3333333333333333,0.3125,0.35,1.0,1.0,1.0,1.0,0.625,0.2,0.57160625,0.07142857142857142,0.14285714285714285,0.5,0.6875,1.0,3.0,,,,,,,4.0,2.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,0.5,,,,,,,,,1.0,1.0,,,,0.375,0.3333333333333333,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2025,2024-25,True
1627827-1629029-1629060-1630692-2544,1610612747,"Dorian Finney-Smith, Luka Dončić, Rui Hachimura, Jordan Goodwin, LeBron James","Finney-Smith, Dončić, Hachimura, Goodwin, James",1627827-1629029-1629060-1630692-2544,LAL,212.0,2,4.0,-4.0,8.0,7.0,3.0,15.0,1.0,4.0,1.0,3.0,,1.0,2.0,1.0,3.0,1.0,5.0,2.0,5.0,8.0,12.0,1.0,3.0,5.0,2.0,6.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,6.0,1.0,2.0,,2.0,4.0,6.0,2.0,3.0,3.0,1.0,0.4,0.4,0.2,0.3333333333333333,0.4,0.625,0.4,0.625,0.5,0.2,,,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.5,,0.5,101.88679245283019,16.5,11.428571428571429,15.375,11.142857142857142,0.4,0.25,0.3333333333333333,0.1,,,0.2,0.3,0.3333333333333333,0.3333333333333333,1.0,0.75,0.3333333333333333,0.9,0.3333333333333333,0.50691,0.625,2.54,24.919999999999998,,,1.0,,,,,,,,,,,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,0.5,0.5,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.25,,1.0,0.5,0.3333333333333333,,,,,1.0,0.16666666666666666,,,,0.25,,,,,0.4509666666666667,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2025,2024-25,True
1627827-1629020-1629029-1629216-2544,1610612747,"Dorian Finney-Smith, Jarred Vanderbilt, Luka Dončić, Gabe Vincent, LeBron James","Finney-Smith, Vanderbilt, Dončić, Vincent, James",1627827-1629020-1629029-1629216-2544,LAL,810.0,5,14.0,6.0,24.0,25.0,4.0,49.0,2.0,7.0,,2.0,5.0,6.0,1.0,5.0,9.0,7.0,13.0,5.0,10.0,36.0,30.0,,2.0,3.0,6.0,15.0,,9.0,5.0,2.0,5.0,9.0,5.0,23.0,4.0,3.0,5.0,8.0,5.0,13.0,1.0,3.0,33.0,1.0,0.5,0.5,0.5384615384615384,,0.6304347826086957,,0.6666666666666666,0.3,0.43478260869565216,0.15384615384615385,,0.5,0.75,0.8,0.5714285714285714,0.45454545454545453,0.75,0.6666666666666666,0.75,87.11111111111111,16.083333333333332,16.96,15.541666666666666,15.72,0.30434782608695654,0.2857142857142857,0.4,0.2608695652173913,0.8333333333333334,0.8333333333333334,0.043478260869565216,0.391304347826087,0.5555555555555556,0.5555555555555556,1.0,0.6666666666666666,,0.7391304347826086,0.5555555555555556,0.5481065217391304,0.08333333333333333,5.3538461538461535,25.56,11.0,6.0,,1.0,3.0,7.0,3.0,5.0,1.0,4.0,6.0,15.0,,,1.0,2.0,,5.0,1.0,9.0,1.0,3.0,2.0,,,,,15.0,11.0,2.0,0.25,0.6,0.5,0.5769230769230769,,,,,0.3333333333333333,0.3333333333333333,0.5446055555555556,0.12,0.2,0.4166666666666667,0.4583333333333333,1.0,3.0,,,1.0,1.0,1.0,3.0,8.0,4.0,2.0,2.0,1.0,,3.0,2.0,1.0,,,,,,0.5714285714285714,0.5714285714285714,0.2857142857142857,,0.5,0.16666666666666666,0.2,,1.0,0.3333333333333333,1.0,,,1.0,0.4,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1111111111111111,,,1.0,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2025,2024-25,True
1627827-1629020-1629029-1629216-1630692,1610612747,"Dorian Finney-Smith, Jarred Vanderbilt, Luka Dončić, Gabe Vincent, Jordan Goodwin","Finney-Smith, Vanderbilt, Dončić, Vincent, Goodwin",1627827-1629020-1629029-1629216-1630692,LAL,95.0,1,2.0,-1.0,4.0,3.0,,7.0,1.0,2.0,,,,,,,,1.0,2.0,,,2.0,3.0,,,,2.0,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,2.0,,,,0.5,,0.5,,0.5,,,,,,1.0,,1.0,,,,1.0,106.10526315789474,11.5,16.333333333333332,11.5,16.333333333333332,1.0,0.5,0.5,,,,,,,,,,,1.0,,0.61045,,2.1,,4.0,3.0,,,,,1.0,2.0,,,,2.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,2.0,4.0,,,0.5,0.5,0.5,,,,,,,0.61045,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,,1.0,0.5,,,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2025,2024-25,True
1629029-1629060-1629216-1630692-2544,1610612747,"Luka Dončić, Rui Hachimura, Gabe Vincent, Jordan Goodwin, LeBron James","Dončić, Hachimura, Vincent, Goodwin, James",1629029-1629060-1629216-1630692-2544,LAL,254.0,2,4.0,-1.0,9.0,10.0,1.0,19.0,3.0,5.0,,,1.0,1.0,,,,4.0,6.0,,,13.0,14.0,,,2.0,4.0,,,,,,,2.0,,4.0,,1.0,1.0,3.0,,3.0,2.0,3.0,11.0,,,,0.6666666666666666,,0.6666666666666666,,0.7222222222222222,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0,107.71653543307086,13.555555555555555,13.2,12.666666666666666,13.0,0.8333333333333334,0.6,0.6,0.16666666666666666,1.0,1.0,,,,,,,,0.8333333333333334,,0.5872499999999999,0.15384615384615385,2.783333333333333,,7.0,3.0,,,,5.0,4.0,5.0,,,4.0,12.0,,,,,,4.0,,7.0,1.0,4.0,,,,,,12.0,7.0,,,0.8,0.8,0.8571428571428571,,,,,,,0.58852,0.4444444444444444,0.4444444444444444,0.9230769230769231,0.7777777777777778,3.0,4.0,,,,,,2.0,4.0,2.0,2.0,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,0.6666666666666666,,,,,0.8,0.75,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2025,2024-25,True
1627827-1629060-1630559-1630692-2544,1610612747,"Dorian Finney-Smith, Rui Hachimura, Austin Reaves, Jordan Goodwin, LeBron James","Finney-Smith, Hachimura, Reaves, Goodwin, James",1627827-1629060-1630559-1630692-2544,LAL,20.0,1,,-2.0,1.0,1.0,,2.0,,,,,,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,144.0,12.0,8.0,12.0,8.0,,,,1.0,,,,,,,,,,,,0.4324,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2025,2024-25,True
