EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,FG2A,OpponentPoints,SecondChanceFG2A,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGM,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG3M,FG3A,Points,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGA,FtPoints,SecondChanceFG2M,SecondChancePoints,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,ThreePtAssists,Arc3Assists,DefThreePtRebounds,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,DefThreePtReboundPct,OffAtRimReboundPct,DefCorner3ReboundPct,AtRimFrequency,Arc3PctAssisted,SecondChancePointsPct,LostBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,AtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Corner3Assists,AtRimAssists,FTDefRebounds,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefFTReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyAtRimFGM,PenaltyAtRimFGA,SelfOReb,2pt And 1 Free Throw Trips,SelfORebPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,PtsPutbacks,SecondChanceAtRimAccuracy,Charge Fouls,DefLongMidRangeReboundPct,StepOutOfBoundsTurnovers,SecondChanceTurnovers,AtRimPctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,SecondChanceFtPoints,Fg3aBlocked,FTOffRebounds,Offensive Fouls,Offensive Fouls Drawn,DefensiveGoaltends,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,OffLongMidRangeReboundPct,ThreePtShootingFoulsDrawnPct,Travels,LongMidRangeAssists,LongMidRangePctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,Blocked3s,BlockedArc3,BlockedCorner3,Technical Free Throw Trips,Transition Take Fouls,Clear Path Fouls,Transition Take Fouls Drawn,Arc3PctBlocked,BlockedLongMidRange,3pt And 1 Free Throw Trips,LongMidRangePctBlocked,team_id,year,season,team_vs
1626172-1627741-1627780-1630228-1641764,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Jonathan Kuminga, Brandin Podziemski","Looney, Hield, Payton II, Kuminga, Podziemski",1626172-1627741-1627780-1630228-1641764,GSW,62.0,1,1.0,-2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,69.6774193548387,27.0,17.5,12.0,17.5,1.0,0.4188,0.4109,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
1626172-1627741-1627780-1630228-201939,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Jonathan Kuminga, Stephen Curry","Looney, Hield, Payton II, Kuminga, Curry",1626172-1627741-1627780-1630228-201939,GSW,167.0,2,3.0,,5.0,5.0,1.0,10.0,1.0,1.0,11.0,,,,1.0,2.0,,,,,,,,0.5,,86.22754491017965,18.4,15.0,17.4,15.0,0.16666666666666666,0.5160333333333333,,10.0,5.0,5.0,1.0,3.0,5.0,1.0,3.0,5.0,1.0,3.0,5.0,11.0,1.0,1.0,1.0,3.0,5.0,11.0,2.0,9.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,11.0,11.0,5.0,1.0,1.0,0.6,0.6,0.6,1.0,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8333333333333334,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.8333333333333334,0.6,0.6,1.0,0.8333333333333334,0.6,0.8333333333333334,0.6,0.5160333333333333,1.0,26.419999999999998,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
1626172-1627741-1627780-1630228-202710,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Jonathan Kuminga, Jimmy Butler III","Looney, Hield, Payton II, Kuminga, Butler III",1626172-1627741-1627780-1630228-202710,GSW,318.0,2,5.0,-4.0,10.0,9.0,1.0,19.0,4.0,6.0,15.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,,,0.3333333333333333,0.2,,86.0377358490566,17.0,16.444444444444443,16.3,16.22222222222222,0.4444444444444444,0.46038888888888896,0.4206,7.216666666666666,5.0,9.0,3.0,1.0,3.0,,1.0,1.0,3.0,1.0,3.0,11.0,,1.0,2.0,1.0,1.0,7.0,2.0,,3.0,1.0,1.0,2.0,1.0,5.0,,,1.0,9.0,7.0,5.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5,0.5,0.5,0.8333333333333334,0.55,0.875,0.3333333333333333,,,0.5,,,0.75,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,1.0,0.5555555555555556,0.3333333333333333,0.4452,0.6363636363636364,26.566666666666666,0.5,2.0,2.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.2222222222222222,1.0,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
1626172-1627741-1627780-1630311-202710,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Pat Spencer, Jimmy Butler III","Looney, Hield, Payton II, Spencer, Butler III",1626172-1627741-1627780-1630311-202710,GSW,48.0,1,1.0,-6.0,1.0,2.0,,3.0,,,6.0,,,,,,,,,,,,,,,90.0,24.0,12.0,24.0,12.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
1626172-1627741-1627780-1630311-203110,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Pat Spencer, Draymond Green","Looney, Hield, Payton II, Spencer, Green",1626172-1627741-1627780-1630311-203110,GSW,40.0,1,1.0,-4.0,3.0,3.0,,6.0,,,4.0,,,,,,1.0,,,1.0,,,,,,216.0,8.666666666666666,4.666666666666667,8.666666666666666,4.666666666666667,,0.569175,,,,3.0,,,2.0,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,26.5,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
1626172-1627741-1627780-1630541-201939,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Moses Moody, Stephen Curry","Looney, Hield, Payton II, Moody, Curry",1626172-1627741-1627780-1630541-201939,GSW,475.0,1,8.0,1.0,17.0,16.0,2.0,33.0,5.0,13.0,20.0,3.0,,2.0,2.0,9.0,1.0,1.0,1.0,4.0,,,0.4,0.3333333333333333,0.6666666666666666,100.0421052631579,13.647058823529411,15.1875,12.705882352941176,14.6875,0.3333333333333333,0.5188766666666667,0.5220666666666667,6.023076923076923,,4.0,2.0,,,,,,8.0,1.0,2.0,21.0,,,,,,,6.0,,,,3.0,4.0,,9.0,,3.0,7.0,21.0,,,0.375,0.375,0.5,,0.5,0.6153846153846154,,0.6333333333333333,,0.65625,,0.13333333333333333,0.6,,0.6,,1.0,0.4,0.4,,,,,,,,0.5333333333333333,,,,23.45,,6.0,2.0,,,,10.0,3.0,1.0,,3.0,,2.0,1.0,3.0,,2.0,,2.0,,,1.0,,,,0.6666666666666666,0.6,,1.0,0.4,,,1.0,,1.0,,,4.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.75,0.13333333333333333,1.0,1.0,0.13333333333333333,0.5,0.5,1.0,0.6666666666666666,0.0625,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
1626172-1627741-1627780-1630541-203110,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Moses Moody, Draymond Green","Looney, Hield, Payton II, Moody, Green",1626172-1627741-1627780-1630541-203110,GSW,24.0,1,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,1.0,0.4189,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
1626172-1627741-1627780-1641764-202710,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Brandin Podziemski, Jimmy Butler III","Looney, Hield, Payton II, Podziemski, Butler III",1626172-1627741-1627780-1641764-202710,GSW,268.0,1,4.0,-1.0,10.0,9.0,2.0,19.0,1.0,7.0,7.0,2.0,1.0,1.0,1.0,6.0,,,,1.0,0.14285714285714285,1.0,0.16666666666666666,0.16666666666666666,,102.08955223880596,11.5,17.0,10.6,13.777777777777779,0.14285714285714285,0.5247857142857143,0.62265,5.057142857142857,7.0,2.0,,,,,,,1.0,,,6.0,,1.0,4.0,,,6.0,,,,,,,,,,2.0,5.0,6.0,6.0,7.0,,,,,,0.14285714285714285,0.25,0.14285714285714285,0.25,0.3333333333333333,0.5,,0.5,,0.7142857142857143,,1.0,,,,,,,,,,0.7142857142857143,,0.580075,1.0,,0.7,5.0,4.0,,,4.0,2.0,,,,3.0,,2.0,1.0,2.0,1.0,3.0,1.0,5.0,1.0,1.0,,,,,1.0,1.0,0.25,1.0,0.7142857142857143,,,1.0,,,,,1.0,2.0,,1.0,,,,,,2.0,,,,,,,,1.0,,0.2,0.2,,0.14285714285714285,,,,,,,1.0,0.25,0.25,1.0,3.0,1.0,1.0,0.2,0.75,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
1626172-1627741-1627780-1642366-201939,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Quinten Post, Stephen Curry","Looney, Hield, Payton II, Post, Curry",1626172-1627741-1627780-1642366-201939,GSW,83.0,1,1.0,2.0,3.0,2.0,1.0,5.0,2.0,3.0,,1.0,,,2.0,3.0,1.0,,,1.0,,,,0.5,,86.74698795180723,18.0,14.5,16.0,14.5,0.4,0.45885,,7.266666666666667,,,,,2.0,1.0,,,1.0,,2.0,2.0,1.0,,,,,,,,2.0,,,,,,2.0,1.0,1.0,,,,,,,,,0.3333333333333333,,0.2,,0.2,,0.4,1.0,1.0,1.0,1.0,,,,,0.4,,,0.5,,,0.6,,,,29.0,,1.0,,1.0,2.0,,2.0,,,,,1.0,,,,,1.0,,,,,,1.0,0.5,0.5,,,,,0.2,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,0.5,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
1626172-1627741-1627780-201939-202710,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Stephen Curry, Jimmy Butler III","Looney, Hield, Payton II, Curry, Butler III",1626172-1627741-1627780-201939-202710,GSW,313.0,2,5.0,9.0,11.0,10.0,1.0,21.0,1.0,6.0,11.0,1.0,,1.0,2.0,6.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,96.61341853035144,13.909090909090908,16.0,11.818181818181818,16.0,0.1111111111111111,0.6148055555555555,0.52425,3.4,5.0,10.0,1.0,2.0,3.0,1.0,,1.0,5.0,2.0,3.0,20.0,1.0,3.0,4.0,,1.0,9.0,6.0,,3.0,2.0,3.0,5.0,1.0,12.0,1.0,3.0,4.0,18.0,9.0,5.0,0.6,0.6,0.6666666666666666,,0.6666666666666666,0.8333333333333334,0.75,0.8888888888888888,0.6,0.8333333333333334,0.6428571428571429,0.3333333333333333,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.2,,0.8888888888888888,0.6666666666666666,0.64173,0.45,26.400000000000002,0.45454545454545453,5.0,4.0,1.0,2.0,3.0,4.0,6.0,2.0,2.0,1.0,,,,1.0,,4.0,,7.0,2.0,2.0,1.0,1.0,0.5,0.5,,1.0,1.0,,0.5555555555555556,1.0,0.1,,,1.0,,,4.0,1.0,,,,,,2.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,0.8,0.8,0.5,,,,,,,,0.5,0.2,0.2857142857142857,3.0,4.0,,1.0,,0.8,0.75,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
