EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyFG2A,DefTwoPtRebounds,PenaltyOffPossExcludingTakeFouls,DefTwoPtReboundPct,DefShortMidRangeReboundPct,PenaltyShotQualityAvg,PenaltyOffPossPct,PenaltyDefPoss,Corner3FGM,Corner3FGA,SecondChanceFtPoints,Fg2aBlocked,Fg3aBlocked,Corner3Assists,ShootingFouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,OffThreePtRebounds,FTDefRebounds,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyPointsPct,LongMidRangeFGM,LongMidRangeFGA,FTOffRebounds,Travels,OffFTReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,LiveBallTurnovers,LostBallTurnovers,SecondChanceFg3Pct,PenaltyFg3Pct,LiveBallTurnoverPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,PtsPutbacks,BadPassTurnovers,Loose Ball Fouls,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,PenaltyTurnovers,SecondChanceCorner3FGA,BlockedAtRim,DefensiveGoaltends,OffAtRimReboundPct,SecondChanceCorner3Frequency,SecondChanceTurnovers,Charge Fouls,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Offensive Fouls,DefAtRimReboundPct,LongMidRangePctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,HeaveAttempts,team_id,year,season,team_vs
1628389-1629312-1629639-1641796-203952,1610612748,"Bam Adebayo, Haywood Highsmith, Tyler Herro, Pelle Larsson, Andrew Wiggins","Adebayo, Highsmith, Herro, Larsson, Wiggins",1628389-1629312-1629639-1641796-203952,MIA,317.0,3,5.0,10.0,11.0,10.0,2.0,21,2.0,3.0,1.0,2.0,2.0,5.0,2.0,3.0,4.0,8.0,2.0,3.0,3.0,17.0,7.0,1.0,2.0,2.0,6.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,1.0,2.0,1.0,9.0,2.0,4.0,4.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,15.0,0.75,0.75,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6363636363636364,0.5,0.7083333333333334,0.5,0.2727272727272727,0.5,1.0,1.0,0.4,0.6666666666666666,1.0,0.2,95.39432176656152,12.818181818181818,17.6,11.909090909090908,17.6,0.2727272727272727,0.6666666666666666,0.6666666666666666,1.0,0.45454545454545453,0.4,0.4,0.5,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.5,1.0,0.5,1.0,0.5454545454545454,0.6666666666666666,0.5443818181818182,0.63895,0.16666666666666666,0.2222222222222222,0.11764705882352941,6.0375,27.366666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,True
1628389-1629130-1629312-1629639-1641796,1610612748,"Bam Adebayo, Duncan Robinson, Haywood Highsmith, Tyler Herro, Pelle Larsson","Adebayo, Robinson, Highsmith, Herro, Larsson",1628389-1629130-1629312-1629639-1641796,MIA,206.0,1,3.0,5.0,7.0,7.0,,14,,,,,,2.0,4.0,4.0,,2.0,4.0,4.0,2.0,14.0,9.0,,,,,,9.0,3.0,4.0,4.0,,3.0,3.0,3.0,,,9.0,,1.0,2.0,,2.0,,1.0,1.0,,,,,,1.0,2.0,,1.0,14.0,,,0.75,1.0,1.0,,,1.0,,1.0,,0.6666666666666666,,1.0,1.0,,,1.0,,97.86407766990291,12.0,17.428571428571427,12.0,17.428571428571427,,,,,0.3333333333333333,,,,0.6666666666666666,1.0,1.0,0.75,,,,0.6666666666666666,1.0,0.49733333333333335,,0.14285714285714285,0.3333333333333333,,9.7,26.45,2.0,2.0,1.0,2.0,1.0,1.0,0.38635,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,True
1629312-1629639-1630558-1642276-203952,1610612748,"Haywood Highsmith, Tyler Herro, Davion Mitchell, Kel'el Ware, Andrew Wiggins","Highsmith, Herro, Mitchell, Ware, Wiggins",1629312-1629639-1630558-1642276-203952,MIA,387.0,2,6.0,9.0,13.0,11.0,1.0,24,1.0,2.0,,,2.0,3.0,3.0,5.0,3.0,5.0,4.0,6.0,4.0,22.0,13.0,,,2.0,4.0,2.0,9.0,3.0,5.0,3.0,2.0,3.0,5.0,2.0,1.0,1.0,13.0,,2.0,3.0,,3.0,,2.0,1.0,1.0,,,,3.0,3.0,5.0,1.0,3.0,20.0,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.6,,0.8181818181818182,,0.8461538461538461,1.0,0.5454545454545454,,0.6666666666666666,0.5,,,0.6666666666666666,,89.30232558139535,12.923076923076923,19.90909090909091,12.615384615384615,19.0,0.18181818181818182,0.5,1.0,1.0,0.2727272727272727,0.6666666666666666,1.0,0.5,0.45454545454545453,0.6,0.75,0.6666666666666666,,,,0.7272727272727273,0.6,0.541440909090909,,0.23076923076923078,0.42857142857142855,0.09090909090909091,4.54,26.633333333333336,,,1.0,,0.3333333333333333,0.3333333333333333,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.4,0.5,0.3333333333333333,0.2,1.0,0.09090909090909091,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,True
1628389-1630558-1641796-203937-203952,1610612748,"Bam Adebayo, Davion Mitchell, Pelle Larsson, Kyle Anderson, Andrew Wiggins","Adebayo, Mitchell, Larsson, Anderson, Wiggins",1628389-1630558-1641796-203937-203952,MIA,37.0,1,1.0,,2.0,2.0,1.0,4,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,3.0,5.0,5.0,,,2.0,2.0,,,,1.0,,1.0,,1.0,,1.0,,2.0,,,1.0,1.0,2.0,,,,,,,,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,,,,1.0,,0.5,,0.8333333333333334,1.0,0.5,,,,1.0,,,,155.67567567567568,7.0,11.5,7.0,11.5,0.5,1.0,1.0,1.0,,,,,0.5,,,,,,,1.0,,0.61905,,0.5,1.0,0.4,0.7,25.4,2.0,1.0,,2.0,,,0.61905,1.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,1.0,0.5,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,True
1628389-1629639-1630558-1641796-203952,1610612748,"Bam Adebayo, Tyler Herro, Davion Mitchell, Pelle Larsson, Andrew Wiggins","Adebayo, Herro, Mitchell, Larsson, Wiggins",1628389-1629639-1630558-1641796-203952,MIA,283.0,1,5.0,,7.0,8.0,2.0,15,2.0,2.0,,,,,1.0,2.0,3.0,3.0,1.0,3.0,2.0,11.0,11.0,1.0,1.0,4.0,4.0,2.0,3.0,,2.0,1.0,2.0,1.0,3.0,1.0,2.0,,7.0,,1.0,3.0,2.0,5.0,,,,,1.0,,1.0,,2.0,3.0,,1.0,7.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.75,1.0,0.6875,1.0,0.5,,1.0,0.6,0.5,,,,76.32508833922262,17.142857142857142,20.375,15.428571428571429,19.75,0.3333333333333333,1.0,1.0,1.0,,,,,0.3333333333333333,0.5,0.5,1.0,,,,0.8333333333333334,0.5,0.5664083333333333,0.3953,0.14285714285714285,0.25,0.36363636363636365,7.266666666666667,25.46666666666667,,,2.0,,0.5,0.5,,,,,1.0,2.0,,,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,1.0,,,1.0,,,,,,,0.5,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,True
1628389-1629312-1629639-1630558-1631107,1610612748,"Bam Adebayo, Haywood Highsmith, Tyler Herro, Davion Mitchell, Nikola Jović","Adebayo, Highsmith, Herro, Mitchell, Jović",1628389-1629312-1629639-1630558-1631107,MIA,519.0,2,9.0,,15.0,14.0,1.0,29,,,,,2.0,5.0,3.0,5.0,2.0,5.0,3.0,6.0,7.0,20.0,20.0,,,3.0,2.0,2.0,3.0,6.0,5.0,3.0,1.0,1.0,2.0,1.0,,1.0,5.0,,3.0,5.0,1.0,6.0,,1.0,1.0,,,,1.0,1.0,6.0,10.0,,3.0,17.0,0.5,0.5,0.3333333333333333,0.5,0.5,0.4,,0.5909090909090909,1.5,0.625,1.5,0.5454545454545454,,0.5,0.5,0.16666666666666666,,0.25,,80.46242774566474,17.733333333333334,18.071428571428573,17.533333333333335,16.142857142857142,,,,,0.45454545454545453,0.4,0.4,0.5,0.45454545454545453,0.6,0.6,0.3333333333333333,,,,0.5454545454545454,0.6,0.48833181818181814,,0.21428571428571427,0.375,0.15,11.620000000000001,26.583333333333332,10.0,4.0,1.0,10.0,0.5,,0.47421875,0.6666666666666666,1.0,,1.0,,,,,1.0,,,,,,,,,,,0.09090909090909091,,,,,,3.0,2.0,4.0,4.0,14.0,1.0,1.0,,2.0,14.0,2.0,0.5,0.625,0.7,1.0,0.3333333333333333,0.5,,,0.375,0.7,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.125,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,True
1628389-1629130-1629639-1630558-1631107,1610612748,"Bam Adebayo, Duncan Robinson, Tyler Herro, Davion Mitchell, Nikola Jović","Adebayo, Robinson, Herro, Mitchell, Jović",1628389-1629130-1629639-1630558-1631107,MIA,25.0,1,,2.0,3.0,4.0,1.0,7,1.0,1.0,1.0,1.0,,1.0,,,1.0,2.0,,,4.0,6.0,4.0,1.0,1.0,2.0,,2.0,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,2.0,4.0,,,4.0,,,,,,0.5,1.0,0.5,1.0,0.75,1.0,,1.0,,,1.0,1.0,,,403.2,2.6666666666666665,4.25,2.0,4.25,0.5,1.0,1.0,,0.5,,,,,,,,1.0,1.0,,0.5,,0.4886,0.4366,,,0.3333333333333333,3.6,,3.0,2.0,,1.0,,,0.4886,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,4.0,6.0,,,,2.0,2.0,,0.5,0.5,0.75,,,,0.5,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,True
1629312-1629639-1631107-1641796-203952,1610612748,"Haywood Highsmith, Tyler Herro, Nikola Jović, Pelle Larsson, Andrew Wiggins","Highsmith, Herro, Jović, Larsson, Wiggins",1629312-1629639-1631107-1641796-203952,MIA,99.0,1,2.0,-1.0,3.0,4.0,,7,2.0,2.0,,,,,,1.0,2.0,2.0,,1.0,,4.0,5.0,,,,4.0,,,,1.0,,2.0,,2.0,,2.0,,4.0,,,,,,,1.0,,1.0,,,,2.0,,,,,4.0,1.0,1.0,,,,1.0,,0.6666666666666666,,0.6666666666666666,,0.3333333333333333,,,,,,,,101.81818181818183,14.0,14.25,14.0,14.25,0.6666666666666666,1.0,1.0,1.0,,,,,0.3333333333333333,,,,,,,1.0,,0.7549,,,,,0.5,26.6,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,True
1628389-1629312-1629639-1630558-203952,1610612748,"Bam Adebayo, Haywood Highsmith, Tyler Herro, Davion Mitchell, Andrew Wiggins","Adebayo, Highsmith, Herro, Mitchell, Wiggins",1628389-1629312-1629639-1630558-203952,MIA,865.0,4,14.0,17.0,25.0,27.0,1.0,52,1.0,3.0,,,4.0,4.0,9.0,13.0,5.0,7.0,9.0,14.0,6.0,43.0,26.0,1.0,1.0,2.0,4.0,6.0,15.0,12.0,13.0,9.0,2.0,5.0,7.0,5.0,,2.0,19.0,,7.0,11.0,1.0,12.0,,2.0,1.0,1.0,,,1.0,3.0,6.0,7.0,1.0,2.0,41.0,0.4,0.4,0.5555555555555556,0.6428571428571429,0.6428571428571429,0.7142857142857143,1.0,0.8809523809523809,1.0,0.8958333333333334,1.0,0.6666666666666666,,0.7,0.625,0.14285714285714285,,0.5,,86.56647398843931,16.08,17.14814814814815,15.8,15.814814814814815,0.14285714285714285,0.3333333333333333,0.5,,0.19047619047619047,1.0,1.0,0.5,0.6190476190476191,0.6923076923076923,0.6923076923076923,0.5555555555555556,,,,0.8095238095238095,0.6923076923076923,0.5198404761904762,,0.09090909090909091,0.25,0.046511627906976744,6.771428571428571,28.900000000000002,9.0,1.0,3.0,9.0,0.5,,0.4672071428571428,0.36,5.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,0.14285714285714285,0.3333333333333333,,,,0.047619047619047616,,,,,,6.0,1.0,6.0,4.0,18.0,1.0,1.0,,2.0,18.0,1.0,1.0,1.0,1.0,1.0,0.2,0.25,,,0.8571428571428571,0.4186046511627907,,,,,,,0.75,1.0,,,,,,,4.0,,,4.0,1.0,,,0.6666666666666666,1.0,,,,,0.6666666666666666,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,True
1628389-1629130-1631107-1641796-203952,1610612748,"Bam Adebayo, Duncan Robinson, Nikola Jović, Pelle Larsson, Andrew Wiggins","Adebayo, Robinson, Jović, Larsson, Wiggins",1628389-1629130-1631107-1641796-203952,MIA,23.0,1,,2.0,2.0,1.0,,3,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,2.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,,187.82608695652172,3.5,16.0,3.5,16.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,1.0,2.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,True
