EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,LongMidRangeAssists,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,ShootingFouls,Offensive Fouls Drawn,OffensiveGoaltends,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,FTDefRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyPointsPct,PtsUnassisted3s,StepOutOfBoundsTurnovers,SecondChanceArc3FGM,SecondChanceFG3M,Travels,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Transition Take Fouls,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,HeaveAttempts,Blocked3s,BlockedCorner3,SecondChanceAtRimPctAssisted,3SecondViolations,Charge Fouls,Charge Fouls Drawn,Technical Free Throw Trips,BlockedLongMidRange,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedArc3,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,LongMidRangePctBlocked,Clear Path Fouls,Defensive 3 Seconds Violations,Transition Take Fouls Drawn,team_id,year,season,team_vs
1626153-1626157-1626166-1629013-1630173,1610612752,"Delon Wright, Karl-Anthony Towns, Cameron Payne, Landry Shamet, Precious Achiuwa","Wright, Towns, Payne, Shamet, Achiuwa",1626153-1626157-1626166-1629013-1630173,NYK,93.0,1,2.0,1.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.25,1.0,0.5,1.0,108.38709677419355,9.0,19.0,9.0,18.333333333333332,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.4929,0.5,0.5,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2025,2024-25,False
1626153-1626157-1626166-1629013-200782,1610612752,"Delon Wright, Karl-Anthony Towns, Cameron Payne, Landry Shamet, P.J. Tucker","Wright, Towns, Payne, Shamet, Tucker",1626153-1626157-1626166-1629013-200782,NYK,340.0,1,6.0,,12.0,12.0,24.0,3.0,5.0,,3.0,4.0,9.0,2.0,10.0,10.0,2.0,1.0,1.0,,,2.0,3.0,5.0,7.0,1.0,,2.0,3.0,,,6.0,2.0,,1.0,8.0,0.25,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.38461538461538464,1.0,1.0,1.0,101.6470588235294,17.0,11.333333333333334,16.25,11.333333333333334,0.4166666666666667,0.6,0.6,,0.25,,,,0.6666666666666666,0.4943909090909091,0.07692307692307693,0.1,6.111111111111111,4.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,6.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,0.5,0.5,0.5,0.25,0.5,1.0,0.4,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,0.25,1.0,0.5,0.6666666666666666,0.6965,0.4091666666666667,0.2,29.96666666666667,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2025,2024-25,False
1626153-1626157-1628384-1628404-1628969,1610612752,"Delon Wright, Karl-Anthony Towns, OG Anunoby, Josh Hart, Mikal Bridges","Wright, Towns, Anunoby, Hart, Bridges",1626153-1626157-1628384-1628404-1628969,NYK,4870.0,5,81.0,3.0,166.0,162.0,328.0,48.0,68.0,8.0,32.0,64.0,112.0,29.0,202.0,199.0,70.0,35.0,50.0,28.0,3.0,115.0,31.0,51.0,75.0,9.0,1.0,20.0,33.0,3.0,3.0,32.0,35.0,5.0,17.0,177.0,0.546875,0.625,0.5714285714285714,0.5544871794871795,0.5906432748538012,0.7209302325581395,0.6666666666666666,0.6428571428571429,96.98562628336755,15.849397590361447,13.820987654320987,15.289156626506024,13.148148148148149,0.4358974358974359,0.7058823529411765,0.8,0.5833333333333334,0.20512820512820512,0.25,0.27586206896551724,0.375,0.717948717948718,0.5969166666666667,0.10119047619047619,0.13709677419354838,4.965178571428572,25.0,22.0,22.0,9.0,13.0,8.0,12.0,25.0,4.0,44.0,10.0,17.0,25.0,12.0,7.0,58.0,16.0,25.0,4.0,17.0,17.0,24.0,17.0,14.0,11.0,8.0,4.0,15.0,1.0,,25.0,0.5882352941176471,0.5,0.5434782608695652,0.28205128205128205,0.55,0.5862068965517241,0.3541666666666667,0.3157894736842105,0.25,0.375,0.8,0.5,0.07692307692307693,0.6666666666666666,0.6666666666666666,0.5,0.16025641025641027,0.65,0.6923076923076923,0.21052631578947367,0.57358,0.6197394736842106,0.12376237623762376,25.00681818181818,0.15060240963855423,6.0,9.0,10.0,19.0,2.0,3.0,5.0,3.0,1.0,15.0,3.0,5.0,7.0,3.0,11.0,34.0,45.0,5.0,11.0,15.0,5.0,10.0,7.0,3.0,2.0,3.0,4.0,3.0,1.0,2.0,3.0,5.0,3.0,2.0,5.0,3.0,34.0,1.0,3.0,1.0,0.3409090909090909,0.42857142857142855,0.3409090909090909,0.5833333333333334,0.6052631578947368,0.68,0.09821428571428571,0.11764705882352941,0.09375,0.75,0.25,0.75,0.15789473684210525,0.4444444444444444,0.4,0.8666666666666667,0.03076923076923077,0.6,0.12179487179487179,0.5263157894736842,0.5263157894736842,1.0,0.2,0.2,1.0,0.15,0.47368421052631576,0.6666666666666666,0.15789473684210525,0.6666666666666666,0.25,0.2,0.16831683168316833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2025,2024-25,False
1626153-1626157-1628384-1628404-1629013,1610612752,"Delon Wright, Karl-Anthony Towns, OG Anunoby, Josh Hart, Landry Shamet","Wright, Towns, Anunoby, Hart, Shamet",1626153-1626157-1628384-1628404-1629013,NYK,285.0,1,5.0,3.0,12.0,11.0,23.0,,2.0,,,,2.0,,15.0,12.0,,,4.0,,,12.0,2.0,4.0,4.0,,,3.0,2.0,,,,,,,15.0,,,,1.0714285714285714,1.0714285714285714,0.6666666666666666,0.8,0.5,116.21052631578948,12.5,12.272727272727273,12.5,12.272727272727273,0.2857142857142857,,,,,,,,1.0,0.6094714285714286,,,1.0,12.0,4.0,,,,,,4.0,4.0,5.0,,,,2.0,5.0,,,4.0,,,2.0,,2.0,1.0,3.0,3.0,3.0,2.0,,,12.0,,,,0.7142857142857143,1.0,1.0,,,,,,1.0,,,,,0.5714285714285714,,,0.5714285714285714,,0.6094714285714286,,24.68,1.0,,2.0,1.0,1.0,1.0,1.0,4.0,,4.0,5.0,,,,5.0,,15.0,12.0,4.0,,4.0,4.0,,,,,1.0,,,,,,,,,,,15.0,,,0.8,1.0,1.0,1.0,,1.0714285714285714,1.0714285714285714,,,,,,,,,,1.0,,,0.14285714285714285,1.0,1.0,,1.0,1.0,1.0,,0.2857142857142857,,0.14285714285714285,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2025,2024-25,False
1626153-1626157-1628384-1628969-1629013,1610612752,"Delon Wright, Karl-Anthony Towns, OG Anunoby, Mikal Bridges, Landry Shamet","Wright, Towns, Anunoby, Bridges, Shamet",1626153-1626157-1628384-1628969-1629013,NYK,97.0,2,2.0,7.0,4.0,4.0,8.0,1.0,2.0,1.0,1.0,2.0,3.0,,7.0,,2.0,1.0,2.0,,1.0,5.0,2.0,2.0,2.0,,,,,,,,,,,7.0,0.5,0.5,0.6666666666666666,0.875,0.875,1.0,1.0,1.0,118.76288659793815,14.25,10.0,14.25,9.5,0.5,0.5,1.0,,0.25,1.0,1.0,1.0,0.75,0.5608375,,,3.5,3.0,1.0,,,,,,1.0,1.0,1.0,,,,2.0,1.0,2.0,,1.0,,,,,,,,,,,,,3.0,,,,0.25,,,,,,,,,,,,,0.25,,,0.3333333333333333,,0.6176833333333334,,25.0,0.75,1.0,1.0,,,,,1.0,,1.0,1.0,,,2.0,1.0,,7.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,7.0,,,1.0,1.0,1.0,1.0,1.0,1.1666666666666667,1.1666666666666667,0.3333333333333333,0.5,,,,,,,,,,,,,,,1.0,1.0,1.0,,0.3333333333333333,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2025,2024-25,False
1626153-1626157-1628384-1629011-1629013,1610612752,"Delon Wright, Karl-Anthony Towns, OG Anunoby, Mitchell Robinson, Landry Shamet","Wright, Towns, Anunoby, Robinson, Shamet",1626153-1626157-1628384-1629011-1629013,NYK,140.0,1,2.0,-4.0,4.0,4.0,8.0,,,,,1.0,2.0,2.0,4.0,8.0,2.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,,1.0,,,3.0,3.0,1.0,2.0,4.0,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,1.0,1.0,82.28571428571428,20.75,14.25,20.75,14.25,,,,,,,,,0.3333333333333333,0.43543333333333334,0.5,0.6666666666666666,20.15,,,,,,1.0,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,0.3333333333333333,,,,,,,,,0.6666666666666666,0.5,0.5,1.0,,,,,,,,22.8,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2025,2024-25,False
1626153-1626157-1628384-1629013-1630173,1610612752,"Delon Wright, Karl-Anthony Towns, OG Anunoby, Landry Shamet, Precious Achiuwa","Wright, Towns, Anunoby, Shamet, Achiuwa",1626153-1626157-1628384-1629013-1630173,NYK,29.0,1,,-5.0,1.0,2.0,3.0,,,,,,,,,5.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,148.9655172413793,15.0,7.0,15.0,7.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2025,2024-25,False
1626153-1626157-1628404-1628969-1629013,1610612752,"Delon Wright, Karl-Anthony Towns, Josh Hart, Mikal Bridges, Landry Shamet","Wright, Towns, Hart, Bridges, Shamet",1626153-1626157-1628404-1628969-1629013,NYK,2.0,1,,3.0,1.0,,1.0,,,,,,,,3.0,,,,1.0,,,3.0,,,,,,,,,,,,,,3.0,,,,1.5,1.5,,,,720.0,2.0,,2.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,37.2,1.0,,,,,,,1.0,,1.0,1.0,,,,1.0,,3.0,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,3.0,,,1.0,1.0,1.0,1.0,,1.5,1.5,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2025,2024-25,False
1626153-1626157-1628404-1628969-1630173,1610612752,"Delon Wright, Karl-Anthony Towns, Josh Hart, Mikal Bridges, Precious Achiuwa","Wright, Towns, Hart, Bridges, Achiuwa",1626153-1626157-1628404-1628969-1630173,NYK,70.0,1,1.0,2.0,3.0,2.0,5.0,,,,1.0,,1.0,2.0,2.0,,,,,,,,,2.0,3.0,1.0,,1.0,,,,1.0,2.0,,1.0,,,,,,0.3333333333333333,,1.0,,102.85714285714285,12.666666666666666,16.0,12.666666666666666,16.0,,,,,0.5,,,,0.5,0.4604,0.3333333333333333,0.5,6.5,1.0,,1.0,,,,,1.0,,1.0,,,2.0,,,,,1.0,,1.0,2.0,1.0,,,,,1.0,,,,1.0,,,1.0,0.5,,1.0,1.0,0.5,,1.0,,1.0,,,,,0.5,,,,,,1.0,26.5,0.3333333333333333,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2025,2024-25,False
1626153-1626157-1628404-1629011-1629013,1610612752,"Delon Wright, Karl-Anthony Towns, Josh Hart, Mitchell Robinson, Landry Shamet","Wright, Towns, Hart, Robinson, Shamet",1626153-1626157-1628404-1629011-1629013,NYK,93.0,1,2.0,1.0,3.0,3.0,6.0,,,1.0,2.0,1.0,2.0,1.0,3.0,2.0,,,,,,,1.0,2.0,2.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,3.0,,,0.5,0.5,0.75,1.0,1.0,1.0,92.90322580645162,19.333333333333332,11.666666666666666,19.333333333333332,11.666666666666666,,,,,1.0,0.5,0.5,,,0.41655,0.5,0.5,8.05,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2025,2024-25,False
