EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsPutbacks,OffTwoPtRebounds,FTOffRebounds,OffRebounds,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,OffFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyFtPoints,OffThreePtRebounds,SecondChanceTurnovers,ThreePtShootingFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SelfOReb,LostBallTurnovers,SecondChanceFg3Pct,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,DeadBallTurnovers,Offensive Fouls,FTDefRebounds,DefFTReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,Loose Ball Fouls Drawn,BlockedAtRim,OffCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ShortMidRangePctBlocked,Charge Fouls Drawn,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGA,BadPassOutOfBoundsTurnovers,Clear Path Fouls,2pt And 1 Free Throw Trips,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SecondChanceFtPoints,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,3pt And 1 Free Throw Trips,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,HeaveAttempts,Travels,Charge Fouls,Transition Take Fouls,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked3s,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,Transition Take Fouls Drawn,LongMidRangePctBlocked,Fg3aBlocked,BlockedArc3,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends,Corner3PctBlocked,team_id,year,season,team_vs
1626181-1627732-1627739-1627826-203992,1610612746,"Norman Powell, Ben Simmons, Kris Dunn, Ivica Zubac, Bogdan Bogdanović","Powell, Simmons, Dunn, Zubac, Bogdanović",1626181-1627732-1627739-1627826-203992,LAC,554.0,1,9.0,5.0,18.0,19.0,37.0,4.0,5.0,3.0,5.0,2.0,2.0,1.0,3.0,2.0,3.0,9.0,12.0,3.0,6.0,27.0,22.0,12.0,6.0,6.0,3.0,3.0,2.0,1.0,6.0,2.0,8.0,1.0,1.0,4.0,1.0,1.0,18.0,7.0,2.0,9.0,9.0,1.0,1.0,1.0,2.0,2.0,27.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.75,0.75,0.75,0.3333333333333333,0.08333333333333333,0.2,0.6666666666666666,0.875,0.8181818181818182,1.0,1.0,0.8,1.0,96.17328519855596,13.833333333333334,16.05263157894737,13.833333333333334,15.210526315789474,0.2777777777777778,0.8,1.0,1.0,0.2777777777777778,0.6,0.6,0.3333333333333333,0.1111111111111111,1.0,1.0,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6111111111111112,0.6666666666666666,0.5663638888888889,7.291666666666667,24.883333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
1626181-1627732-1627739-201587-201935,1610612746,"Norman Powell, Ben Simmons, Kris Dunn, Nicolas Batum, James Harden","Powell, Simmons, Dunn, Batum, Harden",1626181-1627732-1627739-201587-201935,LAC,564.0,1,9.0,5.0,19.0,19.0,38.0,1.0,2.0,1.0,3.0,,1.0,1.0,3.0,2.0,3.0,2.0,6.0,3.0,6.0,18.0,13.0,2.0,2.0,6.0,3.0,3.0,2.0,,1.0,2.0,3.0,1.0,1.0,,1.0,,8.0,4.0,3.0,7.0,9.0,3.0,2.0,3.0,3.0,4.0,14.0,0.5,1.0,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5416666666666666,0.6,0.5,,,0.75,0.8,0.7777777777777778,,0.75,0.75,1.0,97.02127659574468,14.526315789473685,15.157894736842104,13.473684210526315,14.789473684210526,0.16666666666666666,0.5,0.5,,0.25,0.3333333333333333,0.3333333333333333,1.0,0.08333333333333333,,,,0.25,0.3333333333333333,0.3333333333333333,1.0,0.25,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5046125,8.700000000000001,24.266666666666666,6.0,4.0,3.0,1.0,1.0,1.0,5.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,6.0,3.0,2.0,2.0,2.0,1.0,2.0,6.0,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.5,0.25,0.14285714285714285,1.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.49406666666666665,0.4231833333333333,0.2,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3157894736842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
1626181-1627732-1627739-201935-202695,1610612746,"Norman Powell, Ben Simmons, Kris Dunn, James Harden, Kawhi Leonard","Powell, Simmons, Dunn, Harden, Leonard",1626181-1627732-1627739-201935-202695,LAC,56.0,1,1.0,-2.0,2.0,3.0,5.0,,,,,,,,,,1.0,,,,1.0,2.0,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,0.5,1.0,,,,,,,,,,128.57142857142856,15.5,8.333333333333334,15.5,8.333333333333334,,,,,,,,,,,,,,,,,1.0,,,,1.0,,0.52365,,26.1,2.0,,,,,1.0,2.0,,,,,,1.0,2.0,,,,,,,,,,,2.0,1.0,,,,,2.0,2.0,,,,,,0.5,,,,,,,,,1.0,,0.52365,0.5,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
1626181-1627732-1627739-201935-203992,1610612746,"Norman Powell, Ben Simmons, Kris Dunn, James Harden, Bogdan Bogdanović","Powell, Simmons, Dunn, Harden, Bogdanović",1626181-1627732-1627739-201935-203992,LAC,13.0,1,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,0.5,,,,,,,,,,,110.76923076923076,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
1626181-1627732-1627826-1627884-201935,1610612746,"Norman Powell, Ben Simmons, Ivica Zubac, Derrick Jones Jr., James Harden","Powell, Simmons, Zubac, Jones Jr., Harden",1626181-1627732-1627826-1627884-201935,LAC,125.0,1,2.0,1.0,4.0,3.0,7.0,,,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,5.0,4.0,,2.0,,,1.0,,,,,,,,,,,,,1.0,1.0,2.0,,,,,1.0,5.0,,,,,,1.0,0.5,0.8333333333333334,0.5,,,0.5,,0.5,,,,,80.64,19.5,15.666666666666666,19.0,15.0,,,,,,,,,0.5,1.0,1.0,,,,,,0.5,,,,0.5,,0.376975,16.3,26.5,,3.0,1.0,,,,3.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,0.3333333333333333,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
1626181-1627732-1627826-1629599-201935,1610612746,"Norman Powell, Ben Simmons, Ivica Zubac, Amir Coffey, James Harden","Powell, Simmons, Zubac, Coffey, Harden",1626181-1627732-1627826-1629599-201935,LAC,5.0,1,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,288.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
1626181-1627732-1627826-201587-203992,1610612746,"Norman Powell, Ben Simmons, Ivica Zubac, Nicolas Batum, Bogdan Bogdanović","Powell, Simmons, Zubac, Batum, Bogdanović",1626181-1627732-1627826-201587-203992,LAC,389.0,2,6.0,2.0,15.0,14.0,29.0,,1.0,3.0,6.0,,1.0,1.0,1.0,,4.0,3.0,8.0,1.0,5.0,13.0,11.0,4.0,2.0,,3.0,4.0,,,2.0,,2.0,,,,2.0,,4.0,4.0,1.0,5.0,7.0,2.0,2.0,,1.0,3.0,10.0,0.6666666666666666,0.6666666666666666,,0.2,0.2,0.375,0.34615384615384615,0.43333333333333335,0.38461538461538464,,,0.5,1.0,0.8333333333333334,1.0,,1.0,1.0,107.3521850899743,15.333333333333334,11.357142857142858,15.066666666666666,11.285714285714286,0.07692307692307693,,,,0.46153846153846156,0.5,0.5,0.6666666666666666,0.07692307692307693,,,,0.07692307692307693,1.0,1.0,,0.3076923076923077,,,,0.46153846153846156,,0.46735,8.35,25.9,,,2.0,,1.0,,4.0,,1.0,3.0,,,,,,1.0,,2.0,,2.0,1.0,2.0,,,5.0,1.0,,,,,,,,,0.75,,0.75,,1.0,,0.2,0.2222222222222222,,,0.5,,,0.4488,,0.13333333333333333,0.1111111111111111,0.23076923076923078,,,,1.0,,1.0,0.25,0.25,,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.1111111111111111,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
1626181-1627732-1627884-1629599-202695,1610612746,"Norman Powell, Ben Simmons, Derrick Jones Jr., Amir Coffey, Kawhi Leonard","Powell, Simmons, Jones Jr., Coffey, Leonard",1626181-1627732-1627884-1629599-202695,LAC,71.0,1,1.0,-3.0,3.0,2.0,5.0,,,,1.0,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,101.40845070422534,14.0,14.5,14.0,14.5,,,,,1.0,,,,,,,,,,,,,,,,,,0.3894,7.1,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
1626181-1627732-1627884-201587-201935,1610612746,"Norman Powell, Ben Simmons, Derrick Jones Jr., Nicolas Batum, James Harden","Powell, Simmons, Jones Jr., Batum, Harden",1626181-1627732-1627884-201587-201935,LAC,110.0,2,2.0,-1.0,4.0,4.0,8.0,1.0,1.0,,,1.0,1.0,,,,2.0,2.0,2.0,,2.0,4.0,5.0,2.0,2.0,,,2.0,,,1.0,,1.0,,,1.0,,,2.0,1.0,,2.0,2.0,,,1.0,1.0,,4.0,0.5,0.5,,,,1.0,0.5,0.5,0.5,,,,1.0,1.0,,,1.0,,104.72727272727273,13.0,14.5,13.0,13.75,0.25,1.0,1.0,1.0,,,,,0.25,1.0,1.0,,,,,,0.5,,,,0.75,,0.56025,8.05,25.95,1.0,3.0,,,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,0.3205,,,,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
1626181-1627732-1627884-201587-203992,1610612746,"Norman Powell, Ben Simmons, Derrick Jones Jr., Nicolas Batum, Bogdan Bogdanović","Powell, Simmons, Jones Jr., Batum, Bogdanović",1626181-1627732-1627884-201587-203992,LAC,145.0,1,2.0,1.0,5.0,5.0,10.0,,,,1.0,,,,1.0,1.0,3.0,,1.0,1.0,4.0,3.0,2.0,,,3.0,,3.0,1.0,,,1.0,1.0,1.0,,,,,3.0,2.0,1.0,3.0,3.0,,,1.0,1.0,,3.0,,,1.0,0.25,0.25,,0.3,0.3,0.8,,,1.0,1.0,1.0,,1.0,1.0,,99.3103448275862,13.4,15.6,13.4,15.6,,,,,0.2,,,,,,,,0.2,,,,0.6,0.3333333333333333,0.3333333333333333,1.0,0.8,0.3333333333333333,0.54057,4.4,24.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,False
