EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGA,Arc3FGA,FG2A,FG3A,OpponentPoints,NonHeaveArc3FGA,Fg2aBlocked,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Blocked3s,BlockedArc3,Blocks,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG3M,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,RecoveredBlocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyOffPossPct,PenaltyDefPoss,PenaltyArc3FGM,PenaltyFG3M,PenaltyPoints,Loose Ball Fouls,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyArc3Accuracy,PenaltyPointsPct,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PenaltyFG2A,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,SecondChanceTurnovers,PenaltyFg2Pct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceCorner3FGM,OffAtRimReboundPct,OffLongMidRangeReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffCorner3ReboundPct,SecondChanceFtPoints,FTOffRebounds,Charge Fouls Drawn,OffFTReboundPct,PenaltyFtPoints,Offensive Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,Technical Free Throw Trips,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,team_id,year,season,team_vs
1628389-1630558-1631107-1641796-203952,1610612748,"Bam Adebayo, Davion Mitchell, Nikola Jović, Pelle Larsson, Andrew Wiggins","Adebayo, Mitchell, Jović, Larsson, Wiggins",1628389-1630558-1631107-1641796-203952,MIA,139.0,1,2.0,-3.0,5.0,5.0,10,1.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,1.0,1.0,0.75,1.0,103.59712230215827,13.6,14.2,13.6,13.2,0.3333333333333333,0.6666666666666666,1.0,0.49161666666666665,3.4,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
1628389-1629639-1630558-1642276-203952,1610612748,"Bam Adebayo, Tyler Herro, Davion Mitchell, Kel'el Ware, Andrew Wiggins","Adebayo, Herro, Mitchell, Ware, Wiggins",1628389-1629639-1630558-1642276-203952,MIA,1723.0,3,29.0,-1.0,57.0,57.0,114,8.0,12.0,26.0,20.0,59.0,12.0,1.0,9.0,,24.0,26.0,5.0,4.0,4.0,9.0,2.0,5.0,,,3.0,0.43478260869565216,0.038461538461538464,,0.5555555555555556,,0.6428571428571429,0.6857142857142857,1.0,95.27568195008706,15.543859649122806,14.68421052631579,15.298245614035087,13.649122807017545,0.17391304347826086,0.2608695652173913,0.6086956521739131,0.5220380434782609,7.75,25.580000000000002,2.0,2.0,4.0,1.0,1.0,7.0,14.0,1.0,4.0,4.0,8.0,5.0,1.0,1.0,12.0,9.0,7.0,58.0,1.0,1.0,1.0,2.0,1.0,12.0,12.0,21.0,6.0,2.0,5.0,6.0,7.0,13.0,3.0,4.0,3.0,2.0,1.0,33.0,1.0,1.0,15.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,8.0,1.0,9.0,1.0,5.0,3.0,3.0,1.0,56.0,2.0,0.5,0.5454545454545454,0.7777777777777778,0.45,0.45,0.46153846153846156,1.0,0.5543478260869565,0.5,0.58,0.5,0.07142857142857142,0.07142857142857142,0.7142857142857143,0.09090909090909091,0.08,0.14285714285714285,0.14285714285714285,0.6,0.5714285714285714,0.6470588235294118,1.0,0.041666666666666664,0.3333333333333333,0.5,0.5,0.75,0.30434782608695654,0.5,0.5384615384615384,0.2857142857142857,0.08695652173913043,0.25,0.25,1.0,0.17391304347826086,0.5,0.5,1.0,0.4166666666666667,0.4166666666666667,0.6,0.5,1.0,0.5,1.0,0.4166666666666667,0.5876,0.55455,0.1,0.16666666666666666,0.034482758620689655,0.03508771929824561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
1629639-1630558-1631107-1642276-203952,1610612748,"Tyler Herro, Davion Mitchell, Nikola Jović, Kel'el Ware, Andrew Wiggins","Herro, Mitchell, Jović, Ware, Wiggins",1629639-1630558-1631107-1642276-203952,MIA,190.0,1,3.0,-3.0,7.0,6.0,13,,2.0,1.0,3.0,13.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,2.0,,,,,1.0,0.75,,,0.5,,1.0,1.0,,98.52631578947368,15.142857142857142,14.0,15.142857142857142,14.0,,0.5,0.75,0.5289125,4.3,25.933333333333334,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,2.0,2.0,10.0,,,,,,2.0,,6.0,,,1.0,1.0,2.0,3.0,1.0,1.0,,1.0,,8.0,,,,,,,,,1.0,1.0,,,1.0,,2.0,,1.0,1.0,1.0,1.0,10.0,,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,1.0,,,,0.25,1.0,1.0,1.0,,,,,0.25,1.0,1.0,1.0,0.5,0.5,1.0,,,,,0.5,,,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
1628389-1630558-1641796-203937-203952,1610612748,"Bam Adebayo, Davion Mitchell, Pelle Larsson, Kyle Anderson, Andrew Wiggins","Adebayo, Mitchell, Larsson, Anderson, Wiggins",1628389-1630558-1641796-203937-203952,MIA,37.0,1,1.0,,2.0,2.0,4,,1.0,1.0,1.0,5.0,1.0,,,,,,,,,,1.0,2.0,,,,0.5,,,,,,,,155.67567567567568,11.5,7.0,11.5,7.0,,0.5,0.5,0.3857,8.2,39.9,1.0,,,,,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,5.0,,,,,1.0,,2.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,5.0,1.0,,,,1.0,1.0,1.0,,1.25,,1.25,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,0.5,1.0,,0.5,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.5,1.5,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
1628389-1629312-1629639-1631107-203952,1610612748,"Bam Adebayo, Haywood Highsmith, Tyler Herro, Nikola Jović, Andrew Wiggins","Adebayo, Highsmith, Herro, Jović, Wiggins",1628389-1629312-1629639-1631107-203952,MIA,129.0,1,2.0,1.0,5.0,5.0,10,,3.0,3.0,3.0,3.0,3.0,,1.0,,2.0,3.0,,,,,,,,,,0.5,,,,,0.5,0.6666666666666666,,111.62790697674419,13.0,12.8,12.2,12.4,,0.5,0.5,0.47584166666666666,13.0,27.900000000000002,,1.0,,,,1.0,2.0,1.0,1.0,,,,1.0,,2.0,,,4.0,,,1.0,,,2.0,2.0,,,,,1.0,,1.0,,,,,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,4.0,,0.5,0.5,,,,0.6666666666666666,,0.3333333333333333,,0.3333333333333333,,,1.0,1.0,,0.25,1.0,,,0.5,1.0,,,,,,,0.3333333333333333,0.5,0.5,,0.16666666666666666,1.0,1.0,1.0,,,,,,,,,,1.0,,,0.4992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
1628389-1629312-1629639-1630558-1631107,1610612748,"Bam Adebayo, Haywood Highsmith, Tyler Herro, Davion Mitchell, Nikola Jović","Adebayo, Highsmith, Herro, Mitchell, Jović",1628389-1629312-1629639-1630558-1631107,MIA,519.0,2,9.0,,14.0,15.0,29,,7.0,6.0,10.0,20.0,7.0,,3.0,1.0,6.0,10.0,1.0,1.0,,1.0,3.0,6.0,,,,0.625,,,1.0,1.0,1.0,0.8333333333333334,,80.46242774566474,18.071428571428573,17.733333333333334,16.142857142857142,17.533333333333335,,0.4375,0.625,0.487653125,10.483333333333333,25.830000000000002,1.0,4.0,,,,3.0,4.0,1.0,2.0,1.0,3.0,3.0,3.0,,4.0,4.0,,20.0,,,4.0,6.0,,6.0,2.0,12.0,,,3.0,3.0,4.0,7.0,3.0,1.0,,3.0,,18.0,3.0,1.0,2.0,4.0,,1.0,,1.0,,,,,1.0,,2.0,,1.0,,,,14.0,1.0,0.75,0.75,1.0,0.4,0.4,0.6666666666666666,,0.625,0.75,0.5882352941176471,0.75,,0.5,0.6666666666666666,0.5,0.5,1.0,0.75,,1.0,0.5,1.0,,,,,,0.25,0.75,0.75,1.0,0.125,0.5,0.5,,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.42857142857142855,0.42857142857142855,1.0,,,0.75,,0.42857142857142855,0.4857,0.4672,0.058823529411764705,0.14285714285714285,0.3,0.07142857142857142,10.0,,,,,,2.0,,,,,,1.0,2.0,2.0,1.0,0.5,0.25,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
1628389-1629639-1630558-1641796-203937,1610612748,"Bam Adebayo, Tyler Herro, Davion Mitchell, Pelle Larsson, Kyle Anderson","Adebayo, Herro, Mitchell, Larsson, Anderson",1628389-1629639-1630558-1641796-203937,MIA,87.0,1,1.0,1.0,3.0,2.0,5,2.0,1.0,2.0,1.0,3.0,1.0,,,,1.0,1.0,,,,,,1.0,,,,0.3333333333333333,,,,,,1.0,,82.75862068965517,19.0,15.0,19.0,15.0,0.6666666666666666,0.3333333333333333,1.0,0.5717166666666667,2.5,26.1,,,2.0,,,,,,,,,,,,2.0,,,4.0,,,,,,2.0,2.0,,,,,1.0,,1.0,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,4.0,,0.5,0.5,,,,1.0,,0.6666666666666666,,0.6666666666666666,,,,1.0,,,,,,,,1.0,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
1629130-1631107-1631170-1641796-1642352,1610612748,"Duncan Robinson, Nikola Jović, Jaime Jaquez Jr., Pelle Larsson, Keshad Johnson","Robinson, Jović, Jaquez Jr., Larsson, Johnson",1629130-1631107-1631170-1641796-1642352,MIA,83.0,1,1.0,,3.0,2.0,5,,,,2.0,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,0.5,,86.74698795180723,10.333333333333334,26.0,10.333333333333334,19.5,,,1.0,0.5388,,23.3,3.0,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.5388,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
1628389-1629130-1629312-1630558-203952,1610612748,"Bam Adebayo, Duncan Robinson, Haywood Highsmith, Davion Mitchell, Andrew Wiggins","Adebayo, Robinson, Highsmith, Mitchell, Wiggins",1628389-1629130-1629312-1630558-203952,MIA,546.0,1,9.0,-3.0,17.0,15.0,32,1.0,5.0,9.0,6.0,19.0,5.0,,,,7.0,9.0,2.0,1.0,2.0,4.0,,3.0,,,1.0,0.4,,,0.5,,,0.7777777777777778,,84.3956043956044,16.58823529411765,17.6,16.058823529411764,16.8,0.06666666666666667,0.3333333333333333,0.4666666666666667,0.48529666666666665,10.066666666666666,25.8,4.0,2.0,1.0,1.0,1.0,4.0,7.0,,1.0,,1.0,2.0,,2.0,5.0,2.0,,16.0,1.0,1.0,,2.0,2.0,4.0,6.0,6.0,,2.0,2.0,2.0,2.0,4.0,2.0,,,2.0,,10.0,,2.0,7.0,2.0,1.0,,,,2.0,1.0,,1.0,2.0,,,,,1.0,1.0,,14.0,4.0,0.4,0.5,1.0,0.3333333333333333,0.3333333333333333,0.5555555555555556,1.0,0.5333333333333333,1.0,0.5333333333333333,1.0,,0.5,0.875,,0.25,0.6666666666666666,,,,1.0,0.6666666666666666,0.125,,1.0,1.0,,0.4666666666666667,0.5714285714285714,0.5714285714285714,0.5,0.06666666666666667,,,,0.06666666666666667,,,,0.4,0.4,1.0,1.0,1.0,,0.5,0.4,0.5457,0.4933375,,,0.125,0.23529411764705882,,1.0,1.0,5.0,,5.0,,0.5,0.625,0.625,0.5,0.3125,,,,2.0,,,,,,,1.0,1.0,1.0,1.0,0.5,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
1628389-1629312-1629639-1630558-203937,1610612748,"Bam Adebayo, Haywood Highsmith, Tyler Herro, Davion Mitchell, Kyle Anderson","Adebayo, Highsmith, Herro, Mitchell, Anderson",1628389-1629312-1629639-1630558-203937,MIA,261.0,1,4.0,-2.0,7.0,7.0,14,1.0,3.0,5.0,3.0,14.0,3.0,2.0,1.0,,1.0,3.0,,,,,1.0,1.0,,,,0.375,0.4,,,,0.5,0.25,,77.24137931034484,20.571428571428573,16.714285714285715,17.0,13.142857142857142,0.125,0.375,0.5,0.4652125,8.22,28.333333333333332,,2.0,1.0,,,1.0,4.0,,,,,2.0,2.0,,2.0,2.0,2.0,12.0,,,2.0,3.0,,4.0,,6.0,,,2.0,2.0,2.0,4.0,2.0,,1.0,1.0,,10.0,,2.0,,2.0,,,,,,,,,2.0,,2.0,,1.0,,,,9.0,,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.4,,0.625,0.75,0.6666666666666666,0.75,0.5,0.6666666666666666,,,0.5,0.6666666666666666,,,0.5,,,,,1.0,1.0,1.0,0.5,0.25,0.5,1.0,,,,,,,,,0.6666666666666666,0.6666666666666666,1.0,,,1.0,,0.6666666666666666,0.487275,,0.1111111111111111,0.16666666666666666,0.25,,,,,,,,,,,,,,,1.0,1.0,,0.5,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2025,2024-25,False
