EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,PenaltyOffPoss,TotalPoss,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,PenaltyPointsPct,PenaltyOffPossPct,Minutes,DefPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFrequency,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,ShortMidRangeFGM,ShortMidRangeAssists,BadPassSteals,LostBallTurnovers,StepOutOfBoundsTurnovers,Charge Fouls Drawn,Offensive Fouls Drawn,Transition Take Fouls Drawn,2pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,Corner3FGM,Corner3Assists,FTDefRebounds,DefFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,NonShootingPenaltyNonTakeFouls,PtsUnassisted3s,Offensive Fouls,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,Travels,PenaltyFg3Pct,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,Technical Free Throw Trips,BadPassOutOfBoundsTurnovers,SecondChanceFtPoints,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,HeaveAttempts,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedShortMidRange,DefensiveGoaltends,LongMidRangeAssists,LongMidRangePctAssisted,Blocked3s,BlockedArc3,3SecondViolations,LongMidRangePctBlocked,Transition Take Fouls,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,OffensiveGoaltends,FTOffRebounds,OffFTReboundPct,HeaveMakes,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
1627884-1627936-1629632-1629750-1630245,1610612741,"Derrick Jones Jr., Alex Caruso, Coby White, Javonte Green, Ayo Dosunmu","Jones Jr., Caruso, White, Green, Dosunmu",1627884-1627936-1629632-1629750-1630245,CHI,3.0,1,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,480.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2023,2022-23,True
1627884-1627936-1629632-1630172-201609,1610612741,"Derrick Jones Jr., Alex Caruso, Coby White, Patrick Williams, Goran Dragic","Jones Jr., Caruso, White, Williams, Dragic",1627884-1627936-1629632-1630172-201609,CHI,144.0,2,-1.0,5.0,5.0,10.0,2.0,6.0,2.0,6.0,2.0,2.0,1.0,6.0,0.75,0.75,100.0,16.0,16.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,12.8,12.8,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.5473333333333333,0.5473333333333333,8.05,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2023,2022-23,True
1627884-1627936-1629632-1630172-201942,1610612741,"Derrick Jones Jr., Alex Caruso, Coby White, Patrick Williams, DeMar DeRozan","Jones Jr., Caruso, White, Williams, DeRozan",1627884-1627936-1629632-1630172-201942,CHI,926.0,3,-8.0,31.0,3.0,62.0,8.0,32.0,,,7.0,8.0,,23.0,0.4444444444444444,,96.41468682505399,15.903225806451612,14.387096774193548,,0.0967741935483871,15.0,31.0,8.0,9.0,15.0,,,,1.0,10.0,2.0,9.0,18.0,14.0,40.0,,,3.0,10.0,8.0,10.0,5.0,7.0,5.0,16.0,3.0,7.0,10.0,20.0,3.0,3.0,5.0,1.0,,3.0,,0.5555555555555556,0.7142857142857143,0.5,,0.375,,0.4375,0.6,0.6363636363636364,0.6,0.625,0.75,0.6666666666666666,13.96774193548387,13.483870967741936,0.46875,0.6,0.6428571428571429,0.5555555555555556,0.03125,,,0.3125,,,0.6666666666666666,0.90625,0.5494171875,0.49875,3.111111111111111,25.62142857142857,8.0,3.0,5.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,5.0,1.0,3.0,9.0,6.0,4.0,2.0,2.0,2.0,2.0,6.0,4.0,10.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,9.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.6,0.5625,0.5625,0.1111111111111111,0.06666666666666667,0.5,0.4444444444444444,0.5,0.47619047619047616,0.16666666666666666,1.0,1.0,0.375,0.75,0.75,0.3333333333333333,0.5,0.05263157894736842,0.5,0.0625,0.125,0.2,0.2,1.0,0.625,0.6,0.125,0.25,0.5,1.0,0.3333333333333333,0.2,0.51555,0.1111111111111111,0.18181818181818182,0.28125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2023,2022-23,True
1627884-1627936-1629632-1630172-203083,1610612741,"Derrick Jones Jr., Alex Caruso, Coby White, Patrick Williams, Andre Drummond","Jones Jr., Caruso, White, Williams, Drummond",1627884-1627936-1629632-1630172-203083,CHI,2.0,1,,1.0,1.0,1.0,,,,,,,,,,,720.0,2.0,2.0,,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,0.28065,0.28065,,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2023,2022-23,True
1627884-1627936-1629632-1630172-203897,1610612741,"Derrick Jones Jr., Alex Caruso, Coby White, Patrick Williams, Zach LaVine","Jones Jr., Caruso, White, Williams, LaVine",1627884-1627936-1629632-1630172-203897,CHI,1042.0,8,2.0,30.0,4.0,64.0,2.0,32.0,1.0,5.0,8.0,3.0,1.0,28.0,0.48484848484848486,0.4166666666666667,88.44529750479846,18.366666666666667,17.166666666666668,0.15625,0.13333333333333333,17.0,34.0,1.0,6.0,9.0,2.0,3.0,,,11.0,2.0,9.0,19.0,13.0,30.0,2.0,3.0,2.0,14.0,4.0,11.0,7.0,11.0,4.0,26.0,5.0,3.0,8.0,15.0,4.0,1.0,5.0,,5.0,4.0,,0.7777777777777778,0.875,0.47368421052631576,0.6666666666666666,0.46875,0.4,0.40625,0.8,0.75,0.625,0.6666666666666666,1.0,0.6666666666666666,14.441176470588236,13.764705882352942,0.28125,0.6666666666666666,0.75,0.6666666666666666,,,,0.34375,0.6,0.6666666666666666,0.4,0.6875,0.52406875,0.6856099999999999,4.989473684210526,25.815384615384616,6.0,2.0,4.0,10.0,2.0,1.0,,4.0,,1.0,4.0,2.0,4.0,,2.0,4.0,12.0,2.0,4.0,2.0,4.0,4.0,2.0,5.0,7.0,,5.0,2.0,1.0,,1.0,2.0,3.0,,,,2.0,,,,,,1.0,0.3076923076923077,,0.3076923076923077,0.5,0.3333333333333333,0.3333333333333333,0.10526315789473684,0.1111111111111111,0.1,0.5,0.2222222222222222,0.3684210526315789,0.6666666666666666,0.42857142857142855,,0.2857142857142857,,,0.6666666666666666,0.6,,,0.3125,0.0625,0.36363636363636365,0.36363636363636365,1.0,0.6666666666666666,0.5,0.16666666666666666,0.16666666666666666,,,,0.36363636363636365,0.5755125,0.0625,0.10526315789473684,0.125,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,0.3,0.3333333333333333,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2023,2022-23,True
1627884-1627936-1629632-1630245-201942,1610612741,"Derrick Jones Jr., Alex Caruso, Coby White, Ayo Dosunmu, DeMar DeRozan","Jones Jr., Caruso, White, Dosunmu, DeRozan",1627884-1627936-1629632-1630245-201942,CHI,151.0,1,,4.0,,8.0,,5.0,,,,,,5.0,0.625,,76.29139072847683,20.5,20.5,,,3.0,4.0,,,,,,,1.0,,,1.0,2.0,2.0,5.0,,,,2.0,,,1.0,2.0,,5.0,,1.0,2.0,2.0,,,,,,,,1.0,1.0,0.5,,0.625,,0.5,,0.5,,0.5,,,17.25,16.5,,,,,0.25,,,,,,,0.5,0.4741375,,15.55,23.05,,,,1.0,2.0,,,,,,1.0,,,,,,3.0,,,,1.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,1.0,0.5,,0.5,,,,,,,,,,,,,,,,1.0,,,,0.25,0.5,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2023,2022-23,True
1627884-1627936-1629632-1630245-202696,1610612741,"Derrick Jones Jr., Alex Caruso, Coby White, Ayo Dosunmu, Nikola Vucevic","Jones Jr., Caruso, White, Dosunmu, Vucevic",1627884-1627936-1629632-1630245-202696,CHI,111.0,1,-2.0,3.0,,6.0,,3.0,,,,,,3.0,0.75,,77.83783783783784,18.0,18.0,,,2.0,3.0,,,,,,,1.0,1.0,,,1.0,1.0,5.0,,,,,,1.0,,1.0,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,0.75,,0.5,1.0,1.0,,1.0,,,19.0,19.0,,,,,0.5,,,0.5,,,,0.5,0.46965,,16.5,26.5,,,,,,,,1.0,,,1.0,,,,,,3.0,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2023,2022-23,True
1627884-1627936-1629632-1630245-203083,1610612741,"Derrick Jones Jr., Alex Caruso, Coby White, Ayo Dosunmu, Andre Drummond","Jones Jr., Caruso, White, Dosunmu, Drummond",1627884-1627936-1629632-1630245-203083,CHI,136.0,2,-1.0,5.0,,10.0,,5.0,,,,,,3.0,0.625,,105.88235294117648,15.8,11.8,,,2.0,5.0,4.0,1.0,1.0,,,,,,,1.0,3.0,1.0,6.0,,,,2.0,,,1.0,2.0,1.0,5.0,1.0,,1.0,2.0,2.0,1.0,2.0,,,,,1.0,1.0,0.3333333333333333,,0.625,,0.25,1.0,,1.0,0.5,,,11.4,10.6,0.25,1.0,1.0,1.0,,,,,,,,0.5,0.558125,,7.566666666666666,23.4,2.0,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,1.0,,,2.0,3.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,3.0,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,0.5,,0.5,,0.5,,,,,,1.0,0.5,,0.5,0.25,,,,1.0,1.0,,,,,,,0.7409,,,0.4,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2023,2022-23,True
1627884-1627936-1629632-1630245-203897,1610612741,"Derrick Jones Jr., Alex Caruso, Coby White, Ayo Dosunmu, Zach LaVine","Jones Jr., Caruso, White, Dosunmu, LaVine",1627884-1627936-1629632-1630245-203897,CHI,82.0,1,5.0,3.0,,5.0,2.0,7.0,,,1.0,2.0,,7.0,1.1666666666666667,,87.80487804878048,12.666666666666666,12.666666666666666,,,1.0,2.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,2.0,,,,2.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,1.0,1.0,1.0,,1.25,,0.5,,,,,,,22.0,21.0,0.5,1.0,1.0,1.0,,,,,,,,1.0,0.6136,,2.0,23.5,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.3333333333333333,0.5,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2023,2022-23,True
1627884-1627936-1629632-201609-201942,1610612741,"Derrick Jones Jr., Alex Caruso, Coby White, Goran Dragic, DeMar DeRozan","Jones Jr., Caruso, White, Dragic, DeRozan",1627884-1627936-1629632-201609-201942,CHI,208.0,2,,6.0,,12.0,,8.0,,,1.0,2.0,,8.0,0.8,,83.07692307692308,18.333333333333332,18.333333333333332,,,3.0,6.0,3.0,,1.0,,,1.0,1.0,1.0,,1.0,2.0,2.0,8.0,,,,,2.0,1.0,,,,,1.0,1.0,3.0,3.0,1.0,,3.0,,,,,,,0.5,,1.0,,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,,16.333333333333332,16.333333333333332,0.25,,,,0.25,1.0,1.0,0.25,,,,0.75,0.5033666666666666,,9.6,29.9,,,,,1.0,,,1.0,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,0.5,1.0,,,,,,,,,,,,1.0,,,,0.25,1.0,1.0,,,,,,,,,1.0,,0.2,0.3333333333333333,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2023,2022-23,True
