EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,HeaveAttempts,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGA,SecondChanceFG2A,OffThreePtRebounds,Fouls,Loose Ball Fouls,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,Corner3Frequency,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,Steals,BadPassSteals,LostBallTurnovers,ShootingFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGA,Corner3FGM,PenaltyCorner3FGA,FtPoints,SecondChanceFG2M,SecondChancePoints,PenaltyFtPoints,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,Corner3Assists,OffTwoPtRebounds,LostBallSteals,SecondChanceTurnovers,Charge Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,SecondChancePointsPct,StepOutOfBoundsTurnovers,LongMidRangeFGM,LongMidRangeAssists,Travels,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,RecoveredBlocks,OffCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG3M,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,BlockedLongMidRange,LongMidRangePctBlocked,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,DefensiveGoaltends,ThreePtShootingFoulsDrawnPct,NonShootingPenaltyNonTakeFoulsDrawn,FTDefRebounds,DefFTReboundPct,Offensive Fouls,Charge Fouls,BadPassOutOfBoundsTurnovers,SecondChanceFtPoints,SelfOReb,3pt And 1 Free Throw Trips,OffLongMidRangeReboundPct,SelfORebPct,team_id,year,season,team_vs
1626220-1627827-1628969-1629651-1629661,1610612751,"Royce O'Neale, Dorian Finney-Smith, Mikal Bridges, Nic Claxton, Cameron Johnson","O'Neale, Finney-Smith, Bridges, Claxton, Johnson",1626220-1627827-1628969-1629651-1629661,BKN,259.0,3,4.0,-5.0,7.0,11.0,6.0,10.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,6.0,11.0,1.0,3.0,3.0,2.0,6.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,6.0,6.0,6.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6,0.6,0.5,0.5,0.4,0.5,0.5,1.0,1.0,1.0,1.0,1.0,100.07722007722008,11.285714285714286,16.363636363636363,10.571428571428571,16.363636363636363,0.2,1.0,1.0,0.4,1.0,1.0,0.5,0.4,1.0,0.2,1.0,0.4,0.6,0.4816375,0.50895,0.4816375,0.16666666666666666,0.25,1.0,6.8999999999999995,36.75,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2023,2022-23,False
1626220-1627827-1628969-1629651-203915,1610612751,"Royce O'Neale, Dorian Finney-Smith, Mikal Bridges, Nic Claxton, Spencer Dinwiddie","O'Neale, Finney-Smith, Bridges, Claxton, Dinwiddie",1626220-1627827-1628969-1629651-203915,BKN,8.0,1,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2023,2022-23,False
1626220-1627827-1628969-1629661-1630560,1610612751,"Royce O'Neale, Dorian Finney-Smith, Mikal Bridges, Cameron Johnson, Cam Thomas","O'Neale, Finney-Smith, Bridges, Johnson, Thomas",1626220-1627827-1628969-1629661-1630560,BKN,102.0,1,2.0,-2.0,3.0,3.0,,,1.0,6.0,,,,,,2.0,1.0,,,,2.0,2.0,,2.0,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.5,,,1.0,,0.5,1.0,,84.70588235294117,15.666666666666666,18.333333333333332,14.0,18.333333333333332,,,,0.5,,,,0.25,,,,,0.5,0.5057875,,,,,,9.45,24.3,,1.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2023,2022-23,False
1626220-1627827-1628969-1629661-201988,1610612751,"Royce O'Neale, Dorian Finney-Smith, Mikal Bridges, Cameron Johnson, Patty Mills","O'Neale, Finney-Smith, Bridges, Johnson, Mills",1626220-1627827-1628969-1629661-201988,BKN,8.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2023,2022-23,False
1626220-1627827-1628969-1629661-203552,1610612751,"Royce O'Neale, Dorian Finney-Smith, Mikal Bridges, Cameron Johnson, Seth Curry","O'Neale, Finney-Smith, Bridges, Johnson, Curry",1626220-1627827-1628969-1629661-203552,BKN,303.0,2,5.0,-2.0,8.0,9.0,3.0,3.0,,17.0,1.0,1.0,1.0,1.0,,1.0,4.0,,1.0,1.0,2.0,5.0,8.0,10.0,,1.0,2.0,1.0,5.0,2.0,,,4.0,1.0,3.0,,8.0,,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,,,,8.0,5.0,3.0,1.0,1.0,0.5,0.5,0.5714285714285714,0.8333333333333334,0.5714285714285714,0.8333333333333334,0.7142857142857143,1.0,,1.0,,0.5,1.0,,80.79207920792079,20.375,15.555555555555555,20.375,15.222222222222221,0.14285714285714285,1.0,1.0,0.14285714285714285,,,,0.5714285714285714,,0.3333333333333333,1.0,0.3333333333333333,0.8571428571428571,0.5243928571428571,,0.4869333333333334,,,0.625,5.1,25.68,0.375,1.0,,,1.0,,,,,0.14285714285714285,2.0,1.0,2.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.4,1.0,0.5,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2023,2022-23,False
1626220-1627827-1628969-1629661-203915,1610612751,"Royce O'Neale, Dorian Finney-Smith, Mikal Bridges, Cameron Johnson, Spencer Dinwiddie","O'Neale, Finney-Smith, Bridges, Johnson, Dinwiddie",1626220-1627827-1628969-1629661-203915,BKN,1085.0,3,18.0,-16.0,33.0,33.0,10.0,5.0,3.0,66.0,3.0,6.0,1.0,2.0,2.0,6.0,11.0,1.0,3.0,5.0,14.0,14.0,23.0,39.0,1.0,2.0,3.0,4.0,5.0,2.0,8.0,,11.0,1.0,3.0,1.0,8.0,,3.0,8.0,11.0,4.0,15.0,6.0,2.0,,,6.0,2.0,8.0,1.0,5.0,3.0,21.0,5.0,10.0,0.2,0.25,0.35714285714285715,0.6666666666666666,0.3392857142857143,0.2857142857142857,0.38333333333333336,0.35714285714285715,0.5,1.0,,0.7272727272727273,0.42857142857142855,0.6111111111111112,0.8333333333333334,0.3333333333333333,87.59447004608296,16.12121212121212,16.757575757575758,15.242424242424242,14.848484848484848,0.21428571428571427,0.5,0.75,0.21428571428571427,0.3333333333333333,0.4,0.5,0.39285714285714285,0.3333333333333333,0.2857142857142857,0.5,0.42857142857142855,0.7142857142857143,0.5149035714285713,0.449075,0.5074142857142857,0.1,0.1875,0.21739130434782608,6.835714285714286,25.785714285714285,0.30303030303030304,3.0,2.0,2.0,8.0,,0.18181818181818182,0.2,0.2222222222222222,0.10714285714285714,2.0,,3.0,,6.0,2.0,2.0,1.0,,3.0,1.0,4.0,3.0,0.6666666666666666,0.21428571428571427,,0.21428571428571427,,0.18181818181818182,0.18181818181818182,0.5,,0.18181818181818182,1.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,0.3333333333333333,0.3333333333333333,0.21428571428571427,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.25,0.5,0.6666666666666666,0.5,0.07142857142857142,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.14285714285714285,0.08695652173913043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2023,2022-23,False
1626220-1627827-1628969-1630560-203915,1610612751,"Royce O'Neale, Dorian Finney-Smith, Mikal Bridges, Cam Thomas, Spencer Dinwiddie","O'Neale, Finney-Smith, Bridges, Thomas, Dinwiddie",1626220-1627827-1628969-1630560-203915,BKN,79.0,1,1.0,2.0,2.0,2.0,,2.0,,4.0,1.0,1.0,,,,1.0,1.0,,,1.0,2.0,1.0,5.0,3.0,,,,,,,2.0,,1.0,,,,,,1.0,,1.0,1.0,2.0,,,,,,,1.0,,,,5.0,,,,,0.5,,0.8333333333333334,,0.8333333333333334,,0.3333333333333333,,,,1.0,1.0,,1.0,72.9113924050633,23.0,16.5,18.0,16.5,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,0.3333333333333333,,,,,0.6666666666666666,0.4951833333333333,,,,,,6.3,26.1,,,,,1.0,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2023,2022-23,False
1626220-1627827-1628969-203915-203925,1610612751,"Royce O'Neale, Dorian Finney-Smith, Mikal Bridges, Spencer Dinwiddie, Joe Harris","O'Neale, Finney-Smith, Bridges, Dinwiddie, Harris",1626220-1627827-1628969-203915-203925,BKN,131.0,2,2.0,-2.0,3.0,4.0,,1.0,1.0,7.0,,,,,,,2.0,,,,1.0,2.0,,2.0,,,,,,,,,2.0,,,,,,,1.0,1.0,1.0,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,0.6666666666666666,,,1.0,,1.0,,,76.94656488549619,24.0,14.75,23.333333333333332,14.75,,,,,,,,0.6666666666666666,,,,,0.6666666666666666,0.4664166666666667,,,,,,22.2,26.3,,,,1.0,,,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,0.3333333333333333,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2023,2022-23,False
1626220-1627827-1629651-1630560-203915,1610612751,"Royce O'Neale, Dorian Finney-Smith, Nic Claxton, Cam Thomas, Spencer Dinwiddie","O'Neale, Finney-Smith, Claxton, Thomas, Dinwiddie",1626220-1627827-1629651-1630560-203915,BKN,91.0,1,2.0,-4.0,3.0,2.0,3.0,,,5.0,,,,,,,,,,,1.0,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,79.12087912087912,16.333333333333332,21.0,16.333333333333332,21.0,,,,,,,,,,,,,,0.4402,,0.4402,,,,14.5,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2023,2022-23,False
1626220-1627827-1629651-203552-203915,1610612751,"Royce O'Neale, Dorian Finney-Smith, Nic Claxton, Seth Curry, Spencer Dinwiddie","O'Neale, Finney-Smith, Claxton, Curry, Dinwiddie",1626220-1627827-1629651-203552-203915,BKN,67.0,1,1.0,-2.0,1.0,2.0,,,,3.0,,1.0,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,0.2,,,64.4776119402985,26.0,20.5,26.0,10.5,1.0,,,,,,,,,,,,1.0,0.5406,,,,,,2.1,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2023,2022-23,False
