EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PlusMinus,SecondChanceOffPoss,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,OffThreePtRebounds,OffRebounds,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,SecondChancePointsPct,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,Technical Free Throw Trips,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,PenaltyArc3FGA,SecondChanceFG2A,PenaltyFG3A,PenaltyArc3Frequency,SecondChanceAtRimFGA,Corner3FGA,SecondChanceCorner3FGA,SecondChanceFG2M,LongMidRangeAssists,FTOffRebounds,Steals,LostBallSteals,SecondChanceTurnovers,Offensive Fouls,Blocked3s,BlockedArc3,Blocks,SecondChanceFg2Pct,AtRimPctBlocked,OffFTReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceShotQualityAvg,ShootingFouls,DefShortMidRangeReboundPct,SecondChanceAtRimFGM,Corner3FGM,PenaltyCorner3FGA,PtsPutbacks,Corner3Assists,FTDefRebounds,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Charge Fouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,RecoveredBlocks,DefFTReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,BadPassSteals,HeaveAttempts,SecondChanceFtPoints,PtsUnassisted3s,SelfOReb,Loose Ball Fouls Drawn,Offensive Fouls Drawn,SelfORebPct,Loose Ball Fouls,SecondChanceAtRimPctAssisted,Charge Fouls Drawn,BlockedLongMidRange,Travels,Transition Take Fouls,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Transition Take Fouls Drawn,DefensiveGoaltends,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,ThreePtShootingFoulsDrawn,BlockedCorner3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Arc3PctBlocked,HeaveMakes,team_id,year,season,team_vs
1626172-1627780-1628978-1629673-201939,1610612744,"Kevon Looney, Gary Payton II, Donte DiVincenzo, Jordan Poole, Stephen Curry","Looney, Payton II, DiVincenzo, Poole, Curry",1626172-1627780-1628978-1629673-201939,GSW,200.0,3,3.0,7.0,7.0,2.0,2.0,14.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,9.0,9.0,1.0,1.0,1.0,3.0,2.0,6.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,3.0,2.0,1.0,1.0,0.25,0.25,0.8,1.0,0.8,1.0,0.75,0.75,0.5,1.0,1.0,1.0,1.0,100.8,13.0,15.571428571428571,13.0,13.857142857142858,0.4,0.5,0.5,0.4,1.0,1.0,0.5,0.2,1.0,1.0,0.4,0.47572000000000003,0.4338,0.2,0.2,0.3333333333333333,7.8,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2023,2022-23,True
1626172-1627780-1628978-1629673-202691,1610612744,"Kevon Looney, Gary Payton II, Donte DiVincenzo, Jordan Poole, Klay Thompson","Looney, Payton II, DiVincenzo, Poole, Thompson",1626172-1627780-1628978-1629673-202691,GSW,122.0,1,2.0,4.0,3.0,,,7.0,2.0,2.0,1.0,1.0,,,3.0,3.0,,9.0,4.0,,,,,6.0,,3.0,4.0,1.0,9.0,1.0,1.0,2.0,,,,,,,1.0,,,,,,6.0,,,,,1.0,1.0,1.0,,0.9,,0.9,,,1.0,1.0,1.0,,82.62295081967214,16.25,19.0,15.5,19.0,0.4,1.0,1.0,0.2,1.0,1.0,1.0,,,,0.8,0.49240000000000006,,,,,5.833333333333333,,5.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.5,1.5,1.5,0.4,1.0,1.0,1.0,1.0,0.4,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2023,2022-23,True
1626172-1627780-1628978-1629673-203110,1610612744,"Kevon Looney, Gary Payton II, Donte DiVincenzo, Jordan Poole, Draymond Green","Looney, Payton II, DiVincenzo, Poole, Green",1626172-1627780-1628978-1629673-203110,GSW,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2023,2022-23,True
1626172-1627780-1628978-1630541-203952,1610612744,"Kevon Looney, Gary Payton II, Donte DiVincenzo, Moses Moody, Andrew Wiggins","Looney, Payton II, DiVincenzo, Moody, Wiggins",1626172-1627780-1628978-1630541-203952,GSW,23.0,2,,2.0,,2.0,,2.0,1.0,1.0,,,,,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,3.0,2.0,,1.0,1.0,,2.0,,,,,1.0,,1.0,1.0,1.0,,,2.0,,,,3.0,3.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,125.21739130434781,11.5,,11.5,,1.0,1.0,1.0,,,,,,,,1.0,0.6003,0.6003,,,1.0,1.1,1.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2023,2022-23,True
1626172-1627780-1628978-201939-202691,1610612744,"Kevon Looney, Gary Payton II, Donte DiVincenzo, Stephen Curry, Klay Thompson","Looney, Payton II, DiVincenzo, Curry, Thompson",1626172-1627780-1628978-201939-202691,GSW,15.0,1,,1.0,,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,3.0,,,,,,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,3.0,,,,,1.0,1.0,1.0,,1.0,,1.5,,,,,,,96.0,15.0,,15.0,,,,,1.0,1.0,1.0,1.0,,,,,0.4393,,1.0,1.0,,4.6,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2023,2022-23,True
1626172-1627780-1628978-201939-203952,1610612744,"Kevon Looney, Gary Payton II, Donte DiVincenzo, Stephen Curry, Andrew Wiggins","Looney, Payton II, DiVincenzo, Curry, Wiggins",1626172-1627780-1628978-201939-203952,GSW,43.0,2,1.0,1.0,1.0,1.0,,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,66.97674418604652,21.0,22.0,21.0,22.0,,,,1.0,,,,,,,,0.4291,,,,,4.9,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2023,2022-23,True
1626172-1627780-1628978-203110-203952,1610612744,"Kevon Looney, Gary Payton II, Donte DiVincenzo, Draymond Green, Andrew Wiggins","Looney, Payton II, DiVincenzo, Green, Wiggins",1626172-1627780-1628978-203110-203952,GSW,16.0,1,,1.0,,1.0,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,90.0,16.0,,16.0,,,,,,,,,0.5,,,0.5,0.3645,0.3645,,,,16.0,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,0.5,1.0,1.0,1.0,,0.5,,,,,,,,,25.6,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2023,2022-23,True
1626172-1627780-1629673-1630541-202691,1610612744,"Kevon Looney, Gary Payton II, Jordan Poole, Moses Moody, Klay Thompson","Looney, Payton II, Poole, Moody, Thompson",1626172-1627780-1629673-1630541-202691,GSW,232.0,3,4.0,7.0,5.0,,,12.0,,1.0,2.0,5.0,1.0,1.0,3.0,7.0,,6.0,4.0,,,,,2.0,4.0,1.0,1.0,,2.0,1.0,2.0,7.0,,,,1.0,1.0,,1.0,,,,,,4.0,,,,,0.3333333333333333,0.3333333333333333,0.42857142857142855,,0.3,,0.3,,,0.5,0.4,,1.0,74.48275862068965,14.857142857142858,25.6,10.857142857142858,24.6,0.1,,,0.5,0.4,0.6666666666666666,,0.1,1.0,1.0,0.4,0.469735,,,,,9.057142857142857,,2.0,4.0,,1.0,,1.0,,3.0,,2.0,2.0,,1.0,,,,,1.0,5.0,,,,,0.25,0.25,0.3,0.3333333333333333,0.5714285714285714,,,0.1,,,,0.25,,,,0.3333333333333333,24.099999999999998,,,,,,3.0,3.0,1.0,0.42857142857142855,0.4,0.3333333333333333,0.75,0.6666666666666666,1.0,,2.0,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.2,0.25,0.25,0.48345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2023,2022-23,True
1626172-1627780-1629673-201939-202691,1610612744,"Kevon Looney, Gary Payton II, Jordan Poole, Stephen Curry, Klay Thompson","Looney, Payton II, Poole, Curry, Thompson",1626172-1627780-1629673-201939-202691,GSW,303.0,2,5.0,12.0,12.0,6.0,,24.0,3.0,3.0,2.0,5.0,1.0,1.0,6.0,9.0,5.0,17.0,17.0,2.0,4.0,5.0,9.0,6.0,6.0,3.0,3.0,1.0,6.0,3.0,4.0,5.0,1.0,,1.0,,1.0,,2.0,4.0,5.0,1.0,2.0,1.0,17.0,9.0,6.0,,1.0,0.5,0.5,0.6666666666666666,0.5,0.6,0.5,0.7083333333333334,0.75,1.0,0.75,0.5,0.5,1.0,114.05940594059406,11.666666666666666,13.583333333333334,11.25,12.416666666666666,0.3,1.0,1.0,0.5,0.4,0.5,0.5,0.1,1.0,1.0,0.4,0.442885,0.432825,0.18181818181818182,0.2,0.5294117647058824,5.566666666666666,0.5,,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,0.1,,0.25,,0.3333333333333333,0.1,,,,1.0,,,,,26.2,1.0,1.0,,0.25,1.0,1.0,1.0,1.0,0.1111111111111111,0.2,0.25,0.3333333333333333,0.3333333333333333,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,0.43635,2.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2023,2022-23,True
1626172-1627780-1629673-201939-203952,1610612744,"Kevon Looney, Gary Payton II, Jordan Poole, Stephen Curry, Andrew Wiggins","Looney, Payton II, Poole, Curry, Wiggins",1626172-1627780-1629673-201939-203952,GSW,642.0,3,11.0,24.0,22.0,1.0,6.0,46.0,5.0,6.0,3.0,7.0,,3.0,8.0,16.0,2.0,24.0,23.0,1.0,2.0,,2.0,8.0,8.0,4.0,6.0,2.0,14.0,5.0,12.0,14.0,1.0,,,3.0,4.0,,6.0,3.0,4.0,,2.0,,22.0,2.0,1.0,,,0.5,0.5714285714285714,0.5,0.5,0.55,0.3333333333333333,0.5454545454545454,0.3333333333333333,0.25,1.0,0.7692307692307693,1.0,1.0,103.17757009345794,13.791666666666666,14.136363636363637,13.166666666666666,13.5,0.3,0.8333333333333334,0.8333333333333334,0.35,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.15,,,0.5,0.47831999999999997,0.4834,0.09090909090909091,0.1111111111111111,0.08333333333333333,8.2125,0.041666666666666664,1.0,1.0,1.0,2.0,,,2.0,4.0,,,2.0,6.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.5,,0.5,0.5,0.5,0.2,0.5,0.2,,0.4,0.1,0.5,0.5,1.0,,,,0.5,0.08333333333333333,24.5,1.0,1.0,,0.3333333333333333,1.0,,1.0,5.0,,,0.625,0.125,,0.5,,2.0,1.0,,1.0,2.0,,1.0,,,,,,1.0,,,3.0,0.5,,,,1.0,,0.1,0.5,,0.4461,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2023,2022-23,True
