EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2A,FG3A,SecondChanceFG3A,PenaltyFG2A,PenaltyFG3A,NonHeaveArc3FGA,OffTwoPtRebounds,OffRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,Arc3Frequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Minutes,PlusMinus,AtRimFGM,AtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,FG2M,FG3M,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,Fg2aBlocked,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,LongMidRangeFGA,ShootingFouls,Fouls,Offensive Fouls Drawn,BlockedAtRim,LongMidRangePctBlocked,LongMidRangeFrequency,PenaltyCorner3FGA,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,PenaltyCorner3Frequency,LongMidRangeFGM,Charge Fouls,Offensive Fouls,3SecondViolations,AtRimPctBlocked,DefAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,PenaltyCorner3FGM,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Assists,LongMidRangeAssists,FTDefRebounds,Loose Ball Fouls Drawn,Transition Take Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,DefFTReboundPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,HeaveAttempts,LostBallTurnovers,SecondChanceTurnovers,OffLongMidRangeReboundPct,SecondChanceCorner3FGM,SecondChanceFG3M,FTOffRebounds,Charge Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,Corner3PctBlocked,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Travels,BlockedCorner3,OffensiveGoaltends,DefensiveGoaltends,Arc3PctBlocked,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1627750-1628418-1628427-1630192-1631212,1610612743,"Jamal Murray, Thomas Bryant, Vlatko Cancar, Zeke Nnaji, Peyton Watson","Murray, Bryant, Cancar, Nnaji, Watson",1627750-1628418-1628427-1630192-1631212,DEN,29.0,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,99.3103448275862,24.0,5.0,17.0,5.0,0.5,0.5,1.0,0.5,0.5,0.410675,0.47115,0.410675,11.1,26.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2023,2022-23,True
1627750-1628971-1629008-1631128-201145,1610612743,"Jamal Murray, Bruce Brown, Michael Porter Jr., Christian Braun, Jeff Green","Murray, Brown, Porter Jr., Braun, Green",1627750-1628971-1629008-1631128-201145,DEN,333.0,3,10.0,8.0,1.0,1.0,1.0,18.0,2.0,1.0,1.0,,6.0,4.0,1.0,1.0,,1.0,,2.0,5.0,1.0,0.4,,0.5,,77.83783783783784,18.6,18.375,16.5,18.375,0.2,0.1,1.0,,0.8,0.548055,,0.4318,4.433333333333334,26.05,0.1,6.0,7.0,4.0,4.0,1.0,1.0,3.0,5.0,1.0,4.0,17.0,10.0,2.0,2.0,1.0,1.0,3.0,6.0,4.0,3.0,3.0,1.0,4.0,1.0,3.0,9.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,2.0,4.0,15.0,3.0,0.6,0.6,1.0,0.25,0.25,0.8333333333333334,1.0,0.65,1.0,0.7083333333333334,0.5,0.75,0.6666666666666666,1.0,0.6666666666666666,0.75,1.0,0.5,1.0,1.0,0.4,1.0,1.0,0.75,0.5,0.5,0.3,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5,0.11764705882352941,0.17647058823529413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2023,2022-23,True
1627750-1628971-1629008-1631128-201599,1610612743,"Jamal Murray, Bruce Brown, Michael Porter Jr., Christian Braun, DeAndre Jordan","Murray, Brown, Porter Jr., Braun, Jordan",1627750-1628971-1629008-1631128-201599,DEN,181.0,1,7.0,7.0,5.0,6.0,1.0,14.0,4.0,,,,7.0,,,6.0,,,2.0,2.0,4.0,5.0,,0.4,0.4,0.25,111.38121546961327,12.142857142857142,13.714285714285714,12.142857142857142,13.428571428571429,0.5714285714285714,,,,0.42857142857142855,0.48165714285714284,0.5948,0.48936666666666667,5.857142857142857,,0.7142857142857143,3.0,2.0,2.0,3.0,,,,2.0,,2.0,6.0,4.0,,2.0,1.0,,2.0,,4.0,,,,,,,,,1.0,1.0,2.0,1.0,,,,1.0,1.0,2.0,,1.0,4.0,2.0,,,,,,0.2857142857142857,0.16666666666666666,0.2857142857142857,0.16666666666666666,0.375,0.5,0.16666666666666666,0.5,0.5,,0.5,,,1.0,,0.42857142857142855,0.6666666666666666,0.6666666666666666,,,,,,,,0.125,0.125,0.3333333333333333,0.3333333333333333,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,0.5,0.14285714285714285,0.25,1.0,1.0,0.5,0.25,0.5,1.0,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2023,2022-23,True
1627750-1628971-1629008-1631128-203932,1610612743,"Jamal Murray, Bruce Brown, Michael Porter Jr., Christian Braun, Aaron Gordon","Murray, Brown, Porter Jr., Braun, Gordon",1627750-1628971-1629008-1631128-203932,DEN,207.0,2,7.0,7.0,,,,14.0,2.0,1.0,,,3.0,2.0,,,,1.0,,,2.0,,0.4,,,,97.39130434782608,14.0,15.571428571428571,14.0,15.0,0.4,0.2,,,0.4,0.45858,,,10.333333333333334,24.4,,3.0,3.0,,,2.0,,1.0,2.0,,4.0,8.0,5.0,,,,,,,4.0,,,,,,,,,1.0,1.0,2.0,,,,,,4.0,4.0,,2.0,8.0,,,,,,,0.6666666666666666,,0.4,,0.5714285714285714,,,0.3333333333333333,1.0,,0.5,,,1.0,,,,,,1.0,1.0,0.2,,,,0.2857142857142857,0.4,,,,,,,,,,1.0,,,,,,2.0,,,2.0,,,,0.3333333333333333,,,,1.0,,,,,,,1.0,1.0,2.0,1.0,2.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2023,2022-23,True
1627750-1628971-1629008-1631128-203999,1610612743,"Jamal Murray, Bruce Brown, Michael Porter Jr., Christian Braun, Nikola Jokic","Murray, Brown, Porter Jr., Braun, Jokic",1627750-1628971-1629008-1631128-203999,DEN,231.0,3,9.0,8.0,6.0,6.0,1.0,17.0,3.0,1.0,,,4.0,2.0,,2.0,1.0,1.0,,,2.0,6.0,0.3333333333333333,,,,105.97402597402598,11.222222222222221,16.25,10.333333333333334,15.875,0.5,0.16666666666666666,,,0.5,0.5051833333333333,0.431,0.53475,8.5,24.75,0.6666666666666666,4.0,-2.0,1.0,1.0,3.0,,1.0,4.0,,,8.0,10.0,,2.0,2.0,,4.0,8.0,,,4.0,,4.0,,1.0,8.0,,,2.0,2.0,,,,1.0,1.0,1.0,,,,6.0,4.0,1.0,1.0,,,,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.4,,,0.3333333333333333,,,1.0,,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,,,,,,0.25,0.5,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,0.3333333333333333,1.0,,1.0,4.0,1.0,,,,1.0,3.0,1.0,1.0,2.0,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2023,2022-23,True
1627750-1628971-1629008-201145-201599,1610612743,"Jamal Murray, Bruce Brown, Michael Porter Jr., Jeff Green, DeAndre Jordan","Murray, Brown, Porter Jr., Green, Jordan",1627750-1628971-1629008-201145-201599,DEN,8.0,1,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,180.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2023,2022-23,True
1627750-1628971-1629008-201145-203932,1610612743,"Jamal Murray, Bruce Brown, Michael Porter Jr., Jeff Green, Aaron Gordon","Murray, Brown, Porter Jr., Green, Gordon",1627750-1628971-1629008-201145-203932,DEN,931.0,7,29.0,31.0,6.0,,2.0,60.0,5.0,5.0,,1.0,17.0,9.0,,2.0,2.0,5.0,1.0,2.0,10.0,6.0,0.34615384615384615,0.16666666666666666,0.14285714285714285,,92.80343716433941,13.96551724137931,16.967741935483872,13.689655172413794,16.774193548387096,0.19230769230769232,0.19230769230769232,,0.25,0.6923076923076923,0.5309903846153846,0.7536,0.5897125,6.905882352941177,25.38888888888889,0.20689655172413793,16.0,-6.0,7.0,9.0,3.0,1.0,4.0,11.0,1.0,6.0,31.0,37.0,,2.0,2.0,2.0,6.0,14.0,8.0,3.0,7.0,1.0,8.0,1.0,6.0,17.0,1.0,6.0,2.0,8.0,4.0,4.0,,3.0,3.0,6.0,8.0,4.0,6.0,29.0,6.0,0.6363636363636364,0.6363636363636364,1.0,0.1111111111111111,0.1111111111111111,0.6470588235294118,1.0,0.4807692307692308,0.5,0.5535714285714286,0.5,0.6,0.6666666666666666,0.8571428571428571,0.125,0.8,0.2,,0.5,0.5,0.34615384615384615,0.7777777777777778,0.875,0.8571428571428571,0.6,0.6,0.15384615384615385,0.25,0.25,1.0,0.21428571428571427,0.3157894736842105,0.06451612903225806,0.1935483870967742,1.0,1.0,2.0,2.0,1.0,2.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,0.5,0.5,0.058823529411764705,,,0.5,1.0,,,0.5,1.0,0.5,1.0,3.0,3.0,10.0,,,,0.11538461538461539,1.0,1.0,,1.0,,,0.3333333333333333,0.25,1.0,1.0,1.0,1.0,0.1111111111111111,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2023,2022-23,True
1627750-1628971-1629008-201145-203999,1610612743,"Jamal Murray, Bruce Brown, Michael Porter Jr., Jeff Green, Nikola Jokic","Murray, Brown, Porter Jr., Green, Jokic",1627750-1628971-1629008-201145-203999,DEN,2260.0,15,73.0,77.0,17.0,26.0,4.0,150.0,17.0,22.0,1.0,6.0,32.0,29.0,2.0,6.0,9.0,22.0,2.0,4.0,23.0,17.0,0.47540983606557374,0.14285714285714285,0.1111111111111111,,95.57522123893806,14.575342465753424,15.532467532467532,14.136986301369863,15.35064935064935,0.2786885245901639,0.36065573770491804,0.2,0.4,0.6229508196721312,0.498322131147541,0.5181666666666667,0.49077000000000004,8.425,25.341379310344827,0.2328767123287671,38.0,-29.0,4.0,9.0,9.0,2.0,7.0,18.0,7.0,18.0,75.0,104.0,,2.0,4.0,5.0,19.0,20.0,16.0,15.0,10.0,5.0,15.0,1.0,3.0,35.0,2.0,6.0,12.0,19.0,5.0,4.0,1.0,4.0,5.0,20.0,22.0,1.0,9.0,73.0,19.0,0.5555555555555556,0.5555555555555556,0.7142857142857143,0.2413793103448276,0.2413793103448276,0.5625,0.6666666666666666,0.4672131147540984,0.4666666666666667,0.5208333333333334,0.2,0.5277777777777778,0.75,0.6,0.09090909090909091,0.6923076923076923,0.11764705882352941,,0.6666666666666666,0.5,0.14754098360655737,0.4444444444444444,0.4444444444444444,0.75,0.5294117647058824,0.5294117647058824,0.11475409836065574,0.2857142857142857,0.2857142857142857,0.5,0.13043478260869565,0.225,0.02666666666666667,0.25333333333333335,1.0,2.0,1.0,1.0,1.0,3.0,,,2.0,1.0,1.0,1.0,,4.0,,3.0,4.0,2.0,0.3333333333333333,0.2,,,0.2,0.4,0.6666666666666666,0.05555555555555555,0.5,0.4,0.5,0.06666666666666667,1.0,6.0,4.0,22.0,1.0,1.0,,0.09836065573770492,3.0,4.0,,3.0,3.0,1.0,0.4444444444444444,0.2,5.0,,3.0,,,0.75,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,5.0,1.0,2.0,6.0,5.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,0.2222222222222222,1.0,0.6,0.22727272727272727,0.22727272727272727,0.8,0.2,0.3333333333333333,0.16666666666666666,0.22727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2023,2022-23,True
1627750-1628971-1629008-202704-203999,1610612743,"Jamal Murray, Bruce Brown, Michael Porter Jr., Reggie Jackson, Nikola Jokic","Murray, Brown, Porter Jr., Jackson, Jokic",1627750-1628971-1629008-202704-203999,DEN,9.0,1,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,160.0,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2023,2022-23,True
1627750-1628971-1629008-203484-203932,1610612743,"Jamal Murray, Bruce Brown, Michael Porter Jr., Kentavious Caldwell-Pope, Aaron Gordon","Murray, Brown, Porter Jr., Caldwell-Pope, Gordon",1627750-1628971-1629008-203484-203932,DEN,404.0,3,11.0,11.0,,,3.0,22.0,3.0,3.0,,,5.0,8.0,1.0,,,3.0,1.0,4.0,11.0,,0.6153846153846154,0.5,0.4444444444444444,1.0,78.41584158415841,15.0,21.727272727272727,12.818181818181818,21.363636363636363,0.23076923076923078,0.23076923076923078,,,0.7692307692307693,0.5091115384615384,0.4003,,6.4,24.5375,,7.0,1.0,1.0,2.0,2.0,,5.0,3.0,1.0,2.0,11.0,10.0,,2.0,,,,2.0,4.0,3.0,1.0,1.0,2.0,,,5.0,3.0,4.0,3.0,7.0,,,,,,2.0,2.0,,1.0,9.0,,0.3333333333333333,0.3333333333333333,1.0,0.125,0.125,0.6,,0.34615384615384615,,0.39285714285714285,0.3333333333333333,,0.75,0.8,0.42857142857142855,0.7777777777777778,,0.6,1.0,,0.15384615384615385,0.5,0.5,,0.6666666666666666,0.6666666666666666,0.38461538461538464,,,,0.07142857142857142,0.16666666666666666,0.18181818181818182,,,1.0,,,1.0,2.0,,,,,,,,2.0,,,2.0,1.0,0.5,0.3333333333333333,,,,,0.8,,0.5,0.3333333333333333,,,,,1.0,1.0,,2.0,,,,1.0,,,,1.0,0.5,,,,,,,0.5,,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2023,2022-23,True
