EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGA,Corner3FGA,FG2A,FG3A,OpponentPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,Points,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,AtRimFrequency,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyCorner3FGA,FTDefRebounds,DeadBallTurnovers,PenaltyTurnovers,Charge Fouls,Offensive Fouls Drawn,ShortMidRangePctBlocked,DefFTReboundPct,OffCorner3ReboundPct,PenaltyCorner3Frequency,AtRimFGM,SecondChanceCorner3FGA,SecondChanceFG3A,PtsUnassisted2s,AtRimAssists,LostBallSteals,BadPassTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,LongMidRangePctBlocked,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceCorner3Frequency,Corner3FGM,FG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Loose Ball Fouls,LongMidRangeFGM,PenaltyFG2M,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceFG3M,PenaltyFG3M,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceEfgPct,DefLongMidRangeReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,Arc3FGM,PenaltyArc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Fg3aBlocked,Arc3Assists,Travels,Charge Fouls Drawn,Loose Ball Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,Arc3PctAssisted,DefCorner3ReboundPct,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,SecondChanceAtRimAccuracy,3SecondViolations,SecondChanceArc3FGA,FTOffRebounds,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,BlockedShortMidRange,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,HeaveAttempts,OffLongMidRangeReboundPct,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedArc3,StepOutOfBoundsTurnovers,OffensiveGoaltends,BlockedLongMidRange,Transition Take Fouls Drawn,Corner3PctBlocked,team_id,year,season,team_vs
1626157-1627752-1629162-1630162-203937,1610612750,"Karl-Anthony Towns, Taurean Prince, Jordan McLaughlin, Anthony Edwards, Kyle Anderson","Towns, Prince, McLaughlin, Edwards, Anderson",1626157-1627752-1629162-1630162-203937,MIN,103.0,1,2.0,-4.0,3.0,3.0,3.0,6.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,83.88349514563107,18.333333333333332,16.0,18.333333333333332,16.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5401333333333334,19.4,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,False
1626157-1627752-1629638-1629669-1630162,1610612750,"Karl-Anthony Towns, Taurean Prince, Nickeil Alexander-Walker, Jaylen Nowell, Anthony Edwards","Towns, Prince, Alexander-Walker, Nowell, Edwards",1626157-1627752-1629638-1629669-1630162,MIN,77.0,1,1.0,-3.0,2.0,3.0,,5.0,,,1.0,,5.0,,1.0,1.0,,,1.0,1.0,,,1.0,,93.5064935064935,23.5,10.0,23.5,6.333333333333333,,,,0.4905,4.8,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,False
1626157-1627752-1629638-1629669-201144,1610612750,"Karl-Anthony Towns, Taurean Prince, Nickeil Alexander-Walker, Jaylen Nowell, Mike Conley","Towns, Prince, Alexander-Walker, Nowell, Conley",1626157-1627752-1629638-1629669-201144,MIN,218.0,1,4.0,-4.0,6.0,7.0,,13.0,,,9.0,1.0,11.0,2.0,2.0,9.0,,,1.0,1.0,0.1,0.5,0.5,,85.87155963302753,18.5,15.285714285714286,16.333333333333332,14.857142857142858,,,0.7,0.5041599999999999,3.011111111111111,24.3,1.0,3.0,1.0,7.0,2.0,1.0,1.0,1.0,2.0,,,,,5.0,1.0,1.0,0.1111111111111111,0.1,0.2692307692307692,,,,0.3,0.3333333333333333,0.3333333333333333,1.0,3.0,3.0,6.0,5.0,4.0,1.0,1.0,5.0,5.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,5.0,5.0,7.0,1.0,4.0,1.0,3.0,0.14285714285714285,0.0625,0.1111111111111111,0.16666666666666666,0.75,1.0,0.7777777777777778,0.8333333333333334,0.5,1.0,1.0,0.625,0.6,0.1,1.0,0.5714285714285714,0.14285714285714285,0.58058,0.5202428571428571,0.3076923076923077,0.3333333333333333,0.2857142857142857,0.14285714285714285,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,False
1626157-1627752-1629638-1629669-203937,1610612750,"Karl-Anthony Towns, Taurean Prince, Nickeil Alexander-Walker, Jaylen Nowell, Kyle Anderson","Towns, Prince, Alexander-Walker, Nowell, Anderson",1626157-1627752-1629638-1629669-203937,MIN,174.0,1,3.0,-3.0,6.0,7.0,3.0,13.0,,1.0,2.0,1.0,6.0,1.0,2.0,3.0,,,,1.0,0.3333333333333333,1.0,1.0,,107.58620689655173,16.833333333333332,10.428571428571429,16.833333333333332,10.428571428571429,,0.3333333333333333,0.3333333333333333,0.41473333333333334,5.8,23.3,,2.0,,3.0,,,,,,,1.0,1.0,2.0,1.0,,,,,0.3,0.5,,,0.6666666666666666,,,,3.0,1.0,,,,,,3.0,,2.0,2.0,,1.0,3.0,3.0,,1.0,1.0,,1.0,,3.0,4.0,,2.0,3.0,3.0,1.0,0.5,0.5,,,1.0,0.3333333333333333,,,,1.0,,,,,,,,0.5202,0.4,0.5,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,False
1626157-1627752-1629638-1630162-203085,1610612750,"Karl-Anthony Towns, Taurean Prince, Nickeil Alexander-Walker, Anthony Edwards, Austin Rivers","Towns, Prince, Alexander-Walker, Edwards, Rivers",1626157-1627752-1629638-1630162-203085,MIN,4.0,1,,,,1.0,,1.0,,,,,,,,,,,,,,,,,360.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,False
1626157-1627752-1629638-201144-203085,1610612750,"Karl-Anthony Towns, Taurean Prince, Nickeil Alexander-Walker, Mike Conley, Austin Rivers","Towns, Prince, Alexander-Walker, Conley, Rivers",1626157-1627752-1629638-201144-203085,MIN,366.0,2,6.0,6.0,14.0,12.0,,26.0,1.0,2.0,8.0,4.0,6.0,4.0,5.0,7.0,3.0,,,1.0,0.3333333333333333,0.8,0.8333333333333334,1.0,102.29508196721312,13.714285714285714,14.5,13.0,14.416666666666666,0.08333333333333333,0.16666666666666666,0.5,0.499975,7.725,24.25,3.0,5.0,5.0,12.0,4.0,2.0,2.0,1.0,4.0,1.0,4.0,2.0,4.0,12.0,0.4,0.4,0.625,0.4166666666666667,0.5,1.0,1.0,1.0,0.4166666666666667,0.6,0.6,0.3333333333333333,,1.0,2.0,,,2.0,,2.0,,,,,,,,2.0,1.0,1.0,1.0,2.0,,5.0,2.0,2.0,2.0,,,,,0.125,,0.3333333333333333,0.25,0.2857142857142857,,0.5,,0.75,,0.16666666666666666,0.16666666666666666,,,,0.62055,,0.16666666666666666,0.25,,,,,,,,,1.0,,,0.5,,2.0,2.0,2.0,6.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,False
1626157-1627752-1629638-201144-203497,1610612750,"Karl-Anthony Towns, Taurean Prince, Nickeil Alexander-Walker, Mike Conley, Rudy Gobert","Towns, Prince, Alexander-Walker, Conley, Gobert",1626157-1627752-1629638-201144-203497,MIN,368.0,2,6.0,-5.0,10.0,11.0,,21.0,,2.0,6.0,4.0,15.0,4.0,4.0,6.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,82.17391304347825,19.2,16.0,19.2,16.0,,0.2,0.6,0.48668500000000003,5.133333333333334,25.35,1.0,4.0,2.0,10.0,2.0,1.0,2.0,,5.0,,,,,10.0,0.5,0.5,0.3333333333333333,0.35,0.4166666666666667,,,,0.4,0.25,0.3333333333333333,,,,2.0,,,2.0,,3.0,,,,,,,,2.0,2.0,,2.0,2.0,,5.0,5.0,1.0,3.0,,,,,0.3333333333333333,0.5,0.5,,0.2857142857142857,1.0,0.3333333333333333,,1.0,,0.2,0.2,,,,,,0.25,0.375,,,,,,,,,,0.25,,,,1.0,,,2.0,1.0,,,,,,,,,0.5,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,0.25,0.25,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,False
1626157-1627752-1629638-201144-203937,1610612750,"Karl-Anthony Towns, Taurean Prince, Nickeil Alexander-Walker, Mike Conley, Kyle Anderson","Towns, Prince, Alexander-Walker, Conley, Anderson",1626157-1627752-1629638-201144-203937,MIN,189.0,2,3.0,-8.0,5.0,6.0,3.0,11.0,,1.0,2.0,4.0,8.0,1.0,3.0,4.0,,,1.0,3.0,0.6666666666666666,0.5,0.6,,83.80952380952381,18.2,16.333333333333332,18.2,14.5,,0.16666666666666666,0.8333333333333334,0.53335,2.3,25.475,,1.0,,,,,,,,2.0,,,,,,,,,,,0.6666666666666666,0.6666666666666666,0.16666666666666666,,,,,1.0,1.0,1.0,,3.0,,,1.0,,,,,,,3.0,,,1.0,1.0,,1.0,,,,,,,,,,0.5,,0.16666666666666666,,1.0,,1.0,,0.16666666666666666,0.5,1.0,,,0.6075,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,False
1626157-1627752-1629669-1630162-203085,1610612750,"Karl-Anthony Towns, Taurean Prince, Jaylen Nowell, Anthony Edwards, Austin Rivers","Towns, Prince, Nowell, Edwards, Rivers",1626157-1627752-1629669-1630162-203085,MIN,196.0,1,3.0,-4.0,5.0,6.0,6.0,11.0,1.0,,3.0,1.0,10.0,,,,,,2.0,4.0,0.25,,,,80.81632653061224,18.4,17.333333333333332,18.4,14.666666666666666,0.25,,0.25,0.4139375,9.933333333333334,25.8,1.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,,,,,6.0,0.5,0.5,0.6666666666666666,0.5,0.6,,,,0.5,0.5,0.5,1.0,3.0,,,,,1.0,1.0,2.0,,,,1.0,1.0,2.0,4.0,1.0,,,,,,2.0,2.0,,,4.0,3.0,,0.6666666666666666,,,,,,,,,,,,0.25,,,0.5,,0.380125,,,,0.6666666666666666,0.6,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,False
1626157-1627752-1629669-1630162-203937,1610612750,"Karl-Anthony Towns, Taurean Prince, Jaylen Nowell, Anthony Edwards, Kyle Anderson","Towns, Prince, Nowell, Edwards, Anderson",1626157-1627752-1629669-1630162-203937,MIN,358.0,2,6.0,2.0,13.0,11.0,,24.0,,4.0,8.0,5.0,14.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.38461538461538464,0.3333333333333333,0.3333333333333333,,96.53631284916202,13.307692307692308,16.818181818181817,13.153846153846153,16.818181818181817,,0.3076923076923077,0.6153846153846154,0.4985576923076923,4.925,23.3,2.0,5.0,4.0,16.0,6.0,3.0,5.0,2.0,12.0,,,,,13.0,0.75,0.75,0.5,0.5384615384615384,0.5714285714285714,,,,0.38461538461538464,0.4,0.5,1.0,5.0,1.0,3.0,,2.0,1.0,,2.0,,,3.0,5.0,1.0,,9.0,1.0,1.0,,1.0,1.0,,1.0,2.0,,1.0,9.0,5.0,1.5,0.75,0.125,,0.25,,0.14285714285714285,,0.3333333333333333,,,,0.23076923076923078,0.07692307692307693,,0.3333333333333333,,0.5394,0.4908166666666667,0.07142857142857142,0.1111111111111111,0.1875,0.5625,0.38461538461538464,1.0,,,,,,0.2,,,0.16666666666666666,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,0.6666666666666666,0.6666666666666666,0.5,1.0,2.0,2.0,6.0,2.0,2.0,1.0,0.4,0.4,0.5,0.5,1.0,,,3.0,,,0.6,0.75,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,False
