EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,Corner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,FTDefRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,PenaltyTurnovers,Offensive Fouls,Charge Fouls Drawn,BlockedShortMidRange,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyPointsPct,DefShortMidRangeReboundPct,PenaltyFtPoints,LostBallTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangeFGA,LongMidRangeFrequency,PenaltyArc3FGM,PenaltyFG3M,Charge Fouls,Technical Free Throw Trips,PenaltyFg3Pct,PenaltyArc3Accuracy,Loose Ball Fouls Drawn,Corner3FGM,PtsUnassisted3s,Corner3Accuracy,UnblockedCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PtsPutbacks,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,ShortMidRangePctBlocked,OffArc3ReboundPct,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Fg3aBlocked,FTOffRebounds,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Transition Take Fouls Drawn,Blocked3s,BlockedArc3,StepOutOfBoundsTurnovers,LongMidRangeAssists,LongMidRangePctAssisted,Transition Take Fouls,OffensiveGoaltends,Offensive Fouls Drawn,LongMidRangePctBlocked,OffLongMidRangeReboundPct,3pt And 1 Free Throw Trips,Corner3PctBlocked,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,BlockedLongMidRange,DefensiveGoaltends,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,3SecondViolations,Clear Path Fouls,HeaveMakes,team_id,year,season,team_vs
1626149-1627777-1627788-1627863-1629001,1610612755,"Montrezl Harrell, Georges Niang, Furkan Korkmaz, Danuel House Jr., De'Anthony Melton","Harrell, Niang, Korkmaz, House Jr., Melton",1626149-1627777-1627788-1627863-1629001,PHI,119.0,2,2.0,2.0,4.0,3.0,1.0,1.0,1.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.4,0.5,0.25,1.0,1.0,0.5,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,0.3333333333333333,84.70588235294117,1.0,15.0,19.666666666666668,14.25,19.666666666666668,0.75,0.3333333333333333,0.3333333333333333,1.0,0.25,1.0,1.0,1.0,0.671375,0.8178,0.2,0.25,0.5,1.2,23.6,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
1626149-1627777-1627788-1627863-1629003,1610612755,"Montrezl Harrell, Georges Niang, Furkan Korkmaz, Danuel House Jr., Shake Milton","Harrell, Niang, Korkmaz, House Jr., Milton",1626149-1627777-1627788-1627863-1629003,PHI,846.0,5,14.0,-1.0,28.0,31.0,6.0,13.0,4.0,59.0,4.0,7.0,3.0,1.0,2.0,6.0,12.0,11.0,6.0,27.0,28.0,4.0,,5.0,4.0,8.0,4.0,7.0,3.0,17.0,1.0,4.0,3.0,6.0,11.0,5.0,16.0,,5.0,3.0,3.0,3.0,6.0,3.0,5.0,9.0,10.0,5.0,2.0,1.0,2.0,,22.0,6.0,0.6666666666666666,0.6666666666666666,0.5,0.45652173913043476,0.48214285714285715,0.4166666666666667,0.4782608695652174,0.5,0.5,0.6666666666666666,0.6,0.14285714285714285,0.5294117647058824,0.38461538461538464,0.6666666666666666,0.5,0.5,,,100.42553191489363,,14.892857142857142,13.838709677419354,13.964285714285714,13.387096774193548,0.30434782608695654,0.5714285714285714,0.8,0.75,0.08695652173913043,0.6,0.16666666666666666,0.782608695652174,0.5324886363636364,0.4401,0.17857142857142858,0.29411764705882354,0.18518518518518517,4.191666666666666,27.172727272727272,0.21428571428571427,1.0,1.0,2.0,5.0,3.0,9.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,6.0,4.0,9.0,1.0,8.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,0.2727272727272727,1.0,0.3,0.25,0.75,0.5,0.5,0.42857142857142855,0.16666666666666666,0.2857142857142857,1.0,0.6666666666666666,1.0,0.6,0.21739130434782608,0.4,0.4,0.5,0.391304347826087,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.2,1.0,1.0,1.0,0.3333333333333333,0.375,0.4935875,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
1626149-1627777-1627788-1627863-1630240,1610612755,"Montrezl Harrell, Georges Niang, Furkan Korkmaz, Danuel House Jr., Saben Lee","Harrell, Niang, Korkmaz, House Jr., Lee",1626149-1627777-1627788-1627863-1630240,PHI,157.0,1,3.0,-2.0,5.0,5.0,,,,10.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,4.0,6.0,,,,,,,,,,,,1.0,2.0,3.0,,3.0,,,,2.0,2.0,2.0,,,1.0,2.0,1.0,,,,,4.0,,,,1.0,0.5,0.6666666666666666,,0.5,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,91.71974522292993,,13.6,17.8,13.6,17.8,0.5,1.0,1.0,,0.5,,,1.0,0.686875,,0.3333333333333333,0.5,,1.0,24.1,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
1626149-1627777-1627788-1629001-202699,1610612755,"Montrezl Harrell, Georges Niang, Furkan Korkmaz, De'Anthony Melton, Tobias Harris","Harrell, Niang, Korkmaz, Melton, Harris",1626149-1627777-1627788-1629001-202699,PHI,24.0,1,,-2.0,1.0,2.0,,,,3.0,,,,,,,1.0,,,,2.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,180.0,,15.0,4.5,15.0,4.5,,,,,,,,,0.4467,,,,,10.3,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
1626149-1627777-1627788-1629003-1629667,1610612755,"Montrezl Harrell, Georges Niang, Furkan Korkmaz, Shake Milton, Jalen McDaniels","Harrell, Niang, Korkmaz, Milton, McDaniels",1626149-1627777-1627788-1629003-1629667,PHI,74.0,1,1.0,-6.0,2.0,3.0,,,,5.0,,,,,1.0,,1.0,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,97.29729729729729,,20.0,11.333333333333334,20.0,10.0,,,,,0.5,,,0.5,0.47985,,,,,7.5,23.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
1626149-1627777-1627788-1629003-1629680,1610612755,"Montrezl Harrell, Georges Niang, Furkan Korkmaz, Shake Milton, Matisse Thybulle","Harrell, Niang, Korkmaz, Milton, Thybulle",1626149-1627777-1627788-1629003-1629680,PHI,376.0,3,6.0,3.0,13.0,12.0,3.0,6.0,1.0,25.0,4.0,4.0,1.0,1.0,,6.0,9.0,,10.0,22.0,19.0,1.0,,2.0,2.0,8.0,4.0,4.0,3.0,8.0,,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,4.0,7.0,12.0,6.0,1.0,1.0,1.0,,20.0,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7857142857142857,1.0,,1.0,0.3333333333333333,0.3333333333333333,,,0.25,0.3333333333333333,,,,,,95.74468085106383,,14.0,16.166666666666668,12.923076923076923,14.666666666666666,0.4444444444444444,1.0,1.0,0.75,,1.0,0.5,0.4444444444444444,0.5550666666666666,0.5477,0.46153846153846156,0.46153846153846156,0.09090909090909091,5.166666666666667,,0.23076923076923078,1.0,1.0,2.0,5.0,,,,,,,1.0,,,2.0,,6.0,4.0,,,,,,,,1.0,,,,,,,,,,6.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,0.3333333333333333,,,0.5555555555555556,0.4,0.4,0.5,,,,,1.0,1.0,,,,1.0,,,0.7989,0.2727272727272727,0.5,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
1626149-1627777-1627788-1629003-201935,1610612755,"Montrezl Harrell, Georges Niang, Furkan Korkmaz, Shake Milton, James Harden","Harrell, Niang, Korkmaz, Milton, Harden",1626149-1627777-1627788-1629003-201935,PHI,5.0,1,,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,288.0,,5.0,,5.0,,,,,,,,,,0.2016,0.2016,,,,22.7,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
1626149-1627777-1627788-1629003-202699,1610612755,"Montrezl Harrell, Georges Niang, Furkan Korkmaz, Shake Milton, Tobias Harris","Harrell, Niang, Korkmaz, Milton, Harris",1626149-1627777-1627788-1629003-202699,PHI,110.0,1,2.0,-3.0,2.0,4.0,2.0,3.0,,6.0,,,,,,1.0,1.0,1.0,1.0,6.0,9.0,,,,1.0,2.0,1.0,2.0,,5.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,6.0,2.0,1.0,1.0,1.0,1.25,1.25,,0.5,,,,,,,,,,,,,78.54545454545455,,15.5,19.75,15.5,14.75,,,,,,,,0.5,0.456375,0.456375,,,,4.0,25.7,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,5.0,,3.0,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,5.0,1.0,1.0,,1.0,,1.0,,1.25,1.25,,,,,,,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,0.5,1.0,,0.8333333333333334,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
1626149-1627777-1627863-1629001-1629003,1610612755,"Montrezl Harrell, Georges Niang, Danuel House Jr., De'Anthony Melton, Shake Milton","Harrell, Niang, House Jr., Melton, Milton",1626149-1627777-1627863-1629001-1629003,PHI,425.0,4,7.0,4.0,12.0,14.0,,2.0,,26.0,3.0,4.0,,,,4.0,7.0,1.0,2.0,13.0,9.0,,,,,6.0,3.0,4.0,3.0,9.0,,,4.0,4.0,8.0,,8.0,,2.0,1.0,2.0,1.0,3.0,,,3.0,4.0,2.0,2.0,2.0,2.0,,13.0,,0.75,0.75,0.5714285714285714,0.6875,0.65,,0.125,0.6666666666666666,0.5,,0.5714285714285714,,0.5333333333333333,,,,0.42857142857142855,,,88.09411764705882,,13.0,19.214285714285715,13.0,16.214285714285715,0.5,0.75,0.75,1.0,,,,0.625,0.63703125,,0.2,0.2222222222222222,,4.457142857142857,29.2,,,,1.0,2.0,1.0,1.0,,,,1.0,,,,,,,2.0,3.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,0.6666666666666666,0.25,0.5,0.5,,0.125,1.0,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,0.125,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
1626149-1627777-1627863-1629001-1630178,1610612755,"Montrezl Harrell, Georges Niang, Danuel House Jr., De'Anthony Melton, Tyrese Maxey","Harrell, Niang, House Jr., Melton, Maxey",1626149-1627777-1627863-1629001-1630178,PHI,85.0,2,1.0,,5.0,4.0,4.0,4.0,,9.0,,,,,,1.0,2.0,1.0,3.0,5.0,5.0,,,,2.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,2.0,2.0,3.0,1.0,,,,,5.0,4.0,,,0.5,0.3333333333333333,0.625,,0.3333333333333333,,1.0,,,,0.5,,,,,,,152.47058823529412,,8.6,10.5,8.6,10.5,,,,,,,,0.3333333333333333,0.4278,0.4278,0.3333333333333333,0.5,,14.9,26.4,0.8,,,1.0,1.0,,1.0,,,1.0,,,,,1.0,1.0,5.0,2.0,,,1.0,,,,,,,,,,,,,,,5.0,,,,,,0.5,,0.3333333333333333,0.625,,,,,1.0,,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,,,,,0.3333333333333333,,,1.0,,3.0,,2.0,1.0,1.0,,2.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
