EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,DefAtRimReboundPct,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Charge Fouls Drawn,LiveBallTurnoverPct,NonShootingPenaltyNonTakeFoulsDrawn,OffShortMidRangeReboundPct,Charge Fouls,FTOffRebounds,FTDefRebounds,DefFTReboundPct,OffFTReboundPct,OffLongMidRangeReboundPct,LostBallTurnovers,PenaltyCorner3FGM,Travels,PenaltyCorner3Accuracy,Arc3Assists,Loose Ball Fouls,Transition Take Fouls Drawn,DefLongMidRangeReboundPct,Arc3PctAssisted,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,2pt And 1 Free Throw Trips,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,RecoveredBlocks,SecondChanceFg3Pct,BlocksRecoveredPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,Offensive Fouls,ThreePtShootingFoulsDrawn,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,ShortMidRangePctBlocked,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,3SecondViolations,SecondChanceCorner3PctAssisted,HeaveAttempts,team_id,year,season,team_vs
1626224-1627747-1628378-1628386-1629636,1610612739,"Cedi Osman, Caris LeVert, Donovan Mitchell, Jarrett Allen, Darius Garland","Osman, LeVert, Mitchell, Allen, Garland",1626224-1627747-1628378-1628386-1629636,CLE,654.0,3,11.0,4.0,20.0,22.0,12.0,14.0,4.0,42.0,6.0,8.0,2.0,3.0,4.0,5.0,3.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,2.0,10.0,13.0,2.0,7.0,6.0,32.0,28.0,3.0,4.0,2.0,8.0,5.0,7.0,1.0,5.0,2.0,15.0,8.0,12.0,3.0,3.0,2.0,3.0,1.0,4.0,1.0,5.0,1.0,3.0,1.0,11.0,3.0,2.0,5.0,1.0,6.0,5.0,11.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,3.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,24.0,13.0,11.0,1.0,0.4,0.4444444444444444,0.5,0.2857142857142857,0.2,0.2857142857142857,0.7692307692307693,0.75,0.7142857142857143,0.65,0.75,0.5416666666666666,0.6956521739130435,0.8,0.5769230769230769,0.35,0.5,0.6666666666666666,0.8333333333333334,0.6,0.75,0.625,1.0,0.5,0.6666666666666666,0.5,0.75,1.0,0.125,92.47706422018348,15.55,15.590909090909092,14.45,14.590909090909092,0.4,0.75,0.75,0.5,0.2,0.75,0.75,0.05,1.0,1.0,1.0,0.2,0.25,0.25,1.0,0.15,0.3333333333333333,0.3333333333333333,0.75,0.6666666666666666,0.4166666666666667,0.8,0.25,0.16666666666666666,0.5,0.75,0.3333333333333333,0.58414,0.6446,0.5832791666666667,0.09090909090909091,0.13333333333333333,0.25,0.46875,5.3076923076923075,24.357142857142858,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
1626224-1627747-1628378-1628386-1630171,1610612739,"Cedi Osman, Caris LeVert, Donovan Mitchell, Jarrett Allen, Isaac Okoro","Osman, LeVert, Mitchell, Allen, Okoro",1626224-1627747-1628378-1628386-1630171,CLE,245.0,2,4.0,2.0,8.0,6.0,2.0,,1.0,14.0,,1.0,,,,,1.0,3.0,,,,,,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,7.0,5.0,,,,,,,1.0,1.0,,3.0,,2.0,,3.0,,2.0,1.0,,,,,,,,1.0,,1.0,1.0,2.0,1.0,3.0,,,,2.0,2.0,1.0,,,2.0,2.0,1.0,,,,,,,,7.0,3.0,2.0,,,,,0.5,1.0,0.5,0.25,,,0.4166666666666667,,1.5,0.5,,1.5,0.3333333333333333,0.3333333333333333,,1.0,1.0,0.5,0.25,,1.0,,,,1.0,,82.28571428571429,18.125,16.666666666666668,17.375,16.5,0.16666666666666666,,,,0.5,0.3333333333333333,0.3333333333333333,,,,,,,,,0.3333333333333333,0.5,0.5,,,,,,1.0,1.0,0.5,0.5,0.4674833333333333,,0.4563,0.14285714285714285,0.2,,0.42857142857142855,6.1,27.1,0.25,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
1626224-1627747-1628378-1628386-1630596,1610612739,"Cedi Osman, Caris LeVert, Donovan Mitchell, Jarrett Allen, Evan Mobley","Osman, LeVert, Mitchell, Allen, Mobley",1626224-1627747-1628378-1628386-1630596,CLE,537.0,3,9.0,5.0,16.0,17.0,6.0,16.0,1.0,33.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,4.0,,2.0,6.0,6.0,,4.0,8.0,20.0,15.0,1.0,1.0,,2.0,2.0,2.0,,2.0,4.0,8.0,4.0,8.0,,,,4.0,,2.0,,2.0,,2.0,,4.0,1.0,,4.0,2.0,6.0,1.0,7.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,8.0,2.0,2.0,,1.0,1.0,,,1.0,18.0,6.0,5.0,,0.3333333333333333,0.3333333333333333,,,,,1.0,1.0,1.0,0.6,1.0,0.5,0.7142857142857143,1.0,0.6666666666666666,0.4,1.0,,0.5714285714285714,0.25,0.6666666666666666,0.25,,0.25,,1.0,0.5,0.6666666666666666,,88.49162011173185,15.25,17.235294117647058,14.8125,16.941176470588236,0.5,1.0,1.0,0.4,0.1,1.0,1.0,,,,,,,,,0.4,,,1.0,1.0,0.25,1.0,,0.5,,0.9,,0.636845,,0.551775,0.16666666666666666,0.25,0.1,0.4,3.016666666666667,25.525,0.375,,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
1626224-1627747-1628378-1628386-201980,1610612739,"Cedi Osman, Caris LeVert, Donovan Mitchell, Jarrett Allen, Danny Green","Osman, LeVert, Mitchell, Allen, Green",1626224-1627747-1628378-1628386-201980,CLE,65.0,1,1.0,2.0,3.0,2.0,3.0,,1.0,5.0,,,,,,,,3.0,,,,1.0,,,,,,,3.0,,1.0,2.0,2.0,,,2.0,,,,3.0,,,2.0,2.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,2.0,3.0,,,,,,,,,2.0,2.0,,1.0,,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,,0.2,,0.25,0.25,,0.3333333333333333,1.0,1.0,1.0,0.5,,,1.0,,,1.0,,110.76923076923077,17.666666666666668,6.0,11.333333333333334,6.0,,,,,0.75,,,,,,,0.25,,,,,,,,,,,,,,0.25,,0.4699125,0.4163,0.4194,,,,1.0,8.0,22.5,1.0,,,1.0,,,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
1626224-1627747-1628378-1629636-1630596,1610612739,"Cedi Osman, Caris LeVert, Donovan Mitchell, Darius Garland, Evan Mobley","Osman, LeVert, Mitchell, Garland, Mobley",1626224-1627747-1628378-1629636-1630596,CLE,29.0,2,,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,99.3103448275862,20.0,9.0,20.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
1626224-1627747-1628378-1630171-1630596,1610612739,"Cedi Osman, Caris LeVert, Donovan Mitchell, Isaac Okoro, Evan Mobley","Osman, LeVert, Mitchell, Okoro, Mobley",1626224-1627747-1628378-1630171-1630596,CLE,319.0,3,5.0,-6.0,11.0,12.0,11.0,7.0,4.0,23.0,3.0,7.0,1.0,3.0,3.0,7.0,1.0,3.0,,1.0,,1.0,1.0,,,,,4.0,11.0,,1.0,,8.0,14.0,1.0,4.0,,2.0,4.0,11.0,,1.0,,8.0,2.0,6.0,,,2.0,,,1.0,,1.0,,1.0,,2.0,,3.0,3.0,,4.0,4.0,8.0,,,,,2.0,2.0,3.0,4.0,1.0,2.0,,1.0,1.0,,,1.0,,1.0,6.0,8.0,11.0,1.0,0.25,0.3333333333333333,,,,,0.36363636363636365,0.25,0.36363636363636365,0.3333333333333333,0.25,0.3333333333333333,0.3076923076923077,0.25,0.3076923076923077,0.08333333333333333,,0.42857142857142855,1.0,,0.75,0.375,0.5,,,,1.0,1.0,,103.82445141065831,15.545454545454545,12.333333333333334,13.727272727272727,11.416666666666666,0.5833333333333334,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.08333333333333333,,,,0.08333333333333333,,,,,,,0.75,0.3333333333333333,0.5833333333333334,0.42857142857142855,0.08333333333333333,,,0.6666666666666666,,0.5322666666666667,0.546,0.5322666666666667,,,0.25,1.0,5.9818181818181815,23.5,1.0,,1.0,1.0,,,2.0,2.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
1626224-1627747-1628378-1630205-1630596,1610612739,"Cedi Osman, Caris LeVert, Donovan Mitchell, Lamar Stevens, Evan Mobley","Osman, LeVert, Mitchell, Stevens, Mobley",1626224-1627747-1628378-1630205-1630596,CLE,22.0,1,,2.0,2.0,1.0,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,1.0,,2.0,,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,196.36363636363637,6.5,9.0,6.5,9.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,0.8712,,,,,,,0.9,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
1626224-1627747-1628378-1630596-201980,1610612739,"Cedi Osman, Caris LeVert, Donovan Mitchell, Evan Mobley, Danny Green","Osman, LeVert, Mitchell, Mobley, Green",1626224-1627747-1628378-1630596-201980,CLE,262.0,2,4.0,2.0,8.0,9.0,6.0,,1.0,17.0,3.0,4.0,,1.0,2.0,3.0,,1.0,,,1.0,1.0,1.0,,2.0,,2.0,3.0,5.0,1.0,3.0,,9.0,7.0,,1.0,,,2.0,4.0,1.0,3.0,,7.0,2.0,4.0,3.0,,,2.0,,1.0,1.0,2.0,1.0,1.0,,5.0,,2.0,3.0,1.0,4.0,2.0,6.0,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,9.0,7.0,6.0,,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,,0.5,0.5625,,0.5,0.5625,,0.5,0.375,1.0,1.0,0.75,,0.8,0.5,1.0,,,1.0,0.6666666666666666,1.0,,93.4351145038168,13.375,17.22222222222222,12.25,15.88888888888889,0.5,0.75,0.75,0.3333333333333333,0.125,,,,,,,0.125,1.0,1.0,1.0,0.25,,,1.0,,0.42857142857142855,0.6666666666666666,0.14285714285714285,0.2857142857142857,,0.875,,0.6665125,0.5702,0.6345,,,,0.7777777777777778,2.12,24.53333333333333,0.75,,1.0,,,1.0,1.0,1.0,,0.5,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
1626224-1627747-1628386-1629636-1630171,1610612739,"Cedi Osman, Caris LeVert, Jarrett Allen, Darius Garland, Isaac Okoro","Osman, LeVert, Allen, Garland, Okoro",1626224-1627747-1628386-1629636-1630171,CLE,263.0,3,4.0,6.0,8.0,8.0,2.0,,1.0,16.0,2.0,2.0,1.0,1.0,,,3.0,3.0,,2.0,,,,1.0,2.0,1.0,1.0,5.0,7.0,1.0,2.0,1.0,14.0,8.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,5.0,,10.0,3.0,,2.0,2.0,1.0,,1.0,1.0,,,,3.0,,1.0,1.0,2.0,3.0,1.0,4.0,,2.0,1.0,,,,1.0,2.0,1.0,1.0,,1.0,,,,,,,12.0,5.0,2.0,,,,1.0,0.5,1.0,0.5,0.7142857142857143,1.0,1.0,0.7222222222222222,1.0,1.25,0.7,1.0,1.25,0.2222222222222222,0.6666666666666666,0.5,1.0,,0.75,0.3333333333333333,,,,,,1.0,,87.60456273764258,14.0,18.875,14.0,18.75,0.2222222222222222,1.0,1.0,,0.3333333333333333,1.0,1.0,0.2222222222222222,,,,,,,,0.2222222222222222,0.5,0.5,1.0,1.0,,,,0.5,1.0,0.4444444444444444,0.5,0.4717722222222222,0.6184,0.4625,,,0.14285714285714285,0.35714285714285715,8.485714285714286,25.1,0.25,,,,1.0,1.0,,,,,,,,,,,,0.5,,,,,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
1626224-1627747-1628386-1629636-1630596,1610612739,"Cedi Osman, Caris LeVert, Jarrett Allen, Darius Garland, Evan Mobley","Osman, LeVert, Allen, Garland, Mobley",1626224-1627747-1628386-1629636-1630596,CLE,48.0,1,1.0,-3.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,21.0,27.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
