EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,TotalPoss,DeadBallTurnovers,Turnovers,OffensiveGoaltends,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Minutes,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,LostBallTurnovers,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,PenaltyOffPoss,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,Steals,LostBallSteals,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGA,PenaltyCorner3FGA,BadPassSteals,PenaltyTurnovers,Corner3Frequency,PenaltyCorner3Frequency,Corner3FGM,PenaltyCorner3FGM,FtPoints,PenaltyFG3M,PtsUnassisted3s,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,BlockedShortMidRange,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,PenaltyCorner3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyArc3FGM,PenaltyArc3Accuracy,HeaveAttempts,Corner3Assists,Loose Ball Fouls Drawn,Technical Free Throw Trips,Blocked3s,BlockedCorner3,Corner3PctAssisted,PtsPutbacks,Charge Fouls,OffLongMidRangeReboundPct,Offensive Fouls,2pt And 1 Free Throw Trips,OffShortMidRangeReboundPct,SecondChanceFtPoints,StepOutOfBoundsTurnovers,Travels,Charge Fouls Drawn,Offensive Fouls Drawn,Transition Take Fouls Drawn,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,LongMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,HeaveMakes,FTOffRebounds,OffFTReboundPct,BlockedArc3,Transition Take Fouls,BlockedLongMidRange,3pt And 1 Free Throw Trips,Corner3PctBlocked,3SecondViolations,team_id,year,season,team_vs
1627853-1628392-1629004-1629656-1630540,1610612752,"Ryan Arcidiacono, Isaiah Hartenstein, Svi Mykhailiuk, Quentin Grimes, Miles McBride","Arcidiacono, Hartenstein, Mykhailiuk, Grimes, McBride",1627853-1628392-1629004-1629656-1630540,NYK,13.0,1,1.0,1.0,1.0,1.0,1.0,110.76923076923076,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2023,2022-23,True
1627853-1628392-1629004-1630193-1630540,1610612752,"Ryan Arcidiacono, Isaiah Hartenstein, Svi Mykhailiuk, Immanuel Quickley, Miles McBride","Arcidiacono, Hartenstein, Mykhailiuk, Quickley, McBride",1627853-1628392-1629004-1630193-1630540,NYK,293.0,1,10.0,21.0,1.0,2.0,,103.20819112627986,17.0,15.4,5.0,11.0,11.0,2.0,1.0,5.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,9.0,1.0,2.0,11.0,11.0,3.0,6.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,9.0,1.0,2.0,2.0,3.0,1.0,6.0,3.0,9.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,11.0,0.75,0.75,1.0,0.5,0.5,0.4444444444444444,0.5,0.5,0.18181818181818182,0.5,0.1111111111111111,0.2,0.5,0.5,1.0,1.0,0.4,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,11.181818181818182,11.181818181818182,0.45454545454545453,0.2,0.25,1.0,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.5,0.09090909090909091,1.0,1.0,1.0,0.18181818181818182,0.5,1.0,1.0,1.0,0.6363636363636364,0.5,0.5158181818181818,0.6049666666666667,5.688888888888889,26.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2023,2022-23,True
1627853-1628392-1629004-1630540-1630579,1610612752,"Ryan Arcidiacono, Isaiah Hartenstein, Svi Mykhailiuk, Miles McBride, Jericho Sims","Arcidiacono, Hartenstein, Mykhailiuk, McBride, Sims",1627853-1628392-1629004-1630540-1630579,NYK,209.0,1,7.0,13.0,2.0,3.0,,89.56937799043062,14.714285714285714,14.714285714285714,3.0,6.0,1.0,,,,,,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,3.0,7.0,,,,3.0,1.0,1.0,,,,1.0,1.0,1.0,,,,3.0,,,2.0,,,2.0,,2.0,,1.0,,1.0,1.0,1.0,,,,,3.0,,,1.0,1.0,1.0,,0.5,0.5,0.3333333333333333,,,,,0.3333333333333333,,,,1.0,,1.0,,,,,,,1.0,1.0,,,17.666666666666668,17.666666666666668,,,,,0.3333333333333333,,,,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,1.0,,0.3333333333333333,1.0,0.4516,,14.4,25.1,-4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2023,2022-23,True
1627853-1628392-1629656-1630167-1630540,1610612752,"Ryan Arcidiacono, Isaiah Hartenstein, Quentin Grimes, Obi Toppin, Miles McBride","Arcidiacono, Hartenstein, Grimes, Toppin, McBride",1627853-1628392-1629656-1630167-1630540,NYK,50.0,1,1.0,3.0,1.0,1.0,,86.39999999999999,25.0,16.0,1.0,2.0,2.0,1.0,,1.0,1.0,,,,,,1.0,,1.0,,1.0,,3.0,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,0.5,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,12.5,12.5,0.5,,,,,,,,,,,,0.5,,,,1.0,1.0,,0.6183,,1.6,24.7,-3.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2023,2022-23,True
1627853-1628392-1629656-1630579-203095,1610612752,"Ryan Arcidiacono, Isaiah Hartenstein, Quentin Grimes, Jericho Sims, Evan Fournier","Arcidiacono, Hartenstein, Grimes, Sims, Fournier",1627853-1628392-1629656-1630579-203095,NYK,123.0,1,4.0,7.0,,,,81.95121951219512,16.5,13.5,2.0,3.0,3.0,1.0,2.0,3.0,1.0,,,,,,2.0,2.0,3.0,,2.0,4.0,4.0,1.0,4.0,,,2.0,,,,2.0,,2.0,,2.0,,,4.0,1.0,1.0,,,,,2.0,2.0,,,,,,,,,,,2.0,1.0,1.0,,,,0.6666666666666666,0.4,0.4,0.4,,,,,,,,1.0,,0.5,,0.6666666666666666,1.0,0.5,,,,,,,,19.0,18.666666666666668,0.6,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,0.4,,,,0.5,1.0,,0.5777,0.4767,2.066666666666667,26.8,,,,,,,4.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,0.6666666666666666,0.5,0.4,0.5,0.4,1.0,1.0,0.5,0.6,0.6666666666666666,0.4,0.5777,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2023,2022-23,True
1627853-1629004-1629656-1630167-1630540,1610612752,"Ryan Arcidiacono, Svi Mykhailiuk, Quentin Grimes, Obi Toppin, Miles McBride","Arcidiacono, Mykhailiuk, Grimes, Toppin, McBride",1627853-1629004-1629656-1630167-1630540,NYK,79.0,1,2.0,5.0,,,,91.13924050632912,16.5,16.5,1.0,3.0,3.0,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,,,2.0,3.0,1.0,1.0,,,,1.0,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,5.0,,,1.0,1.0,1.0,1.0,1.25,1.25,0.5,,,,,,,,,,,,,,,,,,,,,,15.333333333333334,15.333333333333334,,,,,0.5,1.0,1.0,,,,,,0.5,1.0,1.0,1.0,,0.5,1.0,0.438175,,6.2,24.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2023,2022-23,True
1627853-1629004-1629656-1630540-1630579,1610612752,"Ryan Arcidiacono, Svi Mykhailiuk, Quentin Grimes, Miles McBride, Jericho Sims","Arcidiacono, Mykhailiuk, Grimes, McBride, Sims",1627853-1629004-1629656-1630540-1630579,NYK,320.0,2,10.0,21.0,3.0,5.0,,94.5,18.8,18.8,5.0,11.0,4.0,,1.0,2.0,,1.0,2.0,,,,,2.0,4.0,,1.0,4.0,14.0,,2.0,2.0,,,,1.0,,1.0,,1.0,,1.0,,,2.0,,,3.0,1.0,1.0,5.0,,5.0,,2.0,1.0,,1.0,1.0,,,,,4.0,0.5,0.5,,,,0.5,0.4,0.4,0.2,,0.25,0.5,,0.4,1.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,12.0,12.0,0.4,0.5,1.0,1.0,0.4,0.5,0.5,,,,,,,,,,,0.6,,0.40804999999999997,,4.775,24.1,-10.0,1.0,1.0,,,,4.0,,,,,,,,,,,1.0,,1.0,,,4.0,,,,,,,,,,,,,0.57675,,,0.4,1.0,1.0,1.0,3.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2023,2022-23,True
1627853-1629004-1630167-1630540-1630579,1610612752,"Ryan Arcidiacono, Svi Mykhailiuk, Obi Toppin, Miles McBride, Jericho Sims","Arcidiacono, Mykhailiuk, Toppin, McBride, Sims",1627853-1629004-1630167-1630540-1630579,NYK,168.0,2,7.0,16.0,,,,137.14285714285714,9.0,9.0,3.0,9.0,1.0,,,,,1.0,2.0,1.0,1.0,,2.0,2.0,3.0,1.0,4.0,8.0,6.0,,2.0,2.0,,2.0,,,,1.0,,1.0,,,1.0,,2.0,,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,1.0,,8.0,0.5,0.5,,0.25,0.25,0.6666666666666666,0.5,0.5,0.5714285714285714,,,,,,,,,1.0,,0.3333333333333333,,,,,,,1.0,,,,11.666666666666666,11.555555555555555,,,,,0.2857142857142857,0.5,0.5,1.0,0.14285714285714285,1.0,1.0,,0.2857142857142857,,,,,0.5714285714285714,,0.4726142857142857,,12.933333333333332,24.75,2.0,,,,,,2.0,,,,,1.0,,,,,,2.0,3.0,2.0,1.0,3.0,2.0,,,,0.75,,0.75,,,,,,0.5,0.49515,,0.375,0.2857142857142857,2.0,1.0,1.0,,0.2857142857142857,0.5,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2023,2022-23,True
1627853-1629004-1630193-1630540-1630579,1610612752,"Ryan Arcidiacono, Svi Mykhailiuk, Immanuel Quickley, Miles McBride, Jericho Sims","Arcidiacono, Mykhailiuk, Quickley, McBride, Sims",1627853-1629004-1630193-1630540-1630579,NYK,52.0,1,1.0,3.0,,,,83.07692307692308,24.0,20.0,1.0,2.0,,1.0,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,3.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,0.16666666666666666,0.5,,,,,,,,,1.0,1.0,1.0,0.5,,1.0,,,,1.0,,,,14.0,14.0,,,,,0.5,,,,,,,,0.5,,,,,0.5,,0.437675,,4.2,25.9,-2.0,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,0.16666666666666666,,,,,,0.5,0.437675,,1.0,1.0,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2023,2022-23,True
1627853-1629004-1630193-1630579-201565,1610612752,"Ryan Arcidiacono, Svi Mykhailiuk, Immanuel Quickley, Jericho Sims, Derrick Rose","Arcidiacono, Mykhailiuk, Quickley, Sims, Rose",1627853-1629004-1630193-1630579-201565,NYK,149.0,1,7.0,14.0,,1.0,,135.3020134228188,9.571428571428571,9.571428571428571,2.0,7.0,7.0,,2.0,3.0,,,1.0,,,1.0,2.0,2.0,4.0,1.0,2.0,7.0,,,2.0,2.0,3.0,2.0,1.0,,,1.0,1.0,2.0,1.0,1.0,,,5.0,,,4.0,1.0,,5.0,,5.0,,1.0,,,,,,,,,7.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5833333333333334,0.5833333333333334,0.3333333333333333,,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,1.0,1.0,,,11.714285714285714,11.714285714285714,0.5,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,,,,,,,,0.3333333333333333,0.5,0.5,1.0,,0.8333333333333334,0.5,0.5419416666666667,,2.7,26.1,7.0,1.0,,,,,3.0,,,,,2.0,,,,,1.0,2.0,3.0,1.0,,3.0,3.0,,,,0.5,,0.5,,,,,,0.6666666666666666,0.44501666666666667,,0.42857142857142855,0.42857142857142855,,,1.0,,,,,,,1.0,,1.0,,,,0.5,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2023,2022-23,True
