EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Charge Fouls Drawn,FTA,ThreePtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,DefTwoPtRebounds,SecondChanceTurnovers,Offensive Fouls,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,DefTwoPtReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,TwoPtShootingFoulsDrawnPct,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyCorner3Frequency,PenaltyArc3Accuracy,ShortMidRangeFGM,SecondChanceFtPoints,HeaveAttempts,ShortMidRangeAssists,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LostBallTurnovers,Travels,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,Charge Fouls,FTOffRebounds,BlockedLongMidRange,OffFTReboundPct,SecondChanceArc3PctAssisted,Technical Free Throw Trips,Blocked3s,BlockedArc3,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,OffensiveGoaltends,BlockedCorner3,3SecondViolations,Arc3PctBlocked,DefensiveGoaltends,Transition Take Fouls Drawn,Transition Take Fouls,Defensive 3 Seconds Violations,Clear Path Fouls,HeaveMakes,team_id,year,season,team_vs
1627759-1627763-1628369-1628401-1628436,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Luke Kornet","Brown, Brogdon, Tatum, White, Kornet",1627759-1627763-1628369-1628401-1628436,BOS,606.0,3,10.0,-4.0,22.0,21.0,8.0,5.0,4.0,43.0,3.0,3.0,1.0,1.0,6.0,3.0,3.0,1.0,1.0,3.0,8.0,3.0,6.0,12.0,3.0,9.0,2.0,23.0,27.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,4.0,8.0,4.0,6.0,3.0,8.0,3.0,1.0,4.0,2.0,6.0,2.0,2.0,2.0,14.0,1.0,3.0,6.0,6.0,4.0,10.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,21.0,4.0,8.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.25,0.5,0.5,0.2,0.2,0.5227272727272727,0.2,0.3333333333333333,0.42857142857142855,0.08333333333333333,0.16666666666666666,0.6666666666666666,0.5,1.0,0.16666666666666666,0.75,0.3333333333333333,0.5,0.2,1.0,1.0,0.09090909090909091,102.17821782178218,14.5,13.666666666666666,12.863636363636363,13.619047619047619,0.14285714285714285,1.0,1.0,0.6666666666666666,0.2857142857142857,0.14285714285714285,1.0,1.0,0.6666666666666666,0.047619047619047616,0.38095238095238093,0.375,0.375,0.6666666666666666,0.2,0.2,1.0,0.6,0.5714285714285714,0.375,0.49648333333333333,0.4596125,0.52686,0.045454545454545456,0.1,0.08695652173913043,0.17391304347826086,8.450000000000001,25.466666666666665,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
1627759-1627763-1628369-1628401-1629057,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Robert Williams III","Brown, Brogdon, Tatum, White, Williams III",1627759-1627763-1628369-1628401-1629057,BOS,495.0,5,8.0,,14.0,14.0,,,3.0,28.0,1.0,2.0,,,3.0,3.0,4.0,,,1.0,4.0,,4.0,9.0,1.0,4.0,2.0,13.0,13.0,1.0,3.0,,2.0,,,,,,2.0,6.0,3.0,,4.0,1.0,,1.0,1.0,2.0,1.0,,1.0,5.0,2.0,2.0,3.0,6.0,4.0,10.0,2.0,1.0,1.0,1.0,,2.0,,3.0,5.0,3.0,,4.0,,11.0,,,0.25,0.3333333333333333,1.0,0.25,0.25,0.4444444444444444,0.3333333333333333,,0.4230769230769231,0.3333333333333333,,0.43333333333333335,0.3333333333333333,,0.3076923076923077,,,0.5,0.4,0.42857142857142855,0.6666666666666666,0.5,0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.25,81.45454545454545,16.0,19.357142857142858,14.857142857142858,17.142857142857142,0.15384615384615385,0.5,0.5,,0.23076923076923078,0.3076923076923077,0.75,0.75,0.3333333333333333,,0.3076923076923077,0.25,0.25,1.0,,,,,0.46153846153846156,0.25,0.47413461538461543,0.3888,,0.13333333333333333,,0.15384615384615385,,10.955555555555556,26.7,,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.6,1.0,0.5,0.5,1.0,0.5,0.6666666666666666,0.5,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
1627759-1627763-1628369-1628401-1629684,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Grant Williams","Brown, Brogdon, Tatum, White, Williams",1627759-1627763-1628369-1628401-1629684,BOS,256.0,1,4.0,-2.0,7.0,8.0,7.0,,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,4.0,4.0,2.0,3.0,1.0,5.0,,7.0,9.0,,,1.0,3.0,2.0,3.0,5.0,,7.0,2.0,2.0,,3.0,4.0,1.0,,1.0,,1.0,,,1.0,2.0,1.0,,2.0,4.0,1.0,5.0,,,,,,,,2.0,3.0,,,,,4.0,7.0,7.0,0.5,0.5,,0.2,0.2,0.6666666666666666,,0.6666666666666666,0.4375,1.5,0.4375,0.4375,1.5,0.4375,0.625,,,,,1.0,0.25,1.0,0.2,,0.3333333333333333,1.0,,,84.375,21.0,13.625,20.571428571428573,13.625,0.125,1.0,1.0,,0.125,0.125,1.0,1.0,1.0,0.125,0.5,0.25,0.25,,,0.125,1.0,0.5,0.75,0.25,0.49171875,,0.49171875,,,0.42857142857142855,1.0,11.033333333333333,25.1,1.0,,,,2.0,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
1627759-1627763-1628369-1628401-1630573,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Sam Hauser","Brown, Brogdon, Tatum, White, Hauser",1627759-1627763-1628369-1628401-1630573,BOS,9.0,1,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,,9.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
1627759-1627763-1628369-1628401-201143,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Al Horford","Brown, Brogdon, Tatum, White, Horford",1627759-1627763-1628369-1628401-201143,BOS,2858.0,16,48.0,,98.0,104.0,18.0,12.0,9.0,202.0,18.0,27.0,3.0,5.0,29.0,2.0,7.0,1.0,1.0,10.0,25.0,6.0,35.0,63.0,10.0,26.0,19.0,119.0,119.0,4.0,7.0,2.0,10.0,7.0,10.0,6.0,7.0,24.0,32.0,38.0,21.0,9.0,24.0,10.0,8.0,16.0,7.0,23.0,7.0,11.0,,53.0,3.0,7.0,19.0,40.0,10.0,50.0,1.0,7.0,4.0,5.0,,12.0,,11.0,19.0,24.0,,23.0,,109.0,23.0,17.0,0.45714285714285713,0.47058823529411764,0.7,0.38461538461538464,0.4,0.5555555555555556,0.5714285714285714,0.7,0.5617977528089888,0.4444444444444444,0.53125,0.6134020618556701,0.5555555555555556,0.6,0.29213483146067415,0.12698412698412698,0.13793103448275862,0.5833333333333334,0.25,0.95,0.2,0.9069767441860465,0.23255813953488372,0.21428571428571427,0.21428571428571427,0.9444444444444444,1.0,0.02857142857142857,101.77746675997201,13.63265306122449,14.634615384615385,13.122448979591837,14.451923076923077,0.30337078651685395,0.6666666666666666,0.72,0.6111111111111112,0.3258426966292135,0.07865168539325842,0.2857142857142857,0.4,,0.011235955056179775,0.2808988764044944,0.4,0.4,0.7,0.1111111111111111,0.3125,0.6,0.375,0.5955056179775281,0.4166666666666667,0.5262193181818181,0.5101749999999999,0.496225,0.11578947368421053,,0.08403361344537816,0.20168067226890757,6.43968253968254,27.20384615384615,0.1836734693877551,3.0,5.0,2.0,20.0,1.0,2.0,11.0,2.0,1.0,2.0,,0.8695652173913043,0.2,0.8181818181818182,0.8333333333333334,1.0,,0.5555555555555556,0.6,0.15942028985507245,,,1.0,1.0,,1.0,,0.16666666666666666,0.1111111111111111,,,0.16666666666666666,15.0,2.0,1.0,5.0,1.0,6.0,3.0,3.0,3.0,2.0,1.0,3.0,5.0,2.0,1.0,2.0,1.0,0.07407407407407407,0.2857142857142857,0.5,0.3333333333333333,0.5172413793103449,0.6,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
1627759-1627763-1628369-1628401-201933,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Blake Griffin","Brown, Brogdon, Tatum, White, Griffin",1627759-1627763-1628369-1628401-201933,BOS,84.0,2,1.0,4.0,4.0,3.0,,,,7.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,4.0,6.0,2.0,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,1.0,,2.0,,,1.0,2.0,,2.0,,1.0,1.0,,,1.0,,1.0,1.0,2.0,,4.0,,6.0,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,1.0,,0.5,,,,1.0,,,120.00000000000001,13.25,10.333333333333334,13.25,9.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,0.4546,,,0.6666666666666666,,,,2.9,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
1627759-1627763-1628369-1628401-203935,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Marcus Smart","Brown, Brogdon, Tatum, White, Smart",1627759-1627763-1628369-1628401-203935,BOS,166.0,2,3.0,-1.0,7.0,7.0,1.0,,,14.0,,,,,2.0,,,1.0,,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,6.0,7.0,,,,,,,1.0,,,,2.0,3.0,,2.0,1.0,1.0,,1.0,1.0,1.0,,,3.0,,,1.0,2.0,,2.0,,1.0,1.0,,,1.0,,,,1.0,,2.0,,6.0,,1.0,,,1.0,0.3333333333333333,0.3333333333333333,0.5,,,0.5,,,0.5,,,0.6,0.5,0.5,1.0,,1.0,,1.0,,,,1.0,,,121.44578313253012,13.142857142857142,10.571428571428571,13.142857142857142,10.571428571428571,,,,,0.4,,,,,0.2,0.4,0.5,0.5,1.0,,,,1.0,0.6,0.5,0.46081000000000005,,0.28185,0.16666666666666666,,,,4.95,26.099999999999998,0.14285714285714285,,,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,0.3333333333333333,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
1627759-1627763-1628369-1628401-203943,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Noah Vonleh","Brown, Brogdon, Tatum, White, Vonleh",1627759-1627763-1628369-1628401-203943,BOS,74.0,1,1.0,-4.0,2.0,3.0,,,,5.0,,1.0,,,,,,,,,1.0,,,1.0,,1.0,,,4.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,0.5,,0.25,,,,1.0,,,97.29729729729729,14.5,15.0,14.5,14.0,0.5,,,,,,,,,,0.5,,,,,,,,1.0,,0.560275,,,,,,,2.4,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
1627759-1627763-1628369-1628436-1629684,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Luke Kornet, Grant Williams","Brown, Brogdon, Tatum, Kornet, Williams",1627759-1627763-1628369-1628436-1629684,BOS,519.0,4,9.0,7.0,17.0,17.0,5.0,8.0,2.0,34.0,4.0,5.0,1.0,1.0,4.0,1.0,2.0,,,2.0,4.0,2.0,7.0,11.0,2.0,4.0,3.0,23.0,16.0,1.0,2.0,,2.0,2.0,2.0,2.0,1.0,11.0,2.0,12.0,6.0,,4.0,2.0,,1.0,2.0,3.0,2.0,1.0,,8.0,1.0,1.0,3.0,8.0,2.0,10.0,,,,3.0,2.0,3.0,1.0,2.0,4.0,4.0,,5.0,,21.0,11.0,5.0,0.14285714285714285,0.14285714285714285,1.0,0.5,0.5,0.6363636363636364,0.5,1.0,0.6666666666666666,0.5,1.25,0.71875,0.5,1.375,0.26666666666666666,,,,0.25,0.6,0.5,0.7777777777777778,0.3333333333333333,0.5,0.5,0.5,1.0,,94.33526011560693,12.882352941176471,17.647058823529413,12.117647058823529,17.176470588235293,0.3333333333333333,0.8,0.8,0.25,0.26666666666666666,0.13333333333333333,0.5,0.5,,,0.26666666666666666,0.5,0.5,1.0,,0.25,1.0,0.5,0.6,0.5,0.49900666666666665,0.6158,0.4887875,0.125,,0.08695652173913043,0.4782608695652174,7.081818181818182,25.575,0.29411764705882354,1.0,2.0,,4.0,,,2.0,,,,,1.0,,,1.0,1.0,,1.0,0.5,0.16666666666666666,,,,2.0,,2.0,,1.0,,,,1.0,2.0,,,,1.0,,,,,,1.0,,1.0,,,1.0,,,,1.0,,0.5,0.5,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
1627759-1627763-1628369-1628436-1630573,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Luke Kornet, Sam Hauser","Brown, Brogdon, Tatum, Kornet, Hauser",1627759-1627763-1628369-1628436-1630573,BOS,176.0,2,3.0,-3.0,6.0,5.0,6.0,2.0,4.0,11.0,2.0,8.0,2.0,8.0,1.0,,,,,,3.0,3.0,2.0,9.0,,3.0,2.0,6.0,9.0,2.0,5.0,1.0,6.0,2.0,9.0,3.0,2.0,6.0,,4.0,,,3.0,,,,,,,,,,2.0,5.0,2.0,2.0,7.0,9.0,2.0,,,,,,,1.0,2.0,2.0,,3.0,,,6.0,6.0,,,,,,0.2222222222222222,0.4,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.23076923076923078,0.42857142857142855,0.23076923076923078,0.25,,,,0.7142857142857143,1.0,0.6666666666666666,1.0,0.7,1.0,0.6666666666666666,1.0,,0.2,90.0,17.166666666666668,14.6,13.166666666666666,14.6,0.6666666666666666,0.25,0.25,,0.08333333333333333,,,,,,0.25,,,,,0.6666666666666666,0.25,0.25,0.9166666666666666,,0.49622083333333333,0.58118,0.49622083333333333,0.08333333333333333,,1.0,1.0,2.966666666666667,26.333333333333332,1.0,2.0,5.0,2.0,,,,1.0,,,,,,,,,,,0.8333333333333334,0.4,0.1111111111111111,,,1.0,,,,,,0.16666666666666666,,,,,2.0,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
