EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Charge Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Fg2aBlocked,Corner3Assists,OffThreePtRebounds,FTDefRebounds,Offensive Fouls Drawn,SecondChanceFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceFtPoints,PenaltyFtPoints,FTOffRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedAtRim,BlockedLongMidRange,RecoveredBlocks,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctBlocked,LiveBallTurnoverPct,OffFTReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceTurnovers,OffCorner3ReboundPct,PenaltyCorner3FGM,HeaveAttempts,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,PenaltyCorner3Accuracy,Blocked3s,BlockedCorner3,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,Charge Fouls Drawn,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,StepOutOfBoundsTurnovers,OffensiveGoaltends,Corner3PctBlocked,BlockedArc3,Transition Take Fouls,Transition Take Fouls Drawn,Defensive 3 Seconds Violations,3SecondViolations,Clear Path Fouls,team_id,year,season,team_vs
1627759-1627763-1628369-1628401-1628436,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Luke Kornet","Brown, Brogdon, Tatum, White, Kornet",1627759-1627763-1628369-1628401-1628436,BOS,606.0,3,10.0,4.0,21.0,22.0,5.0,8.0,2.0,43.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,1.0,3.0,7.0,1.0,2.0,8.0,10.0,3.0,9.0,2.0,27.0,23.0,2.0,2.0,4.0,2.0,3.0,1.0,3.0,7.0,6.0,10.0,6.0,3.0,4.0,7.0,3.0,3.0,2.0,5.0,2.0,1.0,1.0,1.0,12.0,2.0,5.0,3.0,8.0,2.0,10.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,23.0,7.0,5.0,0.375,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8,1.0,0.6666666666666666,0.6578947368421053,1.0,0.5833333333333334,0.675,1.0,0.5833333333333334,0.47368421052631576,0.5,1.0,0.8333333333333334,0.6666666666666666,0.25,1.0,0.5,0.8,1.0,0.125,102.17821782178218,13.666666666666666,14.5,13.619047619047619,12.863636363636363,0.15789473684210525,1.0,1.0,0.3333333333333333,0.2631578947368421,0.6,0.6,0.3333333333333333,0.10526315789473684,1.0,1.0,0.5,0.10526315789473684,0.3684210526315789,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,0.16666666666666666,0.3333333333333333,0.5,0.631578947368421,0.42857142857142855,0.48314736842105266,0.5022,0.49781666666666663,0.05,0.09090909090909091,0.14814814814814814,0.25925925925925924,6.62,25.822222222222223,0.23809523809523808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,False
1627759-1627763-1628369-1628401-1629057,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Robert Williams III","Brown, Brogdon, Tatum, White, Williams III",1627759-1627763-1628369-1628401-1629057,BOS,495.0,5,8.0,,14.0,14.0,,,3.0,28.0,1.0,3.0,,1.0,,,1.0,3.0,,1.0,2.0,,1.0,7.0,,,2.0,7.0,2.0,9.0,3.0,13.0,13.0,,2.0,6.0,,,,,,,4.0,6.0,,,7.0,1.0,,2.0,2.0,1.0,,,,6.0,2.0,1.0,3.0,6.0,6.0,12.0,,1.0,1.0,2.0,2.0,2.0,2.0,3.0,,5.0,6.0,3.0,,,,7.0,,,,,1.0,0.2222222222222222,,0.2222222222222222,0.2857142857142857,,,0.3125,0.5,,0.34210526315789475,0.5,,0.5625,0.6,0.4,0.3333333333333333,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,,,81.45454545454545,19.357142857142858,16.0,17.142857142857142,14.857142857142858,0.1875,0.3333333333333333,0.3333333333333333,,0.1875,0.3333333333333333,1.0,,0.0625,,,,0.125,0.4375,0.14285714285714285,0.14285714285714285,1.0,0.16666666666666666,,,,,,,0.75,0.14285714285714285,0.5187125,0.4917,,0.15789473684210525,0.3,0.46153846153846156,,6.685714285714285,25.655555555555555,,1.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,4.0,2.0,1.0,0.5,0.2857142857142857,0.6666666666666666,1.0,0.5714285714285714,0.5,0.6666666666666666,1.0,0.5,0.5,1.0,0.16666666666666666,1.0,1.0,0.5,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,False
1627759-1627763-1628369-1628401-1629684,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Grant Williams","Brown, Brogdon, Tatum, White, Williams",1627759-1627763-1628369-1628401-1629684,BOS,256.0,1,4.0,2.0,8.0,7.0,,7.0,,15.0,1.0,2.0,,,,,1.0,1.0,,1.0,,,,2.0,,,2.0,4.0,,2.0,5.0,9.0,7.0,,,,,,,,,2.0,2.0,,,,2.0,,1.0,,1.0,,1.0,,,2.0,,3.0,1.0,4.0,,4.0,,,,,,,,,,3.0,5.0,1.0,,,,9.0,,,0.5,0.5,,,,,0.5,,,0.3333333333333333,,,0.5625,,,0.3333333333333333,1.0,,0.75,0.8,,,1.0,0.6666666666666666,1.0,,84.375,13.625,21.0,13.625,20.571428571428573,0.3333333333333333,0.5,0.5,1.0,0.16666666666666666,1.0,1.0,,0.16666666666666666,,,,,0.3333333333333333,,,,,,,,,,,0.6666666666666666,,0.49505,,,0.25,0.2,,,8.95,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,False
1627759-1627763-1628369-1628401-1630573,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Sam Hauser","Brown, Brogdon, Tatum, White, Hauser",1627759-1627763-1628369-1628401-1630573,BOS,9.0,1,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,0.5,,,,,1.0,,,,,,160.0,9.0,,8.0,,0.5,,,,,,,,,,,,,0.5,,,,1.0,,0.5,,,0.5,,1.0,,0.5735,,0.5735,,,,,,26.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,False
1627759-1627763-1628369-1628401-201143,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Al Horford","Brown, Brogdon, Tatum, White, Horford",1627759-1627763-1628369-1628401-201143,BOS,2858.0,16,48.0,,104.0,98.0,12.0,18.0,5.0,202.0,16.0,27.0,,,2.0,3.0,10.0,16.0,4.0,10.0,5.0,,10.0,28.0,1.0,3.0,30.0,53.0,13.0,33.0,20.0,119.0,119.0,1.0,2.0,10.0,3.0,5.0,1.0,3.0,13.0,26.0,34.0,27.0,12.0,2.0,28.0,10.0,13.0,9.0,22.0,6.0,11.0,1.0,1.0,53.0,3.0,12.0,21.0,35.0,5.0,40.0,,7.0,4.0,1.0,6.0,12.0,11.0,24.0,,19.0,25.0,11.0,8.0,4.0,8.0,109.0,12.0,11.0,0.43333333333333335,0.4482758620689655,0.6923076923076923,0.3939393939393939,0.3333333333333333,0.3939393939393939,0.5660377358490566,0.5,0.6,0.5755813953488372,1.0,0.5625,0.6145833333333334,1.0,0.5909090909090909,0.38372093023255816,0.75,0.13043478260869565,0.8,0.7674418604651163,0.09302325581395349,0.16666666666666666,0.7857142857142857,0.7857142857142857,1.0,,101.77746675997201,14.634615384615385,13.63265306122449,14.451923076923077,13.122448979591837,0.313953488372093,0.5925925925925926,0.6153846153846154,0.6875,0.18604651162790697,0.625,0.6666666666666666,0.1,0.11627906976744186,0.4,0.4,0.25,0.05813953488372093,0.32558139534883723,0.35714285714285715,0.35714285714285715,0.6,,,0.375,0.6666666666666666,,0.375,0.3333333333333333,0.6976744186046512,0.35714285714285715,0.5238662790697675,0.5045499999999999,0.47615,0.11827956989247312,0.18333333333333332,0.08403361344537816,0.1092436974789916,6.413207547169811,25.612121212121213,0.11538461538461539,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,0.03773584905660377,0.0625,1.0,0.05,0.18181818181818182,0.05555555555555555,0.6666666666666666,0.6,0.6,1.0,0.25,1.0,1.0,0.25,1.0,1.0,,,2.0,4.0,1.0,3.0,6.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,2.0,2.0,5.0,1.0,1.0,2.0,0.037037037037037035,0.5,0.5,0.8,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,False
1627759-1627763-1628369-1628401-201933,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Blake Griffin","Brown, Brogdon, Tatum, White, Griffin",1627759-1627763-1628369-1628401-201933,BOS,84.0,2,1.0,-4.0,3.0,4.0,,,2.0,7.0,,,,,,,,1.0,,,,,,1.0,,,,1.0,,1.0,2.0,2.0,6.0,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,2.0,2.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,,0.5,,1.0,,,0.5,1.0,,,,,120.00000000000001,10.333333333333334,13.25,9.0,13.25,,,,,0.5,,,,,,,,,0.5,,,,,,,,,,,0.5,,0.49935,,,0.3333333333333333,,1.0,,5.0,24.3,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,False
1627759-1627763-1628369-1628401-203935,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Marcus Smart","Brown, Brogdon, Tatum, White, Smart",1627759-1627763-1628369-1628401-203935,BOS,166.0,2,3.0,1.0,7.0,7.0,,1.0,,14.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,1.0,,,2.0,3.0,1.0,2.0,,7.0,6.0,,,,,,,,,,4.0,3.0,,,1.0,,,1.0,1.0,,,,,3.0,,1.0,1.0,2.0,,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,7.0,,,,,1.0,0.5,,0.5,0.6666666666666666,,,0.7,,,0.7,,,0.4,1.0,,1.0,1.0,,,1.0,,1.0,,121.44578313253012,10.571428571428571,13.142857142857142,10.571428571428571,13.142857142857142,,,,,0.4,0.5,0.5,,0.2,1.0,1.0,,0.2,0.2,,,,,,,,,,,0.4,,0.48947,,,,,,,9.433333333333334,26.05,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,False
1627759-1627763-1628369-1628401-203943,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Noah Vonleh","Brown, Brogdon, Tatum, White, Vonleh",1627759-1627763-1628369-1628401-203943,BOS,74.0,1,1.0,4.0,3.0,2.0,,,2.0,5.0,1.0,2.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,2.0,4.0,,2.0,,4.0,,2.0,3.0,4.0,,,,,,,4.0,,,2.0,1.0,,,,,,,,,,2.0,1.0,1.0,2.0,3.0,5.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,0.5,0.6666666666666666,,0.3333333333333333,0.6666666666666666,,0.3333333333333333,0.6666666666666666,,0.3333333333333333,1.0,1.0,1.0,1.0,0.75,1.0,,1.0,,0.25,97.29729729729729,15.0,14.5,14.0,14.5,0.3333333333333333,0.5,0.5,,0.16666666666666666,,,,0.16666666666666666,1.0,1.0,,0.16666666666666666,0.16666666666666666,,,,0.6666666666666666,0.5,,,,,,0.6666666666666666,,0.5580999999999999,0.54065,,,,1.0,,6.475,24.05,,,,,,,,,,,1.0,,,,,,,0.5,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,False
1627759-1627763-1628369-1628436-1629684,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Luke Kornet, Grant Williams","Brown, Brogdon, Tatum, Kornet, Williams",1627759-1627763-1628369-1628436-1629684,BOS,519.0,4,9.0,-7.0,17.0,17.0,8.0,5.0,2.0,34.0,1.0,1.0,,,,,,3.0,,1.0,3.0,2.0,1.0,6.0,,3.0,1.0,5.0,3.0,9.0,5.0,16.0,23.0,,,2.0,,2.0,1.0,5.0,5.0,2.0,,6.0,3.0,,5.0,1.0,1.0,2.0,3.0,,1.0,,,8.0,,1.0,3.0,4.0,2.0,6.0,,,,,2.0,2.0,2.0,4.0,,4.0,6.0,2.0,,,,14.0,5.0,8.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.2,0.375,0.2,,,0.39285714285714285,,0.21428571428571427,0.47058823529411764,1.0,0.3125,0.6428571428571429,0.75,,0.5,0.6666666666666666,0.2222222222222222,,0.5,0.5,,,94.33526011560693,17.647058823529413,12.882352941176471,17.176470588235293,12.117647058823529,0.07142857142857142,1.0,1.0,1.0,0.21428571428571427,,,,0.07142857142857142,,,,0.21428571428571427,0.42857142857142855,0.16666666666666666,0.16666666666666666,,,,,,0.2857142857142857,0.42857142857142855,,0.7142857142857143,0.2,0.45325769230769236,,0.45032500000000003,0.125,0.2857142857142857,0.125,0.3125,9.76,28.022222222222222,0.47058823529411764,2.0,,,,,,,,2.0,2.0,,,,,,,0.4,,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,2.0,2.0,,,,,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,False
1627759-1627763-1628369-1628436-1630573,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Luke Kornet, Sam Hauser","Brown, Brogdon, Tatum, Kornet, Hauser",1627759-1627763-1628369-1628436-1630573,BOS,176.0,2,3.0,3.0,5.0,6.0,2.0,6.0,,11.0,,,,,,,,,,,,,2.0,4.0,1.0,1.0,,,2.0,4.0,3.0,9.0,6.0,,,,,,1.0,1.0,6.0,,,,6.0,,4.0,2.0,,,,,,,,,,1.0,2.0,4.0,,4.0,,,,,,,1.0,2.0,,2.0,3.0,,,,,9.0,6.0,2.0,,,,0.5,1.0,0.5,,,,0.75,,1.5,0.9,,1.5,1.0,0.2857142857142857,,0.3333333333333333,0.3,,,,0.3333333333333333,,,90.0,14.6,17.166666666666668,14.6,13.166666666666666,,,,,,,,,,,,,,1.0,0.5,0.5,,,,,,,1.0,1.0,1.0,0.5,0.5014875,,0.3846,0.2,,,0.6666666666666666,,25.55,0.4,,,,,,,,,,,1.0,,,,,1.0,,,,0.3333333333333333,,,,,,,,,,1.0,0.2,,3.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,False
