EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PlusMinus,PenaltyDefPoss,Arc3FGA,FG3A,NonHeaveArc3FGA,FG3APct,Arc3Frequency,Avg3ptShotDistance,Fouls,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,AtRimAssists,DefTwoPtRebounds,ShootingFouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,LongMidRangeFGA,Arc3FGM,FG3M,PtsUnassisted3s,NonHeaveArc3FGM,FTDefRebounds,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Charge Fouls,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,DefFTReboundPct,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,Corner3FGM,Corner3FGA,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Corner3Assists,Assisted3sPct,FG2APctBlocked,ShortMidRangePctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceOffPoss,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,OffThreePtRebounds,OffRebounds,StepOutOfBoundsTurnovers,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,FtPoints,SecondChanceFtPoints,PenaltyFG3M,PenaltyFtPoints,PtsPutbacks,Arc3Assists,OffTwoPtRebounds,BadPassTurnovers,PenaltyTurnovers,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SelfOReb,Travels,SecondChanceTurnovers,Loose Ball Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,SecondChanceFg3Pct,SelfORebPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceAtRimPctAssisted,OffCorner3ReboundPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Fg3aBlocked,LostBallOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3FGM,Technical Free Throw Trips,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangeAssists,ThreePtShootingFoulsDrawn,LongMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,Loose Ball Fouls Drawn,DefensiveGoaltends,OffLongMidRangeReboundPct,BlockedLongMidRange,Transition Take Fouls Drawn,HeaveAttempts,Transition Take Fouls,team_id,year,season,team_vs
1626149-1627777-1629001-1629667-1630178,1610612755,"Montrezl Harrell, Georges Niang, De'Anthony Melton, Jalen McDaniels, Tyrese Maxey","Harrell, Niang, Melton, McDaniels, Maxey",1626149-1627777-1629001-1629667-1630178,PHI,284.0,1,5.0,9.0,9.0,18.0,1.0,1.0,4.0,6.0,5.0,7.0,10.0,10.0,4.0,6.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,10.0,0.4,0.4,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,1.0,91.26760563380282,17.333333333333332,14.222222222222221,17.333333333333332,14.222222222222221,0.14285714285714285,1.0,1.0,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.5,0.14285714285714285,0.4592,8.885714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
1626149-1627788-1627863-1629003-1630531,1610612755,"Montrezl Harrell, Furkan Korkmaz, Danuel House Jr., Shake Milton, Jaden Springer","Harrell, Korkmaz, House Jr., Milton, Springer",1626149-1627788-1627863-1629003-1630531,PHI,125.0,1,2.0,4.0,4.0,8.0,,1.0,1.0,1.0,1.0,2.0,2.0,5.0,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,2.0,,,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,,92.16,16.75,14.5,16.75,14.0,0.3333333333333333,,,0.3333333333333333,1.0,1.0,,0.6666666666666666,0.38808333333333334,5.05,-3.0,4.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
1626149-1629001-1630178-201935-202699,1610612755,"Montrezl Harrell, De'Anthony Melton, Tyrese Maxey, James Harden, Tobias Harris","Harrell, Melton, Maxey, Harden, Harris",1626149-1629001-1630178-201935-202699,PHI,8.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
1627777-1627863-1629001-1630178-203954,1610612755,"Georges Niang, Danuel House Jr., De'Anthony Melton, Tyrese Maxey, Joel Embiid","Niang, House Jr., Melton, Maxey, Embiid",1627777-1627863-1629001-1630178-203954,PHI,126.0,1,2.0,5.0,5.0,10.0,1.0,1.0,2.0,2.0,3.0,3.0,6.0,6.0,4.0,2.0,2.0,2.0,1.0,4.0,,2.0,2.0,1.0,1.0,,,,6.0,0.6666666666666666,0.6666666666666666,1.0,0.6,0.6,,1.0,,,114.28571428571428,10.2,15.0,10.2,15.0,0.2,1.0,1.0,0.4,1.0,1.0,0.5,0.6,0.48529,5.033333333333333,,4.0,2.0,2.0,2.0,0.4,0.4,28.45,2.0,5.0,1.0,1.0,2.0,3.0,3.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,0.6,0.6,1.0,1.0,1.0,1.0,0.2,1.0,0.4,0.48529,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
1627777-1627863-1629001-1630194-201935,1610612755,"Georges Niang, Danuel House Jr., De'Anthony Melton, Paul Reed, James Harden","Niang, House Jr., Melton, Reed, Harden",1627777-1627863-1629001-1630194-201935,PHI,503.0,2,8.0,15.0,16.0,31.0,3.0,3.0,3.0,4.0,6.0,8.0,15.0,24.0,6.0,6.0,3.0,3.0,,6.0,,4.0,4.0,1.0,,,1.0,2.0,15.0,0.5,0.5,0.75,0.5769230769230769,0.5769230769230769,,0.6,,,88.74751491053678,17.266666666666666,15.25,17.266666666666666,15.125,0.23076923076923078,1.0,1.0,0.3076923076923077,0.75,0.75,,0.6153846153846154,0.48015,7.0,-9.0,,5.0,5.0,5.0,0.38461538461538464,0.38461538461538464,26.439999999999998,7.0,,,,,,,,,3.0,3.0,5.0,1.0,1.0,1.0,1.0,,,,,,0.6,0.75,1.0,1.0,,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.5,1.0,0.07692307692307693,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
1627777-1627863-1629001-1630194-202699,1610612755,"Georges Niang, Danuel House Jr., De'Anthony Melton, Paul Reed, Tobias Harris","Niang, House Jr., Melton, Reed, Harris",1627777-1627863-1629001-1630194-202699,PHI,4.0,1,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,,4.0,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
1627777-1629001-1629667-1630178-1630194,1610612755,"Georges Niang, De'Anthony Melton, Jalen McDaniels, Tyrese Maxey, Paul Reed","Niang, Melton, McDaniels, Maxey, Reed",1627777-1629001-1629667-1630178-1630194,PHI,148.0,1,2.0,5.0,5.0,10.0,,,,1.0,,2.0,3.0,8.0,,,,1.0,,3.0,1.0,1.0,1.0,,,1.0,1.0,1.0,3.0,,,,0.375,0.375,0.5,0.5,1.0,,97.29729729729729,16.8,12.8,16.8,12.8,,,,0.25,,,,0.5,0.453025,14.0,-5.0,2.0,1.0,2.0,1.0,0.5,0.25,24.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,0.5,0.5,,,0.25,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,1.0,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
1627777-1629001-1629667-1630178-200782,1610612755,"Georges Niang, De'Anthony Melton, Jalen McDaniels, Tyrese Maxey, P.J. Tucker","Niang, Melton, McDaniels, Maxey, Tucker",1627777-1629001-1629667-1630178-200782,PHI,105.0,1,2.0,4.0,4.0,8.0,,1.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,,1.0,1.0,1.0,2.0,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,0.5,0.25,0.25,,,,,109.71428571428571,18.25,8.0,15.75,8.0,0.25,,,0.25,1.0,1.0,1.0,0.75,0.4681625,7.6,-4.0,2.0,2.0,2.0,2.0,0.5,0.5,25.85,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,0.4371,,0.25,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,0.5,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
1627777-1629001-1629667-1630178-203954,1610612755,"Georges Niang, De'Anthony Melton, Jalen McDaniels, Tyrese Maxey, Joel Embiid","Niang, Melton, McDaniels, Maxey, Embiid",1627777-1629001-1629667-1630178-203954,PHI,962.0,4,16.0,27.0,28.0,55.0,4.0,7.0,1.0,2.0,6.0,10.0,38.0,26.0,6.0,6.0,3.0,8.0,1.0,21.0,5.0,14.0,17.0,3.0,2.0,1.0,2.0,4.0,33.0,0.5,0.6,0.6,0.675,0.7307692307692307,1.0,0.875,1.0,1.0,82.32848232848232,15.925925925925926,19.0,15.37037037037037,18.607142857142858,0.35,0.5714285714285714,0.5714285714285714,0.1,0.5,1.0,1.0,0.85,0.593325,4.970000000000001,12.0,7.0,5.0,10.0,5.0,0.5,0.25,24.86,6.0,16.0,2.0,4.0,2.0,4.0,7.0,4.0,23.0,2.0,9.0,1.0,3.0,2.0,3.0,2.0,23.0,16.0,0.5714285714285714,0.6363636363636364,0.71875,0.8181818181818182,0.8333333333333334,0.6666666666666666,0.5,0.36363636363636365,0.5,0.18181818181818182,0.5759772727272727,0.6052631578947368,0.5925925925925926,1.0,4.0,5.0,,4.0,,1.0,2.0,1.0,,0.5,0.5,0.5,,0.05,0.8,0.8,0.8,1.0,5.0,15.0,1.0,5.0,1.0,1.0,0.1,0.5,0.25,0.2,0.2,1.0,3.0,1.0,2.0,5.0,1.0,3.0,,0.5,0.5,0.625,,0.2,0.3333333333333333,1.0,0.13157894736842105,1.0,1.0,1.0,1.0,2.0,1.0,11.0,3.0,2.0,9.0,2.0,4.0,2.0,1.0,3.0,1.0,6.0,12.0,5.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,1.0,0.18181818181818182,0.5,0.5,0.49785,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
1627777-1629001-1629667-1630194-1630531,1610612755,"Georges Niang, De'Anthony Melton, Jalen McDaniels, Paul Reed, Jaden Springer","Niang, Melton, McDaniels, Reed, Springer",1627777-1629001-1629667-1630194-1630531,PHI,86.0,1,1.0,2.0,3.0,5.0,,,,,,,3.0,,,,,1.0,,3.0,3.0,3.0,3.0,,,,,1.0,3.0,,,,1.5,1.5,1.0,1.0,1.0,,83.72093023255813,22.5,13.666666666666666,22.5,13.666666666666666,,,,,,,,1.0,0.54465,,3.0,,,1.0,,1.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,1.0,1.0,3.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,False
