EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG3M,FG3A,FtPoints,OpponentPoints,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,Steals,LostBallSteals,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,Avg3ptShotDistance,PenaltyDefPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsPutbacks,TwoPtAssists,AtRimAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,LongMidRangeFGA,DeadBallTurnovers,Offensive Fouls,Charge Fouls Drawn,BlockedShortMidRange,LongMidRangeFrequency,Fg2aBlocked,BadPassSteals,LostBallTurnovers,BlockedLongMidRange,FG2APctBlocked,AtRimPctBlocked,OffShortMidRangeReboundPct,DefArc3ReboundPct,LongMidRangeFGM,PtsUnassisted3s,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFGM,PenaltyArc3FGA,PenaltyFG3A,OffThreePtRebounds,Loose Ball Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyAtRimAccuracy,PenaltyArc3Frequency,ThreePtShootingFoulsDrawnPct,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,PenaltyFtPoints,ShortMidRangeAssists,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,ShortMidRangePctAssisted,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,3SecondViolations,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,SecondChanceArc3FGM,SecondChanceFG3M,Charge Fouls,Loose Ball Fouls,Blocked3s,BlockedArc3,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceAtRimPctAssisted,Corner3FGM,HeaveAttempts,Corner3Assists,LongMidRangeAssists,Offensive Fouls Drawn,Technical Free Throw Trips,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,LongMidRangePctBlocked,Travels,BadPassOutOfBoundsTurnovers,Transition Take Fouls,BlockedCorner3,team_id,year,season,team_vs
1626157-1627752-1629162-1630162-203937,1610612750,"Karl-Anthony Towns, Taurean Prince, Jordan McLaughlin, Anthony Edwards, Kyle Anderson","Towns, Prince, McLaughlin, Edwards, Anderson",1626157-1627752-1629162-1630162-203937,MIN,103.0,1,2.0,4.0,3.0,3.0,3.0,6.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,83.88349514563107,16.0,18.333333333333332,16.0,18.333333333333332,0.3333333333333333,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.46903333333333336,0.46903333333333336,0.3333333333333333,0.3333333333333333,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,True
1626157-1627752-1629638-1629669-1630162,1610612750,"Karl-Anthony Towns, Taurean Prince, Nickeil Alexander-Walker, Jaylen Nowell, Anthony Edwards","Towns, Prince, Alexander-Walker, Nowell, Edwards",1626157-1627752-1629638-1629669-1630162,MIN,77.0,1,1.0,3.0,3.0,2.0,,5.0,,,,,,,5.0,,,,,,,,,,,,,1.0,2.0,,1.0,5.0,,,,,0.75,,0.8333333333333334,,,,,,,,93.5064935064935,10.0,23.5,6.333333333333333,23.5,,,,,,1.0,0.5253,,0.3333333333333333,1.0,,,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.49755,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,True
1626157-1627752-1629638-1629669-201144,1610612750,"Karl-Anthony Towns, Taurean Prince, Nickeil Alexander-Walker, Jaylen Nowell, Mike Conley","Towns, Prince, Alexander-Walker, Nowell, Conley",1626157-1627752-1629638-1629669-201144,MIN,218.0,1,4.0,4.0,7.0,6.0,,13.0,6.0,,1.0,3.0,5.0,9.0,11.0,,,,6.0,,2.0,4.0,6.0,,,,,1.0,1.0,1.0,1.0,9.0,,,0.5555555555555556,,0.5555555555555556,,0.6111111111111112,,,0.25,,0.2222222222222222,,,85.87155963302753,15.285714285714286,18.5,14.857142857142858,16.333333333333332,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.6666666666666666,0.5395444444444445,,0.1111111111111111,0.1111111111111111,,4.933333333333334,,1.0,,,,,,1.0,7.0,,,,,,2.0,,4.0,,,,,,,,,,,,,0.6589,,3.0,4.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,0.4,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.16666666666666666,0.5,0.25,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,0.5,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,True
1626157-1627752-1629638-1629669-203937,1610612750,"Karl-Anthony Towns, Taurean Prince, Nickeil Alexander-Walker, Jaylen Nowell, Kyle Anderson","Towns, Prince, Alexander-Walker, Nowell, Anderson",1626157-1627752-1629638-1629669-203937,MIN,174.0,1,3.0,3.0,7.0,6.0,3.0,13.0,2.0,,1.0,2.0,3.0,5.0,6.0,,2.0,,6.0,,2.0,2.0,2.0,,,1.0,1.0,1.0,,,,6.0,,3.0,0.6,,0.6,,0.6,,,1.0,,0.6666666666666666,,,107.58620689655173,10.428571428571429,16.833333333333332,10.428571428571429,16.833333333333332,0.4,0.4,0.5,0.5,,0.4,0.48369999999999996,0.3548,,,,6.94,0.42857142857142855,,,,,,,,3.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,2.0,3.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,True
1626157-1627752-1629638-1630162-203085,1610612750,"Karl-Anthony Towns, Taurean Prince, Nickeil Alexander-Walker, Anthony Edwards, Austin Rivers","Towns, Prince, Alexander-Walker, Edwards, Rivers",1626157-1627752-1629638-1630162-203085,MIN,4.0,1,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,True
1626157-1627752-1629638-201144-203085,1610612750,"Karl-Anthony Towns, Taurean Prince, Nickeil Alexander-Walker, Mike Conley, Austin Rivers","Towns, Prince, Alexander-Walker, Conley, Rivers",1626157-1627752-1629638-201144-203085,MIN,366.0,2,6.0,-6.0,12.0,14.0,,26.0,4.0,,,4.0,3.0,8.0,6.0,,,,2.0,3.0,2.0,5.0,6.0,3.0,,4.0,,1.0,,,,6.0,,,0.375,,0.3333333333333333,,0.3333333333333333,,0.75,0.6666666666666666,0.75,0.7142857142857143,1.0,0.5,102.29508196721312,14.5,13.714285714285714,14.416666666666666,13.0,0.4444444444444444,0.4444444444444444,,,,0.5555555555555556,0.5177055555555555,,,,,4.425,,1.0,,1.0,,,1.0,,12.0,,,1.0,,,2.0,,4.0,4.0,2.0,,,,0.1111111111111111,0.1111111111111111,,,,,,0.4664,29.1,,3.0,,1.0,,1.0,,4.0,,2.0,2.0,1.0,,1.0,,2.0,5.0,1.0,,1.0,1.0,0.6666666666666666,0.6666666666666666,,,,,0.2,0.16666666666666666,,,0.5,,1.0,0.75,1.0,0.6666666666666666,1.0,,,,1.0,1.0,,,,1.0,2.0,3.0,1.0,0.125,0.25,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,True
1626157-1627752-1629638-201144-203497,1610612750,"Karl-Anthony Towns, Taurean Prince, Nickeil Alexander-Walker, Mike Conley, Rudy Gobert","Towns, Prince, Alexander-Walker, Conley, Gobert",1626157-1627752-1629638-201144-203497,MIN,368.0,2,6.0,5.0,11.0,10.0,,21.0,3.0,,,2.0,2.0,6.0,15.0,,,,2.0,3.0,2.0,6.0,6.0,1.0,1.0,1.0,,1.0,2.0,,1.0,15.0,,,0.3333333333333333,,0.7222222222222222,,0.75,,1.0,0.5,1.0,0.7142857142857143,,1.0,82.17391304347825,16.0,19.2,16.0,19.2,0.3333333333333333,0.2222222222222222,,,,0.6666666666666666,0.5372944444444445,,0.1,0.14285714285714285,,7.6000000000000005,,,3.0,3.0,,3.0,3.0,2.0,10.0,,3.0,3.0,3.0,1.0,2.0,1.0,5.0,,,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,,1.0,,25.566666666666666,,1.0,,,,,,2.0,,1.0,1.0,,1.0,,,3.0,5.0,2.0,1.0,2.0,1.0,0.5,0.5,,,,1.0,,,,,0.6666666666666666,,0.5,0.3333333333333333,0.3333333333333333,1.0,,,,1.0,,,,1.0,0.1111111111111111,,,,,,,,1.0,1.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,True
1626157-1627752-1629638-201144-203937,1610612750,"Karl-Anthony Towns, Taurean Prince, Nickeil Alexander-Walker, Mike Conley, Kyle Anderson","Towns, Prince, Alexander-Walker, Conley, Anderson",1626157-1627752-1629638-201144-203937,MIN,189.0,2,3.0,8.0,6.0,5.0,3.0,11.0,3.0,2.0,,1.0,2.0,4.0,8.0,1.0,3.0,2.0,2.0,4.0,1.0,5.0,7.0,,,,,3.0,1.0,,,8.0,2.0,3.0,0.5,0.3333333333333333,0.4375,0.2,0.5,0.2,,0.5,1.0,0.8333333333333334,,1.0,83.80952380952381,16.333333333333332,18.2,14.5,18.2,0.375,0.125,,,0.4,0.875,0.57738125,0.56151,0.125,,0.25,4.225,0.5,1.0,1.0,4.0,1.0,1.0,4.0,1.0,,1.0,3.0,4.0,1.0,1.0,2.0,1.0,5.0,,,1.0,0.25,0.25,0.5,0.5,0.25,0.25,1.0,0.5,0.25,0.5532,25.575,,2.0,,1.0,,1.0,,2.0,,1.0,1.0,1.0,,2.0,,,1.0,,,,,0.5,0.5,,,,,0.5,0.4,1.0,1.0,,,,0.6666666666666666,1.0,0.5,0.5,,,,,,,,,1.0,,,,0.25,0.3333333333333333,,1.0,,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.4,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,True
1626157-1627752-1629669-1630162-203085,1610612750,"Karl-Anthony Towns, Taurean Prince, Jaylen Nowell, Anthony Edwards, Austin Rivers","Towns, Prince, Nowell, Edwards, Rivers",1626157-1627752-1629669-1630162-203085,MIN,196.0,1,3.0,4.0,6.0,5.0,6.0,11.0,1.0,1.0,1.0,1.0,1.0,3.0,10.0,1.0,3.0,10.0,,1.0,1.0,2.0,6.0,,,,,4.0,5.0,,2.0,5.0,10.0,6.0,0.3333333333333333,0.3333333333333333,0.35714285714285715,0.35714285714285715,0.5,0.5,,1.0,1.0,1.0,,,80.81632653061224,17.333333333333332,18.4,14.666666666666666,18.4,0.14285714285714285,0.14285714285714285,1.0,1.0,0.14285714285714285,0.7142857142857143,0.45854999999999996,0.45854999999999996,0.2222222222222222,0.4,1.0,8.266666666666667,1.0,3.0,1.0,3.0,1.0,1.0,4.0,5.0,6.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,5.0,,,1.0,0.25,0.25,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3899,25.2,3.0,,,,1.0,1.0,5.0,2.0,,1.0,,2.0,,4.0,,,2.0,,,,,1.0,1.0,1.0,0.3333333333333333,0.5,,1.0,1.0,1.0,,1.0,,,,,,,,0.5,1.0,,,,,0.14285714285714285,,,,,,,,1.0,,,,,,3.0,4.0,2.0,,,,1.0,1.0,,0.42857142857142855,,1.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,True
1626157-1627752-1629669-1630162-203937,1610612750,"Karl-Anthony Towns, Taurean Prince, Jaylen Nowell, Anthony Edwards, Kyle Anderson","Towns, Prince, Nowell, Edwards, Anderson",1626157-1627752-1629669-1630162-203937,MIN,358.0,2,6.0,-2.0,11.0,13.0,,24.0,6.0,,3.0,3.0,7.0,10.0,14.0,,,,8.0,3.0,3.0,6.0,8.0,2.0,1.0,3.0,,1.0,2.0,,1.0,10.0,,,0.7,,0.7,,0.6363636363636364,,0.6666666666666666,0.75,1.0,0.8571428571428571,,1.0,96.53631284916202,16.818181818181817,13.307692307692308,16.818181818181817,13.153846153846153,0.6,0.3,1.0,1.0,,0.6,0.5056,,0.09090909090909091,0.09090909090909091,,5.26,,2.0,,,,,,,16.0,,,,,,3.0,,6.0,,,,,,,,,,,,,0.57545,,5.0,4.0,2.0,2.0,2.0,2.0,4.0,6.0,4.0,3.0,,2.0,,2.0,1.0,1.0,1.0,1.0,,1.0,,0.42857142857142855,0.6,1.0,1.0,1.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.3333333333333333,,0.6666666666666666,0.6666666666666666,,1.0,1.0,0.2857142857142857,1.0,1.0,,,1.0,0.1,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2023,2022-23,True
