EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PtsUnassisted3s,BadPassSteals,BadPassOutOfBoundsTurnovers,ShootingFouls,FoulsDrawn,NonShootingPenaltyNonTakeFouls,FtPoints,PtsUnassisted2s,LiveBallTurnovers,BadPassTurnovers,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,LiveBallTurnoverPct,DefAtRimReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,OffTwoPtRebounds,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,BlockedShortMidRange,RecoveredBlocks,OffTwoPtReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceAtRimFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsPutbacks,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffArc3ReboundPct,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,FTDefRebounds,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,DefFTReboundPct,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGA,PenaltyArc3Frequency,Offensive Fouls Drawn,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,OffensiveGoaltends,PenaltyArc3FGM,PenaltyArc3Accuracy,Charge Fouls Drawn,Blocked3s,BlockedCorner3,PenaltyFtPoints,HeaveAttempts,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,AtRimPctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Loose Ball Fouls,Travels,NonShootingFoulsDrawn,BlockedLongMidRange,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFtPoints,SelfOReb,OffShortMidRangeReboundPct,SelfORebPct,Technical Free Throw Trips,Charge Fouls,DefensiveGoaltends,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,SecondChanceAtRimPctAssisted,Offensive Fouls,BlockedArc3,Defensive 3 Seconds Violations,StepOutOfBoundsTurnovers,3SecondViolations,Transition Take Fouls Drawn,Transition Take Fouls,HeaveMakes,team_id,year,season,team_vs
1626163-1626246-1630227-1630528-1631106,1610612745,"Frank Kaminsky, Boban Marjanovic, Daishen Nix, Josh Christopher, Tari Eason","Kaminsky, Marjanovic, Nix, Christopher, Eason",1626163-1626246-1630227-1630528-1631106,HOU,450.0,2,8.0,-3.0,14.0,15.0,8.0,11.0,1.0,29.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,9.0,1.0,4.0,11.0,14.0,1.0,4.0,6.0,1.0,1.0,11.0,8.0,3.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,2.0,11.0,1.0,4.0,1.0,5.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,11.0,11.0,8.0,1.0,1.0,1.0,0.25,1.0,0.25,0.4444444444444444,0.6666666666666666,0.4230769230769231,0.7857142857142857,0.4230769230769231,0.7857142857142857,0.3076923076923077,0.1111111111111111,0.3333333333333333,1.0,0.8,0.3333333333333333,0.8333333333333334,0.125,0.5,1.0,0.75,1.0,92.8,17.5,13.666666666666666,16.928571428571427,13.266666666666667,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,0.23076923076923078,0.6666666666666666,1.0,1.0,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,0.07692307692307693,1.0,0.2857142857142857,0.5,0.14285714285714285,1.0,0.5384615384615384,0.4978923076923077,0.5336928571428572,1.0,9.466666666666667,23.6,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2023,2022-23,True
1626163-1626246-1630227-1631102-1631106,1610612745,"Frank Kaminsky, Boban Marjanovic, Daishen Nix, TyTy Washington Jr., Tari Eason","Kaminsky, Marjanovic, Nix, Washington Jr., Eason",1626163-1626246-1630227-1631102-1631106,HOU,184.0,1,3.0,-2.0,5.0,5.0,,,,10.0,,,,,,,,,1.0,,,,,4.0,,1.0,2.0,4.0,6.0,8.0,,,,,,,,6.0,4.0,,,2.0,2.0,,,,,6.0,,,,,,,1.0,1.0,,,,,6.0,,,,,1.0,0.5,,0.5,,,0.6,,0.6,,0.8,,,,,,,,,,,,78.26086956521739,16.0,20.8,16.0,20.8,,,,,,,,,0.2,,,,,,,,0.8,,,,,,0.8,0.54457,,,18.2,25.875,,2.0,2.0,2.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2023,2022-23,True
1626163-1626246-1630528-1630620-1631309,1610612745,"Frank Kaminsky, Boban Marjanovic, Josh Christopher, Darius Days, Trevor Hudgins","Kaminsky, Marjanovic, Christopher, Days, Hudgins",1626163-1626246-1630528-1630620-1631309,HOU,211.0,1,4.0,-4.0,8.0,7.0,,6.0,,15.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,,,,,2.0,3.0,4.0,1.0,2.0,9.0,13.0,,,,,,,6.0,,2.0,,3.0,,3.0,,1.0,1.0,1.0,6.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,3.0,9.0,,,1.0,1.0,,0.5,,0.5,0.75,,0.75,,0.75,,0.3333333333333333,,,,0.5,,0.5,,,,0.5,,102.3696682464455,14.875,13.142857142857142,14.875,13.142857142857142,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.16666666666666666,1.0,1.0,1.0,,,,,0.3333333333333333,,,,,,0.5,0.4680333333333333,,,9.15,26.7,,1.0,1.0,,0.5,0.5,,0.5,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2023,2022-23,True
1626163-1626246-1630528-1631102-1631106,1610612745,"Frank Kaminsky, Boban Marjanovic, Josh Christopher, TyTy Washington Jr., Tari Eason","Kaminsky, Marjanovic, Christopher, Washington Jr., Eason",1626163-1626246-1630528-1631102-1631106,HOU,496.0,2,8.0,-5.0,16.0,17.0,,,,33.0,2.0,3.0,,,,,2.0,,,1.0,2.0,,,6.0,2.0,5.0,4.0,8.0,18.0,23.0,,,,,,,2.0,9.0,6.0,,1.0,3.0,4.0,1.0,1.0,,,11.0,,3.0,2.0,5.0,,5.0,,,,1.0,,2.0,18.0,,,0.5,0.5,0.75,0.5,,0.5,0.4,,0.6153846153846154,,0.6428571428571429,,0.6153846153846154,,,0.5,1.0,,0.7142857142857143,,,0.5,1.0,1.0,95.80645161290322,17.5625,12.647058823529411,17.5625,12.588235294117647,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,0.15384615384615385,,,,,,,,0.15384615384615385,0.5,0.5,1.0,0.46153846153846156,,,,,,0.8461538461538461,0.5042038461538462,,,6.12,25.2375,,3.0,3.0,2.0,0.5,0.5,0.6666666666666666,0.5,3.0,,,2.0,1.0,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.07142857142857142,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2023,2022-23,True
1626163-1629645-1630224-1630231-1631095,1610612745,"Frank Kaminsky, Kevin Porter Jr., Jalen Green, Kenyon Martin Jr., Jabari Smith Jr.","Kaminsky, Porter Jr., Green, Martin Jr., Smith Jr.",1626163-1629645-1630224-1630231-1631095,HOU,1.0,1,,-1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2023,2022-23,True
1626163-1630224-1630227-1630586-1631106,1610612745,"Frank Kaminsky, Jalen Green, Daishen Nix, Usman Garuba, Tari Eason","Kaminsky, Green, Nix, Garuba, Eason",1626163-1630224-1630227-1630586-1631106,HOU,153.0,1,3.0,-7.0,7.0,7.0,2.0,7.0,1.0,14.0,,1.0,,,,1.0,2.0,,1.0,,,,,1.0,1.0,4.0,,1.0,2.0,9.0,,,1.0,,,,2.0,,1.0,,1.0,,1.0,,,1.0,,2.0,,,2.0,2.0,1.0,3.0,,,1.0,2.0,,,2.0,,2.0,1.0,1.0,,,,,0.25,,0.2,,0.2,,0.2,,,0.6666666666666666,,,0.6666666666666666,0.3333333333333333,,0.5,,,131.76470588235296,11.285714285714286,10.571428571428571,11.142857142857142,10.285714285714286,0.2,,,,0.4,0.5,0.5,1.0,0.2,,,,,,,,0.2,,,,,,0.4,0.44315,0.1943,,9.225,27.5,0.2857142857142857,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,0.5,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2023,2022-23,True
1626163-1630224-1630231-1631095-1631102,1610612745,"Frank Kaminsky, Jalen Green, Kenyon Martin Jr., Jabari Smith Jr., TyTy Washington Jr.","Kaminsky, Green, Martin Jr., Smith Jr., Washington Jr.",1626163-1630224-1630231-1631095-1631102,HOU,110.0,1,2.0,7.0,4.0,3.0,,,3.0,7.0,2.0,3.0,2.0,,,,,,,,,,,4.0,2.0,3.0,1.0,4.0,7.0,,2.0,,,,,,,3.0,4.0,,,1.0,1.0,,,,,3.0,2.0,1.0,2.0,3.0,3.0,6.0,,,,,,,,,,,,1.0,0.25,,0.25,0.6666666666666666,,0.5,,0.5,,0.5714285714285714,,,1.0,1.0,0.6666666666666666,1.0,0.75,,,1.0,,91.63636363636364,15.25,16.333333333333332,14.0,16.333333333333332,0.42857142857142855,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,0.5714285714285714,0.6666666666666666,,,,,1.0,0.6219285714285715,,,0.3,25.225,,1.0,1.0,1.0,0.25,0.25,1.0,0.25,,,,,,,,4.0,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,4.0,1.0,1.0,1.1666666666666667,1.1666666666666667,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6238,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2023,2022-23,True
1626163-1630227-1630231-1630528-1631095,1610612745,"Frank Kaminsky, Daishen Nix, Kenyon Martin Jr., Josh Christopher, Jabari Smith Jr.","Kaminsky, Nix, Martin Jr., Christopher, Smith Jr.",1626163-1630227-1630231-1630528-1631095,HOU,116.0,1,2.0,10.0,4.0,4.0,,,,8.0,1.0,1.0,,,,,,,,1.0,1.0,,,2.0,1.0,1.0,3.0,3.0,12.0,2.0,,,,,,,2.0,6.0,2.0,,1.0,2.0,3.0,1.0,1.0,,,8.0,,2.0,,3.0,,3.0,,,,,,,12.0,,,1.0,1.0,0.6666666666666666,1.0,,1.0,1.0,,1.375,,1.5,,0.75,,,,1.0,,0.6666666666666666,,,,1.0,,99.3103448275862,15.0,14.0,15.0,14.0,0.25,1.0,1.0,1.0,,,,,,,,,0.25,1.0,1.0,1.0,0.5,,,,,,1.0,0.4726875,,,3.4,25.133333333333336,,2.0,2.0,1.0,1.0,1.0,0.5,1.0,3.0,,,,1.0,,1.0,,,,1.0,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2023,2022-23,True
1626163-1630227-1630231-1630528-1631106,1610612745,"Frank Kaminsky, Daishen Nix, Kenyon Martin Jr., Josh Christopher, Tari Eason","Kaminsky, Nix, Martin Jr., Christopher, Eason",1626163-1630227-1630231-1630528-1631106,HOU,132.0,1,2.0,,4.0,4.0,1.0,1.0,,8.0,,,,,,,,,,,,,,2.0,,,1.0,2.0,3.0,3.0,,,,,,,,3.0,2.0,,,1.0,1.0,,,,,3.0,,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,,1.0,,,1.0,0.5,,0.5,,,0.75,,0.75,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,87.27272727272727,12.25,20.75,12.25,20.75,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,0.531975,,,,26.15,0.25,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,1.0,2.0,,,,,1.0,,,,,,,0.5,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2023,2022-23,True
1626163-1630227-1630528-1630586-1631106,1610612745,"Frank Kaminsky, Daishen Nix, Josh Christopher, Usman Garuba, Tari Eason","Kaminsky, Nix, Christopher, Garuba, Eason",1626163-1630227-1630528-1630586-1631106,HOU,141.0,1,2.0,1.0,4.0,4.0,4.0,2.0,1.0,8.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,3.0,3.0,2.0,,,1.0,1.0,3.0,3.0,,3.0,2.0,,,1.0,1.0,1.0,,,,3.0,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,3.0,3.0,4.0,,,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,0.375,0.375,0.375,0.375,0.75,,,,1.0,0.5,1.0,0.3333333333333333,,,1.0,,81.70212765957446,20.25,15.0,16.75,15.0,,,,,0.25,,,,,,,,0.25,1.0,1.0,1.0,0.5,,,,0.25,1.0,0.75,0.4903375,0.4903375,1.0,13.1,24.733333333333334,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2023,2022-23,True
