EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,AtRimAssists,OffThreePtRebounds,DefThreePtRebounds,OffRebounds,SecondChanceTurnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,FoulsDrawn,PenaltyDefPoss,FtPoints,PenaltyFtPoints,Fg2aBlocked,ShortMidRangeAssists,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FG2APctBlocked,ShortMidRangePctBlocked,ShortMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,OffTwoPtRebounds,Steals,LostBallSteals,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceAtRimFGM,Corner3FGM,PtsPutbacks,HeaveAttempts,Corner3Assists,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,BlockedAtRim,SecondChanceArc3FGA,SecondChanceFG3A,BadPassSteals,ShootingFouls,Fouls,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,DefCorner3ReboundPct,SecondChanceArc3Frequency,StepOutOfBoundsTurnovers,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,NonShootingFoulsDrawn,Blocked3s,BlockedCorner3,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3Accuracy,BadPassOutOfBoundsTurnovers,BlockedArc3,SelfOReb,SelfORebPct,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,Technical Free Throw Trips,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedLongMidRange,Loose Ball Fouls,FTDefRebounds,DefensiveGoaltends,DefFTReboundPct,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffLongMidRangeReboundPct,Transition Take Fouls,FTOffRebounds,Clear Path Fouls,Transition Take Fouls Drawn,3pt And 1 Free Throw Trips,OffFTReboundPct,team_id,year,season,team_vs
1626149-1627777-1629001-1629667-1630178,1610612755,"Montrezl Harrell, Georges Niang, De'Anthony Melton, Jalen McDaniels, Tyrese Maxey","Harrell, Niang, Melton, McDaniels, Maxey",1626149-1627777-1629001-1629667-1630178,PHI,284.0,1,5.0,9.0,9.0,18.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,5.0,10.0,10.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,10.0,0.5,0.5,0.5,0.4,0.4,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5,1.0,1.0,1.0,91.26760563380282,14.222222222222221,17.333333333333332,14.222222222222221,17.333333333333332,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,0.5714285714285714,0.5,0.5,0.5,0.7142857142857143,0.5,0.46727857142857143,16.05,25.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
1626149-1627788-1627863-1629003-1630531,1610612755,"Montrezl Harrell, Furkan Korkmaz, Danuel House Jr., Shake Milton, Jaden Springer","Harrell, Korkmaz, House Jr., Milton, Springer",1626149-1627788-1627863-1629003-1630531,PHI,125.0,1,2.0,4.0,4.0,8.0,,,,,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,2.0,2.0,,3.0,,2.0,1.0,1.0,1.0,2.0,1.0,,5.0,1.0,2.0,3.0,1.0,,1.0,,1.0,5.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.625,0.625,0.75,1.0,1.0,1.0,,92.16,14.5,16.75,14.0,16.75,,,,,,,,0.25,0.5,0.5,0.5,1.0,1.0,0.5,0.5912875,0.4,25.96666666666667,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,0.3333333333333333,1.0,0.625,0.625,1.0,0.5,0.5,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,0.25,0.5,0.5,0.5912875,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
1626149-1629001-1630178-201935-202699,1610612755,"Montrezl Harrell, De'Anthony Melton, Tyrese Maxey, James Harden, Tobias Harris","Harrell, Melton, Maxey, Harden, Harris",1626149-1629001-1630178-201935-202699,PHI,8.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
1627777-1627863-1629001-1630178-203954,1610612755,"Georges Niang, Danuel House Jr., De'Anthony Melton, Tyrese Maxey, Joel Embiid","Niang, House Jr., Melton, Maxey, Embiid",1627777-1627863-1629001-1630178-203954,PHI,126.0,1,2.0,5.0,5.0,10.0,1.0,3.0,,,,1.0,1.0,1.0,3.0,1.0,1.0,6.0,6.0,2.0,,,3.0,1.0,1.0,1.0,,1.0,,,2.0,,1.0,1.0,1.0,,1.0,,1.0,6.0,1.0,1.0,,1.0,1.0,0.3333333333333333,0.625,0.75,0.25,1.0,,1.0,,114.28571428571428,15.0,10.2,15.0,10.2,0.75,0.3333333333333333,0.5,,,,,,0.25,1.0,1.0,,0.25,1.0,0.4487125,10.4,24.6,,4.0,,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,6.0,,,1.0,,,,6.0,4.0,1.0,0.3333333333333333,0.625,0.75,1.0,,,,,1.0,,,,,,,,0.25,1.0,0.4487125,1.0,0.8,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
1627777-1627863-1629001-1630194-201935,1610612755,"Georges Niang, Danuel House Jr., De'Anthony Melton, Paul Reed, James Harden","Niang, House Jr., Melton, Reed, Harden",1627777-1627863-1629001-1630194-201935,PHI,503.0,2,8.0,16.0,15.0,31.0,3.0,7.0,1.0,1.0,,2.0,2.0,5.0,10.0,2.0,2.0,24.0,15.0,4.0,6.0,6.0,,2.0,2.0,2.0,2.0,4.0,2.0,1.0,10.0,2.0,6.0,8.0,1.0,1.0,,,2.0,22.0,0.4,0.4,1.0,1.0,1.0,0.5,0.6666666666666666,0.75,0.16666666666666666,0.5,1.0,1.0,1.0,88.74751491053678,15.25,17.266666666666666,15.125,17.266666666666666,0.5833333333333334,0.42857142857142855,0.5,0.08333333333333333,1.0,1.0,1.0,,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,0.4567041666666667,7.470000000000001,28.05,9.0,,1.0,1.0,2.0,,,,,,,,,,,,,4.0,2.0,,,,,,,,,1.0,,0.4,,,1.0,0.16666666666666666,0.5,0.5,,,,,,,,,,7.0,,8.0,,1.0,1.0,10.0,1.0,4.0,0.1,0.14285714285714285,0.3333333333333333,0.3125,0.3076923076923077,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.4,1.0,0.25,1.0,0.5,0.4585,0.3333333333333333,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
1627777-1627863-1629001-1630194-202699,1610612755,"Georges Niang, Danuel House Jr., De'Anthony Melton, Paul Reed, Tobias Harris","Niang, House Jr., Melton, Reed, Harris",1627777-1627863-1629001-1630194-202699,PHI,4.0,1,,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,4.0,,4.0,,,,,1.0,,,,,,,,,,,0.2327,22.3,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.2327,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
1627777-1629001-1629667-1630178-1630194,1610612755,"Georges Niang, De'Anthony Melton, Jalen McDaniels, Tyrese Maxey, Paul Reed","Niang, Melton, McDaniels, Maxey, Reed",1627777-1629001-1629667-1630178-1630194,PHI,148.0,1,2.0,5.0,5.0,10.0,,,,,2.0,1.0,3.0,1.0,1.0,2.0,5.0,8.0,3.0,,2.0,6.0,,2.0,1.0,,2.0,2.0,1.0,,6.0,2.0,3.0,4.0,,,,,,6.0,,,1.0,0.4,0.5,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,,1.0,1.0,1.0,97.29729729729729,12.8,16.8,12.8,16.8,,,,,,,,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.56997,,30.119999999999997,5.0,2.0,1.0,1.0,1.0,,,,,2.0,,,,2.0,,,1.0,1.0,1.0,,,,2.0,,,,,1.0,0.5,0.5,1.0,,1.0,0.16666666666666666,1.0,1.0,,,,,1.0,,0.48795,,0.4,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
1627777-1629001-1629667-1630178-200782,1610612755,"Georges Niang, De'Anthony Melton, Jalen McDaniels, Tyrese Maxey, P.J. Tucker","Niang, Melton, McDaniels, Maxey, Tucker",1627777-1629001-1629667-1630178-200782,PHI,105.0,1,2.0,4.0,4.0,8.0,1.0,1.0,,,,,,3.0,3.0,,,6.0,2.0,4.0,2.0,,,,,2.0,,2.0,,,4.0,1.0,2.0,2.0,1.0,,,,1.0,6.0,0.6666666666666666,0.6666666666666666,,,,1.0,1.0,1.0,,1.0,1.0,0.6666666666666666,,109.71428571428571,8.0,18.25,8.0,15.75,0.3333333333333333,1.0,1.0,,,,,,,,,,0.6666666666666666,,0.5263333333333333,3.9,,4.0,2.0,,2.0,2.0,1.0,1.0,,,,2.0,2.0,,,4.0,1.0,,1.0,,,,4.0,2.0,,1.0,1.0,1.0,0.5,,,,1.0,0.5,0.6666666666666666,1.0,1.0,0.5,0.5,1.0,,,,0.51875,0.6666666666666666,0.5,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
1627777-1629001-1629667-1630178-203954,1610612755,"Georges Niang, De'Anthony Melton, Jalen McDaniels, Tyrese Maxey, Joel Embiid","Niang, Melton, McDaniels, Maxey, Embiid",1627777-1629001-1629667-1630178-203954,PHI,962.0,4,16.0,28.0,27.0,55.0,4.0,10.0,,2.0,3.0,3.0,6.0,8.0,19.0,3.0,9.0,26.0,38.0,8.0,8.0,9.0,,6.0,3.0,4.0,3.0,7.0,3.0,,17.0,2.0,6.0,8.0,3.0,,2.0,,3.0,24.0,0.5,0.5714285714285714,1.0,0.3333333333333333,0.3333333333333333,0.42105263157894735,0.44642857142857145,0.4642857142857143,0.32142857142857145,1.0,0.5,0.6666666666666666,,82.32848232848232,19.0,15.925925925925926,18.607142857142858,15.37037037037037,0.35714285714285715,0.4,0.5,0.07142857142857142,,,,0.10714285714285714,0.21428571428571427,0.5,0.5,1.0,0.5714285714285714,0.5,0.4930142857142857,7.56842105263158,26.366666666666667,-12.0,7.0,2.0,4.0,7.0,1.0,1.0,,2.0,3.0,2.0,5.0,2.0,3.0,10.0,2.0,,4.0,2.0,,,10.0,7.0,0.6666666666666666,0.4,0.625,0.625,0.8,,0.125,,0.6666666666666666,,0.25,0.5714285714285714,0.6666666666666666,0.5,0.125,1.0,,0.375,0.6666666666666666,0.3976625,0.38461538461538464,0.25,6.0,16.0,1.0,,3.0,2.0,1.0,1.0,1.0,0.15789473684210525,0.2,0.5,0.03571428571428571,0.05263157894736842,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,0.5,0.5,0.18181818181818182,0.3333333333333333,0.16666666666666666,,,0.3044,,0.07692307692307693,,,2.0,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,5.0,6.0,1.0,1.0,0.14285714285714285,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
1627777-1629001-1629667-1630194-1630531,1610612755,"Georges Niang, De'Anthony Melton, Jalen McDaniels, Paul Reed, Jaden Springer","Niang, Melton, McDaniels, Reed, Springer",1627777-1629001-1629667-1630194-1630531,PHI,86.0,1,1.0,3.0,2.0,5.0,,,,,,,3.0,,,,3.0,,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,83.72093023255813,13.666666666666666,22.5,13.666666666666666,22.5,,,,,,,,,1.0,,,,1.0,,0.50175,,27.400000000000002,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
