PLAYER_ID,date,team_poss,overall_def_D_FGM,overall_def_D_FGA,overall_def_D_FG_PCT,overall_def_NORMAL_FG_PCT,overall_def_PCT_PLUSMINUS,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
203143,20160307,99.0,1.0,3.0,0.333,0.434,-0.1,6660.0,1.3,0.7,0.6,4.76,5.01,4.49
201988,20160307,94.0,3.0,3.0,1.0,0.428,0.572,9155.0,1.7,1.0,0.7,4.6,5.34,3.83
2200,20160307,94.0,7.0,15.0,0.467,0.506,-0.039,11510.0,2.2,1.1,1.0,3.76,4.07,3.17
202331,20160307,94.0,6.0,15.0,0.4,0.499,-0.099,14026.0,2.7,1.4,1.3,4.41,4.76,4.09
1718,20160307,99.0,4.0,8.0,0.5,0.438,0.062,7133.0,1.4,0.6,0.7,4.17,4.02,3.74
203112,20160307,111.0,5.0,8.0,0.625,0.463,0.162,7749.0,1.5,0.8,0.7,4.63,4.66,4.58
200765,20160307,111.0,5.0,12.0,0.417,0.429,-0.013,14311.0,2.7,1.4,1.3,4.14,4.26,4.03
1626173,20160307,95.0,4.0,5.0,0.8,0.464,0.336,4270.0,0.8,0.4,0.4,4.64,4.29,5.06
101109,20160307,100.0,8.0,14.0,0.571,0.466,0.105,10391.0,2.0,1.1,0.9,4.01,4.63,3.47
2210,20160307,102.0,2.0,4.0,0.5,0.44,0.061,2351.0,0.4,0.2,0.2,3.39,4.12,2.88
201937,20160307,99.0,7.0,15.0,0.467,0.425,0.041,13023.0,2.5,1.3,1.2,4.32,4.72,3.96
201155,20160307,94.0,1.0,3.0,0.333,0.471,-0.137,6275.0,1.2,0.6,0.6,3.89,3.99,3.8
200752,20160307,111.0,8.0,15.0,0.533,0.45,0.083,15306.0,2.9,1.5,1.4,4.27,4.42,4.13
201583,20160307,111.0,2.0,6.0,0.333,0.481,-0.148,9931.0,1.9,1.0,0.9,4.21,4.46,3.96
200797,20160307,101.0,8.0,14.0,0.571,0.502,0.069,7655.0,1.4,0.8,0.7,3.84,4.26,3.96
1626257,20160307,100.0,1.0,5.0,0.2,0.56,-0.36,1994.0,0.4,0.2,0.2,4.07,5.12,3.37
203498,20160307,99.0,4.0,5.0,0.8,0.465,0.335,7184.0,1.4,0.7,0.7,4.74,4.99,4.53
2733,20160307,111.0,5.0,11.0,0.455,0.422,0.032,8395.0,1.6,0.9,0.7,4.59,5.11,4.05
203524,20160307,94.0,0.0,2.0,0.0,0.478,-0.478,4107.0,0.8,0.4,0.4,4.02,4.41,3.71
201939,20160307,111.0,3.0,6.0,0.5,0.455,0.045,14244.0,2.7,1.5,1.2,4.35,4.97,3.77
201959,20160307,94.0,10.0,19.0,0.526,0.493,0.033,12981.0,2.5,1.3,1.1,4.09,4.36,3.51
2419,20160307,99.0,,,,,,1699.0,0.3,0.2,0.2,3.69,5.23,4.64
1495,20160307,94.0,5.0,13.0,0.385,0.469,-0.084,9128.0,1.7,0.9,0.8,3.7,3.85,3.53
202389,20160307,102.0,5.0,5.0,1.0,0.521,0.479,4211.0,0.8,0.4,0.3,4.48,4.1,3.71
201962,20160307,111.0,4.0,10.0,0.4,0.466,-0.066,9046.0,1.7,0.9,0.8,4.97,5.01,4.94
2754,20160307,101.0,4.0,10.0,0.4,0.465,-0.065,12196.0,2.3,1.2,1.1,4.1,4.2,4.0
2225,20160307,94.0,1.0,4.0,0.25,0.45,-0.2,9879.0,1.9,1.1,0.7,4.58,4.88,3.71
202684,20160307,102.0,6.0,11.0,0.545,0.445,0.101,9837.0,1.9,1.0,0.9,4.24,5.02,3.61
201951,20160307,94.0,1.0,3.0,0.333,0.426,-0.093,1945.0,0.4,0.2,0.2,4.73,5.54,4.14
1626145,20160307,99.0,1.0,3.0,0.333,0.439,-0.106,5379.0,1.0,0.5,0.5,4.42,4.57,4.28
203506,20160307,110.0,5.0,11.0,0.455,0.477,-0.023,15946.0,3.0,1.6,1.4,4.65,4.88,4.42
1713,20160307,101.0,5.0,16.0,0.313,0.448,-0.135,8739.0,1.7,0.9,0.8,3.96,4.03,3.88
202325,20160307,99.0,4.0,11.0,0.364,0.472,-0.109,8891.0,1.7,0.9,0.8,4.27,4.36,4.18
202083,20160307,100.0,5.0,10.0,0.5,0.47,0.03,10205.0,1.9,1.1,0.9,4.25,4.47,4.46
1626161,20160307,111.0,3.0,3.0,1.0,0.45,0.55,2346.0,0.4,0.2,0.2,4.39,4.27,4.53
203897,20160307,99.0,4.0,15.0,0.267,0.433,-0.167,17342.0,3.3,1.7,1.6,4.45,4.71,4.2
2585,20160307,100.0,2.0,3.0,0.667,0.542,0.125,5461.0,1.0,0.6,0.4,4.09,4.33,3.76
