Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Date,GameId,Opponent,PenaltyCorner3FGM,PenaltyCorner3FGA,BadPassOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls Drawn,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,SecondChanceFtPoints,SecondChanceTurnovers,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,Season,year,SeasonType,team_id,team
48:00,108,107,33,22,11,215,15,24,1,4,5,8,9,22,5,10,3,6,14,37,2.0,6,4,16,29,56,17,43,11,120,2,7,2.0,6,10,9,15,4,16,4,34,28,30,27,24,2,37,14,5,1.0,14,9,23,8,1,8,3,3.0,55,5,7,2.0,22,19,3,44,14,58,2,5,3,2,8,6,5,1,2,1.0,2.0,13,4,8,19,3,1.0,22,1.0,1,19,2,7,1.0,2,4,1,3.0,4,4,1.0,110,34,33,1,2,0.4827586206896552,0.5,0.5294117647058824,0.3953488372093023,0.3333333333333333,0.25,0.3953488372093023,0.5178571428571429,0.2857142857142857,0.6,0.5505050505050505,0.38461538461538464,0.4838709677419355,0.5607476635514018,0.35714285714285715,0.4857142857142857,0.43434343434343436,0.023255813953488372,0.08928571428571429,0.08333333333333333,0.13636363636363635,0.02702702702702703,0.6153846153846154,0.75,0.4,0.8636363636363636,0.25925925925925924,0.8461538461538461,0.20833333333333334,0.8541666666666666,0.23529411764705882,0.3333333333333333,0.3076923076923077,0.14285714285714285,0.6666666666666666,0.75,0.875,1.0,0.8421052631578947,0.8571428571428571,0.043478260869565216,107.5,1.0,12.877777777777778,13.917757009345795,12.28148148148148,13.694392523364485,0.24242424242424243,0.625,0.6818181818181818,0.5333333333333333,0.2222222222222222,0.4090909090909091,0.47368421052631576,0.3333333333333333,0.10101010101010101,0.5,0.5,0.6,0.06060606060606061,0.5,0.5,0.3333333333333333,0.37373737373737376,0.3783783783783784,0.3888888888888889,0.5714285714285714,0.3076923076923077,0.25,0.46153846153846156,0.3333333333333333,0.5,0.25806451612903225,0.625,0.5161290322580645,0.25,0.6767676767676768,0.3783783783783784,0.5249857142857143,0.47954444444444444,0.525435,0.0761904761904762,0.11475409836065574,0.022727272727272728,0.08333333333333333,0.2833333333333333,7.128571428571428,26.31190476190476,0.3055555555555556,2025-10-22,0022500086,WAS,,,,,,,,,,,,,,2025-26,2026,Regular Season,1610612749,MIL
48:00,102,103,30,34,10,205,17,25,4,9,2,4,13,30,1,3,3,6,8,21,,1,2,5,31,58,11,27,21,116,5,10,,1,10,4,11,3,9,6,23,30,32,30,3,8,21,8,5,,15,10,25,7,3,9,5,1.0,60,4,8,1.0,18,6,8,32,13,45,2,10,5,5,9,8,7,3,1,1.0,1.0,16,6,10,21,2,,24,,2,32,4,16,,2,4,2,2.0,4,1,,106,23,30,3,2,0.4838709677419355,0.5555555555555556,0.9090909090909091,0.4074074074074074,,0.3333333333333333,0.4074074074074074,0.5344827586206896,0.5,0.36363636363636365,0.5588235294117647,0.45454545454545453,0.425,0.5858585858585859,0.4166666666666667,0.4423076923076923,0.3176470588235294,,0.08620689655172414,0.08,0.1,,0.5625,1.0,0.125,0.35294117647058826,0.2962962962962963,0.72,0.25,0.5714285714285714,0.27906976744186046,0.375,0.29411764705882354,0.3076923076923077,,0.2222222222222222,0.5,0.5,0.6470588235294118,0.875,0.05263157894736842,102.5,0.25,13.852941176470589,14.242718446601941,13.508823529411766,13.367961165048545,0.29411764705882354,0.68,0.7391304347826086,0.5294117647058824,0.35294117647058826,0.43333333333333335,0.48148148148148145,0.38461538461538464,0.03529411764705882,0.3333333333333333,0.3333333333333333,1.0,0.07058823529411765,0.5,0.5,1.0,0.24705882352941178,0.38095238095238093,0.38095238095238093,0.875,0.8181818181818182,0.4444444444444444,0.09090909090909091,,,0.2,0.5,0.25,0.4,0.611764705882353,0.38095238095238093,0.5264894117647059,0.5808625,0.48960499999999996,0.16494845360824742,0.22857142857142856,,0.08620689655172414,0.19827586206896552,6.039655172413793,25.755555555555556,0.29411764705882354,2025-10-24,0022500092,TOR,1.0,4.0,1.0,1.0,1.0,0.2,0.25,,,,,,,2025-26,2026,Regular Season,1610612749,MIL
48:00,104,103,45,40,15,207,13,21,3,4,5,8,8,19,6,7,3,11,9,29,1.0,3,3,12,27,47,12,40,28,118,4,5,1.0,4,14,8,16,3,16,17,42,24,30,33,3,4,29,9,6,,12,11,23,8,3,8,4,,57,7,8,,16,14,5,35,15,50,1,10,8,2,12,10,5,1,2,,,17,9,10,22,1,2.0,26,,2,35,1,7,3.0,6,2,2,,2,2,,104,42,45,3,6,0.4444444444444444,0.48,0.9166666666666666,0.3,0.25,0.1875,0.3,0.574468085106383,0.8,0.5,0.5172413793103449,0.6111111111111112,0.390625,0.5735294117647058,0.6363636363636364,0.5121951219512195,0.45977011494252873,,0.1276595744680851,0.2857142857142857,,,0.7058823529411765,0.8333333333333334,,0.7777777777777778,0.42105263157894735,0.8,0.25925925925925924,0.7894736842105263,0.32608695652173914,0.625,0.3,0.25,0.2857142857142857,0.8571428571428571,0.5714285714285714,1.0,0.7894736842105263,1.0,0.025,103.5,1.0,13.002884615384614,14.832038834951456,12.370192307692308,14.64757281553398,0.2413793103448276,0.6190476190476191,0.8666666666666667,0.6153846153846154,0.21839080459770116,0.42105263157894735,0.42105263157894735,0.5,0.08045977011494253,0.8571428571428571,0.8571428571428571,,0.12643678160919541,0.2727272727272727,0.2727272727272727,1.0,0.3333333333333333,0.3103448275862069,0.3103448275862069,0.8888888888888888,0.4444444444444444,0.75,0.3333333333333333,0.3333333333333333,1.0,0.25,0.625,0.375,0.25,0.7011494252873564,0.3103448275862069,0.557435632183908,0.6120625,0.540784375,0.09473684210526316,0.1320754716981132,0.047619047619047616,0.11864406779661017,0.3559322033898305,7.172340425531916,25.14,0.4326923076923077,2025-10-26,0022500107,CLE,,4.0,,,2.0,0.125,,1.0,3.0,5.0,1.0,0.3333333333333333,0.1111111111111111,2025-26,2026,Regular Season,1610612749,MIL
