EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,PenaltyFG2A,Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,Minutes,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Turnovers,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,FTDefRebounds,Steals,BadPassSteals,DeadBallTurnovers,Travels,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyPointsPct,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG3A,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,LongMidRangeFGM,LostBallSteals,PenaltyTurnovers,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,PtsAssisted2s,TwoPtAssists,LongMidRangeAssists,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,PenaltyFg3Pct,LongMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,AtRimAssists,AtRimPctAssisted,Technical Free Throw Trips,ShootingFouls,DefensiveGoaltends,Corner3FGM,Corner3Assists,ShortMidRangeAssists,Offensive Fouls,BlockedAtRim,BlockedShortMidRange,3SecondViolations,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,SecondChanceFtPoints,PtsUnassisted3s,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,LongMidRangePctBlocked,FTOffRebounds,Defensive 3 Seconds Violations,OffFTReboundPct,OffCorner3ReboundPct,HeaveAttempts,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
101107-101136-200780-2585-2735,1610612737,"Marvin Williams, Salim Stoudamire, Solomon Jones, Zaza Pachulia, Josh Childress","Williams, Stoudamire, Jones, Pachulia, Childress",101107-101136-200780-2585-2735,ATL,30.0,1,-2.0,1.0,1.0,1.0,1.0,2,1.0,1.0,2.0,1.0,2.0,1.0,2.0,96.0,18.0,12.0,18.0,12.0,1.0,0.3552,0.3552,14.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,True
101107-101136-201143-2207-2735,1610612737,"Marvin Williams, Salim Stoudamire, Al Horford, Joe Johnson, Josh Childress","Williams, Stoudamire, Horford, Johnson, Childress",101107-101136-201143-2207-2735,ATL,346.0,1,3.0,11.0,11.0,,,22,1.0,10.0,8.0,,,,,91.5606936416185,17.272727272727273,14.181818181818182,17.181818181818183,14.0,0.09090909090909091,0.5497363636363637,,5.33,,6.0,2.0,2.0,7.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,11.0,2.0,2.0,4.0,6.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,6.0,2.0,8.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,0.3,1.0,0.4090909090909091,1.0,0.4583333333333333,1.0,0.09090909090909091,0.2,0.2857142857142857,1.0,0.8,0.2857142857142857,1.0,0.8571428571428571,0.2857142857142857,0.2,1.0,0.5,1.0,1.0,1.0,0.2,0.6363636363636364,0.2857142857142857,0.4,0.18181818181818182,0.5,0.5,0.09090909090909091,1.0,1.0,1.0,1.0,1.0,0.7272727272727273,1.0,0.6415,0.08333333333333333,0.09090909090909091,0.36363636363636365,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,True
101107-101136-201143-2585-2735,1610612737,"Marvin Williams, Salim Stoudamire, Al Horford, Zaza Pachulia, Josh Childress","Williams, Stoudamire, Horford, Pachulia, Childress",101107-101136-201143-2585-2735,ATL,103.0,1,1.0,4.0,4.0,2.0,4.0,8,,1.0,4.0,1.0,,2.0,,111.84466019417476,13.75,12.0,13.75,11.25,,0.8426,0.8426,0.7,0.5,2.0,,1.0,1.0,,,,,,,1.0,,,3.0,5.0,,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,1.0,2.0,,4.0,2.0,5.0,,,,1.0,,1.0,,0.8333333333333334,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,0.6666666666666666,0.6666666666666666,,,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,True
101107-1710-200780-201143-2207,1610612737,"Marvin Williams, Mike Bibby, Solomon Jones, Al Horford, Joe Johnson","Williams, Bibby, Jones, Horford, Johnson",101107-1710-200780-201143-2207,ATL,154.0,1,2.0,4.0,5.0,3.0,5.0,9,,3.0,,2.0,1.0,3.0,,84.15584415584415,21.0,14.0,16.25,14.0,,0.49492,0.51975,5.666666666666667,0.75,3.0,1.0,,1.0,,,1.0,2.0,,1.0,1.0,,2.0,,2.0,,,,2.0,,,1.0,,1.0,,,,,1.0,1.0,2.0,3.0,1.0,4.0,,,,,1.0,,,,2.0,,,,0.3333333333333333,,0.2,,0.2,,0.4,0.3333333333333333,1.0,,1.0,0.5,1.0,1.0,0.25,1.0,,,,1.0,1.0,,0.2,,,0.4,0.5,0.5,0.2,,,,,,0.6,,0.5685,,,,24.5,,1.0,1.0,,2.0,,,,,,2.0,0.5,0.25,0.25,,0.25,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.2,1.0,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,True
101107-1710-200780-201151-2585,1610612737,"Marvin Williams, Mike Bibby, Solomon Jones, Acie Law, Zaza Pachulia","Williams, Bibby, Jones, Law, Pachulia",101107-1710-200780-201151-2585,ATL,64.0,1,4.0,3.0,2.0,3.0,2.0,5,1.0,1.0,,1.0,,3.0,,112.5,14.0,11.0,14.0,11.0,1.0,0.3414,0.3414,19.9,1.0,1.0,,,,,,,,,,1.0,,,2.0,4.0,,,,2.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,1.0,,2.0,1.0,4.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,1.0,2.0,4.0,,1.0,,1.0,,4.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,True
101107-1710-200780-2207-2585,1610612737,"Marvin Williams, Mike Bibby, Solomon Jones, Joe Johnson, Zaza Pachulia","Williams, Bibby, Jones, Johnson, Pachulia",101107-1710-200780-2207-2585,ATL,15.0,1,2.0,1.0,,1.0,,1,,,,,,1.0,,96.0,15.0,,15.0,,,,,,1.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,True
101107-1710-200780-2585-2735,1610612737,"Marvin Williams, Mike Bibby, Solomon Jones, Zaza Pachulia, Josh Childress","Williams, Bibby, Jones, Pachulia, Childress",101107-1710-200780-2585-2735,ATL,57.0,1,3.0,2.0,2.0,2.0,2.0,4,1.0,2.0,2.0,2.0,1.0,2.0,1.0,101.05263157894737,20.0,8.5,17.0,8.5,0.3333333333333333,0.49288333333333334,0.49288333333333334,9.7,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,5.0,,,3.0,,3.0,,1.0,1.0,,1.0,2.0,1.0,5.0,1.0,,,,1.0,1.0,,,,,,,,,2.0,1.0,1.0,1.0,0.5,,0.8333333333333334,1.5,0.8333333333333334,1.5,0.3333333333333333,,,,,1.0,,,1.0,1.0,,,,,,,0.3333333333333333,,,,,,0.3333333333333333,1.0,1.0,1.0,,,0.6666666666666666,1.0,0.53925,,,0.6,26.0,,1.0,1.0,,5.0,,,,,,5.0,0.5,0.8333333333333334,0.8333333333333334,,0.3333333333333333,,1.0,,,,1.0,1.0,1.0,,,,0.3333333333333333,1.0,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,True
101107-1710-200780-2735-2746,1610612737,"Marvin Williams, Mike Bibby, Solomon Jones, Josh Childress, Josh Smith","Williams, Bibby, Jones, Childress, Smith",101107-1710-200780-2735-2746,ATL,139.0,1,4.0,6.0,6.0,6.0,6.0,12,,3.0,6.0,3.0,1.0,6.0,1.0,124.31654676258992,9.833333333333334,13.333333333333334,9.833333333333334,12.0,,0.7200125,0.7200125,,1.0,2.0,,3.0,3.0,,,,,,1.0,3.0,,1.0,4.0,10.0,,,,2.0,,,1.0,,,,2.0,,4.0,,1.0,,2.0,,2.0,,,,,2.0,,4.0,1.0,10.0,,,,1.0,,0.75,,0.8333333333333334,,0.25,,,,,,1.0,0.5,,,,,,,1.0,,0.75,1.0,1.0,,,,0.25,,,,,,1.0,,,0.2,0.25,,26.7,3.0,3.0,3.0,4.0,10.0,1.0,2.0,2.0,,,10.0,1.0,0.75,0.8333333333333334,1.0,0.75,1.0,1.0,,,,1.0,,1.0,,,,0.25,,,,,,,,,,,1.0,1.0,,,,,,4.0,2.0,,0.6666666666666666,0.6666666666666666,,,,,,,,2.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,True
101107-1710-201143-201151-2746,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Acie Law, Josh Smith","Williams, Bibby, Horford, Law, Smith",101107-1710-201143-201151-2746,ATL,11.0,1,1.0,,1.0,,1.0,1,,,,,,,,130.9090909090909,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,True
101107-1710-201143-2207-2585,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Joe Johnson, Zaza Pachulia","Williams, Bibby, Horford, Johnson, Pachulia",101107-1710-201143-2207-2585,ATL,373.0,2,1.0,12.0,13.0,7.0,9.0,25,1.0,7.0,15.0,6.0,4.0,7.0,2.0,96.51474530831099,17.416666666666668,12.615384615384615,17.333333333333332,12.307692307692308,0.1,0.511125,0.5202571428571429,4.942857142857143,0.5833333333333334,6.0,1.0,3.0,4.0,,1.0,,2.0,1.0,3.0,4.0,1.0,3.0,5.0,16.0,,1.0,,,3.0,,3.0,1.0,,1.0,5.0,1.0,11.0,1.0,1.0,1.0,3.0,1.0,4.0,,,,,5.0,1.0,6.0,2.0,16.0,1.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,,0.55,,0.6153846153846154,,0.3,,,,1.0,0.3333333333333333,1.0,1.0,0.2,,0.5,,,1.0,1.0,,0.4,0.75,0.75,0.2,,,0.3,0.3333333333333333,0.3333333333333333,1.0,1.0,,0.7,0.3333333333333333,0.5793,0.16666666666666666,0.2222222222222222,,27.46666666666667,2.0,3.0,3.0,1.0,10.0,1.0,1.0,1.0,,,10.0,0.5,0.6428571428571429,0.625,1.0,0.42857142857142855,0.6666666666666666,0.625,,,,1.0,,1.0,,,,0.14285714285714285,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,8.0,4.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,3.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,True
