EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG3A,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Rebounds,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,FtPoints,SecondChanceFtPoints,SecondChancePoints,OffThreePtRebounds,DefThreePtRebounds,DefRebounds,DeadBallTurnovers,Turnovers,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,SecondChanceTsPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyDefPoss,LongMidRangeFGM,LongMidRangeAssists,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyOffPoss,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,DefTwoPtRebounds,FTDefRebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Travels,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefAtRimReboundPct,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGA,Arc3FGM,FG3M,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,LostBallTurnovers,NonShootingPenaltyNonTakeFouls,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,DefLongMidRangeReboundPct,ShortMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,Blocked3s,BlockedArc3,Blocks,Corner3FGA,SecondChanceCorner3FGA,Offensive Fouls Drawn,Corner3Frequency,SecondChanceCorner3Frequency,Loose Ball Fouls,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFg2Pct,SecondChanceEfgPct,OffCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,BadPassSteals,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeAssists,SelfOReb,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3FGA,PenaltyFG3A,PtsAssisted3s,ThreePtAssists,Arc3Assists,Blocked2s,BlockedAtRim,RecoveredBlocks,Assisted3sPct,BlocksRecoveredPct,Arc3PctAssisted,PenaltyArc3Frequency,PtsPutbacks,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,BlockedShortMidRange,AtRimPctBlocked,OffAtRimReboundPct,PenaltyCorner3FGA,PenaltyCorner3Frequency,Technical Free Throw Trips,Clear Path Fouls,Corner3FGM,Corner3Assists,Defensive 3 Seconds Violations,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,LostBallOutOfBoundsTurnovers,PenaltyFg3Pct,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,3SecondViolations,HeaveAttempts,SecondChanceCorner3FGM,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,Arc3PctBlocked,BlockedCorner3,OffensiveGoaltends,team_id,year,season,team_vs
101128-101158-1630-1903-200763,1610612758,"Francisco Garcia, Orien Greene, Mikki Moore, Kenny Thomas, Quincy Douby","Garcia, Greene, Moore, Thomas, Douby",101128-101158-1630-1903-200763,SAC,107.0,1,2.0,-5.0,3.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.25,0.25,0.25,0.5,0.3333333333333333,0.5,80.74766355140187,19.666666666666668,16.0,17.0,16.0,0.25,1.0,1.0,1.0,0.5,0.25,1.0,0.5,0.482625,0.5316,13.799999999999999,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2008,2007-08,False
101128-101158-1630-200763-201208,1610612758,"Francisco Garcia, Orien Greene, Mikki Moore, Quincy Douby, Darryl Watkins","Garcia, Greene, Moore, Douby, Watkins",101128-101158-1630-200763-201208,SAC,60.0,1,1.0,1.0,2.0,1.0,1.0,3.0,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,1.0,2.0,1.0,,,,,,0.25,1.0,,1.0,,72.0,17.5,25.0,17.5,18.0,,,,,,1.0,,1.0,0.5256,,,24.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2008,2007-08,False
101128-101158-1630-2422-949,1610612758,"Francisco Garcia, Orien Greene, Mikki Moore, John Salmons, Shareef Abdur-Rahim","Garcia, Greene, Moore, Salmons, Abdur-Rahim",101128-101158-1630-2422-949,SAC,45.0,1,1.0,2.0,1.0,1.0,,2.0,,,1.0,,,1.0,1.0,,2.0,,,2.0,,1.0,1.0,,2.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,64.0,17.0,28.0,17.0,28.0,,,,,1.0,,,,0.4097,,20.3,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2008,2007-08,False
101128-101158-1802-201208-2422,1610612758,"Francisco Garcia, Orien Greene, Brad Miller, Darryl Watkins, John Salmons","Garcia, Greene, Miller, Watkins, Salmons",101128-101158-1802-201208-2422,SAC,178.0,2,3.0,3.0,7.0,8.0,,15.0,2.0,2.0,1.0,,,3.0,3.0,,8.0,5.0,,2.0,,1.0,1.0,1.0,2.0,,,2.0,1.0,8.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,121.34831460674157,13.571428571428571,10.375,13.571428571428571,10.375,0.6666666666666666,1.0,1.0,0.5,0.3333333333333333,,,0.6666666666666666,0.5462,,7.3,,2.0,,,,,2.0,1.0,3.0,,2.0,2.0,1.0,,,,1.0,,,0.25,0.25,,2.0,1.0,,1.0,1.0,,4.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.4141,0.5,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2008,2007-08,False
101128-101158-1802-201208-2755,1610612758,"Francisco Garcia, Orien Greene, Brad Miller, Darryl Watkins, Kevin Martin","Garcia, Greene, Miller, Watkins, Martin",101128-101158-1802-201208-2755,SAC,225.0,2,4.0,-10.0,8.0,8.0,,16.0,,,1.0,1.0,,,4.0,1.0,7.0,17.0,,,1.0,,,,,,,1.0,3.0,7.0,,,,0.3,0.5,0.2,,,,102.4,17.125,11.0,17.125,11.0,,,,,0.2,0.2,,0.2,0.43687,,10.2,25.2,4.0,,,,,1.0,,1.0,,2.0,4.0,2.0,,,,1.0,,,0.2857142857142857,0.3333333333333333,,6.0,,,,,,,,,,,,1.0,,,,1.0,,,,2.0,,,,,,,1.0,,1.0,,,,,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,0.6,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2008,2007-08,False
101128-101158-1802-2422-2755,1610612758,"Francisco Garcia, Orien Greene, Brad Miller, John Salmons, Kevin Martin","Garcia, Greene, Miller, Salmons, Martin",101128-101158-1802-2422-2755,SAC,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2008,2007-08,False
101128-101158-1802-2755-949,1610612758,"Francisco Garcia, Orien Greene, Brad Miller, Kevin Martin, Shareef Abdur-Rahim","Garcia, Greene, Miller, Martin, Abdur-Rahim",101128-101158-1802-2755-949,SAC,118.0,1,2.0,-2.0,3.0,3.0,1.0,6.0,,,2.0,1.0,,,2.0,2.0,,2.0,1.0,,1.0,,,,,,1.0,2.0,,,,,,,,0.5,,0.25,,73.22033898305085,21.0,18.333333333333332,17.666666666666668,16.666666666666668,,,,,0.5,0.25,,0.5,0.4993375,,17.0,23.75,,,,1.0,,1.0,,,,2.0,,,,,0.5,0.5,1.0,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2008,2007-08,False
101128-101158-1903-200763-2755,1610612758,"Francisco Garcia, Orien Greene, Kenny Thomas, Quincy Douby, Kevin Martin","Garcia, Greene, Thomas, Douby, Martin",101128-101158-1903-200763-2755,SAC,236.0,1,4.0,-3.0,6.0,5.0,1.0,11.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,7.0,1.0,2.0,2.0,1.0,1.0,,2.0,,1.0,3.0,1.0,4.0,0.5,0.5,0.6666666666666666,0.4,0.4,0.4,,0.3333333333333333,,67.11864406779661,22.0,20.8,19.333333333333332,20.8,0.2,1.0,1.0,,0.4,0.4,1.0,0.6,0.46193,,11.833333333333334,25.1,,,,1.0,2.0,2.0,1.0,2.0,,1.0,,,,1.0,0.5,0.5,0.5,1.0,,,,,1.0,1.0,0.5,0.5,1.0,,,,,,2.0,,,,,1.0,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2008,2007-08,False
101128-101158-1903-200763-949,1610612758,"Francisco Garcia, Orien Greene, Kenny Thomas, Quincy Douby, Shareef Abdur-Rahim","Garcia, Greene, Thomas, Douby, Abdur-Rahim",101128-101158-1903-200763-949,SAC,136.0,1,2.0,,4.0,4.0,1.0,8.0,1.0,1.0,,,,1.0,4.0,1.0,2.0,2.0,,,,,,,,,1.0,3.0,,,,,0.25,0.2,0.2,0.2,,0.25,,84.70588235294117,20.75,13.25,20.0,13.25,0.2,1.0,1.0,,,,,0.4,0.4923,,8.1,23.3,,,2.0,1.0,1.0,2.0,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,3.0,,,,,2.0,,,,,0.5,0.6666666666666666,1.0,0.6,,,,,,,1.0,,,0.2,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2008,2007-08,False
101128-101158-1903-2755-2757,1610612758,"Francisco Garcia, Orien Greene, Kenny Thomas, Kevin Martin, Beno Udrih","Garcia, Greene, Thomas, Martin, Udrih",101128-101158-1903-2755-2757,SAC,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2008,2007-08,False
