EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,FG2A,OpponentPoints,Fouls,NonShootingPenaltyNonTakeFouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFG3A,PenaltyFG2A,PenaltyFG3A,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,PenaltyOffPossExcludingTakeFouls,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,Arc3Frequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,FG2M,Points,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,FtPoints,PenaltyFG3M,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,DefTwoPtRebounds,SelfOReb,Steals,LostBallSteals,BadPassTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,ShortMidRangeFGM,PtsUnassisted2s,ShortMidRangeAssists,AtRimPctBlocked,OffLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFGM,LongMidRangeAssists,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PtsPutbacks,Fg3aBlocked,Offensive Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,Arc3PctBlocked,OffAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,BadPassSteals,SecondChanceAtRimPctAssisted,SecondChanceFtPoints,FTOffRebounds,BlockedShortMidRange,OffFTReboundPct,Travels,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,HeaveAttempts,Clear Path Fouls,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,team_id,year,season,team_vs
101204-1800-1887-2484-693,1610612739,"Dwayne Jones, Damon Jones, Wally Szczerbiak, Devin Brown, Joe Smith","Jones, Jones, Szczerbiak, Brown, Smith",101204-1800-1887-2484-693,CLE,94.0,1,2.0,-6.0,3.0,2.0,2.0,5.0,1.0,2.0,3.0,6.0,1.0,1.0,76.59574468085107,16.666666666666668,22.0,16.666666666666668,22.0,0.3333333333333333,0.6666666666666666,0.3983666666666667,15.266666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2008,2007-08,False
101204-1800-2484-2562-693,1610612739,"Dwayne Jones, Damon Jones, Devin Brown, Sasha Pavlovic, Joe Smith","Jones, Jones, Brown, Pavlovic, Smith",101204-1800-2484-2562-693,CLE,119.0,1,2.0,-7.0,5.0,4.0,4.0,9.0,1.0,,1.0,7.0,2.0,,108.90756302521008,20.0,4.75,15.6,4.75,0.3333333333333333,,0.36718333333333336,4.0,5.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,0.6666666666666666,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.3321,0.36718333333333336,25.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2008,2007-08,False
101204-1800-2484-2753-693,1610612739,"Dwayne Jones, Damon Jones, Devin Brown, Delonte West, Joe Smith","Jones, Jones, Brown, West, Smith",101204-1800-2484-2753-693,CLE,98.0,1,2.0,-2.0,2.0,3.0,,5.0,1.0,,2.0,4.0,1.0,,73.46938775510205,27.0,14.666666666666666,27.0,12.666666666666666,0.5,,0.48835,5.1,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,0.5,,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2008,2007-08,False
101204-1800-2484-2760-2873,1610612739,"Dwayne Jones, Damon Jones, Devin Brown, Anderson Varejao, Billy Thomas","Jones, Jones, Brown, Varejao, Thomas",101204-1800-2484-2760-2873,CLE,257.0,1,4.0,1.0,10.0,9.0,9.0,19.0,1.0,,1.0,6.0,2.0,1.0,106.4591439688716,13.9,13.11111111111111,11.8,13.11111111111111,0.125,,0.4824625,6.0,6.0,2.0,3.0,,2.0,7.0,2.0,1.0,4.0,3.0,1.0,,1.0,5.0,3.0,8.0,2.0,1.0,,3.0,1.0,1.0,6.0,0.875,1.0,1.0,0.6666666666666666,1.0,,0.5,,0.375,,0.4,0.875,,0.43996,24.285714285714285,0.6,,,,7.0,,,2.0,,6.0,1.0,1.0,7.0,,,,0.375,0.3888888888888889,1.0,1.0,,,,,,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,6.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,0.2857142857142857,0.25,0.2857142857142857,0.3,0.3,1.0,0.6,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,0.5,0.25,0.25,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.4,0.5,0.3333333333333333,0.1111111111111111,0.5,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2008,2007-08,False
101204-1800-2484-2873-693,1610612739,"Dwayne Jones, Damon Jones, Devin Brown, Billy Thomas, Joe Smith","Jones, Jones, Brown, Thomas, Smith",101204-1800-2484-2873-693,CLE,226.0,2,4.0,3.0,8.0,9.0,8.0,17.0,1.0,1.0,4.0,7.0,5.0,1.0,108.31858407079646,16.5,10.444444444444445,15.625,10.222222222222221,0.14285714285714285,0.14285714285714285,0.5369499999999999,7.85,,1.0,3.0,1.0,,3.0,1.0,,,3.0,1.0,1.0,2.0,4.0,1.0,5.0,,2.0,,2.0,,4.0,,0.42857142857142855,0.25,,,0.6666666666666666,0.5,0.3333333333333333,,0.42857142857142855,1.0,,0.7142857142857143,0.56205,,25.833333333333332,,1.0,2.0,2.0,10.0,2.0,1.0,3.0,,8.0,1.0,,10.0,0.5,0.5,0.5,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,0.2857142857142857,0.5,1.0,,,,,,2.0,,2.0,,,,6.0,2.0,2.0,2.0,,,1.0,,,,,,,,,,1.0,0.6666666666666666,,0.6666666666666666,,,1.0,,,,,1.0,,,,,,,0.6666666666666666,0.6666666666666666,1.0,,,,0.6666666666666666,,,,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2008,2007-08,False
101204-1887-2484-2753-693,1610612739,"Dwayne Jones, Wally Szczerbiak, Devin Brown, Delonte West, Joe Smith","Jones, Szczerbiak, Brown, West, Smith",101204-1887-2484-2753-693,CLE,64.0,1,1.0,-2.0,2.0,3.0,3.0,5.0,,1.0,1.0,6.0,3.0,2.0,112.5,17.5,9.666666666666666,17.5,9.666666666666666,,1.0,0.3347,18.2,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,4.0,2.0,1.0,1.0,,2.0,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2008,2007-08,False
101204-200789-2484-2562-693,1610612739,"Dwayne Jones, Daniel Gibson, Devin Brown, Sasha Pavlovic, Joe Smith","Jones, Gibson, Brown, Pavlovic, Smith",101204-200789-2484-2562-693,CLE,344.0,2,6.0,8.0,14.0,12.0,12.0,26.0,4.0,3.0,10.0,5.0,2.0,,108.83720930232558,12.285714285714286,14.333333333333334,12.285714285714286,13.166666666666666,0.3333333333333333,0.25,0.4274166666666666,9.540000000000001,14.0,2.0,2.0,,2.0,2.0,,10.0,2.0,2.0,,1.0,1.0,8.0,2.0,10.0,,,,,,2.0,14.0,0.16666666666666666,,,,1.0,0.2,0.2857142857142857,,0.16666666666666666,,0.16666666666666666,0.4166666666666667,0.649,0.4274166666666666,26.9,1.0,2.0,3.0,5.0,13.0,4.0,2.0,2.0,1.0,4.0,1.0,3.0,11.0,0.4,0.5,0.5,0.4166666666666667,0.4642857142857143,1.0,0.7777777777777778,1.0,0.25,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,3.0,,13.0,,,,,,1.0,6.0,,,,,,,4.0,1.0,13.0,,,,,0.4166666666666667,0.4642857142857143,0.75,0.5,0.5,,1.0,0.6,,,,,,,,,,,,,,0.07692307692307693,0.09090909090909091,1.0,2.0,6.0,1.0,,,0.5,0.5,0.5,1.0,,0.3333333333333333,0.3333333333333333,,1.0,1.0,2.0,3.0,1.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.25,0.6666666666666666,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2008,2007-08,False
1112-1800-2544-2753-2760,1610612739,"Ben Wallace, Damon Jones, LeBron James, Delonte West, Anderson Varejao","Wallace, Jones, James, West, Varejao",1112-1800-2544-2753-2760,CLE,4.0,1,,,,1.0,1.0,1.0,,,,,,,360.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2008,2007-08,False
1112-1887-200789-2484-2544,1610612739,"Ben Wallace, Wally Szczerbiak, Daniel Gibson, Devin Brown, LeBron James","Wallace, Szczerbiak, Gibson, Brown, James",1112-1887-200789-2484-2544,CLE,49.0,1,1.0,,2.0,2.0,,4.0,,,1.0,2.0,1.0,,117.55102040816327,4.5,20.0,4.5,20.0,,,0.6488,1.1,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,0.6488,,0.5,1.0,1.0,1.0,2.0,,,,,,,,2.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,2.0,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2008,2007-08,False
1112-1887-200789-2544-2760,1610612739,"Ben Wallace, Wally Szczerbiak, Daniel Gibson, LeBron James, Anderson Varejao","Wallace, Szczerbiak, Gibson, James, Varejao",1112-1887-200789-2544-2760,CLE,277.0,3,5.0,-5.0,10.0,11.0,2.0,21.0,2.0,,6.0,13.0,1.0,,109.16967509025272,17.1,9.636363636363637,16.6,9.272727272727273,0.25,,0.52536875,4.066666666666666,4.0,1.0,1.0,,,2.0,,2.0,,1.0,2.0,,1.0,2.0,1.0,3.0,,,,,,1.0,4.0,0.25,0.3333333333333333,,,1.0,,0.2,,0.125,,,0.75,0.6467,0.4021,23.95,0.4,2.0,4.0,3.0,8.0,6.0,3.0,3.0,2.0,6.0,,3.0,6.0,1.0,1.0,0.5,0.375,0.36363636363636365,,0.25,,0.5,0.5,1.0,1.0,,1.0,,,,,,2.0,,1.0,,,,,,1.0,1.0,,2.0,,,,,6.0,3.0,1.0,,,,,,0.125,0.3333333333333333,0.5,1.0,,,0.5,,,0.125,,,,,,,,,,,0.2727272727272727,0.3333333333333333,0.125,1.0,,1.0,0.5,,0.5,0.5,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,1.0,1.0,0.5,,0.25,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2008,2007-08,False
