EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Travels,Turnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,PenaltyArc3FGA,PenaltyFG3A,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,FTDefRebounds,PenaltyTurnovers,ShootingFouls,Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,DefFTReboundPct,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,SecondChanceAtRimFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,OffTwoPtRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,Offensive Fouls Drawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,PtsPutbacks,OffLongMidRangeReboundPct,SecondChanceFtPoints,SelfOReb,LostBallOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,SelfORebPct,PtsUnassisted3s,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,BadPassOutOfBoundsTurnovers,LostBallTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,ShortMidRangeAssists,3SecondViolations,ShortMidRangePctAssisted,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Loose Ball Fouls,BlockedShortMidRange,PenaltyCorner3FGM,Fg3aBlocked,StepOutOfBoundsTurnovers,Offensive Fouls,Technical Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,DefCorner3ReboundPct,PenaltyCorner3Accuracy,Defensive 3 Seconds Violations,Loose Ball Fouls Drawn,SecondChanceArc3FGA,SecondChanceArc3Frequency,Corner3PctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,Clear Path Fouls,SecondChanceCorner3FGM,BlockedLongMidRange,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,DefensiveGoaltends,LongMidRangePctBlocked,OffensiveGoaltends,Blocked3s,BlockedCorner3,BlockedArc3,team_id,year,season,team_vs
101162-1727-1740-200755-2039,1610612753,"Marcin Gortat, Pat Garrity, Rashard Lewis, JJ Redick, Keyon Dooling","Gortat, Garrity, Lewis, Redick, Dooling",101162-1727-1740-200755-2039,ORL,231.0,1,4.0,-3.0,7.0,7.0,3.0,2.0,14.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,6.0,2.0,1.0,3.0,6.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,0.16666666666666666,0.3333333333333333,0.125,0.3333333333333333,0.1875,0.5,0.25,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,87.27272727272727,21.857142857142858,11.142857142857142,20.285714285714285,11.142857142857142,0.25,0.25,0.5,0.5,0.25,0.25,1.0,0.5,0.43995,0.5825,0.28073333333333333,0.125,0.16666666666666666,1.0,9.950000000000001,25.85,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
101162-1727-200755-200788-2045,1610612753,"Marcin Gortat, Pat Garrity, JJ Redick, James Augustine, Hedo Turkoglu","Gortat, Garrity, Redick, Augustine, Turkoglu",101162-1727-200755-200788-2045,ORL,141.0,1,2.0,,6.0,5.0,6.0,,11.0,1.0,,,,2.0,1.0,3.0,3.0,1.0,,6.0,6.0,,3.0,3.0,,6.0,2.0,1.0,,,2.0,3.0,,3.0,,,1.0,,1.0,,,,,6.0,6.0,6.0,1.0,1.0,0.75,0.75,0.75,0.75,0.25,1.0,,,1.0,,,,1.0,,112.34042553191489,13.166666666666666,12.4,13.166666666666666,12.4,0.25,,,,0.5,0.25,,0.5,0.47415,,0.47415,,,1.0,11.200000000000001,26.1,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
101162-1727-200755-2230-2306,1610612753,"Marcin Gortat, Pat Garrity, JJ Redick, Maurice Evans, Carlos Arroyo","Gortat, Garrity, Redick, Evans, Arroyo",101162-1727-200755-2230-2306,ORL,847.0,3,14.0,-5.0,26.0,27.0,15.0,4.0,53.0,6.0,2.0,1.0,4.0,5.0,7.0,8.0,15.0,11.0,2.0,27.0,32.0,5.0,4.0,9.0,2.0,16.0,2.0,7.0,4.0,3.0,5.0,8.0,7.0,15.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,,2.0,21.0,16.0,15.0,0.5333333333333333,0.4444444444444444,0.4807692307692308,0.5,0.48214285714285715,0.5,0.4230769230769231,0.7142857142857143,1.0,0.5,0.8,0.4666666666666667,0.2,1.0,0.5,1.0,90.10625737898465,17.346153846153847,14.666666666666666,16.0,14.666666666666666,0.23076923076923078,0.15384615384615385,0.25,0.3333333333333333,0.19230769230769232,0.2692307692307692,0.3333333333333333,0.6538461538461539,0.5100173076923077,0.4169333333333333,0.4983142857142857,0.07142857142857142,0.11764705882352941,0.5925925925925926,9.626666666666667,24.88181818181818,0.5769230769230769,4.0,4.0,1.0,3.0,3.0,3.0,5.0,14.0,7.0,10.0,3.0,23.0,,3.0,1.0,4.0,0.875,0.875,,,0.6666666666666666,0.8,0.6,0.6,1.0,0.21428571428571427,0.3333333333333333,0.21428571428571427,1.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,6.0,2.0,9.0,2.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,0.2727272727272727,0.4,0.2727272727272727,0.6,0.5,0.5,0.13333333333333333,0.16666666666666666,0.25,0.75,0.42857142857142855,1.0,0.3333333333333333,1.0,1.0,0.15384615384615385,0.25,0.25,1.0,0.2857142857142857,0.2857142857142857,1.0,0.5,1.0,0.16666666666666666,0.14285714285714285,0.6666666666666666,0.2857142857142857,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
101162-200755-200788-2039-2586,1610612753,"Marcin Gortat, JJ Redick, James Augustine, Keyon Dooling, Keith Bogans","Gortat, Redick, Augustine, Dooling, Bogans",101162-200755-200788-2039-2586,ORL,205.0,1,3.0,4.0,6.0,5.0,,1.0,11.0,3.0,1.0,,,2.0,,3.0,5.0,1.0,2.0,11.0,7.0,1.0,,,,,2.0,,,,2.0,2.0,1.0,3.0,,,,,,2.0,2.0,,1.0,9.0,,,0.6,,0.75,,0.7857142857142857,,0.16666666666666666,1.0,,,1.0,0.5,,1.0,,,77.26829268292683,16.5,21.2,16.5,21.2,0.5,,,,0.3333333333333333,,1.0,0.6666666666666666,0.5189333333333334,0.5469,,0.14285714285714285,0.16666666666666666,,8.459999999999999,24.1,,,2.0,,,1.0,,,4.0,2.0,3.0,1.0,7.0,,,1.0,1.0,0.6666666666666666,1.0,,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,,2.0,,3.0,,,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,0.5,,,,0.5,0.16666666666666666,1.0,1.0,1.0,,,,1.0,,,,,,0.18181818181818182,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
101162-200755-200788-2306-2586,1610612753,"Marcin Gortat, JJ Redick, James Augustine, Carlos Arroyo, Keith Bogans","Gortat, Redick, Augustine, Arroyo, Bogans",101162-200755-200788-2306-2586,ORL,570.0,1,10.0,2.0,19.0,19.0,,4.0,38.0,10.0,5.0,,2.0,3.0,6.0,7.0,15.0,7.0,1.0,24.0,22.0,6.0,,,,,4.0,6.0,3.0,2.0,1.0,5.0,7.0,12.0,1.0,1.0,1.0,,1.0,3.0,4.0,,2.0,19.0,,,0.4666666666666667,,0.5227272727272727,,0.5,,0.3181818181818182,0.2,1.0,0.75,0.42857142857142855,0.5833333333333334,0.6666666666666666,1.0,,1.0,96.0,15.526315789473685,14.473684210526315,14.473684210526315,14.157894736842104,0.45454545454545453,0.09090909090909091,,,0.13636363636363635,0.2727272727272727,0.8333333333333334,0.7727272727272727,0.5289068181818182,0.5809666666666666,,0.08333333333333333,0.11764705882352941,,5.133333333333334,25.185714285714287,,4.0,6.0,,,1.0,,,10.0,5.0,8.0,1.0,19.0,2.0,,3.0,5.0,0.7142857142857143,1.0,1.0,,0.6,0.6,0.3333333333333333,0.3333333333333333,1.0,,,,2.0,,1.0,,,3.0,,3.0,2.0,,5.0,,9.0,3.0,,3.0,3.0,,4.0,4.0,,,,,1.0,1.0,0.42857142857142855,,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.35714285714285715,,,,,0.5,0.75,,1.0,0.6666666666666666,0.045454545454545456,,,,0.5,0.5,1.0,0.4,,,,,0.5,0.20833333333333334,4.0,0.5,1.0,1.0,1.0,1.0,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
101162-200788-2039-2306-2586,1610612753,"Marcin Gortat, James Augustine, Keyon Dooling, Carlos Arroyo, Keith Bogans","Gortat, Augustine, Dooling, Arroyo, Bogans",101162-200788-2039-2306-2586,ORL,281.0,1,5.0,10.0,8.0,7.0,1.0,1.0,15.0,3.0,1.0,,,1.0,1.0,3.0,4.0,3.0,1.0,10.0,,1.0,,1.0,,,,1.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,,1.0,,2.0,2.0,1.0,1.0,1.0,10.0,,1.0,0.75,,0.6428571428571429,,0.7142857142857143,,0.42857142857142855,0.6666666666666666,1.0,0.5,0.75,0.5,,0.5,,1.0,76.86832740213522,17.5,20.142857142857142,17.5,20.142857142857142,0.42857142857142855,,,,0.14285714285714285,0.14285714285714285,1.0,0.8571428571428571,0.4767214285714286,,0.41985,0.14285714285714285,0.25,,5.325,25.0,0.125,3.0,2.0,,1.0,1.0,,1.0,6.0,3.0,3.0,1.0,6.0,,,,,1.0,1.0,,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.5,,,,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,2.0,,1.0,1.0,1.0,,,,0.3333333333333333,,0.3333333333333333,,,,,,,0.5,,,,1.0,1.0,0.2857142857142857,0.5,0.5,,,,,,,,0.5,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
101162-2045-2230-2306-2567,1610612753,"Marcin Gortat, Hedo Turkoglu, Maurice Evans, Carlos Arroyo, Brian Cook","Gortat, Turkoglu, Evans, Arroyo, Cook",101162-2045-2230-2306-2567,ORL,37.0,1,1.0,,1.0,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,116.75675675675676,15.0,11.0,15.0,11.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
101162-2230-2306-2567-2586,1610612753,"Marcin Gortat, Maurice Evans, Carlos Arroyo, Brian Cook, Keith Bogans","Gortat, Evans, Arroyo, Cook, Bogans",101162-2230-2306-2567-2586,ORL,128.0,1,2.0,-8.0,4.0,4.0,4.0,,8.0,,,,1.0,1.0,,,2.0,,,,8.0,,,2.0,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,4.0,,,,,,,,,,,,,,,,,90.0,19.0,13.0,19.0,13.0,,0.5,,,0.5,,,,0.35985,,0.35985,,,,12.65,,1.0,2.0,,,,,,,,,,,,1.0,1.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
1502-1727-1740-200755-2039,1610612753,"Adonal Foyle, Pat Garrity, Rashard Lewis, JJ Redick, Keyon Dooling","Foyle, Garrity, Lewis, Redick, Dooling",1502-1727-1740-200755-2039,ORL,78.0,1,1.0,,2.0,1.0,,1.0,3.0,1.0,,,,1.0,,,2.0,,2.0,2.0,2.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,2.0,,1.0,,,,,,,,0.3333333333333333,,,,,,,0.5,,,,,55.38461538461538,28.0,22.0,22.0,22.0,0.5,,,,0.5,,,0.5,0.4188,,,0.3333333333333333,0.3333333333333333,,8.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
1502-1727-1740-2039-2306,1610612753,"Adonal Foyle, Pat Garrity, Rashard Lewis, Keyon Dooling, Carlos Arroyo","Foyle, Garrity, Lewis, Dooling, Arroyo",1502-1727-1740-2039-2306,ORL,175.0,3,3.0,-2.0,8.0,7.0,2.0,,15.0,1.0,,,2.0,1.0,,1.0,4.0,,4.0,6.0,8.0,,,1.0,,,,,,,,,,,1.0,,,,3.0,3.0,4.0,1.0,1.0,6.0,,2.0,0.25,,0.25,,0.6,,,,,,,,,,,,123.42857142857143,13.375,9.714285714285714,13.375,9.714285714285714,0.25,0.5,,,0.25,,,0.25,0.4332,,0.308,0.4,0.25,,9.325,,0.25,4.0,1.0,,,,,,2.0,1.0,1.0,,2.0,,1.0,2.0,3.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,3.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2008,2007-08,False
