EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PlusMinus,SecondChanceOffPoss,AtRimFGA,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,OffTwoPtRebounds,FTDefRebounds,OffRebounds,ShootingFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceTsPct,FG3APct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,AtRimFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChancePointsPct,Avg3ptShotDistance,Technical Free Throw Trips,DefAtRimReboundPct,DefShortMidRangeReboundPct,SecondChanceAtRimFGA,SecondChanceFG2A,Fg2aBlocked,SelfOReb,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,HeaveAttempts,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DeadBallTurnovers,Assisted2sPct,NonPutbacksAssisted2sPct,LongMidRangePctAssisted,AtRimFGM,PenaltyAtRimFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFG3A,PtsAssisted3s,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,OffThreePtRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,Assisted3sPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,SecondChanceEfgPct,DefArc3ReboundPct,SecondChanceAtRimAccuracy,LostBallTurnovers,ShortMidRangeAssists,LostBallSteals,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,BlockedAtRim,RecoveredBlocks,OffArc3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,SecondChanceArc3FGA,FTOffRebounds,OffFTReboundPct,SecondChanceArc3Frequency,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedArc3,Travels,BlockedLongMidRange,3SecondViolations,StepOutOfBoundsTurnovers,BlockedCorner3,SecondChanceArc3FGM,SecondChanceFG3M,DefensiveGoaltends,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
101120-101138-1891-1904-2124,1610612742,"Antoine Wright, Brandon Bass, Jason Terry, Devean George, Malik Allen","Wright, Bass, Terry, George, Allen",101120-101138-1891-1904-2124,DAL,169.0,1,3.0,5.0,5.0,5.0,4.0,10,1.0,1.0,1.0,2.0,2.0,3.0,3.0,7.0,7.0,2.0,3.0,3.0,7.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,7.0,7.0,5.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,85.20710059171597,16.0,17.8,16.0,17.8,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5,0.377,0.377,0.3333333333333333,0.3333333333333333,1.0,15.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,False
101120-101138-1891-2124-711,1610612742,"Antoine Wright, Brandon Bass, Jason Terry, Malik Allen, Jerry Stackhouse","Wright, Bass, Terry, Allen, Stackhouse",101120-101138-1891-2124-711,DAL,59.0,1,1.0,2.0,2.0,2.0,2.0,4,,,,,,1.0,2.0,5.0,2.0,,1.0,2.0,5.0,,,1.0,2.0,3.0,,,,,1.0,1.0,2.0,,1.0,,3.0,5.0,2.0,,,,0.75,0.75,0.8333333333333334,0.8333333333333334,,1.0,,1.0,1.0,,97.6271186440678,7.0,22.5,6.5,22.5,,,,,,,0.473775,0.473775,0.3333333333333333,0.5,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.4,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,False
101120-1904-2124-224-436,1610612742,"Antoine Wright, Devean George, Malik Allen, Eddie Jones, Juwan Howard","Wright, George, Allen, Jones, Howard",101120-1904-2124-224-436,DAL,221.0,1,4.0,6.0,6.0,6.0,6.0,12,1.0,2.0,1.0,1.0,2.0,3.0,2.0,6.0,5.0,2.0,3.0,2.0,6.0,4.0,,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,,,2.0,6.0,6.0,6.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,0.75,,0.75,0.5,,78.19004524886878,17.166666666666668,19.666666666666668,17.166666666666668,17.333333333333332,0.6666666666666666,0.5,0.5,0.3333333333333333,1.0,1.0,0.3867333333333333,0.3867333333333333,,,1.0,9.633333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,False
101138-1717-1731-1891-711,1610612742,"Brandon Bass, Dirk Nowitzki, Tyronn Lue, Jason Terry, Jerry Stackhouse","Bass, Nowitzki, Lue, Terry, Stackhouse",101138-1717-1731-1891-711,DAL,57.0,1,1.0,2.0,1.0,2.0,,3,,2.0,,,,3.0,2.0,2.0,3.0,,3.0,2.0,2.0,,,,,2.0,,,,,1.0,1.0,2.0,,,1.0,,2.0,2.0,1.0,,,,,0.25,0.25,,,,,,,75.78947368421053,21.0,15.0,10.0,15.0,0.6666666666666666,,,,,,0.4033,0.4033,,,1.0,4.6000000000000005,1.0,-1.0,2.0,1.0,1.0,,,,,,,2.0,2.0,,,,,,2.0,,2.0,1.0,,,,0.3333333333333333,,,1.0,1.0,1.0,0.3333333333333333,,,,0.3333333333333333,,,0.3333333333333333,,1.0,,,,,1.0,2.0,2.0,1.0,0.6666666666666666,1.0,0.5,1.0,1.0,0.5,0.4191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,False
101138-1717-1891-1904-224,1610612742,"Brandon Bass, Dirk Nowitzki, Jason Terry, Devean George, Eddie Jones","Bass, Nowitzki, Terry, George, Jones",101138-1717-1891-1904-224,DAL,2.0,1,,,1.0,,,1,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.0,,2.0,,2.0,,,,,,,,,,,,,,-2.0,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,1.0,,,57.4,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,False
101138-1717-1891-1904-2572,1610612742,"Brandon Bass, Dirk Nowitzki, Jason Terry, Devean George, Josh Howard","Bass, Nowitzki, Terry, George, Howard",101138-1717-1891-1904-2572,DAL,217.0,2,4.0,5.0,5.0,,,10,1.0,1.0,1.0,3.0,2.0,4.0,1.0,5.0,8.0,,,,,2.0,,1.0,1.0,1.0,,,1.0,,1.0,2.0,1.0,1.0,1.0,,5.0,,,,0.5,,0.5,,0.625,,,0.5,,0.3333333333333333,,,66.3594470046083,25.4,18.0,25.4,16.8,0.25,1.0,1.0,0.75,0.3333333333333333,0.3333333333333333,0.4036,,0.25,0.25,,16.05,,-3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,False
101138-1717-1891-1904-467,1610612742,"Brandon Bass, Dirk Nowitzki, Jason Terry, Devean George, Jason Kidd","Bass, Nowitzki, Terry, George, Kidd",101138-1717-1891-1904-467,DAL,845.0,5,14.0,28.0,26.0,19.0,10.0,54,,1.0,2.0,6.0,6.0,13.0,11.0,32.0,29.0,3.0,7.0,9.0,18.0,,,7.0,8.0,13.0,3.0,3.0,5.0,4.0,4.0,7.0,12.0,,4.0,2.0,28.0,18.0,19.0,2.0,0.46153846153846156,0.42857142857142855,0.5,0.375,0.5925925925925926,0.5294117647058824,0.6,0.5833333333333334,,0.5833333333333334,0.25,,92.02366863905326,13.892857142857142,17.53846153846154,13.214285714285714,16.615384615384617,0.047619047619047616,,,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.47080952380952384,0.4221333333333333,0.16,0.23529411764705882,0.5625,9.430769230769231,0.6785714285714286,3.0,4.0,6.0,2.0,2.0,4.0,1.0,3.0,3.0,8.0,4.0,4.0,1.0,5.0,,4.0,2.0,3.0,1.0,5.0,1.0,0.375,0.2,0.375,0.6666666666666666,0.38095238095238093,1.0,0.42857142857142855,0.4166666666666667,0.5,0.2857142857142857,0.19047619047619047,0.5,0.5,0.16666666666666666,0.25,0.3333333333333333,0.6666666666666666,0.5,0.125,24.1875,,1.0,0.6666666666666666,,,,1.0,,,,,0.08333333333333333,,0.4686,,12.0,6.0,9.0,2.0,21.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,1.0,2.0,1.0,9.0,3.0,2.0,1.0,4.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.4,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.19047619047619047,0.25,0.25,1.0,1.0,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,False
101138-1717-1891-1904-711,1610612742,"Brandon Bass, Dirk Nowitzki, Jason Terry, Devean George, Jerry Stackhouse","Bass, Nowitzki, Terry, George, Stackhouse",101138-1717-1891-1904-711,DAL,412.0,2,7.0,13.0,12.0,9.0,3.0,25,,1.0,1.0,2.0,4.0,7.0,6.0,17.0,10.0,3.0,6.0,1.0,10.0,8.0,1.0,4.0,5.0,7.0,,,1.0,1.0,5.0,5.0,9.0,1.0,4.0,1.0,14.0,10.0,9.0,1.0,0.5714285714285714,0.5,0.55,0.5,0.6071428571428571,0.5,,1.0,1.0,1.0,1.0,,87.37864077669903,15.23076923076923,17.833333333333332,15.076923076923077,17.833333333333332,0.1,,,0.2,0.5,0.5,0.48463500000000004,0.49924999999999997,0.3076923076923077,0.4,0.5882352941176471,7.1571428571428575,0.6923076923076923,7.0,2.0,4.0,4.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,,2.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.3,,0.6666666666666666,0.4,1.0,0.4,0.2,0.5,0.5,0.4444444444444444,0.2222222222222222,0.5,0.7,0.5,0.17647058823529413,24.400000000000002,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,0.2,1.0,0.5611,,,,,,,1.0,,,,3.0,3.0,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,2.0,,,,,0.75,0.75,,0.1,,,,,,0.75,0.1111111111111111,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,False
101138-1717-1891-224-2572,1610612742,"Brandon Bass, Dirk Nowitzki, Jason Terry, Eddie Jones, Josh Howard","Bass, Nowitzki, Terry, Jones, Howard",101138-1717-1891-224-2572,DAL,69.0,1,1.0,2.0,3.0,2.0,3.0,5,,1.0,,,,1.0,2.0,2.0,6.0,,1.0,2.0,2.0,,,,,,,,,,2.0,1.0,2.0,,1.0,,2.0,2.0,2.0,,,,,,0.5,0.5,,,,,,,104.34782608695653,19.5,10.0,19.5,10.0,1.0,,,,,,0.3525,0.3525,0.5,0.5,1.0,13.7,1.0,-4.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,False
101138-1717-1891-224-467,1610612742,"Brandon Bass, Dirk Nowitzki, Jason Terry, Eddie Jones, Jason Kidd","Bass, Nowitzki, Terry, Jones, Kidd",101138-1717-1891-224-467,DAL,171.0,1,3.0,5.0,5.0,,5.0,10,1.0,1.0,2.0,3.0,3.0,4.0,,6.0,9.0,,,,,4.0,,,1.0,1.0,,,,,,,,,,,6.0,,,,0.75,,0.6,,0.6,,,,,,,,84.21052631578947,21.0,13.2,21.0,13.2,0.2,1.0,1.0,0.6,0.6666666666666666,0.6666666666666666,0.42457,,,,,14.925,,-3.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,0.2,1.0,,,,,,,,,,,0.2,,,22.8,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,,0.3333333333333333,0.3333333333333333,0.5,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,False
