EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,FG2M,FG3M,SecondChanceFG2M,SecondChanceFG2A,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,DefTwoPtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Avg2ptShotDistance,ShootingFouls,Blocked2s,BlockedAtRim,Blocks,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,LongMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,PenaltyFG2M,PtsAssisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DeadBallTurnovers,Offensive Fouls,Corner3FGM,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyFG3M,Corner3Assists,Steals,BadPassSteals,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,ShortMidRangeAssists,LostBallSteals,LostBallTurnovers,Travels,SecondChanceFg3Pct,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Loose Ball Fouls,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,BlockedLongMidRange,ShortMidRangePctBlocked,LongMidRangePctBlocked,HeaveAttempts,SecondChanceCorner3FGM,BadPassOutOfBoundsTurnovers,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,team_id,year,season,team_vs
15-1752-1921-201199-2571,1610612756,"Eric Piatkowski, Sean Marks, Gordan Giricek, DJ Strawberry, Leandro Barbosa","Piatkowski, Marks, Giricek, Strawberry, Barbosa",15-1752-1921-201199-2571,PHX,96.0,1,2.0,2.0,3.0,2.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.16666666666666666,0.5,0.16666666666666666,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,75.0,26.0,14.666666666666666,25.5,14.666666666666666,0.5,0.5,0.5,0.5,1.0,0.33135,0.33135,1.0,1.0,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
1730-1921-1952-2564-2571,1610612756,"Brian Skinner, Gordan Giricek, Raja Bell, Boris Diaw, Leandro Barbosa","Skinner, Giricek, Bell, Diaw, Barbosa",1730-1921-1952-2564-2571,PHX,250.0,1,4.0,7.0,7.0,,,1.0,14.0,,,1.0,,6.0,1.0,,5.0,10.0,,2.0,,,,,1.0,,,,2.0,,2.0,1.0,,,,,,,,,0.35714285714285715,1.0,,0.14285714285714285,,,,1.0,,,,80.64,19.285714285714285,16.428571428571427,17.714285714285715,16.428571428571427,,0.14285714285714285,,,0.14285714285714285,0.3950642857142857,,0.4,,25.5,,-5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,0.16666666666666666,1.0,0.35714285714285715,1.0,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.42857142857142855,1.0,1.0,1.0,1.0,12.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
1730-1921-1952-2571-959,1610612756,"Brian Skinner, Gordan Giricek, Raja Bell, Leandro Barbosa, Steve Nash","Skinner, Giricek, Bell, Barbosa, Nash",1730-1921-1952-2571-959,PHX,1.0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
1730-1921-201199-2564-2571,1610612756,"Brian Skinner, Gordan Giricek, DJ Strawberry, Boris Diaw, Leandro Barbosa","Skinner, Giricek, Strawberry, Diaw, Barbosa",1730-1921-201199-2564-2571,PHX,182.0,1,3.0,6.0,7.0,,3.0,,13.0,1.0,,1.0,,5.0,1.0,,,9.0,,,,,,,1.0,,1.0,,2.0,,2.0,3.0,,,,,,,,,,,,0.16666666666666666,,,1.0,0.5,,,,102.85714285714286,16.0,12.285714285714286,16.0,8.571428571428571,0.16666666666666666,0.16666666666666666,,,0.3333333333333333,0.4844333333333333,,,,25.8,,-9.0,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,0.3333333333333333,,,,,,0.6666666666666666,,,,,15.3,2.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
1730-1921-2405-2564-2571,1610612756,"Brian Skinner, Gordan Giricek, Amar'e Stoudemire, Boris Diaw, Leandro Barbosa","Skinner, Giricek, Stoudemire, Diaw, Barbosa",1730-1921-2405-2564-2571,PHX,426.0,2,7.0,11.0,12.0,8.0,9.0,4.0,23.0,3.0,2.0,1.0,,8.0,2.0,6.0,16.0,13.0,3.0,7.0,5.0,1.0,5.0,11.0,1.0,2.0,1.0,,4.0,4.0,8.0,,5.0,,9.0,2.0,11.0,8.0,,2.0,0.5714285714285714,1.1666666666666667,0.6111111111111112,0.2,,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,1.0,77.74647887323944,16.818181818181817,20.083333333333332,16.272727272727273,18.666666666666668,0.3,0.1,0.3333333333333333,,0.5,0.46342999999999995,0.47718333333333335,0.4375,0.6875,24.35,0.7272727272727273,3.0,2.0,3.0,2.0,,5.0,,2.0,2.0,6.0,,,,2.0,,4.0,3.0,9.0,,,,0.625,1.0,0.5,1.0,0.6,,1.0,0.3,0.6666666666666666,0.6666666666666666,0.2,,,,,6.975,,1.0,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.4,0.5,0.6,0.5,0.125,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.6666666666666666,1.0,0.5,0.5,0.5,1.0,0.1,0.5,1.0,0.5,0.16666666666666666,0.2927,0.25,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
1730-1921-2564-2571-959,1610612756,"Brian Skinner, Gordan Giricek, Boris Diaw, Leandro Barbosa, Steve Nash","Skinner, Giricek, Diaw, Barbosa, Nash",1730-1921-2564-2571-959,PHX,20.0,1,,1.0,1.0,1.0,1.0,,2.0,,,1.0,1.0,,1.0,,,3.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,144.0,4.0,16.0,4.0,16.0,,1.0,,1.0,1.0,0.31095,0.31095,,,24.0,1.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
1730-1952-2405-2564-2571,1610612756,"Brian Skinner, Raja Bell, Amar'e Stoudemire, Boris Diaw, Leandro Barbosa","Skinner, Bell, Stoudemire, Diaw, Barbosa",1730-1952-2405-2564-2571,PHX,33.0,1,1.0,2.0,1.0,,,,3.0,,,,,1.0,,2.0,2.0,,,,,,,,,,,,1.0,,1.0,,1.0,,2.0,,,,,,0.5,,,,,,,1.0,,,,130.9090909090909,11.0,11.0,11.0,11.0,,,,,,0.3106,,,,,,2.0,,,1.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,18.2,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
1730-1952-2405-2564-959,1610612756,"Brian Skinner, Raja Bell, Amar'e Stoudemire, Boris Diaw, Steve Nash","Skinner, Bell, Stoudemire, Diaw, Nash",1730-1952-2405-2564-959,PHX,198.0,1,3.0,5.0,6.0,,,,11.0,1.0,,,,5.0,,,8.0,9.0,,,,,,,,,1.0,,2.0,,2.0,,1.0,,2.0,,,,,,0.6666666666666666,,,,,,1.0,0.6666666666666666,,,1.0,80.0,21.4,15.166666666666666,21.4,14.666666666666666,0.2,,,,0.2,0.42468000000000006,,,,,,-1.0,2.0,2.0,2.0,,4.0,,,,8.0,,,,,,,1.0,8.0,,,,0.8,,0.8,,0.5,0.5,,0.4,1.0,1.0,0.4,,,,,9.26,,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
1730-1952-255-2571-959,1610612756,"Brian Skinner, Raja Bell, Grant Hill, Leandro Barbosa, Steve Nash","Skinner, Bell, Hill, Barbosa, Nash",1730-1952-255-2571-959,PHX,145.0,1,2.0,6.0,6.0,6.0,1.0,,12.0,,,,,3.0,,1.0,3.0,9.0,,,3.0,,1.0,3.0,,,,1.0,3.0,,3.0,2.0,2.0,,4.0,1.0,3.0,6.0,1.0,1.0,0.3,,0.3,,1.0,,,1.0,,,,119.17241379310346,11.333333333333334,12.833333333333334,11.333333333333334,12.833333333333334,,,,,,0.3976,0.3976,,1.0,,1.0,-6.0,1.0,1.0,2.0,,1.0,,,,2.0,,,,,,,2.0,3.0,,,,0.3333333333333333,,0.3333333333333333,,1.0,1.0,,0.3333333333333333,1.0,1.0,0.6666666666666666,,,,,15.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,0.3333333333333333,0.3333333333333333,,,1.0,,,,,,,,,,,,,,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
1730-1952-2564-2571-959,1610612756,"Brian Skinner, Raja Bell, Boris Diaw, Leandro Barbosa, Steve Nash","Skinner, Bell, Diaw, Barbosa, Nash",1730-1952-2564-2571-959,PHX,31.0,1,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,1.0,,,2.0,1.0,,,1.0,,,2.0,,,,,,,,1.0,,,,,2.0,1.0,,,1.0,,1.0,,,,,,,,,92.9032258064516,13.0,18.0,13.0,18.0,1.0,,1.0,,1.0,0.5555,0.5555,,1.0,,1.0,1.0,,,,,1.0,,,,2.0,,,,,,,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
