EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,PtsAssisted2s,TwoPtAssists,AtRimAssists,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,OffTwoPtRebounds,FTDefRebounds,OffRebounds,Defensive 3 Seconds Violations,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,LongMidRangeAssists,LongMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,PtsPutbacks,Corner3Assists,OffThreePtRebounds,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,Fg2aBlocked,ShortMidRangeAssists,DefThreePtRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,BadPassOutOfBoundsTurnovers,3SecondViolations,OffCorner3ReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,LostBallSteals,RecoveredBlocks,BlocksRecoveredPct,SecondChanceArc3Frequency,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Offensive Fouls,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,AtRimPctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyTurnovers,PtsUnassisted3s,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,LongMidRangePctBlocked,FTOffRebounds,Corner3PctBlocked,OffFTReboundPct,BlockedLongMidRange,Travels,StepOutOfBoundsTurnovers,team_id,year,season,team_vs
101120-101138-1891-1904-2124,1610612742,"Antoine Wright, Brandon Bass, Jason Terry, Devean George, Malik Allen","Wright, Bass, Terry, George, Allen",101120-101138-1891-1904-2124,DAL,169.0,1,3.0,5.0,5.0,4.0,5.0,10,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,7.0,7.0,2.0,2.0,1.0,2.0,7.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,7.0,4.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,1.0,0.7,0.875,0.7,0.875,0.4,1.0,1.0,1.0,85.20710059171597,17.8,16.0,17.8,16.0,0.2,1.0,1.0,0.4,0.5,0.5,0.2,0.2,1.0,1.0,1.0,0.25,1.0,0.25,0.25,1.0,0.6,1.0,0.48040000000000005,0.498125,1.0,10.566666666666666,23.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,True
101120-101138-1891-2124-711,1610612742,"Antoine Wright, Brandon Bass, Jason Terry, Malik Allen, Jerry Stackhouse","Wright, Bass, Terry, Allen, Stackhouse",101120-101138-1891-2124-711,DAL,59.0,1,1.0,2.0,2.0,2.0,2.0,4,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,2.0,,,2.0,5.0,1.0,2.0,,,2.0,,,,,,1.0,,2.0,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,,,,,97.6271186440678,22.5,7.0,22.5,6.5,0.5,1.0,1.0,0.5,,,,,,,,0.5,1.0,,,,0.5,,0.41575,0.41575,1.0,10.05,,1.0,-3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,True
101120-1904-2124-224-436,1610612742,"Antoine Wright, Devean George, Malik Allen, Eddie Jones, Juwan Howard","Wright, George, Allen, Jones, Howard",101120-1904-2124-224-436,DAL,221.0,1,4.0,6.0,6.0,6.0,6.0,12,1.0,2.0,1.0,2.0,,2.0,,,,,,,2.0,6.0,,,5.0,6.0,2.0,6.0,,,5.0,2.0,,,,,1.0,,2.0,1.0,2.0,3.0,1.0,1.0,,2.0,1.0,2.0,5.0,6.0,2.0,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.4166666666666667,,1.0,1.0,,78.19004524886878,19.666666666666668,17.166666666666668,17.333333333333332,17.166666666666668,0.3333333333333333,0.5,0.5,0.3333333333333333,,,,,,,,0.3333333333333333,0.5,,,,0.3333333333333333,,0.45788333333333336,0.45788333333333336,1.0,9.183333333333334,,1.0,-1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,0.25,0.25,0.5,1.0,0.3333333333333333,0.5,0.5,0.3647,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,True
101138-1717-1731-1891-711,1610612742,"Brandon Bass, Dirk Nowitzki, Tyronn Lue, Jason Terry, Jerry Stackhouse","Bass, Nowitzki, Lue, Terry, Stackhouse",101138-1717-1731-1891-711,DAL,57.0,1,1.0,1.0,2.0,,2.0,3,,,,,,,,,,,,,1.0,1.0,,,3.0,2.0,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,3.0,,,1.0,,,,,1.0,,1.0,,1.5,,,,,,75.78947368421053,15.0,21.0,15.0,10.0,,,,,,,,,,,,,,,,,,,0.4122,,,7.2,,,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,True
101138-1717-1891-1904-224,1610612742,"Brandon Bass, Dirk Nowitzki, Jason Terry, Devean George, Eddie Jones","Bass, Nowitzki, Terry, George, Jones",101138-1717-1891-1904-224,DAL,2.0,1,,1.0,,,,1,,,,,1.0,1.0,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,,1.0,,2.0,,,,,,,,,2.0,,,,,,,,1.0,,1.0,,1.0,,,,,,720.0,2.0,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,0.2071,,,20.8,,,2.0,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,True
101138-1717-1891-1904-2572,1610612742,"Brandon Bass, Dirk Nowitzki, Jason Terry, Devean George, Josh Howard","Bass, Nowitzki, Terry, George, Howard",101138-1717-1891-1904-2572,DAL,217.0,2,4.0,5.0,5.0,,,10,2.0,3.0,,,,,1.0,,,1.0,,,2.0,4.0,1.0,2.0,8.0,5.0,,,,,,2.0,3.0,1.0,,1.0,2.0,,5.0,2.0,2.0,4.0,,,1.0,2.0,1.0,4.0,,,,1.0,0.5,,0.5,0.5,,0.5833333333333334,,0.5714285714285714,,0.3333333333333333,1.0,1.0,1.0,66.3594470046083,18.0,25.4,16.8,25.4,0.5,0.6666666666666666,0.6666666666666666,,,,0.16666666666666666,0.16666666666666666,,,,,,,,,0.8333333333333334,,0.5135916666666667,,,2.05,23.35,,3.0,2.0,1.0,1.0,2.0,,1.0,0.5,1.0,0.5,0.14285714285714285,0.2,2.0,,1.0,1.0,2.0,2.0,,4.0,,1.0,,2.0,,1.0,1.0,1.0,,0.5,0.6666666666666666,,,0.16666666666666666,,,0.5585,0.5,,,,,,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,True
101138-1717-1891-1904-467,1610612742,"Brandon Bass, Dirk Nowitzki, Jason Terry, Devean George, Jason Kidd","Bass, Nowitzki, Terry, George, Kidd",101138-1717-1891-1904-467,DAL,845.0,5,14.0,26.0,28.0,10.0,19.0,54,3.0,5.0,2.0,3.0,3.0,7.0,2.0,,,,,,9.0,21.0,2.0,2.0,29.0,32.0,4.0,10.0,,,13.0,12.0,6.0,,,2.0,5.0,,12.0,4.0,7.0,12.0,3.0,3.0,4.0,7.0,4.0,21.0,13.0,10.0,2.0,1.0,1.0,,1.0,0.42857142857142855,0.4,0.5217391304347826,0.4,0.5384615384615384,0.46153846153846156,0.08695652173913043,0.5714285714285714,0.5833333333333334,0.5,92.02366863905326,17.53846153846154,13.892857142857142,16.615384615384617,13.214285714285714,0.21739130434782608,0.6,0.6,0.30434782608695654,0.42857142857142855,0.42857142857142855,0.08695652173913043,,,,,0.3,0.6666666666666666,,,,0.30434782608695654,,0.44591521739130435,0.44739000000000007,0.4482758620689655,9.038095238095238,22.85,0.38461538461538464,-3.0,6.0,3.0,1.0,7.0,,1.0,0.3333333333333333,0.375,0.3333333333333333,0.041666666666666664,0.045454545454545456,5.0,3.0,9.0,5.0,3.0,3.0,2.0,8.0,5.0,5.0,,5.0,,1.0,1.0,1.0,,0.4166666666666667,0.4166666666666667,0.75,1.0,0.391304347826087,0.3333333333333333,0.375,0.5085000000000001,0.27586206896551724,,,,,1.0,0.3333333333333333,2.0,2.0,2.0,2.0,2.0,,,,,1.0,1.0,1.0,0.6666666666666666,1.0,,1.0,1.0,3.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.047619047619047616,0.1111111111111111,0.8,0.6,0.3333333333333333,0.5,1.0,0.3333333333333333,0.09090909090909091,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,True
101138-1717-1891-1904-711,1610612742,"Brandon Bass, Dirk Nowitzki, Jason Terry, Devean George, Jerry Stackhouse","Bass, Nowitzki, Terry, George, Stackhouse",101138-1717-1891-1904-711,DAL,412.0,2,7.0,12.0,13.0,3.0,9.0,25,2.0,3.0,,,,2.0,,,,1.0,,,3.0,7.0,,1.0,10.0,17.0,1.0,1.0,,,6.0,4.0,,1.0,,,1.0,,2.0,1.0,5.0,5.0,,,4.0,5.0,5.0,10.0,6.0,3.0,1.0,,,,,0.42857142857142855,1.0,0.375,1.0,0.45454545454545453,1.0,0.125,0.3333333333333333,0.6,1.0,87.37864077669903,17.833333333333332,15.23076923076923,17.833333333333332,15.076923076923077,0.375,0.6666666666666666,0.6666666666666666,0.25,,,,0.125,,,,,,,,,0.5,,0.458,0.4124,0.6,7.357142857142857,25.2,0.25,-7.0,2.0,1.0,1.0,6.0,,1.0,0.3333333333333333,0.3333333333333333,0.5,0.1111111111111111,0.125,,1.0,2.0,4.0,,,,,4.0,,2.0,,,,,,1.0,,,,,0.25,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,2.0,,1.0,1.0,1.0,,2.0,2.0,,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,True
101138-1717-1891-224-2572,1610612742,"Brandon Bass, Dirk Nowitzki, Jason Terry, Eddie Jones, Josh Howard","Bass, Nowitzki, Terry, Jones, Howard",101138-1717-1891-224-2572,DAL,69.0,1,1.0,3.0,2.0,3.0,2.0,5,,,,,1.0,1.0,,,,,,,1.0,1.0,,,6.0,2.0,1.0,1.0,,,6.0,,,,,,1.0,,2.0,1.0,1.0,1.0,,,1.0,1.0,2.0,6.0,6.0,3.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,104.34782608695653,10.0,19.5,10.0,19.5,,,,1.0,1.0,1.0,,,,,,,,,,,,,0.3623,0.3623,1.0,15.5,,1.0,4.0,2.0,1.0,,4.0,,1.0,1.0,1.0,,0.5,0.5,,,,4.0,,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,True
101138-1717-1891-224-467,1610612742,"Brandon Bass, Dirk Nowitzki, Jason Terry, Eddie Jones, Jason Kidd","Bass, Nowitzki, Terry, Jones, Kidd",101138-1717-1891-224-467,DAL,171.0,1,3.0,5.0,5.0,5.0,,10,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,9.0,6.0,3.0,3.0,1.0,2.0,9.0,,3.0,1.0,1.0,1.0,4.0,1.0,9.0,1.0,2.0,3.0,,,,,,9.0,9.0,5.0,,1.0,0.5,0.5,0.5,1.0,1.0,0.9,0.9,0.9,0.9,0.4,1.0,1.0,1.0,84.21052631578947,13.2,21.0,13.2,21.0,0.2,1.0,1.0,0.4,1.0,1.0,0.2,0.2,1.0,1.0,1.0,0.2,1.0,0.2,0.2,1.0,0.6,1.0,0.54608,0.54608,1.0,11.4,23.85,1.0,3.0,6.0,3.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2008,2007-08,True
