EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,FG2A,OpponentPoints,PenaltyFG2A,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,DefFTReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,Points,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,FoulsDrawn,Offensive Fouls Drawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,PenaltyPointsPct,Avg3ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,FG2M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceArc3FGM,SecondChanceArc3FGA,FtPoints,SecondChanceFG3M,SecondChanceFG3A,Fg2aBlocked,FTOffRebounds,LostBallTurnovers,TwoPtShootingFoulsDrawn,RecoveredBlocks,Defensive 3 Seconds Violations,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyFtPoints,AtRimAssists,AtRimPctAssisted,SecondChanceAtRimPctAssisted,ShortMidRangeFGM,ShortMidRangeAssists,DefThreePtRebounds,DeadBallTurnovers,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3FGM,Corner3FGA,Corner3Assists,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFGA,PenaltyCorner3FGA,Fg3aBlocked,OffThreePtRebounds,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,Corner3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyAtRimFGM,PenaltyFG2M,HeaveAttempts,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,PenaltyFg2Pct,PenaltyAtRimAccuracy,DefensiveGoaltends,2pt And 1 Free Throw Trips,3SecondViolations,DefShortMidRangeReboundPct,BadPassOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SelfOReb,StepOutOfBoundsTurnovers,SelfORebPct,Offensive Fouls,Loose Ball Fouls Drawn,BlockedShortMidRange,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFtPoints,Travels,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,ShortMidRangePctBlocked,PtsUnassisted3s,Technical Free Throw Trips,BlockedLongMidRange,OffensiveGoaltends,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Arc3PctBlocked,BlockedCorner3,team_id,year,season,team_vs
1112-1559-200748-200757-201149,1610612741,"Ben Wallace, Adrian Griffin, Tyrus Thomas, Thabo Sefolosha, Joakim Noah","Wallace, Griffin, Thomas, Sefolosha, Noah",1112-1559-200748-200757-201149,CHI,82.0,2,1.0,-5.0,3.0,3.0,3.0,3.0,6.0,1.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,105.36585365853658,12.666666666666666,14.666666666666666,12.666666666666666,10.666666666666666,0.3333333333333333,0.6666666666666666,0.333,0.333,15.700000000000001,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,False
1112-1559-200748-200757-201189,1610612741,"Ben Wallace, Adrian Griffin, Tyrus Thomas, Thabo Sefolosha, Aaron Gray","Wallace, Griffin, Thomas, Sefolosha, Gray",1112-1559-200748-200757-201189,CHI,18.0,1,,-3.0,,1.0,,,1.0,,,,3.0,,,,,,,1.0,2.0,,,80.0,,18.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,False
1112-1559-200748-200757-693,1610612741,"Ben Wallace, Adrian Griffin, Tyrus Thomas, Thabo Sefolosha, Joe Smith","Wallace, Griffin, Thomas, Sefolosha, Smith",1112-1559-200748-200757-693,CHI,97.0,1,2.0,1.0,3.0,3.0,3.0,3.0,6.0,,1.0,1.0,2.0,1.0,,1.0,1.0,,,,,3.0,,89.0721649484536,13.666666666666666,18.666666666666668,13.666666666666666,15.666666666666666,,0.5,0.5394,0.5394,16.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,False
1112-1559-200748-201149-2768,1610612741,"Ben Wallace, Adrian Griffin, Tyrus Thomas, Joakim Noah, Chris Duhon","Wallace, Griffin, Thomas, Noah, Duhon",1112-1559-200748-201149-2768,CHI,214.0,1,4.0,-5.0,6.0,5.0,,,11.0,1.0,1.0,4.0,9.0,,,,2.0,1.0,,,,,,74.01869158878505,20.166666666666668,18.6,18.333333333333332,18.6,0.16666666666666666,0.16666666666666666,0.5106666666666667,,6.675,,,2.0,,,,2.0,4.0,,,,,2.0,,,1.0,,2.0,,,,,,,,,2.0,,,,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,0.3333333333333333,,,,,,0.6666666666666666,,,24.45,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5874,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,False
1112-1559-200748-2550-2751,1610612741,"Ben Wallace, Adrian Griffin, Tyrus Thomas, Kirk Hinrich, Viktor Khryapa","Wallace, Griffin, Thomas, Hinrich, Khryapa",1112-1559-200748-2550-2751,CHI,247.0,1,4.0,6.0,7.0,6.0,,1.0,13.0,,3.0,7.0,6.0,,,2.0,6.0,1.0,1.0,1.0,2.0,,,75.78947368421053,18.142857142857142,20.0,15.428571428571429,20.0,,0.375,0.5314625,,7.785714285714286,,1.0,1.0,,,1.0,1.0,12.0,,,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,,4.0,,1.0,1.0,1.0,5.0,,,1.0,1.0,,1.0,0.5625,,0.6,,0.125,1.0,1.0,1.0,0.125,1.0,1.0,1.0,,,0.625,1.0,,24.9,4.0,2.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,7.0,,6.0,2.0,,,3.0,4.0,,1.0,,1.0,,,,0.42857142857142855,0.6666666666666666,0.875,0.875,1.0,0.75,0.75,1.0,,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,,0.5,1.0,0.50655,0.5833333333333334,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.2857142857142857,0.25,0.3333333333333333,1.0,0.5,1.0,1.0,0.25,1.0,1.0,0.2,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,False
1112-1559-200748-2550-2804,1610612741,"Ben Wallace, Adrian Griffin, Tyrus Thomas, Kirk Hinrich, Andres Nocioni","Wallace, Griffin, Thomas, Hinrich, Nocioni",1112-1559-200748-2550-2804,CHI,90.0,1,2.0,,3.0,3.0,2.0,1.0,6.0,2.0,,2.0,2.0,1.0,,1.0,2.0,,,,,2.0,,96.0,17.666666666666668,12.333333333333334,16.0,12.333333333333334,0.6666666666666666,,0.44906666666666667,0.364,9.7,0.6666666666666666,,1.0,,,,1.0,2.0,,,2.0,,1.0,,,,,,1.0,2.0,,2.0,,,,,2.0,2.0,,,,,,,,0.25,0.5,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,0.3333333333333333,,1.0,25.3,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,0.5,0.3333333333333333,,0.5,,,,,,,,,0.5811,,,1.0,2.0,,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,,0.25,0.3333333333333333,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,False
1112-1559-200748-2732-2768,1610612741,"Ben Wallace, Adrian Griffin, Tyrus Thomas, Ben Gordon, Chris Duhon","Wallace, Griffin, Thomas, Gordon, Duhon",1112-1559-200748-2732-2768,CHI,174.0,1,3.0,,5.0,6.0,,,11.0,2.0,2.0,5.0,4.0,,,2.0,3.0,2.0,,1.0,1.0,,,91.0344827586207,17.2,14.666666666666666,15.2,14.666666666666666,0.3333333333333333,0.3333333333333333,0.44224166666666664,,11.14,,,1.0,,,,1.0,4.0,,,,,1.0,,,1.0,,2.0,2.0,,,,,,,,2.0,,,,,,,0.3333333333333333,,0.3333333333333333,,0.16666666666666666,1.0,1.0,,0.16666666666666666,,,,,,0.3333333333333333,,,26.6,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,1.0,,1.0,1.0,2.0,,,,,0.5,0.5,0.4,1.0,1.0,1.0,,0.3333333333333333,0.25,,0.5,0.16666666666666666,1.0,1.0,0.5,0.5,,1.0,1.0,0.5539,0.5,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,False
1112-1559-200748-2768-693,1610612741,"Ben Wallace, Adrian Griffin, Tyrus Thomas, Chris Duhon, Joe Smith","Wallace, Griffin, Thomas, Duhon, Smith",1112-1559-200748-2768-693,CHI,279.0,1,5.0,2.0,9.0,8.0,,6.0,17.0,2.0,2.0,5.0,8.0,,,3.0,4.0,1.0,,1.0,2.0,,,87.74193548387096,17.88888888888889,14.75,16.77777777777778,14.625,0.3333333333333333,0.3333333333333333,0.47905,,11.22,,,1.0,,,,1.0,10.0,,,,,1.0,,,1.0,,2.0,,3.0,,6.0,1.0,,,,8.0,,,,,,,0.6666666666666666,,0.5555555555555556,,0.16666666666666666,,0.75,,0.16666666666666666,,,,,,0.3333333333333333,,,26.1,1.0,1.0,1.0,,,1.0,4.0,1.0,1.0,2.0,2.0,6.0,,1.0,,1.0,1.0,1.0,,,1.0,,0.25,0.25,0.8,1.0,1.0,1.0,,1.0,0.5,,,0.16666666666666666,1.0,1.0,0.5,0.5,,,,0.4067,0.2,,,2.0,,,,,,2.0,,,,,,,,1.0,,,,,,0.25,0.2857142857142857,,,,,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,False
1112-1559-200757-201149-2768,1610612741,"Ben Wallace, Adrian Griffin, Thabo Sefolosha, Joakim Noah, Chris Duhon","Wallace, Griffin, Sefolosha, Noah, Duhon",1112-1559-200757-201149-2768,CHI,59.0,1,1.0,2.0,1.0,1.0,,,2.0,1.0,,1.0,,,,1.0,1.0,,,,,,,48.8135593220339,39.0,20.0,39.0,20.0,1.0,,0.3381,,10.8,,,,,,,,2.0,,,,,,,,1.0,,2.0,1.0,1.0,,,,,,,2.0,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,False
1112-1559-200757-201149-2804,1610612741,"Ben Wallace, Adrian Griffin, Thabo Sefolosha, Joakim Noah, Andres Nocioni","Wallace, Griffin, Sefolosha, Noah, Nocioni",1112-1559-200757-201149-2804,CHI,167.0,1,3.0,4.0,5.0,6.0,,,11.0,1.0,1.0,3.0,5.0,,1.0,3.0,3.0,,,1.0,1.0,,1.0,94.8502994011976,13.6,16.5,13.6,13.0,0.25,0.25,0.4804375,,8.233333333333333,,,,,,1.0,1.0,9.0,,,,3.0,,,1.0,2.0,,5.0,2.0,1.0,,2.0,,,,,9.0,,,1.0,1.0,,1.0,0.875,,0.9,,0.25,0.6666666666666666,0.6666666666666666,0.5,,,,,,,0.5,,,23.2,,1.0,1.0,,,,2.0,,,,2.0,2.0,,1.0,,,,,,,,,0.5,0.5,0.6666666666666666,,,,,,,,,0.25,1.0,1.0,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,1.0,,,,,0.2,0.25,,1.0,1.0,,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,False
