EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,FoulsDrawn,Offensive Fouls Drawn,PlusMinus,Corner3FGA,FG3A,OffThreePtRebounds,OffRebounds,NonShootingPenaltyNonTakeFouls,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,Corner3Frequency,Avg3ptShotDistance,LongMidRangeFGA,FtPoints,OffTwoPtRebounds,Steals,LostBallSteals,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,OffTwoPtReboundPct,OffLongMidRangeReboundPct,LongMidRangeFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Arc3FGA,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,ShortMidRangeAssists,DefTwoPtRebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,FG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,BadPassTurnovers,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangePctBlocked,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,PenaltyFG3A,Corner3Assists,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,PenaltyFg3Pct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceFtPoints,PenaltyArc3FGA,PenaltyArc3Frequency,FTDefRebounds,DefFTReboundPct,OffAtRimReboundPct,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,BadPassSteals,BlockedShortMidRange,3SecondViolations,SecondChanceArc3FGA,SecondChanceFG3A,SelfOReb,SelfORebPct,SecondChanceArc3Frequency,SecondChanceCorner3FGA,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,DefensiveGoaltends,Travels,LongMidRangePctBlocked,PenaltyArc3FGM,PtsUnassisted3s,PenaltyArc3Accuracy,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Corner3PctBlocked,BlockedLongMidRange,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,OffensiveGoaltends,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
136-1718-1899-200765-200796,1610612738,"P.J. Brown, Paul Pierce, James Posey, Rajon Rondo, Leon Powe","Brown, Pierce, Posey, Rondo, Powe",136-1718-1899-200765-200796,BOS,79.0,1,1.0,3.0,3.0,3.0,1.0,6.0,2.0,3.0,1.0,1.0,2.0,3.0,4.0,4.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,109.36708860759494,13.0,13.333333333333334,12.0,13.333333333333334,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.5577,0.5754,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,False
136-1718-1899-200765-208,1610612738,"P.J. Brown, Paul Pierce, James Posey, Rajon Rondo, Sam Cassell","Brown, Pierce, Posey, Rondo, Cassell",136-1718-1899-200765-208,BOS,40.0,1,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,40.0,,24.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,False
136-1718-1899-200765-2754,1610612738,"P.J. Brown, Paul Pierce, James Posey, Rajon Rondo, Tony Allen","Brown, Pierce, Posey, Rondo, Allen",136-1718-1899-200765-2754,BOS,35.0,1,1.0,,1.0,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,41.14285714285714,,11.0,,11.0,,,,,,,,1.0,0.5067,,,,,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,False
136-1718-1899-200765-708,1610612738,"P.J. Brown, Paul Pierce, James Posey, Rajon Rondo, Kevin Garnett","Brown, Pierce, Posey, Rondo, Garnett",136-1718-1899-200765-708,BOS,115.0,1,2.0,3.0,4.0,,1.0,7.0,2.0,3.0,,,2.0,4.0,5.0,2.0,,,,4.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,,,5.0,1.0,1.0,0.5,,0.5,,0.4166666666666667,,1.0,1.0,1.0,87.65217391304347,19.666666666666668,14.0,15.666666666666666,14.0,0.75,0.6666666666666666,0.6666666666666666,1.0,,,,0.75,0.56485,,,2.0,,3.0,,,,1.0,,,,0.5,,,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.5,1.0,0.25,0.2,0.2,4.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,False
136-1718-1899-200796-208,1610612738,"P.J. Brown, Paul Pierce, James Posey, Leon Powe, Sam Cassell","Brown, Pierce, Posey, Powe, Cassell",136-1718-1899-200796-208,BOS,619.0,3,10.0,19.0,17.0,1.0,3.0,36.0,1.0,4.0,,1.0,3.0,11.0,12.0,23.0,1.0,2.0,2.0,2.0,1.0,1.0,,2.0,,4.0,7.0,2.0,8.0,10.0,0.3333333333333333,0.5,0.2727272727272727,0.5,0.2,0.5,0.3333333333333333,0.5,,0.6666666666666666,,83.74798061389338,17.36842105263158,17.0,16.94736842105263,16.176470588235293,0.26666666666666666,0.25,0.3333333333333333,,0.5,,,0.5333333333333333,0.47259285714285715,0.5554,0.16666666666666666,4.0,,-11.0,,4.0,1.0,3.0,,0.26666666666666666,0.3333333333333333,0.2727272727272727,,,27.15,5.0,6.0,2.0,1.0,1.0,7.0,4.0,,0.25,0.25,0.3333333333333333,0.2222222222222222,0.2857142857142857,8.445454545454545,1.0,2.0,1.0,4.0,4.0,2.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,0.09090909090909091,0.25,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.75,0.13333333333333333,0.5,0.5,1.0,0.2,0.2,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,False
136-1718-1899-2067-208,1610612738,"P.J. Brown, Paul Pierce, James Posey, Eddie House, Sam Cassell","Brown, Pierce, Posey, House, Cassell",136-1718-1899-2067-208,BOS,153.0,1,3.0,5.0,4.0,,,9.0,,,,,1.0,3.0,2.0,6.0,,,,2.0,1.0,1.0,,2.0,,1.0,1.0,2.0,4.0,2.0,1.0,1.0,0.3333333333333333,,0.25,,0.25,,,1.0,,84.70588235294119,18.6,15.0,18.6,15.0,,,,,,,,0.25,0.4106625,,,,,-4.0,,1.0,,,,0.25,,,,,24.0,2.0,,,,,,,,,,0.5,,,14.299999999999999,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,1.0,0.25,1.0,1.0,1.0,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,False
136-1718-1899-2067-2754,1610612738,"P.J. Brown, Paul Pierce, James Posey, Eddie House, Tony Allen","Brown, Pierce, Posey, House, Allen",136-1718-1899-2067-2754,BOS,183.0,2,3.0,6.0,6.0,1.0,,12.0,1.0,1.0,,,1.0,2.0,11.0,8.0,,,,2.0,1.0,3.0,1.0,8.0,1.0,2.0,2.0,2.0,2.0,11.0,1.0,1.0,0.5,,1.0,,1.0,,1.0,1.0,,94.42622950819673,12.333333333333334,18.166666666666668,12.333333333333334,18.166666666666668,0.25,1.0,1.0,1.0,,,,0.75,0.5237125,,,1.0,,3.0,,2.0,,,,0.5,,,,,25.5,,3.0,,1.0,1.0,3.0,1.0,,,,,0.2,0.3333333333333333,2.8,,1.0,,2.0,,,2.0,1.0,,1.0,1.0,,,1.0,,,,,0.5,,1.0,1.0,,,,,0.25,,,,,,0.5,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,6.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.725,0.45454545454545453,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,False
136-1718-1899-2067-708,1610612738,"P.J. Brown, Paul Pierce, James Posey, Eddie House, Kevin Garnett","Brown, Pierce, Posey, House, Garnett",136-1718-1899-2067-708,BOS,271.0,1,5.0,8.0,8.0,,,16.0,1.0,1.0,,,2.0,3.0,10.0,8.0,,,,2.0,1.0,3.0,,8.0,2.0,3.0,3.0,2.0,2.0,10.0,0.5,0.5,0.6666666666666666,,0.8333333333333334,,0.8333333333333334,,1.0,1.0,1.0,85.01845018450184,16.375,17.5,16.375,17.5,0.16666666666666666,1.0,1.0,,,,,0.6666666666666666,0.48654166666666665,,,3.0,1.0,2.0,1.0,3.0,,,,0.5,,,,0.16666666666666666,25.366666666666664,1.0,,,,,,,,,,0.16666666666666666,,,9.133333333333333,,1.0,1.0,2.0,2.0,,2.0,,,1.0,1.0,1.0,,2.0,,,,,,,0.5,1.0,,,,1.0,0.16666666666666666,,,,1.0,1.0,0.3333333333333333,2.0,,,1.0,2.0,,,,3.0,6.0,1.0,2.0,1.0,1.0,,3.0,2.0,1.0,0.6666666666666666,0.6666666666666666,,1.5,1.5,,,,0.5,0.5,1.0,,,0.5,0.4626,0.3,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,False
136-1718-1899-2067-951,1610612738,"P.J. Brown, Paul Pierce, James Posey, Eddie House, Ray Allen","Brown, Pierce, Posey, House, Allen",136-1718-1899-2067-951,BOS,60.0,1,1.0,2.0,2.0,,1.0,4.0,,,,,,,2.0,4.0,,,2.0,,,,,,,,1.0,1.0,2.0,,,,,,,,0.5,1.0,,,,96.0,17.0,13.0,17.0,8.0,,,,,,,,1.0,0.57915,,1.0,1.0,,-2.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,24.0,,2.0,,,,2.0,1.0,,,,,0.5,1.0,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,False
136-1718-1899-208-708,1610612738,"P.J. Brown, Paul Pierce, James Posey, Sam Cassell, Kevin Garnett","Brown, Pierce, Posey, Cassell, Garnett",136-1718-1899-208-708,BOS,38.0,1,1.0,1.0,1.0,,,2.0,,,,,1.0,1.0,2.0,,,,,2.0,1.0,1.0,,2.0,,,,,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,,,,75.78947368421053,10.0,28.0,10.0,12.0,,,,,,,,,0.3918,,,,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,10.8,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,False
