EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FtPoints,PenaltyFtPoints,FoulsDrawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefLongMidRangeReboundPct,LongMidRangeFGM,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,Assisted2sPct,NonPutbacksAssisted2sPct,DefAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceOffPoss,ShortMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,AtRimAssists,ShortMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PtsAssisted3s,ThreePtAssists,Arc3Assists,Assisted3sPct,Arc3PctAssisted,Technical Free Throw Trips,Fg2aBlocked,FG2APctBlocked,LongMidRangePctBlocked,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,OffThreePtRebounds,Blocked3s,BlockedArc3,RecoveredBlocks,OffThreePtReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,FTOffRebounds,OffFTReboundPct,2pt And 1 Free Throw Trips,Corner3FGM,Corner3FGA,HeaveAttempts,Corner3Assists,SelfOReb,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,Offensive Fouls Drawn,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceFtPoints,BlockedLongMidRange,DefCorner3ReboundPct,PenaltyCorner3FGM,PenaltyCorner3FGA,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,OffAtRimReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,SecondChanceFG3A,LostBallSteals,BadPassOutOfBoundsTurnovers,Travels,Offensive Fouls,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,BlockedShortMidRange,Defensive 3 Seconds Violations,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceArc3FGM,SecondChanceArc3Accuracy,team_id,year,season,team_vs
101132-1088-1853-200821-2212,1610612743,"Linas Kleiza, Chucky Atkins, Anthony Carter, Yakhouba Diawara, Steven Hunter","Kleiza, Atkins, Carter, Diawara, Hunter",101132-1088-1853-200821-2212,DEN,182.0,1,3.0,-1.0,7,8.0,7.0,8.0,15,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,6.0,1.0,5.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,7.0,1.0,1.0,1.0,0.2,0.2,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,118.68131868131869,16.428571428571427,8.375,16.428571428571427,8.375,0.16666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.3333333333333333,1.0,0.4759333333333333,0.4759333333333333,1.0,11.52,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2008,2007-08,True
101132-1853-200821-2030-2546,1610612743,"Linas Kleiza, Anthony Carter, Yakhouba Diawara, Kenyon Martin, Carmelo Anthony","Kleiza, Carter, Diawara, Martin, Anthony",101132-1853-200821-2030-2546,DEN,111.0,1,2.0,-5.0,4,4.0,4.0,4.0,8,,,,,1.0,1.0,,1.0,,1.0,,2.0,,1.0,1.0,6.0,,2.0,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,4.0,,,,,,,,0.125,0.125,0.3333333333333333,1.0,,1.0,,,103.78378378378378,17.75,10.0,17.75,10.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,0.3333333333333333,,0.37248333333333333,0.37248333333333333,1.0,13.95,26.8,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2008,2007-08,True
101132-1853-200821-2059-2747,1610612743,"Linas Kleiza, Anthony Carter, Yakhouba Diawara, Eduardo Najera, JR Smith","Kleiza, Carter, Diawara, Najera, Smith",101132-1853-200821-2059-2747,DEN,50.0,1,1.0,,2,3.0,2.0,3.0,5,,,,,,2.0,,,,,1.0,2.0,,,2.0,2.0,1.0,2.0,,,2.0,,,,,,2.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,,,,0.5,0.5,0.5,0.5,0.5,0.5,,1.0,,1.0,,,144.0,11.0,9.333333333333334,11.0,9.333333333333334,,,,,1.0,,,,,,,,,,0.39555,0.39555,1.0,18.45,,1.0,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2008,2007-08,True
101132-1853-2030-2059-2546,1610612743,"Linas Kleiza, Anthony Carter, Kenyon Martin, Eduardo Najera, Carmelo Anthony","Kleiza, Carter, Martin, Najera, Anthony",101132-1853-2030-2059-2546,DEN,276.0,2,5.0,4.0,9,9.0,5.0,8.0,18,3.0,3.0,2.0,2.0,2.0,2.0,,1.0,,,5.0,7.0,,1.0,11.0,7.0,3.0,4.0,,,6.0,2.0,,1.0,,1.0,2.0,4.0,5.0,1.0,1.0,,,,,,9.0,6.0,5.0,,,,0.7142857142857143,0.75,0.625,0.75,0.6111111111111112,0.75,0.125,0.5,0.5,0.5,,1.0,93.91304347826087,19.22222222222222,11.444444444444445,16.555555555555557,11.0,0.375,1.0,1.0,0.25,0.25,0.125,,,0.5,1.0,,,0.5,,0.48368125,0.501625,0.5454545454545454,8.27142857142857,25.7,0.5555555555555556,1.0,,2.0,2.0,,,1.0,1.0,8.0,4.0,4.0,,8.0,0.8,0.8,0.5,0.5,0.5,,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.5,0.5,1.0,0.4203,0.1111111111111111,0.125,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2008,2007-08,True
101132-1853-2030-2546-2747,1610612743,"Linas Kleiza, Anthony Carter, Kenyon Martin, Carmelo Anthony, JR Smith","Kleiza, Carter, Martin, Anthony, Smith",101132-1853-2030-2546-2747,DEN,145.0,1,2.0,2.0,5,5.0,,,10,1.0,1.0,,,,1.0,1.0,2.0,,,1.0,2.0,1.0,2.0,8.0,6.0,,,,,,,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,8.0,,,0.5,,0.5,0.5,,0.625,,0.6666666666666666,,0.5,,1.0,0.3333333333333333,,1.0,99.3103448275862,17.4,11.6,17.4,9.8,0.25,1.0,1.0,,0.25,0.5,0.5,0.5,,,,,0.75,0.5,0.480375,,,10.9,25.45,,3.0,,2.0,4.0,,,,,2.0,1.0,2.0,,5.0,1.0,1.0,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,1.0,,,,,0.3333333333333333,0.5,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2008,2007-08,True
101132-1853-2030-2546-947,1610612743,"Linas Kleiza, Anthony Carter, Kenyon Martin, Carmelo Anthony, Allen Iverson","Kleiza, Carter, Martin, Anthony, Iverson",101132-1853-2030-2546-947,DEN,64.0,1,1.0,4.0,2,2.0,2.0,2.0,4,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,6.0,2.0,1.0,1.0,,,6.0,,,,,,1.0,1.0,1.0,,,,,,,,6.0,6.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,90.0,17.0,15.0,17.0,15.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,,0.5535,0.5535,1.0,,,1.0,4.0,4.0,1.0,4.0,1.0,1.0,,,2.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2008,2007-08,True
101132-1853-2059-2403-2546,1610612743,"Linas Kleiza, Anthony Carter, Eduardo Najera, Nene, Carmelo Anthony","Kleiza, Carter, Najera, Nene, Anthony",101132-1853-2059-2403-2546,DEN,59.0,1,1.0,-3.0,1,1.0,,,2,,,,,,1.0,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,48.8135593220339,31.0,28.0,31.0,19.0,,,,,1.0,,,,,,,,,,0.3413,,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2008,2007-08,True
101132-1853-2059-947-948,1610612743,"Linas Kleiza, Anthony Carter, Eduardo Najera, Allen Iverson, Marcus Camby","Kleiza, Carter, Najera, Iverson, Camby",101132-1853-2059-947-948,DEN,35.0,1,1.0,2.0,1,2.0,1.0,2.0,3,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,2.0,,1.0,1.0,,1.0,2.0,2.0,,1.0,,1.0,,2.0,3.0,,,,,,,,,2.0,1.0,,,,1.0,1.0,0.5,0.5,0.5,0.5,0.5,,1.0,1.0,,1.0,123.42857142857142,10.0,12.5,10.0,12.5,0.5,1.0,1.0,,,0.5,,,0.5,1.0,0.5,,1.0,,0.574275,0.574275,1.0,,25.6,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,2.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2008,2007-08,True
101132-1853-2546-2747-948,1610612743,"Linas Kleiza, Anthony Carter, Carmelo Anthony, JR Smith, Marcus Camby","Kleiza, Carter, Anthony, Smith, Camby",101132-1853-2546-2747-948,DEN,90.0,1,2.0,4.0,4,3.0,4.0,,7,2.0,2.0,2.0,2.0,,1.0,,1.0,,1.0,3.0,3.0,,1.0,6.0,2.0,3.0,3.0,,1.0,6.0,2.0,,1.0,,,2.0,2.0,3.0,,,,,,,,4.0,6.0,4.0,,,,1.0,1.0,0.75,0.75,0.75,0.75,0.25,1.0,,1.0,1.0,,112.0,9.75,17.0,9.25,17.0,0.5,1.0,1.0,,0.25,0.25,,,0.5,1.0,0.25,,0.75,,0.493275,0.493275,1.0,4.8999999999999995,28.1,1.0,,,,,,,,1.0,4.0,2.0,2.0,1.0,4.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,,,0.5,,,,0.4551,,,0.3333333333333333,,,,,,,,,,1.0,1.0,2.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2008,2007-08,True
101132-200821-2059-2546-2747,1610612743,"Linas Kleiza, Yakhouba Diawara, Eduardo Najera, Carmelo Anthony, JR Smith","Kleiza, Diawara, Najera, Anthony, Smith",101132-200821-2059-2546-2747,DEN,9.0,1,,3.0,1,,1.0,,1,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,3.0,,1.0,1.0,,,3.0,2.0,,,,,,,,,,,,,,,3.0,3.0,1.0,,,,1.0,1.0,1.0,1.0,1.5,1.5,,,,,,,160.0,9.0,,9.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,,0.6419,0.6419,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2008,2007-08,True
