EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTDefRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Travels,ThreePtShootingFoulsDrawn,LiveBallTurnoverPct,DefFTReboundPct,ThreePtShootingFoulsDrawnPct,LongMidRangeFGM,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,Assisted2sPct,NonPutbacksAssisted2sPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimAssists,AtRimPctAssisted,DefThreePtRebounds,2pt And 1 Free Throw Trips,DefThreePtReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,LostBallOutOfBoundsTurnovers,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,ShortMidRangeAssists,FTOffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffFTReboundPct,OffAtRimReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceFtPoints,Technical Free Throw Trips,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,PtsUnassisted3s,Fg3aBlocked,OffThreePtRebounds,StepOutOfBoundsTurnovers,FG3APctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,3SecondViolations,OffCorner3ReboundPct,LongMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,BlockedCorner3,3pt And 1 Free Throw Trips,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
101110-101112-101127-101144-1711,1610612757,"Martell Webster, Channing Frye, Jarrett Jack, Von Wafer, Raef LaFrentz","Webster, Frye, Jack, Wafer, LaFrentz",101110-101112-101127-101144-1711,POR,428.0,1,7.0,-7.0,13.0,13.0,10.0,4.0,1.0,26.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,1.0,7.0,4.0,4.0,6.0,13.0,1.0,1.0,2.0,1.0,5.0,4.0,4.0,6.0,2.0,2.0,1.0,3.0,1.0,5.0,5.0,1.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,4.0,6.0,10.0,1.0,0.14285714285714285,1.0,0.2,0.09090909090909091,1.0,0.1111111111111111,0.23076923076923078,1.0,0.2727272727272727,0.36363636363636365,1.0,0.16666666666666666,1.0,0.125,0.5,1.0,87.47663551401868,16.923076923076923,16.0,16.923076923076923,16.0,0.18181818181818182,0.5,0.5,0.18181818181818182,0.2727272727272727,0.36363636363636365,1.0,1.0,0.1111111111111111,1.0,0.4444444444444444,0.5454545454545454,0.45726500000000003,0.5596,0.45553125,0.08333333333333333,0.125,0.3333333333333333,1.0,9.942857142857141,30.175,0.7692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2008,2007-08,True
101110-101112-101127-101144-200746,1610612757,"Martell Webster, Channing Frye, Jarrett Jack, Von Wafer, LaMarcus Aldridge","Webster, Frye, Jack, Wafer, Aldridge",101110-101112-101127-101144-200746,POR,105.0,1,2.0,-3.0,5.0,4.0,4.0,3.0,,9.0,,1.0,,,,1.0,,,,,,1.0,,2.0,2.0,5.0,,,,,1.0,,2.0,2.0,,,,,,,1.0,,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,,1.0,,3.0,,,2.0,2.0,4.0,,,,,,,,0.5,,0.5,,,,,,,,123.42857142857143,11.4,12.0,11.4,12.0,1.0,,,,,,,,1.0,,,1.0,0.715,,0.715,0.5,,,1.0,,,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2008,2007-08,True
101110-101112-101127-101144-2038,1610612757,"Martell Webster, Channing Frye, Jarrett Jack, Von Wafer, Joel Przybilla","Webster, Frye, Jack, Wafer, Przybilla",101110-101112-101127-101144-2038,POR,94.0,1,2.0,,2.0,3.0,,,,5.0,,,,,,,,2.0,,,2.0,2.0,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,4.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,76.59574468085107,21.0,17.333333333333332,21.0,17.333333333333332,,,,,1.0,,,,,,,,0.3664,,,,,,,21.0,,,,,,,,,,,,2.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2008,2007-08,True
101110-101112-101127-1711-200750,1610612757,"Martell Webster, Channing Frye, Jarrett Jack, Raef LaFrentz, Brandon Roy","Webster, Frye, Jack, LaFrentz, Roy",101110-101112-101127-1711-200750,POR,89.0,1,1.0,-2.0,3.0,3.0,3.0,,,6.0,1.0,1.0,,,1.0,1.0,,1.0,,,2.0,2.0,,,4.0,6.0,,,,2.0,2.0,,,4.0,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,4.0,4.0,3.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,97.07865168539325,16.333333333333332,13.333333333333334,16.333333333333332,11.0,0.5,1.0,1.0,,0.5,,,,0.5,1.0,,0.5,0.49715,,0.49715,,,,1.0,9.0,,1.0,,,,,,,,,,1.0,4.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2008,2007-08,True
101110-101112-101127-1711-200771,1610612757,"Martell Webster, Channing Frye, Jarrett Jack, Raef LaFrentz, Sergio Rodriguez","Webster, Frye, Jack, LaFrentz, Rodriguez",101110-101112-101127-1711-200771,POR,75.0,2,1.0,4.0,2.0,2.0,2.0,1.0,,4.0,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,,2.0,4.0,,,,,1.0,1.0,,2.0,4.0,,,,,,1.0,2.0,,2.0,,,,,,,,,2.0,,3.0,2.0,,4.0,4.0,2.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,,76.8,18.5,19.0,18.5,19.0,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,0.4575,,0.4575,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,2.0,1.0,1.0,,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2008,2007-08,True
101110-101112-101127-1711-201192,1610612757,"Martell Webster, Channing Frye, Jarrett Jack, Raef LaFrentz, Taurean Green","Webster, Frye, Jack, LaFrentz, Green",101110-101112-101127-1711-201192,POR,12.0,1,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,12.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2008,2007-08,True
101110-101112-101127-1711-2581,1610612757,"Martell Webster, Channing Frye, Jarrett Jack, Raef LaFrentz, Steve Blake","Webster, Frye, Jack, LaFrentz, Blake",101110-101112-101127-1711-2581,POR,86.0,1,1.0,3.0,4.0,3.0,4.0,3.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,,5.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,,5.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,3.0,5.0,4.0,,0.5,1.0,0.5,0.625,1.0,0.625,0.625,1.0,0.625,0.5,1.0,1.0,1.0,0.5,,,117.20930232558139,14.0,10.0,13.75,10.0,0.25,1.0,1.0,,0.25,0.25,1.0,1.0,0.25,1.0,0.25,0.75,0.4145375,0.3264,0.4145375,,,0.4,1.0,8.85,24.35,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,,3.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2008,2007-08,True
101110-101112-101127-1711-2592,1610612757,"Martell Webster, Channing Frye, Jarrett Jack, Raef LaFrentz, James Jones","Webster, Frye, Jack, LaFrentz, Jones",101110-101112-101127-1711-2592,POR,141.0,1,2.0,,3.0,3.0,,,1.0,6.0,,,,,,,1.0,2.0,,,,3.0,,,,,,1.0,,,,,,,,,,,1.0,2.0,3.0,1.0,4.0,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,0.5,0.3333333333333333,0.5,0.3333333333333333,1.0,,61.27659574468085,21.666666666666668,25.333333333333332,17.333333333333332,24.0,,,,0.3333333333333333,0.6666666666666666,,,,,,,,0.3725,0.3662,,,,,,15.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.5,0.3333333333333333,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2008,2007-08,True
101110-101112-101127-200746-200750,1610612757,"Martell Webster, Channing Frye, Jarrett Jack, LaMarcus Aldridge, Brandon Roy","Webster, Frye, Jack, Aldridge, Roy",101110-101112-101127-200746-200750,POR,4040.0,32,67.0,8.0,122.0,126.0,38.0,40.0,10.0,248.0,16.0,25.0,1.0,2.0,7.0,10.0,20.0,31.0,15.0,4.0,41.0,76.0,24.0,14.0,138.0,130.0,3.0,8.0,9.0,14.0,25.0,7.0,6.0,49.0,34.0,4.0,,15.0,9.0,34.0,47.0,10.0,57.0,6.0,4.0,15.0,22.0,7.0,11.0,28.0,9.0,27.0,3.0,24.0,10.0,3.0,129.0,49.0,38.0,3.0,0.5394736842105263,0.375,0.56,0.62,0.5,0.671875,0.6216216216216216,0.45,0.6621621621621622,0.24,0.6938775510204082,0.2647058823529412,0.734375,0.20454545454545456,0.2222222222222222,0.6818181818181818,88.3960396039604,15.491803278688524,17.063492063492063,14.663934426229508,16.3015873015873,0.25,0.64,0.6666666666666666,0.2,0.31,0.15,0.2222222222222222,0.5,0.3125,0.7,0.125,0.49,0.491321,0.45706875,0.492253125,0.09259259259259259,0.11904761904761904,0.06521739130434782,0.35507246376811596,10.293421052631578,24.166666666666668,0.3114754098360656,,2.0,7.0,5.0,2.0,,0.3181818181818182,,,14.0,48.0,24.0,38.0,8.0,90.0,0.5853658536585366,0.6153846153846154,0.45161290322580644,0.45161290322580644,0.5714285714285714,9.0,0.5625,13.0,2.0,0.8666666666666667,0.6,0.8,,8.0,9.0,3.0,3.0,14.0,5.0,42.0,14.0,8.0,1.0,0.5833333333333334,0.7142857142857143,0.5833333333333334,0.3125,0.7647058823529411,0.09,0.8888888888888888,0.8888888888888888,1.0,0.09375,1.0,6.0,4.0,6.0,3.0,0.9,0.5,11.0,1.0,1.0,6.0,2.0,1.0,1.0,6.0,1.0,6.0,7.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,0.013157894736842105,0.04,0.2,0.2222222222222222,0.046511627906976744,0.55,0.55,0.6363636363636364,0.4,0.4,1.0,0.1111111111111111,1.0,1.0,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2008,2007-08,True
101110-101112-101127-200746-200771,1610612757,"Martell Webster, Channing Frye, Jarrett Jack, LaMarcus Aldridge, Sergio Rodriguez","Webster, Frye, Jack, Aldridge, Rodriguez",101110-101112-101127-200746-200771,POR,208.0,4,3.0,7.0,7.0,6.0,3.0,1.0,,13.0,2.0,2.0,,,2.0,2.0,,1.0,2.0,,2.0,3.0,2.0,3.0,10.0,3.0,,,,2.0,2.0,,3.0,7.0,,,,2.0,,2.0,3.0,,3.0,,,,,,,1.0,,2.0,,3.0,2.0,,10.0,7.0,3.0,,0.6666666666666666,,1.0,0.7,,1.0,0.8333333333333334,,1.1666666666666667,0.4,0.6666666666666666,,0.6,,,1.0,90.0,9.285714285714286,23.833333333333332,9.285714285714286,21.5,0.4,1.0,1.0,,0.2,0.4,,,1.0,1.0,,0.8,0.54079,,0.5857,0.3333333333333333,0.5,,0.7,7.433333333333334,25.25,0.42857142857142855,,,,,,,,,,,4.0,2.0,3.0,,7.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,0.5,,0.5,,,,,,1.0,,3.0,1.0,,1.0,0.5,,0.5,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,0.5,0.5,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2008,2007-08,True
