EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,BlockedShortMidRange,DefCorner3ReboundPct,SecondChanceAtRimFGM,PtsPutbacks,Offensive Fouls,OffCorner3ReboundPct,SecondChanceAtRimAccuracy,StepOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,Offensive Fouls Drawn,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PenaltyTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,HeaveAttempts,Travels,Loose Ball Fouls,PenaltyCorner3FGA,PenaltyCorner3Frequency,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends,PtsUnassisted3s,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,FTOffRebounds,DefensiveGoaltends,OffFTReboundPct,HeaveMakes,Corner3PctBlocked,Clear Path Fouls,Blocked3s,BlockedCorner3,BlockedArc3,team_id,year,season,team_vs
1425-1501-1510-1739-1749,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Ruben Patterson, Cuttino Mobley","Williams, Thomas, Knight, Patterson, Mobley",1425-1501-1510-1739-1749,LAC,137.0,1,2.0,2.0,6.0,5.0,11.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,115.62043795620438,15.166666666666666,9.2,15.166666666666666,8.4,0.25,1.0,1.0,0.25,0.5,0.5,0.5,1.0,0.25,0.435975,12.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,False
1425-1501-1510-1749-1894,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Cuttino Mobley, Corey Maggette","Williams, Thomas, Knight, Mobley, Maggette",1425-1501-1510-1749-1894,LAC,2925.0,8,49.0,-21.0,94.0,96.0,190.0,11.0,20.0,15.0,13.0,32.0,31.0,67.0,91.0,112.0,46.0,16.0,23.0,27.0,12.0,58.0,24.0,34.0,42.0,4.0,1.0,14.0,87.0,0.7419354838709677,0.7419354838709677,0.4626865671641791,0.4625,0.5112359550561798,0.8,0.8157894736842105,0.6666666666666666,0.8823529411764706,93.53846153846153,16.79787234042553,14.020833333333334,16.127659574468087,13.697916666666666,0.25,0.55,0.6875,0.1875,0.4,0.40625,0.40625,0.9230769230769231,0.4125,0.48412062499999997,11.170149253731344,7.0,14.0,6.0,3.0,3.0,3.0,7.0,1.0,2.0,3.0,11.0,4.0,13.0,17.0,1.0,6.0,2.0,4.0,4.0,7.0,5.0,13.0,12.0,11.0,3.0,5.0,4.0,3.0,1.0,6.0,5.0,1.0,7.0,7.0,3.0,8.0,1.0,6.0,4.0,2.0,10.0,1.0,4.0,6.0,1.0,14.0,24.0,20.0,3.0,22.0,3.0,1.0,11.0,1.0,2.0,2.0,2.0,1.0,13.0,7.0,2.0,1.0,1.0,0.3076923076923077,0.3076923076923077,0.16666666666666666,0.5714285714285714,0.16666666666666666,0.5714285714285714,0.2857142857142857,0.7222222222222222,0.1625,0.07462686567164178,0.2,0.06666666666666667,0.7142857142857143,1.0,0.2,0.875,0.1111111111111111,0.18181818181818182,0.2222222222222222,0.25,0.16666666666666666,0.125,0.7142857142857143,0.875,0.02564102564102564,0.5,0.5454545454545454,0.4666666666666667,0.5,0.7142857142857143,0.025,0.5,0.5,1.0,0.1375,0.2727272727272727,0.2727272727272727,1.0,0.5,0.42857142857142855,1.0,0.2727272727272727,0.45730000000000004,0.5236571428571428,0.125,0.14666666666666667,0.04395604395604396,0.14285714285714285,25.0,0.07446808510638298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,False
1425-1501-1510-1749-201154,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Cuttino Mobley, Al Thornton","Williams, Thomas, Knight, Mobley, Thornton",1425-1501-1510-1749-201154,LAC,1032.0,5,17.0,-12.0,32.0,34.0,66.0,2.0,5.0,9.0,4.0,11.0,9.0,25.0,23.0,35.0,14.0,4.0,7.0,7.0,3.0,14.0,4.0,11.0,14.0,2.0,,5.0,23.0,0.7777777777777778,0.7777777777777778,0.36,0.32142857142857145,0.3709677419354839,0.5714285714285714,0.7692307692307693,0.3333333333333333,0.6666666666666666,92.09302325581396,16.875,14.470588235294118,16.5,13.911764705882353,0.17857142857142858,0.4,0.4,0.32142857142857145,0.39285714285714285,0.36363636363636365,0.36363636363636365,0.75,0.2857142857142857,0.4371339285714286,11.46,5.0,6.0,3.0,3.0,,1.0,3.0,,,,3.0,,3.0,5.0,,3.0,,,1.0,5.0,3.0,5.0,,3.0,,2.0,,,,2.0,2.0,1.0,2.0,6.0,1.0,3.0,,3.0,2.0,1.0,3.0,2.0,2.0,1.0,,6.0,9.0,8.0,,7.0,1.0,,3.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,1.0,1.0,,,,,0.2,,0.2,,0.35714285714285715,0.10714285714285714,0.08,,0.2222222222222222,0.6,1.0,0.13333333333333333,1.0,0.3333333333333333,0.16666666666666666,,0.4,,0.3333333333333333,1.0,1.0,,1.0,1.0,0.3333333333333333,0.42857142857142855,0.6666666666666666,,,,,0.10714285714285714,,,,1.0,0.2,,,0.47165,0.37908,0.1,0.1111111111111111,,0.21739130434782608,25.433333333333334,0.15625,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,False
1425-1501-1510-1749-2549,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Cuttino Mobley, Chris Kaman","Williams, Thomas, Knight, Mobley, Kaman",1425-1501-1510-1749-2549,LAC,82.0,1,1.0,-7.0,2.0,3.0,5.0,,1.0,,,1.0,,2.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,87.80487804878048,25.0,10.666666666666666,25.0,10.666666666666666,0.5,,,,0.5,,,,0.5,0.436,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,False
1425-1501-1510-1749-2624,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Cuttino Mobley, Quinton Ross","Williams, Thomas, Knight, Mobley, Ross",1425-1501-1510-1749-2624,LAC,461.0,5,8.0,-7.0,13.0,16.0,29.0,1.0,4.0,5.0,1.0,3.0,4.0,12.0,10.0,17.0,4.0,4.0,2.0,2.0,1.0,4.0,3.0,5.0,10.0,1.0,,1.0,8.0,0.5,0.6666666666666666,0.3333333333333333,0.25,0.29411764705882354,0.75,0.6666666666666666,1.0,1.0,90.58568329718004,19.23076923076923,13.1875,16.076923076923077,12.375,0.25,0.25,0.5,0.3125,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.5,0.464509375,7.9750000000000005,1.0,3.0,3.0,3.0,,,2.0,,1.0,,3.0,,4.0,2.0,1.0,4.0,,2.0,,1.0,,,,3.0,,2.0,,,,,1.0,1.0,4.0,1.0,1.0,5.0,,2.0,2.0,,,,,,,2.0,5.0,4.0,,2.0,,,1.0,,1.0,,1.0,,,1.0,,,,,,0.25,,0.25,,0.25,,0.25,0.16666666666666666,0.5,,,1.0,0.5714285714285714,0.5,0.25,0.45454545454545453,0.3333333333333333,0.6666666666666666,1.0,,,,,,,0.4,0.4,0.5,0.0625,,,,0.1875,,,,0.75,,,,0.5516666666666666,0.2246,0.058823529411764705,0.07692307692307693,0.2,,25.25,0.07692307692307693,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,False
1425-1501-1510-1894-201154,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Corey Maggette, Al Thornton","Williams, Thomas, Knight, Maggette, Thornton",1425-1501-1510-1894-201154,LAC,54.0,1,1.0,-1.0,1.0,1.0,2.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,53.33333333333333,21.0,33.0,21.0,33.0,,,,,1.0,,,,,0.3905,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,False
1425-1501-1510-1894-2624,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Corey Maggette, Quinton Ross","Williams, Thomas, Knight, Maggette, Ross",1425-1501-1510-1894-2624,LAC,105.0,1,2.0,-1.0,2.0,3.0,5.0,,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,1.0,1.0,1.0,2.0,,,,,,,2.0,1.0,1.0,0.5,0.5,0.5,,,,,68.57142857142857,18.0,23.0,18.0,9.333333333333334,,,,0.5,0.5,1.0,1.0,1.0,,0.41985,12.65,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,False
1425-1501-1510-201154-208,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Al Thornton, Sam Cassell","Williams, Thomas, Knight, Thornton, Cassell",1425-1501-1510-201154-208,LAC,323.0,1,5.0,6.0,10.0,9.0,19.0,4.0,4.0,3.0,1.0,2.0,7.0,9.0,17.0,11.0,10.0,4.0,5.0,6.0,1.0,13.0,1.0,3.0,4.0,1.0,,1.0,13.0,0.7142857142857143,0.7142857142857143,0.7777777777777778,0.85,0.85,0.2,0.2857142857142857,,0.3333333333333333,84.70588235294117,16.0,18.11111111111111,14.1,14.777777777777779,0.4,1.0,1.0,0.3,0.2,0.5,0.5,1.0,0.5,0.49549000000000004,8.11111111111111,,,2.0,1.0,,,2.0,,,1.0,1.0,1.0,1.0,,2.0,2.0,,4.0,,,,,3.0,1.0,1.0,,1.0,1.0,,3.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,0.1,,,,,1.0,0.5,0.5,,0.5,,,1.0,,,0.5,,,0.75,0.6666666666666666,0.6666666666666666,0.5,,,,,0.1,1.0,1.0,1.0,0.5,,,1.0,0.5173,,0.1,0.1111111111111111,0.23529411764705882,,26.3,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,False
1425-1501-1510-201154-2424,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Al Thornton, Dan Dickau","Williams, Thomas, Knight, Thornton, Dickau",1425-1501-1510-201154-2424,LAC,13.0,1,,3.0,1.0,,1.0,,,1.0,,,1.0,1.0,3.0,,,2.0,,,,,,,,,,,3.0,,,1.0,1.0,1.5,,,,,110.76923076923076,13.0,,13.0,,,,,1.0,,,,,,0.4029,4.5,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,False
1425-1501-1510-201154-2624,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Al Thornton, Quinton Ross","Williams, Thomas, Knight, Thornton, Ross",1425-1501-1510-201154-2624,LAC,278.0,2,5.0,-2.0,10.0,9.0,19.0,1.0,1.0,,,5.0,1.0,6.0,7.0,9.0,,2.0,,,,,2.0,3.0,4.0,,,,6.0,,,0.16666666666666666,0.16666666666666666,0.35,0.6666666666666666,0.75,1.0,,98.41726618705034,12.3,17.22222222222222,12.3,16.11111111111111,0.16666666666666666,1.0,1.0,,0.8333333333333334,,,,0.16666666666666666,0.4487833333333333,15.216666666666667,6.0,9.0,1.0,,1.0,1.0,,,,,,,,5.0,,,1.0,1.0,1.0,4.0,4.0,6.0,,,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,1.0,1.0,6.0,1.0,8.0,,,1.0,3.0,2.0,2.0,2.0,2.0,6.0,6.0,,3.0,,,,,0.25,,0.25,0.5,0.42857142857142855,,,,,,,0.2,1.0,,0.2,,,0.2,,,1.0,,1.0,,,,,,,,,,,,,,0.25,1.0,,,0.482675,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.8571428571428571,,0.6,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,False
