EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,ShortMidRangeFGM,PtsUnassisted2s,Fg2aBlocked,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,BadPassSteals,DeadBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,NonShootingFoulsDrawn,BlockedShortMidRange,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,DefCorner3ReboundPct,LostBallTurnovers,Travels,BlockedLongMidRange,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,3SecondViolations,Defensive 3 Seconds Violations,Offensive Fouls Drawn,SecondChanceFtPoints,OffLongMidRangeReboundPct,OffCorner3ReboundPct,PtsUnassisted3s,Technical Free Throw Trips,StepOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,ShortMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,FTOffRebounds,OffFTReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedCorner3,OffensiveGoaltends,BlockedArc3,Arc3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
15-1730-1752-1921-201199,1610612756,"Eric Piatkowski, Brian Skinner, Sean Marks, Gordan Giricek, DJ Strawberry","Piatkowski, Skinner, Marks, Giricek, Strawberry",15-1730-1752-1921-201199,PHX,437.0,2,7.0,-3.0,18.0,16.0,17.0,11.0,2.0,34,2.0,1.0,2.0,2.0,3.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,10.0,2.0,3.0,1.0,13.0,16.0,1.0,1.0,1.0,3.0,3.0,10.0,2.0,3.0,1.0,13.0,6.0,6.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,3.0,12.0,2.0,6.0,6.0,2.0,8.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,10.0,13.0,17.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.3,0.3,0.46153846153846156,0.75,0.46153846153846156,0.43333333333333335,0.75,0.43333333333333335,0.23076923076923078,1.0,0.6666666666666666,0.2857142857142857,0.6666666666666666,0.25,0.5,0.5,0.6666666666666666,0.5,1.0,0.125,112.03661327231121,1.0,12.055555555555555,13.75,11.833333333333334,12.875,0.15384615384615385,0.15384615384615385,0.46153846153846156,0.5,0.5,1.0,0.15384615384615385,0.5,0.5,1.0,0.07692307692307693,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.15384615384615385,0.15384615384615385,0.5,0.07692307692307693,1.0,0.38461538461538464,1.0,0.48053076923076926,0.572475,0.48053076923076926,0.13333333333333333,0.16666666666666666,0.23076923076923078,1.0,13.330000000000002,23.8,0.9444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
15-1730-1752-201199-2556,1610612756,"Eric Piatkowski, Brian Skinner, Sean Marks, DJ Strawberry, Marcus Banks","Piatkowski, Skinner, Marks, Strawberry, Banks",15-1730-1752-201199-2556,PHX,976.0,4,16.0,-6.0,33.0,34.0,18.0,21.0,2.0,67,6.0,,2.0,2.0,5.0,8.0,,,,,4.0,10.0,1.0,1.0,2.0,6.0,8.0,16.0,4.0,10.0,3.0,31.0,37.0,,1.0,1.0,3.0,4.0,8.0,2.0,6.0,2.0,16.0,12.0,12.0,10.0,4.0,6.0,4.0,10.0,4.0,,3.0,24.0,1.0,3.0,8.0,2.0,10.0,,3.0,,3.0,3.0,5.0,3.0,5.0,10.0,4.0,6.0,2.0,7.0,6.0,7.0,1.0,28.0,16.0,18.0,0.75,0.75,1.0,0.4,1.0,0.3333333333333333,0.4,0.5,0.5,0.5384615384615384,1.5,0.5,0.5344827586206896,1.5,0.5,0.38461538461538464,0.6,0.17647058823529413,0.125,0.2,0.14285714285714285,0.25,,0.1111111111111111,,0.4,,98.85245901639345,0.14285714285714285,14.363636363636363,14.764705882352942,13.969696969696969,12.617647058823529,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.625,0.625,0.6,,,,,0.38461538461538464,0.4,0.4,1.0,,1.0,1.0,1.0,0.14285714285714285,,,0.42857142857142855,0.3333333333333333,0.6153846153846154,0.4,0.4735576923076923,0.46095,0.448875,0.07142857142857142,0.1111111111111111,0.0967741935483871,0.5161290322580645,10.8125,25.5,0.5454545454545454,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0625,0.16666666666666666,0.8,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.4,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
15-1730-1752-201199-2571,1610612756,"Eric Piatkowski, Brian Skinner, Sean Marks, DJ Strawberry, Leandro Barbosa","Piatkowski, Skinner, Marks, Strawberry, Barbosa",15-1730-1752-201199-2571,PHX,190.0,1,3.0,2.0,6.0,6.0,,,,12,1.0,,,,3.0,4.0,,,,,,1.0,,,,,3.0,5.0,,1.0,,6.0,4.0,,,,,,,,,,,4.0,,1.0,,2.0,,2.0,,,2.0,4.0,,2.0,4.0,,4.0,,,,,,,,,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,6.0,,,0.6666666666666666,0.6666666666666666,,,,,,0.6,,0.5,,,0.42857142857142855,,,0.16666666666666666,,0.4,,0.5714285714285714,,,,0.3333333333333333,,1.0,,90.94736842105263,0.3333333333333333,14.666666666666666,17.0,14.666666666666666,15.5,0.16666666666666666,,0.6666666666666666,0.75,0.75,0.6666666666666666,,,,,0.16666666666666666,,,,,,,,,,,,,0.3333333333333333,,0.5023166666666666,,,0.14285714285714285,0.16666666666666666,,,13.940000000000001,25.5,,,,2.0,,,,,2.0,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
15-1730-1890-2564-2571,1610612756,"Eric Piatkowski, Brian Skinner, Shawn Marion, Boris Diaw, Leandro Barbosa","Piatkowski, Skinner, Marion, Diaw, Barbosa",15-1730-1890-2564-2571,PHX,467.0,2,8.0,-9.0,17.0,16.0,7.0,15.0,1.0,33,6.0,2.0,2.0,5.0,3.0,4.0,,,,,,1.0,,,,1.0,6.0,15.0,,1.0,,12.0,21.0,2.0,,,,1.0,4.0,,1.0,,2.0,4.0,,1.0,,2.0,,2.0,,,1.0,4.0,2.0,1.0,2.0,2.0,4.0,,3.0,2.0,1.0,,3.0,2.0,4.0,5.0,1.0,,,1.0,,1.0,,12.0,2.0,7.0,0.3333333333333333,0.3333333333333333,,,,,,0.4,0.25,0.375,,0.2,0.375,,0.2,0.0625,0.3333333333333333,1.0,0.2222222222222222,1.0,0.2,0.2,0.3333333333333333,1.0,,,,101.7558886509636,,15.294117647058824,12.9375,14.882352941176471,12.9375,0.375,0.3125,0.25,0.75,0.75,0.3333333333333333,,,,,0.0625,,,,1.0,,,,0.4,,,0.2,,0.4375,,0.45704375,0.56465,0.51604,,,,0.16666666666666666,8.286666666666667,25.1,0.4117647058823529,1.0,2.0,8.0,,1.0,,,,1.0,1.0,2.0,,,,,,,1.0,,,,1.0,,,,,0.16666666666666666,0.16666666666666666,1.0,0.4,0.4,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
15-1730-1890-2564-959,1610612756,"Eric Piatkowski, Brian Skinner, Shawn Marion, Boris Diaw, Steve Nash","Piatkowski, Skinner, Marion, Diaw, Nash",15-1730-1890-2564-959,PHX,110.0,1,2.0,-2.0,3.0,3.0,,2.0,,6,,,,,1.0,2.0,,,,,,1.0,,,,,1.0,2.0,,1.0,,2.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,,,0.5,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,1.0,,0.5,,,,,1.0,,,78.54545454545455,,20.0,16.666666666666668,20.0,16.0,,,0.6666666666666666,0.5,0.5,,,,,,0.3333333333333333,,,,,,,,,,,,,0.3333333333333333,,0.44825,,,,,,,19.45,25.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
15-1730-1952-2405-2571,1610612756,"Eric Piatkowski, Brian Skinner, Raja Bell, Amar'e Stoudemire, Leandro Barbosa","Piatkowski, Skinner, Bell, Stoudemire, Barbosa",15-1730-1952-2405-2571,PHX,233.0,1,4.0,-8.0,8.0,9.0,8.0,4.0,1.0,17,4.0,1.0,4.0,,,3.0,,1.0,,1.0,,,,,,,3.0,7.0,,1.0,,6.0,14.0,1.0,,,2.0,3.0,7.0,,1.0,,6.0,4.0,,,,2.0,,2.0,,,,4.0,1.0,2.0,2.0,1.0,3.0,1.0,,,1.0,,1.0,1.0,3.0,3.0,,,,,,,,4.0,6.0,8.0,0.6666666666666666,1.0,,,,,,0.42857142857142855,0.42857142857142855,0.375,1.0,0.375,0.375,1.0,0.375,0.125,1.0,1.0,0.25,1.0,0.2,1.0,,,,1.0,0.2,105.06437768240343,,13.875,13.555555555555555,13.875,13.555555555555555,0.5,,0.375,,,,0.125,,,,,,,,1.0,,,,0.5,0.125,,,,0.625,,0.5018125,0.5936,0.5018125,,,0.3333333333333333,1.0,9.257142857142856,22.5,1.0,3.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,0.75,0.75,0.6666666666666666,,,,,1.0,,,1.0,3.0,1.0,2.0,1.0,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
15-1730-1952-2564-2571,1610612756,"Eric Piatkowski, Brian Skinner, Raja Bell, Boris Diaw, Leandro Barbosa","Piatkowski, Skinner, Bell, Diaw, Barbosa",15-1730-1952-2564-2571,PHX,272.0,1,5.0,3.0,8.0,10.0,5.0,6.0,,18,,,,,1.0,3.0,,2.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,3.0,1.0,3.0,2.0,7.0,4.0,,,,,1.0,1.0,1.0,2.0,2.0,7.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,5.0,,3.0,5.0,,5.0,,1.0,1.0,,,1.0,1.0,,,3.0,2.0,,,,,,7.0,7.0,5.0,1.0,1.0,1.0,0.3333333333333333,,0.5,0.3333333333333333,0.3333333333333333,1.0,0.4166666666666667,,0.8333333333333334,0.5,,0.875,0.5,,0.75,,0.8333333333333334,,,,,1.0,0.6666666666666666,,95.29411764705883,,12.0,17.6,12.0,16.6,,,0.5,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,,0.16666666666666666,1.0,1.0,1.0,,,,,,0.3333333333333333,,0.3333333333333333,1.0,0.5,1.0,0.5184166666666666,,0.5500333333333333,,,,1.0,20.166666666666668,23.5,0.625,,,,,,,,2.0,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
15-1730-201199-2405-2556,1610612756,"Eric Piatkowski, Brian Skinner, DJ Strawberry, Amar'e Stoudemire, Marcus Banks","Piatkowski, Skinner, Strawberry, Stoudemire, Banks",15-1730-201199-2405-2556,PHX,10.0,1,,-2.0,,1.0,,1.0,,1,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
15-1730-2405-255-2571,1610612756,"Eric Piatkowski, Brian Skinner, Amar'e Stoudemire, Grant Hill, Leandro Barbosa","Piatkowski, Skinner, Stoudemire, Hill, Barbosa",15-1730-2405-255-2571,PHX,140.0,1,2.0,-1.0,5.0,4.0,,,,9,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,3.0,4.0,,,,,,,,,,,2.0,,1.0,,1.0,,1.0,,,,2.0,,2.0,2.0,,2.0,,,,,,3.0,,,2.0,1.0,1.0,1.0,,,,,3.0,,,1.0,1.0,,,,,,1.0,,0.5,,,0.75,,,0.5,,0.5,,0.5,,,,,0.6666666666666666,,,92.57142857142857,,12.2,19.75,12.2,15.25,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,1.0,,0.5645,,,0.5,1.0,,,,26.4,,1.0,,,,1.0,,,,,,3.0,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
15-1730-255-2564-2571,1610612756,"Eric Piatkowski, Brian Skinner, Grant Hill, Boris Diaw, Leandro Barbosa","Piatkowski, Skinner, Hill, Diaw, Barbosa",15-1730-255-2564-2571,PHX,220.0,2,4.0,2.0,8.0,9.0,,,1.0,17,1.0,,,,3.0,3.0,,,,,1.0,2.0,,,,,4.0,4.0,1.0,2.0,,11.0,9.0,,,,,,,,,,,,3.0,2.0,1.0,,1.0,1.0,1.0,,,3.0,,5.0,5.0,1.0,6.0,,1.0,,2.0,1.0,3.0,,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,11.0,,,,,1.0,0.5,,,0.5,1.0,,0.9166666666666666,,,0.9166666666666666,,,0.3333333333333333,0.6666666666666666,0.8333333333333334,,0.8333333333333334,1.0,,,0.6666666666666666,1.0,1.0,,111.27272727272728,1.0,10.125,15.444444444444445,9.625,15.333333333333334,0.16666666666666666,,0.5,1.0,1.0,,,,,,0.3333333333333333,0.5,0.5,1.0,,,,,,,,,,0.5,0.5,0.5206416666666667,,,,,,,13.575,25.1,,1.0,,8.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,False
