EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,DefensiveGoaltends,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangePctBlocked,Corner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,RecoveredBlocks,SecondChanceFg3Pct,OffLongMidRangeReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGA,SecondChanceFtPoints,HeaveAttempts,FTDefRebounds,BlockedLongMidRange,DefFTReboundPct,PenaltyArc3Frequency,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,2pt And 1 Free Throw Trips,SelfOReb,SelfORebPct,LostBallSteals,OffThreePtRebounds,OffThreePtReboundPct,OffCorner3ReboundPct,NonShootingPenaltyNonTakeFouls,SecondChanceAtRimPctAssisted,3SecondViolations,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyFG3M,PenaltyFtPoints,Travels,SecondChanceTurnovers,PenaltyFg3Pct,PenaltyAtRimFrequency,PenaltyArc3Accuracy,PenaltyAtRimFGM,Blocked3s,BlockedArc3,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyAtRimAccuracy,OffArc3ReboundPct,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Technical Free Throw Trips,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,BlockedCorner3,BlockedShortMidRange,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffensiveGoaltends,Clear Path Fouls,HeaveMakes,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101121-101181-1515-1725-200081,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Rasho Nesterovic, Jamario Moon","Graham, Calderon, Parker, Nesterovic, Moon",101121-101181-1515-1725-200081,TOR,1800.0,5,30.0,-18.0,55.0,59.0,5.0,3.0,2.0,114.0,6.0,10.0,1.0,2.0,3.0,6.0,16.0,24.0,1.0,1.0,1.0,2.0,25.0,40.0,1.0,3.0,10.0,63.0,81.0,1.0,2.0,2.0,3.0,3.0,1.0,6.0,26.0,24.0,3.0,2.0,2.0,1.0,4.0,13.0,1.0,14.0,1.0,3.0,1.0,9.0,29.0,2.0,4.0,15.0,19.0,2.0,21.0,1.0,1.0,3.0,2.0,5.0,2.0,1.0,8.0,1.0,7.0,11.0,1.0,2.0,10.0,1.0,1.0,14.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,6.0,5.0,0.52,0.5416666666666666,1.0,0.3333333333333333,0.3333333333333333,0.625,0.5,1.0,0.6162790697674418,0.5,0.75,0.63,0.5,0.75,0.06976744186046512,0.1,0.2,0.3333333333333333,0.375,0.6521739130434783,0.13333333333333333,0.5,0.6129032258064516,0.11764705882352941,0.25,0.3333333333333333,0.6,0.75,0.6666666666666666,0.4,0.6666666666666666,91.2,15.290909090909091,16.25423728813559,15.2,14.830508474576272,0.23255813953488372,0.6,0.75,0.5,0.13953488372093023,0.5,0.75,0.3333333333333333,0.5581395348837209,0.6666666666666666,0.6666666666666666,0.5625,0.023255813953488372,0.046511627906976744,0.5,0.5,1.0,1.0,0.5,0.25,0.3023255813953488,0.5,0.46044534883720933,0.53315,0.446325,0.12244897959183673,0.13043478260869565,0.031746031746031744,0.09523809523809523,12.002500000000001,24.166666666666668,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
101121-101181-1515-1725-2568,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Rasho Nesterovic, Carlos Delfino","Graham, Calderon, Parker, Nesterovic, Delfino",101121-101181-1515-1725-2568,TOR,55.0,1,1.0,-2.0,1.0,2.0,,,,3.0,,,,,,,,1.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.5,,,0.5,,,,,,1.0,,,78.54545454545455,38.0,8.5,38.0,7.5,,,,,,,,,1.0,,,,,,,,,,,,,,0.4273,,,,,,,21.8,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
101121-101181-1515-200081-2547,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Jamario Moon, Chris Bosh","Graham, Calderon, Parker, Moon, Bosh",101121-101181-1515-200081-2547,TOR,332.0,1,6.0,10.0,10.0,10.0,,,1.0,20.0,1.0,2.0,,,,1.0,,1.0,2.0,,2.0,2.0,1.0,4.0,3.0,4.0,3.0,14.0,4.0,,,3.0,,,,,2.0,,9.0,,2.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,,,11.0,1.0,,6.0,6.0,1.0,7.0,,,1.0,,,,1.0,1.0,,,1.0,,,3.0,1.0,,4.0,2.0,,1.0,1.0,1.0,,,11.0,,,1.0,1.0,1.0,0.75,0.75,0.25,,,0.6875,1.5,,0.7,1.5,,0.5,0.5,,1.0,1.0,1.0,0.3333333333333333,,1.0,0.25,,,1.0,1.0,1.0,,,86.74698795180723,15.2,18.0,14.5,18.0,0.25,0.5,0.5,1.0,0.125,,,,0.125,,,,0.25,0.25,1.0,1.0,1.0,,,,0.75,1.0,0.5175625,0.48765,,0.2,0.3333333333333333,0.21428571428571427,,6.7,24.05,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
101121-101181-1515-200081-2568,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Jamario Moon, Carlos Delfino","Graham, Calderon, Parker, Moon, Delfino",101121-101181-1515-200081-2568,TOR,68.0,1,1.0,,3.0,2.0,,2.0,,5.0,1.0,1.0,,,,,1.0,1.0,,,,,2.0,2.0,,,,4.0,4.0,,,,,,,,2.0,2.0,,,,,,1.0,,1.0,,1.0,,,2.0,,,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,4.0,,,0.5,0.5,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,105.88235294117648,12.0,16.0,12.0,16.0,0.5,1.0,1.0,1.0,,,,,0.5,1.0,1.0,,,,,,,,,,0.5,,0.47345,,,,,,,11.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
101121-101181-1515-200081-2743,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Jamario Moon, Kris Humphries","Graham, Calderon, Parker, Moon, Humphries",101121-101181-1515-200081-2743,TOR,380.0,4,6.0,-6.0,12.0,14.0,,5.0,2.0,26.0,1.0,3.0,,1.0,,1.0,2.0,5.0,,,,1.0,3.0,9.0,,1.0,4.0,10.0,16.0,,1.0,2.0,,,1.0,,2.0,4.0,,,,,2.0,1.0,,1.0,,,,1.0,2.0,2.0,1.0,3.0,5.0,2.0,7.0,,,3.0,1.0,,,2.0,3.0,,4.0,6.0,,,3.0,,,4.0,2.0,,1.0,,1.0,1.0,,8.0,,,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,,,0.3,,,0.4166666666666667,0.5,,0.1,0.2222222222222222,0.3333333333333333,,1.0,0.6,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,,,1.0,,0.6666666666666666,1.0,,98.52631578947368,17.333333333333332,12.285714285714286,16.666666666666668,12.285714285714286,0.3,0.3333333333333333,0.5,,0.1,,,,0.5,0.4,0.5,0.5,,0.1,,,,1.0,,,0.4,,0.4537444444444445,0.5344,,0.16666666666666666,0.18181818181818182,0.2,,11.088888888888889,46.9,,0.2,,,,,,,1.0,,0.6666666666666666,1.0,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
101121-101181-1515-2547-2568,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Chris Bosh, Carlos Delfino","Graham, Calderon, Parker, Bosh, Delfino",101121-101181-1515-2547-2568,TOR,586.0,3,10.0,2.0,18.0,18.0,,3.0,2.0,36.0,,1.0,,,,4.0,,5.0,2.0,,2.0,3.0,,10.0,3.0,5.0,8.0,17.0,15.0,,2.0,,,,,,,,9.0,,3.0,2.0,3.0,,3.0,3.0,2.0,,,,9.0,2.0,,9.0,9.0,2.0,11.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,,5.0,,,8.0,4.0,,,,,,,17.0,,,,,1.0,0.6,0.6,,,,0.3,,,0.4473684210526316,,,0.3333333333333333,0.3,1.0,0.5,1.0,0.9,0.2,,0.9,0.16666666666666666,,0.25,1.0,0.6666666666666666,1.0,,,88.46416382252559,17.38888888888889,15.166666666666666,16.38888888888889,15.11111111111111,0.06666666666666667,,,,0.26666666666666666,,,,0.3333333333333333,,,,0.13333333333333333,0.2,0.6666666666666666,0.6666666666666666,1.0,,,,0.4,0.6666666666666666,0.45234,0.38975,,0.21052631578947367,0.2857142857142857,,,12.629999999999999,24.84,,,1.0,,,,,1.0,,,0.2,,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
101121-101181-1515-2547-2743,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Chris Bosh, Kris Humphries","Graham, Calderon, Parker, Bosh, Humphries",101121-101181-1515-2547-2743,TOR,159.0,2,3.0,2.0,4.0,5.0,,1.0,,9.0,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,6.0,,,,,,,,2.0,,3.0,,1.0,1.0,,1.0,1.0,2.0,1.0,,,1.0,5.0,,,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,1.0,,,1.0,,,3.0,,,,,,,,8.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.25,,,1.3333333333333333,,,0.5,,,,,1.0,,,1.0,,,,,,1.0,,,81.50943396226415,19.5,16.2,19.5,16.2,,,,,,,,,0.5,1.0,1.0,1.0,,0.5,1.0,1.0,1.0,,,,0.5,1.0,0.44955,,,0.3333333333333333,,,,19.0,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
101121-101181-1515-2551-2574,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, T.J. Ford, Jason Kapono","Graham, Calderon, Parker, Ford, Kapono",101121-101181-1515-2551-2574,TOR,222.0,1,4.0,2.0,7.0,7.0,1.0,1.0,1.0,14.0,2.0,2.0,,,2.0,2.0,2.0,4.0,,,,,6.0,8.0,,,1.0,13.0,11.0,1.0,1.0,2.0,1.0,1.0,,2.0,8.0,4.0,,,,,,4.0,,4.0,,1.0,2.0,1.0,8.0,1.0,,1.0,2.0,1.0,3.0,,,,,,,,,,3.0,3.0,,,1.0,,,1.0,1.0,,,,,,,11.0,2.0,1.0,0.6666666666666666,0.6666666666666666,,,,0.75,1.0,1.0,0.75,1.0,1.0,0.8125,1.0,1.0,,,,,,1.0,0.5,,1.0,0.5,,,,,1.0,,,90.8108108108108,14.285714285714286,17.428571428571427,14.0,17.428571428571427,0.25,1.0,1.0,0.5,0.25,1.0,1.0,1.0,0.5,0.5,0.5,0.5,,,,,,,,,0.25,,0.4391625,0.4297,0.2919,0.125,0.125,0.15384615384615385,0.15384615384615385,11.65,,0.14285714285714285,,,,,,,,,,0.5,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
101121-101181-1515-2568-2574,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Carlos Delfino, Jason Kapono","Graham, Calderon, Parker, Delfino, Kapono",101121-101181-1515-2568-2574,TOR,226.0,1,4.0,-9.0,6.0,6.0,,,,12.0,,2.0,,,,1.0,,1.0,,,,1.0,,4.0,,1.0,,,9.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.2,,,,,0.3333333333333333,,,0.25,,,,,,0.5,,,76.46017699115045,13.666666666666666,24.0,13.666666666666666,18.0,0.4,,,,0.2,,,,0.2,,,,,0.2,,,,,,,0.6,,0.47485,,,,,,,9.4,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
101121-101181-1515-2574-2743,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Jason Kapono, Kris Humphries","Graham, Calderon, Parker, Kapono, Humphries",101121-101181-1515-2574-2743,TOR,33.0,1,1.0,-2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.63636363636363,,19.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
